AMAC,Channel,BandgapControl,RampGain,m,b
AMACREF1,CH0_L,0,0,0.0017975294089143088,-0.025278044468870907
AMACREF1,CH0_L,0,1,0.0008253801815371858,-0.023495185749097286
AMACREF1,CH0_L,0,2,0.001395433522658372,-0.024252355386527227
AMACREF1,CH0_L,0,3,0.0014655733467154016,-0.02449101581141281
AMACREF1,CH0_L,1,0,0.001772936480931497,-0.025302833977440813
AMACREF1,CH0_L,1,1,0.0008147022136835165,-0.022876175778027235
AMACREF1,CH0_L,1,2,0.001376544118560313,-0.02411730240332153
AMACREF1,CH0_L,1,3,0.0014452164800082177,-0.02421032425575283
AMACREF1,CH0_L,2,0,0.0017462218910200304,-0.024759973613393688
AMACREF1,CH0_L,2,1,0.0008029316922378259,-0.02230959338776159
AMACREF1,CH0_L,2,2,0.0013569451103428685,-0.02345461227083783
AMACREF1,CH0_L,2,3,0.0014241800071938054,-0.02345823781955234
AMACREF1,CH0_L,3,0,0.0017191704034517973,-0.024184325474718944
AMACREF1,CH0_L,3,1,0.000791658261853891,-0.02171838597368667
AMACREF1,CH0_L,3,2,0.0013364150409344016,-0.022637973459624525
AMACREF1,CH0_L,3,3,0.0014041030400012396,-0.023125803094857515
AMACREF1,CH0_L,4,0,0.0016886194666119654,-0.023212847665874937
AMACREF1,CH0_L,4,1,0.0007793510918963764,-0.02085805606091754
AMACREF1,CH0_L,4,2,0.0013157255756332006,-0.021845380433553392
AMACREF1,CH0_L,4,3,0.001381422246814432,-0.02219996143200479
AMACREF1,CH0_L,5,0,0.001654686082718443,-0.022310761787711804
AMACREF1,CH0_L,5,1,0.0007669026448675418,-0.020181970814704412
AMACREF1,CH0_L,5,2,0.0012932036723580895,-0.02148946963643418
AMACREF1,CH0_L,5,3,0.00135635441274653,-0.021397781006261156
AMACREF1,CH0_L,6,0,0.001620087948420674,-0.02168158642567933
AMACREF1,CH0_L,6,1,0.0007530210323910279,-0.019394051896399058
AMACREF1,CH0_L,6,2,0.0012667552152873381,-0.020464705278405153
AMACREF1,CH0_L,6,3,0.0013286802347419044,-0.020504842300985735
AMACREF1,CH0_L,7,0,0.001581909566028025,-0.020259285707590828
AMACREF1,CH0_L,7,1,0.0007386403643961545,-0.018740498944463363
AMACREF1,CH0_L,7,2,0.0012382027357956465,-0.01946630711159224
AMACREF1,CH0_L,7,3,0.001298346845868485,-0.01965185438685429
AMACREF1,CH0_L,8,0,0.0015450968647549395,-0.019482742743927556
AMACREF1,CH0_L,8,1,0.000722046773759912,-0.017707999623940342
AMACREF1,CH0_L,8,2,0.0012087429215801616,-0.018247350134053524
AMACREF1,CH0_L,8,3,0.0012676332662811967,-0.018422524422024765
AMACREF1,CH0_L,9,0,0.0015078679451315429,-0.01836175871454678
AMACREF1,CH0_L,9,1,0.0007041950985156813,-0.016674756289410418
AMACREF1,CH0_L,9,2,0.0011794016675724147,-0.017319148576889924
AMACREF1,CH0_L,9,3,0.0012377257112091919,-0.017758487467977098
AMACREF1,CH0_L,10,0,0.0014715702572466129,-0.017419966301567624
AMACREF1,CH0_L,10,1,0.0006874237906310728,-0.015778947169100957
AMACREF1,CH0_L,10,2,0.0011511380724084155,-0.01640006661685179
AMACREF1,CH0_L,10,3,0.001207722237526107,-0.016731077140267638
AMACREF1,CH0_L,11,0,0.0014362397862399251,-0.016431579460798783
AMACREF1,CH0_L,11,1,0.0006705360592041896,-0.01474531681701972
AMACREF1,CH0_L,11,2,0.0011236957552961148,-0.01558226112623026
AMACREF1,CH0_L,11,3,0.0011779164812668497,-0.015590137112493685
AMACREF1,CH0_L,12,0,0.0014001351371421837,-0.015542619921240276
AMACREF1,CH0_L,12,1,0.0006535210925937715,-0.013809263190372161
AMACREF1,CH0_L,12,2,0.001094762414580484,-0.014447338738923649
AMACREF1,CH0_L,12,3,0.0011481921054845633,-0.014593647998764173
AMACREF1,CH0_L,13,0,0.0013655258370806986,-0.014649090757337205
AMACREF1,CH0_L,13,1,0.0006369852282308721,-0.012743976732058489
AMACREF1,CH0_L,13,2,0.0010682502316980709,-0.013771740380961017
AMACREF1,CH0_L,13,3,0.0011199268962103922,-0.013550524796684527
AMACREF1,CH0_L,14,0,0.001330957761012887,-0.01365586288000654
AMACREF1,CH0_L,14,1,0.0006205882652369513,-0.01175875010184698
AMACREF1,CH0_L,14,2,0.001040989999193671,-0.012652251606672892
AMACREF1,CH0_L,14,3,0.0010925146802689808,-0.013138859848340618
AMACREF1,CH0_L,15,0,0.0012942617173217713,-0.012570316470984364
AMACREF1,CH0_L,15,1,0.0006037187290746628,-0.01058033107007587
AMACREF1,CH0_L,15,2,0.001012653580334166,-0.011852471530103305
AMACREF1,CH0_L,15,3,0.0010622112803852523,-0.012020727932742423
AMACREF1,CH0_R,0,0,0.0017864369762258204,-0.028658515799172696
AMACREF1,CH0_R,0,1,0.0007994643424332116,-0.0276542193297828
AMACREF1,CH0_R,0,2,0.0013807746163374843,-0.027977601145619348
AMACREF1,CH0_R,0,3,0.001455947368955303,-0.028284968613120992
AMACREF1,CH0_R,1,0,0.0017603023115396247,-0.028899328145346126
AMACREF1,CH0_R,1,1,0.0007886780223740216,-0.027479056352466613
AMACREF1,CH0_R,1,2,0.0013614406685241124,-0.027669896378997857
AMACREF1,CH0_R,1,3,0.0014343084552282882,-0.027720134268920265
AMACREF1,CH0_R,2,0,0.001733091631556932,-0.028060362650722082
