AMAC,Channel,BandgapControl,RampGain,m,b
AMAC_B02,CH0_L,0,0,0.0018433257961935287,-0.021320351577502717
AMAC_B02,CH0_L,0,1,0.0008936120836544466,-0.019304365369939017
AMAC_B02,CH0_L,0,2,0.001454941129162306,-0.020270225005746895
AMAC_B02,CH0_L,0,3,0.0015244346732403264,-0.020314426062751682
AMAC_B02,CH0_L,1,0,0.0018199690124189947,-0.021164339133144378
AMAC_B02,CH0_L,1,1,0.0008855752158880728,-0.019221608720000956
AMAC_B02,CH0_L,1,2,0.001438522838098029,-0.019949202637761492
AMAC_B02,CH0_L,1,3,0.0015075150907077949,-0.020231514060273754
AMAC_B02,CH0_L,2,0,0.0017972489835684851,-0.020757650733333403
AMAC_B02,CH0_L,2,1,0.0008765186352803916,-0.01889918504370961
AMAC_B02,CH0_L,2,2,0.0014219769739947955,-0.019641434125596068
AMAC_B02,CH0_L,2,3,0.001489313229868929,-0.019817165491779632
AMAC_B02,CH0_L,3,0,0.0017747274458679069,-0.020504389396920654
AMAC_B02,CH0_L,3,1,0.0008670142450169031,-0.01842731861444662
AMAC_B02,CH0_L,3,2,0.0014044046691877544,-0.01917840794993895
AMAC_B02,CH0_L,3,3,0.0014716070199331304,-0.019522453081213705
AMAC_B02,CH0_L,4,0,0.0017510094404753855,-0.020039327576667803
AMAC_B02,CH0_L,4,1,0.0008572371274157718,-0.01807732573893264
AMAC_B02,CH0_L,4,2,0.0013870101276956884,-0.018980374032960785
AMAC_B02,CH0_L,4,3,0.001452301347508869,-0.019015576058564986
AMAC_B02,CH0_L,5,0,0.0017250401937574144,-0.01954032220946216
AMAC_B02,CH0_L,5,1,0.0008469250780438289,-0.01762659798825263
AMAC_B02,CH0_L,5,2,0.0013686506742053343,-0.01852561453600421
AMAC_B02,CH0_L,5,3,0.0014328999646988734,-0.01870958634066322
AMAC_B02,CH0_L,6,0,0.001695994026108026,-0.019269278058825234
AMAC_B02,CH0_L,6,1,0.0008363700213785488,-0.017088035147635117
AMAC_B02,CH0_L,6,2,0.0013493560121003636,-0.018071395642252373
AMAC_B02,CH0_L,6,3,0.0014123617227934095,-0.01819432176649243
AMAC_B02,CH0_L,7,0,0.0016624413387077185,-0.018119468912621128
AMAC_B02,CH0_L,7,1,0.0008255439796916995,-0.01661009153090892
AMAC_B02,CH0_L,7,2,0.001327054792884219,-0.017604760874604608
AMAC_B02,CH0_L,7,3,0.0013879666115294146,-0.01769711329400332
AMAC_B02,CH0_L,8,0,0.0016302982472670227,-0.017765461572677933
