AMAC,Channel,BandgapControl,RampGain,m,b
AMAC_C01,CH0_L,0,0,0.0018162095207122355,-0.026291083396482718
AMAC_C01,CH0_L,0,1,0.0008622830014754581,-0.023973734129375868
AMAC_C01,CH0_L,0,2,0.0014331968783680624,-0.024763829596798504
AMAC_C01,CH0_L,0,3,0.0015010391054565966,-0.02513249434231111
AMAC_C01,CH0_L,1,0,0.0017927323328720977,-0.025807418609302732
AMAC_C01,CH0_L,1,1,0.0008525704314473353,-0.0233916893625818
AMAC_C01,CH0_L,1,2,0.0014162225784798252,-0.02442198764149166
AMAC_C01,CH0_L,1,3,0.001483268232448701,-0.024668682061647382
AMAC_C01,CH0_L,2,0,0.0017698313999873823,-0.025347046422289087
AMAC_C01,CH0_L,2,1,0.0008441793324857809,-0.023169053635971826
AMAC_C01,CH0_L,2,2,0.0013989394970020125,-0.024199628867026892
AMAC_C01,CH0_L,2,3,0.0014649750391276994,-0.024440027127421125
AMAC_C01,CH0_L,3,0,0.0017462054476250282,-0.0248773123027334
AMAC_C01,CH0_L,3,1,0.0008327943662989093,-0.022346138912020783
AMAC_C01,CH0_L,3,2,0.0013807075191488165,-0.02361675909459345
AMAC_C01,CH0_L,3,3,0.001445858371147229,-0.023906026658143547
AMAC_C01,CH0_L,4,0,0.0017215345753299387,-0.024364818797315783
AMAC_C01,CH0_L,4,1,0.0008234265196853872,-0.022219471128743087
AMAC_C01,CH0_L,4,2,0.001362103568273754,-0.02309687462111488
AMAC_C01,CH0_L,4,3,0.00142610873152619,-0.02316228738587856
AMAC_C01,CH0_L,5,0,0.0016944878575440006,-0.02379423637284997
AMAC_C01,CH0_L,5,1,0.0008126396846880317,-0.021691835731785517
AMAC_C01,CH0_L,5,2,0.0013427311007634616,-0.02249359665532178
AMAC_C01,CH0_L,5,3,0.0014052995933509238,-0.022682124157948243
AMAC_C01,CH0_L,6,0,0.0016627833535175695,-0.023063762123750397
AMAC_C01,CH0_L,6,1,0.0008011117895922687,-0.021055990018735198
AMAC_C01,CH0_L,6,2,0.0013221387173837015,-0.021985446530287032
AMAC_C01,CH0_L,6,3,0.0013835369821096925,-0.022217149090098597
AMAC_C01,CH0_L,7,0,0.001630101151376085,-0.022430746573420417
AMAC_C01,CH0_L,7,1,0.0007897936835509702,-0.020498212297811985
AMAC_C01,CH0_L,7,2,0.0012984134293923368,-0.02127530327221404
AMAC_C01,CH0_L,7,3,0.0013580026192951827,-0.02145510640608013
AMAC_C01,CH0_L,8,0,0.0015953719096813215,-0.02145470807390874
AMAC_C01,CH0_L,8,1,0.0007779955867492714,-0.02001021226568397
AMAC_C01,CH0_L,8,2,0.001272367136872791,-0.020535006903173517
AMAC_C01,CH0_L,8,3,0.001329842152354282,-0.020676504055178714
AMAC_C01,CH0_L,9,0,0.0015611903125822006,-0.020752668792787927
AMAC_C01,CH0_L,9,1,0.0007642222700190381,-0.019462001157837357
AMAC_C01,CH0_L,9,2,0.0012456207664870256,-0.019647480373758297
AMAC_C01,CH0_L,9,3,0.0013020556685801625,-0.01979430581008246
AMAC_C01,CH0_L,10,0,0.0015274669700461553,-0.01995636451045136
AMAC_C01,CH0_L,10,1,0.0007498252490407401,-0.0187215188276364
AMAC_C01,CH0_L,10,2,0.0012192634200474894,-0.01886220998941988
AMAC_C01,CH0_L,10,3,0.001274437853930368,-0.019042026546746183
AMAC_C01,CH0_L,11,0,0.001494186163505336,-0.019036672585456268
AMAC_C01,CH0_L,11,1,0.0007351757203613088,-0.017980758897220745
AMAC_C01,CH0_L,11,2,0.0011937645005775802,-0.018259628763399552
AMAC_C01,CH0_L,11,3,0.0012471927233237195,-0.018289158410675417
AMAC_C01,CH0_L,12,0,0.0014611693621232862,-0.01826840876925889
AMAC_C01,CH0_L,12,1,0.000720804854350319,-0.01718191005665998
AMAC_C01,CH0_L,12,2,0.0011679237903034485,-0.017389006136765372
AMAC_C01,CH0_L,12,3,0.0012205704958319658,-0.017509143954383702
AMAC_C01,CH0_L,13,0,0.0014298417013969848,-0.0176414593720009
AMAC_C01,CH0_L,13,1,0.0007085085192013944,-0.017049637177440898
AMAC_C01,CH0_L,13,2,0.0011437102915286936,-0.01683924200281957
AMAC_C01,CH0_L,13,3,0.0011953645245183682,-0.017106889691856118
AMAC_C01,CH0_L,14,0,0.0013992310622396574,-0.01708783726469356
AMAC_C01,CH0_L,14,1,0.0006952563023943558,-0.016320402534298242
AMAC_C01,CH0_L,14,2,0.0011200618023325065,-0.01621034523688221
AMAC_C01,CH0_L,14,3,0.0011701006120225376,-0.01654232763745505
AMAC_C01,CH0_L,15,0,0.0013644917211687998,-0.016350696597336876
AMAC_C01,CH0_L,15,1,0.0006796726776328867,-0.015399613077132291
AMAC_C01,CH0_L,15,2,0.0010933291996592226,-0.015627932204799144
AMAC_C01,CH0_L,15,3,0.0011419617296880738,-0.015771007862444276
AMAC_C01,CH0_R,0,0,0.0017828660805187984,-0.02240552451380213
AMAC_C01,CH0_R,0,1,0.0008560479613572875,-0.020624724679324958
AMAC_C01,CH0_R,0,2,0.0014103826675869876,-0.02114200929689285
AMAC_C01,CH0_R,0,3,0.0014760840185545838,-0.021545779854846757
AMAC_C01,CH0_R,1,0,0.0017615145001070272,-0.02216129324643084
AMAC_C01,CH0_R,1,1,0.000847430259236903,-0.020214213804026385
AMAC_C01,CH0_R,1,2,0.001394161142182254,-0.020920018390182808
AMAC_C01,CH0_R,1,3,0.0014583881292339464,-0.021141311630109398
AMAC_C01,CH0_R,2,0,0.0017377716609335925,-0.02158373337860344
AMAC_C01,CH0_R,2,1,0.0008382137375679734,-0.019913770160549085
AMAC_C01,CH0_R,2,2,0.0013762408213727668,-0.020410904094452183
AMAC_C01,CH0_R,2,3,0.0014402971732979126,-0.020814986390511204
AMAC_C01,CH0_R,3,0,0.0017144587359478492,-0.02111514456861614
AMAC_C01,CH0_R,3,1,0.0008281563703324513,-0.01943236393744833
AMAC_C01,CH0_R,3,2,0.0013584359446315553,-0.019867565328715163
AMAC_C01,CH0_R,3,3,0.0014217929643947586,-0.0202857154523878
AMAC_C01,CH0_R,4,0,0.0016901696055985364,-0.020477371579945686
AMAC_C01,CH0_R,4,1,0.0008172216988830073,-0.01877926193092576
AMAC_C01,CH0_R,4,2,0.001340356505924334,-0.01956763184000319
AMAC_C01,CH0_R,4,3,0.0014024484018078714,-0.019752236239741986
AMAC_C01,CH0_R,5,0,0.0016636395394508641,-0.0199537738971538
AMAC_C01,CH0_R,5,1,0.0008067382542618391,-0.018382543547959502
AMAC_C01,CH0_R,5,2,0.001320988612445551,-0.018972888077683603
AMAC_C01,CH0_R,5,3,0.001381976522131774,-0.01909079388523316
AMAC_C01,CH0_R,6,0,0.001633134050906384,-0.019229230673474703
AMAC_C01,CH0_R,6,1,0.0007956207878770871,-0.017774822538724748
