AMAC,Channel,BandgapControl,RampGain,m,b
AMAC_D01,CH0_L,0,0,0.001847415883940208,-0.02647520483051751
AMAC_D01,CH0_L,0,1,0.0008563017420130614,-0.02481431256984689
AMAC_D01,CH0_L,0,2,0.0014458809499023131,-0.02531663672683661
AMAC_D01,CH0_L,0,3,0.0015129812893647176,-0.025564970547761235
AMAC_D01,CH0_L,1,0,0.0018230810500960194,-0.026459049242972023
AMAC_D01,CH0_L,1,1,0.000846877686026897,-0.024468805373217516
AMAC_D01,CH0_L,1,2,0.0014277822682830204,-0.02534107807989212
AMAC_D01,CH0_L,1,3,0.0014939806357176092,-0.025509581547586764
AMAC_D01,CH0_L,2,0,0.0017984325451023216,-0.026097034547005744
AMAC_D01,CH0_L,2,1,0.00083656534789658,-0.023937133110220513
AMAC_D01,CH0_L,2,2,0.0014097961062078414,-0.024818329891576462
AMAC_D01,CH0_L,2,3,0.0014744554789399842,-0.025133690298762716
AMAC_D01,CH0_L,3,0,0.00177385508264714,-0.025696659366852927
AMAC_D01,CH0_L,3,1,0.0008265379897903188,-0.023460010464508213
AMAC_D01,CH0_L,3,2,0.0013909366722204015,-0.024539089474986352
AMAC_D01,CH0_L,3,3,0.0014552116259714412,-0.02476078761081659
AMAC_D01,CH0_L,4,0,0.0017487998231636966,-0.025405085362906067
AMAC_D01,CH0_L,4,1,0.0008157405320837616,-0.02307754823254192
AMAC_D01,CH0_L,4,2,0.0013721087425537458,-0.024076999269762967
AMAC_D01,CH0_L,4,3,0.0014351630242526836,-0.024339692125828434
AMAC_D01,CH0_L,5,0,0.001720359221137718,-0.02462946148233854
AMAC_D01,CH0_L,5,1,0.0008047128459461284,-0.022571210126963875
AMAC_D01,CH0_L,5,2,0.0013527280514714203,-0.023655592300319217
AMAC_D01,CH0_L,5,3,0.0014146734333501019,-0.023731251884150505
AMAC_D01,CH0_L,6,0,0.0016887037998340598,-0.024083087334978437
AMAC_D01,CH0_L,6,1,0.0007935427823072873,-0.022115571033120018
AMAC_D01,CH0_L,6,2,0.0013323289920086452,-0.023226570920803706
AMAC_D01,CH0_L,6,3,0.0013928526882713136,-0.02344424289717568
AMAC_D01,CH0_L,7,0,0.001655528922979155,-0.023368988677071333
AMAC_D01,CH0_L,7,1,0.0007823357102157187,-0.021611856804507435
AMAC_D01,CH0_L,7,2,0.001308527079209592,-0.02265458051402764
AMAC_D01,CH0_L,7,3,0.0013674645144683276,-0.022852888080602485
AMAC_D01,CH0_L,8,0,0.0016218277988347598,-0.02288534722581086
AMAC_D01,CH0_L,8,1,0.0007697798320081086,-0.020927407294398934
AMAC_D01,CH0_L,8,2,0.001282834979454652,-0.02203225196714285
AMAC_D01,CH0_L,8,3,0.0013396692537352218,-0.022157215637318477
AMAC_D01,CH0_L,9,0,0.0015876260501718718,-0.02208489445314568
AMAC_D01,CH0_L,9,1,0.000756042832447543,-0.02026700881900583
AMAC_D01,CH0_L,9,2,0.0012564993818739317,-0.021253445962548145
AMAC_D01,CH0_L,9,3,0.0013123411651219114,-0.021429834405569472
AMAC_D01,CH0_L,10,0,0.0015543317913981557,-0.02150167414283306
AMAC_D01,CH0_L,10,1,0.0007431941992926909,-0.019971507166767648
AMAC_D01,CH0_L,10,2,0.0012305140098542709,-0.02052883610962915
AMAC_D01,CH0_L,10,3,0.0012854778589222638,-0.02080957823562901
AMAC_D01,CH0_L,11,0,0.0015223828613231594,-0.021051686788843154
AMAC_D01,CH0_L,11,1,0.0007294119287651697,-0.019233707964454706
AMAC_D01,CH0_L,11,2,0.0012062333331300768,-0.02006371124651834
AMAC_D01,CH0_L,11,3,0.0012588471381995976,-0.0199315589239598
AMAC_D01,CH0_L,12,0,0.0014885474404690484,-0.020138571736938896
AMAC_D01,CH0_L,12,1,0.0007152421343738773,-0.01843123907841404
AMAC_D01,CH0_L,12,2,0.0011802832638524135,-0.019201170721604877
AMAC_D01,CH0_L,12,3,0.0012320517516741457,-0.019448385121740058
AMAC_D01,CH0_L,13,0,0.0014565136708432932,-0.01950187045576901
AMAC_D01,CH0_L,13,1,0.0007023822753516748,-0.018156896183178114
AMAC_D01,CH0_L,13,2,0.0011558091178010858,-0.018753179956718925
AMAC_D01,CH0_L,13,3,0.0012060838925906604,-0.018781737471805914
AMAC_D01,CH0_L,14,0,0.001424309382622491,-0.018805127625499816
AMAC_D01,CH0_L,14,1,0.0006900771182308383,-0.017899150066782415
AMAC_D01,CH0_L,14,2,0.001131460449943451,-0.01807423367928689
AMAC_D01,CH0_L,14,3,0.0011807623546439704,-0.018288224669837483
AMAC_D01,CH0_L,15,0,0.0013898790691329725,-0.018320354509794034
AMAC_D01,CH0_L,15,1,0.0006739986728625105,-0.016963485446866638
AMAC_D01,CH0_L,15,2,0.0011044933921754252,-0.017463758242536633
AMAC_D01,CH0_L,15,3,0.0011522904873641482,-0.017718780116034914
AMAC_D01,CH0_R,0,0,0.0017413917051081341,-0.023583091117611144
AMAC_D01,CH0_R,0,1,0.0007827964201752407,-0.022007136300665416
AMAC_D01,CH0_R,0,2,0.0013535973685217808,-0.022621859433266295
AMAC_D01,CH0_R,0,3,0.0014212537369418196,-0.022968505288453848
AMAC_D01,CH0_R,1,0,0.0017171287027273007,-0.023430198223644984
AMAC_D01,CH0_R,1,1,0.0007732855614582799,-0.021620708825360102
AMAC_D01,CH0_R,1,2,0.0013357052010415428,-0.02234959603952467
AMAC_D01,CH0_R,1,3,0.0014021995470596923,-0.022717666720085333
AMAC_D01,CH0_R,2,0,0.001692343973880393,-0.023155206936843708
AMAC_D01,CH0_R,2,1,0.0007625548470724539,-0.02103782475780843
AMAC_D01,CH0_R,2,2,0.0013177011493556345,-0.022081385145073545
AMAC_D01,CH0_R,2,3,0.0013827810966237802,-0.022349327600483276
AMAC_D01,CH0_R,3,0,0.0016674849992609907,-0.022744821070478684
AMAC_D01,CH0_R,3,1,0.0007524511175091473,-0.020585655573504905
AMAC_D01,CH0_R,3,2,0.0012982312237271468,-0.021410551608794303
AMAC_D01,CH0_R,3,3,0.001363095064493249,-0.02190654986357945
AMAC_D01,CH0_R,4,0,0.0016424953856849645,-0.022128401813765963
AMAC_D01,CH0_R,4,1,0.0007415266858091701,-0.020179031028919502
AMAC_D01,CH0_R,4,2,0.0012795544107229184,-0.02107951427455507
AMAC_D01,CH0_R,4,3,0.0013429124822558342,-0.021408616299706702
AMAC_D01,CH0_R,5,0,0.0016152406363839575,-0.021766638455593727
AMAC_D01,CH0_R,5,1,0.0007307732233537565,-0.019698630394909974
AMAC_D01,CH0_R,5,2,0.0012601758157177836,-0.020521273791716775
AMAC_D01,CH0_R,5,3,0.0013227916334009927,-0.020865118273392998
AMAC_D01,CH0_R,6,0,0.001583984625802429,-0.021014560163979467
AMAC_D01,CH0_R,6,1,0.0007191750377171594,-0.019004809392150573
AMAC_D01,CH0_R,6,2,0.0012390098931323674,-0.01982393535583901
AMAC_D01,CH0_R,6,3,0.0013003025637053254,-0.020271260201517143
AMAC_D01,CH0_R,7,0,0.001550282230240629,-0.02031066873270686
AMAC_D01,CH0_R,7,1,0.0007080580641903767,-0.01862129684489547
AMAC_D01,CH0_R,7,2,0.0012157659449984024,-0.01951536983672399
AMAC_D01,CH0_R,7,3,0.0012748332350003776,-0.019596745296102818
AMAC_D01,CH0_R,8,0,0.0015167208933907685,-0.01952623075428943
AMAC_D01,CH0_R,8,1,0.0006959549434656883,-0.0180716889733997
AMAC_D01,CH0_R,8,2,0.0011901028546566189,-0.01887465395474015
AMAC_D01,CH0_R,8,3,0.0012471810647298673,-0.01892438808983822
AMAC_D01,CH0_R,9,0,0.0014826325255941437,-0.018782242346697724
