AMAC,Channel,BandgapControl,RampGain,m,b
AMAC_E05,CH0_L,0,0,0.0018392582894545464,-0.031161089527418407
AMAC_E05,CH0_L,0,1,0.0008646402747701206,-0.029212555075431273
AMAC_E05,CH0_L,0,2,0.0014417971227074346,-0.029959842090047366
AMAC_E05,CH0_L,0,3,0.001511766120164693,-0.0301658214348278
AMAC_E05,CH0_L,1,0,0.0018154281495940741,-0.030786864937403496
AMAC_E05,CH0_L,1,1,0.0008560788287150755,-0.028812398305704957
AMAC_E05,CH0_L,1,2,0.0014253716160343272,-0.02990721848240483
AMAC_E05,CH0_L,1,3,0.001493917111349361,-0.02989449878373298
AMAC_E05,CH0_L,2,0,0.0017925284772846873,-0.030641782957144807
AMAC_E05,CH0_L,2,1,0.00084634890028242,-0.02852919776467349
AMAC_E05,CH0_L,2,2,0.0014073685406161356,-0.029425806143852023
AMAC_E05,CH0_L,2,3,0.0014755466937842155,-0.02965026711129397
AMAC_E05,CH0_L,3,0,0.0017686600639760192,-0.030361608208554897
AMAC_E05,CH0_L,3,1,0.0008357621243169887,-0.028102097615000578
AMAC_E05,CH0_L,3,2,0.00139003566253763,-0.029359486545324248
AMAC_E05,CH0_L,3,3,0.0014570243198665244,-0.02947350661114085
AMAC_E05,CH0_L,4,0,0.0017442598299314267,-0.02998419439915536
AMAC_E05,CH0_L,4,1,0.0008251679022282779,-0.027566580429775597
AMAC_E05,CH0_L,4,2,0.0013714981811643618,-0.028947929968337588
AMAC_E05,CH0_L,4,3,0.0014379036471833249,-0.02908824169009665
AMAC_E05,CH0_L,5,0,0.0017175476026017487,-0.02973987735509436
AMAC_E05,CH0_L,5,1,0.0008151402411711703,-0.02738098875672658
AMAC_E05,CH0_L,5,2,0.0013526412784314477,-0.028600033008657055
AMAC_E05,CH0_L,5,3,0.0014179524414470869,-0.02879075711469863
AMAC_E05,CH0_L,6,0,0.0016864115759262653,-0.02911209660819818
AMAC_E05,CH0_L,6,1,0.0008041016247089893,-0.026819457200145898
AMAC_E05,CH0_L,6,2,0.0013327093629113686,-0.02815898844077837
AMAC_E05,CH0_L,6,3,0.0013961417441058568,-0.028410484039696197
AMAC_E05,CH0_L,7,0,0.001654566366988184,-0.028726133115798903
AMAC_E05,CH0_L,7,1,0.0007927845051565637,-0.026436988108340602
AMAC_E05,CH0_L,7,2,0.001309960755574273,-0.02783296244791687
AMAC_E05,CH0_L,7,3,0.0013715005046091024,-0.02793390745286533
AMAC_E05,CH0_L,8,0,0.0016207813480163162,-0.02815900383402803
AMAC_E05,CH0_L,8,1,0.0007814911051759262,-0.026128160004490066
AMAC_E05,CH0_L,8,2,0.0012851818453729446,-0.027476527420907892
AMAC_E05,CH0_L,8,3,0.001344722772797899,-0.027389705053807355
AMAC_E05,CH0_L,9,0,0.0015884794577767166,-0.02773711311636165
AMAC_E05,CH0_L,9,1,0.0007685607354710484,-0.025487896159596835
AMAC_E05,CH0_L,9,2,0.0012599017814802261,-0.026822039049442692
AMAC_E05,CH0_L,9,3,0.0013186987051560309,-0.026982895319478794
AMAC_E05,CH0_L,10,0,0.0015558636579702976,-0.027254111800107284
AMAC_E05,CH0_L,10,1,0.0007549141317364969,-0.02516723276246211
AMAC_E05,CH0_L,10,2,0.001234465050490124,-0.02629536732702827
AMAC_E05,CH0_L,10,3,0.0012919254987866886,-0.02660144268500439
AMAC_E05,CH0_L,11,0,0.0015217186092464886,-0.026730727041083167
AMAC_E05,CH0_L,11,1,0.0007396234797937268,-0.024682686387470815
AMAC_E05,CH0_L,11,2,0.0012081753260371625,-0.025737958314401777
AMAC_E05,CH0_L,11,3,0.001263852751592016,-0.025779518623681247
AMAC_E05,CH0_L,12,0,0.0014882373597139024,-0.02621664185497421
AMAC_E05,CH0_L,12,1,0.0007245663429969553,-0.024113173496841646
AMAC_E05,CH0_L,12,2,0.0011820730003040303,-0.025324072033864598
AMAC_E05,CH0_L,12,3,0.0012363180327196325,-0.025260679512674723
AMAC_E05,CH0_L,13,0,0.0014555898967611644,-0.025774561699495484
