AMAC,Channel,BandgapControl,RampGain,m,b
AMAC_F09,CH0_L,0,0,0.0018178649026042253,-0.017204374149974735
AMAC_F09,CH0_L,0,1,0.0008291140348553847,-0.015581469795969815
AMAC_F09,CH0_L,0,2,0.0014139114827140277,-0.016028748345602396
AMAC_F09,CH0_L,0,3,0.0014872407082460607,-0.0163788991941503
AMAC_F09,CH0_L,1,0,0.001794303758604145,-0.01708077955783635
AMAC_F09,CH0_L,1,1,0.0008209640560988766,-0.015304724480456713
AMAC_F09,CH0_L,1,2,0.0013970466485987631,-0.016050669188773535
AMAC_F09,CH0_L,1,3,0.0014690803253105632,-0.01624419124060723
AMAC_F09,CH0_L,2,0,0.0017705728024212948,-0.016995513100359537
AMAC_F09,CH0_L,2,1,0.0008118915505355392,-0.014999738971242477
AMAC_F09,CH0_L,2,2,0.0013795135712630683,-0.01578532515538951
AMAC_F09,CH0_L,2,3,0.0014500857939172848,-0.015838562060573033
AMAC_F09,CH0_L,3,0,0.0017464286748651722,-0.01657839602224405
AMAC_F09,CH0_L,3,1,0.0008028835531652224,-0.014636404262914874
AMAC_F09,CH0_L,3,2,0.0013617216474679163,-0.0152986895533485
AMAC_F09,CH0_L,3,3,0.0014320710138222236,-0.015668604883841003
AMAC_F09,CH0_L,4,0,0.001722641095217893,-0.016223339115431345
AMAC_F09,CH0_L,4,1,0.0007925118540399672,-0.014095292113061673
AMAC_F09,CH0_L,4,2,0.001343854757601614,-0.015065227271028946
AMAC_F09,CH0_L,4,3,0.0014128151028236042,-0.01543458000942235
AMAC_F09,CH0_L,5,0,0.0016965606876476998,-0.015759615478228153
AMAC_F09,CH0_L,5,1,0.0007821472925352172,-0.013688025124197036
AMAC_F09,CH0_L,5,2,0.001325005603208052,-0.014480985105880875
AMAC_F09,CH0_L,5,3,0.001393725363955341,-0.014919001446735972
AMAC_F09,CH0_L,6,0,0.0016673258938310744,-0.015042380253370347
AMAC_F09,CH0_L,6,1,0.0007719410250831363,-0.01336339734114199
AMAC_F09,CH0_L,6,2,0.0013058984734948046,-0.013961849891949466
AMAC_F09,CH0_L,6,3,0.001372849108589287,-0.014307905706398704
AMAC_F09,CH0_L,7,0,0.0016353410375062564,-0.014527717749199944
AMAC_F09,CH0_L,7,1,0.0007608681939326726,-0.012856611570612575
AMAC_F09,CH0_L,7,2,0.0012848636376338982,-0.013753270957657993
AMAC_F09,CH0_L,7,3,0.0013487189347628247,-0.013742471275361412
AMAC_F09,CH0_L,8,0,0.001600722660869654,-0.01367904221063676
AMAC_F09,CH0_L,8,1,0.0007498912400953277,-0.01242505879176525
AMAC_F09,CH0_L,8,2,0.001259285607566114,-0.01282795838001891
AMAC_F09,CH0_L,8,3,0.0013219387768965342,-0.013142789716717207
AMAC_F09,CH0_L,9,0,0.0015666010561087987,-0.013141042654499956
AMAC_F09,CH0_L,9,1,0.000737661329733973,-0.011884106457441713
AMAC_F09,CH0_L,9,2,0.0012340928658453594,-0.01234099829292852
AMAC_F09,CH0_L,9,3,0.0012949789834655352,-0.012476141728655058
AMAC_F09,CH0_L,10,0,0.001533485162204482,-0.012532927799416083
AMAC_F09,CH0_L,10,1,0.0007237929342274513,-0.011178399647294598
AMAC_F09,CH0_L,10,2,0.0012074898587662573,-0.011580449231260026
AMAC_F09,CH0_L,10,3,0.0012676378274150846,-0.011849079074662774
AMAC_F09,CH0_L,11,0,0.0014999221865509556,-0.011891025941684855
AMAC_F09,CH0_L,11,1,0.0007107140867034943,-0.01080773575774266
AMAC_F09,CH0_L,11,2,0.0011822825144144316,-0.010897891819665073
AMAC_F09,CH0_L,11,3,0.0012401604704286398,-0.011128038843083532
AMAC_F09,CH0_L,12,0,0.0014671309573952818,-0.011180266873557368
AMAC_F09,CH0_L,12,1,0.0006971518264065131,-0.010267762618253105
AMAC_F09,CH0_L,12,2,0.0011572817461586687,-0.010346423904644556
AMAC_F09,CH0_L,12,3,0.0012142685101978825,-0.01041147954310145
AMAC_F09,CH0_L,13,0,0.0014354205493633952,-0.010441155896775014
AMAC_F09,CH0_L,13,1,0.0006843842255805212,-0.009637985902370793
AMAC_F09,CH0_L,13,2,0.0011333087073039602,-0.009712359842695185
AMAC_F09,CH0_L,13,3,0.0011886901425045826,-0.00984856324022183
AMAC_F09,CH0_L,14,0,0.0014040081402494269,-0.009963298536133803
AMAC_F09,CH0_L,14,1,0.0006709427486380527,-0.009051426520015865
AMAC_F09,CH0_L,14,2,0.0011092703984621735,-0.00926476558871947
AMAC_F09,CH0_L,14,3,0.0011632089680431845,-0.009352691530009772
AMAC_F09,CH0_L,15,0,0.0013700449525893552,-0.009116075250038057
AMAC_F09,CH0_L,15,1,0.0006578347214133553,-0.008315500249969623
AMAC_F09,CH0_L,15,2,0.001083600474512751,-0.008590682586742827
AMAC_F09,CH0_L,15,3,0.0011362134313734405,-0.008699814008238825
AMAC_F09,CH0_R,0,0,0.001900093850676705,-0.018053678129271014
AMAC_F09,CH0_R,0,1,0.0009375524755798774,-0.0167183717937198
AMAC_F09,CH0_R,0,2,0.001513329037964378,-0.017104076060562433
AMAC_F09,CH0_R,0,3,0.0015776900703928043,-0.017212180360063244
AMAC_F09,CH0_R,1,0,0.001876776822314954,-0.018043184293801008
AMAC_F09,CH0_R,1,1,0.0009286298497891578,-0.016600554565627156
AMAC_F09,CH0_R,1,2,0.0014961768289341103,-0.01708842915388211
AMAC_F09,CH0_R,1,3,0.0015595342010191,-0.017120150749025915
AMAC_F09,CH0_R,2,0,0.001853383370825404,-0.01798505004672126
AMAC_F09,CH0_R,2,1,0.0009200593290531702,-0.016419924128371757
AMAC_F09,CH0_R,2,2,0.0014784864079123315,-0.01682760333188229
AMAC_F09,CH0_R,2,3,0.0015413975906495411,-0.017032921421029502
AMAC_F09,CH0_R,3,0,0.0018296841617878648,-0.017626316341049407
AMAC_F09,CH0_R,3,1,0.0009106623723888534,-0.016091210136763706
AMAC_F09,CH0_R,3,2,0.0014615427972443703,-0.016733463878895852
AMAC_F09,CH0_R,3,3,0.001522951686294551,-0.016767080314187235
AMAC_F09,CH0_R,4,0,0.0018063086209777657,-0.017397401202440887
AMAC_F09,CH0_R,4,1,0.000900286850526062,-0.015516149221526715
AMAC_F09,CH0_R,4,2,0.0014432295617915413,-0.01610696996903571
AMAC_F09,CH0_R,4,3,0.0015045192247166521,-0.016454047172650775
AMAC_F09,CH0_R,5,0,0.00178151008107502,-0.01693458770420393
AMAC_F09,CH0_R,5,1,0.000890783159890502,-0.015280251502508639
AMAC_F09,CH0_R,5,2,0.0014250841563231973,-0.01567874583404998
AMAC_F09,CH0_R,5,3,0.001485324693821082,-0.016046676625463663
AMAC_F09,CH0_R,6,0,0.001753141924097959,-0.016536643166757223
AMAC_F09,CH0_R,6,1,0.0008800218172891705,-0.014756849625048276
AMAC_F09,CH0_R,6,2,0.0014067078705357536,-0.01559075655541604
AMAC_F09,CH0_R,6,3,0.0014657358590750502,-0.015783535756380918
AMAC_F09,CH0_R,7,0,0.0017212822929216895,-0.015974894060166233
AMAC_F09,CH0_R,7,1,0.000869290067505197,-0.014411359705267218
AMAC_F09,CH0_R,7,2,0.001385513552795602,-0.015225102307787796
AMAC_F09,CH0_R,7,3,0.0014426044655675367,-0.015423902453662652
AMAC_F09,CH0_R,8,0,0.0016892343278522499,-0.015580436682849145
AMAC_F09,CH0_R,8,1,0.0008588491382377835,-0.014114427193788567
AMAC_F09,CH0_R,8,2,0.0013614814494123694,-0.014677673546955507
AMAC_F09,CH0_R,8,3,0.001417490824380609,-0.015020140991915355
AMAC_F09,CH0_R,9,0,0.001655532493946237,-0.014844114760138406
AMAC_F09,CH0_R,9,1,0.0008467295401457174,-0.013662665642609807
AMAC_F09,CH0_R,9,2,0.0013362047225239878,-0.014191846131693312
AMAC_F09,CH0_R,9,3,0.0013902233323211202,-0.014276865662428053
AMAC_F09,CH0_R,10,0,0.001624627021055181,-0.014584057856063159
AMAC_F09,CH0_R,10,1,0.000833562945427419,-0.013122636601483245
AMAC_F09,CH0_R,10,2,0.0013115600224747497,-0.013729503119978318
AMAC_F09,CH0_R,10,3,0.001363706579094813,-0.013683528791856728
AMAC_F09,CH0_R,11,0,0.001591427141185405,-0.014082186636505515
AMAC_F09,CH0_R,11,1,0.0008203623487602029,-0.01275282886218344
AMAC_F09,CH0_R,11,2,0.001286489700947795,-0.013290924711578004
AMAC_F09,CH0_R,11,3,0.001337779280213884,-0.01325358985968226
AMAC_F09,CH0_R,12,0,0.001559287668062441,-0.013465781568607092
AMAC_F09,CH0_R,12,1,0.0008068702047353872,-0.012194027650375657
AMAC_F09,CH0_R,12,2,0.001261711253752662,-0.01260778984768387
AMAC_F09,CH0_R,12,3,0.0013127666413460812,-0.01309493519713536
AMAC_F09,CH0_R,13,0,0.0015280284604460822,-0.012819831106090798
AMAC_F09,CH0_R,13,1,0.0007946207146252367,-0.011845636083549833
AMAC_F09,CH0_R,13,2,0.0012386383018150914,-0.012178805657425063
AMAC_F09,CH0_R,13,3,0.001287402099783012,-0.012273993608476055
AMAC_F09,CH0_R,14,0,0.0014984218200479174,-0.012317159531621566
AMAC_F09,CH0_R,14,1,0.0007831663358676582,-0.011493318919604718
AMAC_F09,CH0_R,14,2,0.0012163356681374159,-0.011716566269543005
AMAC_F09,CH0_R,14,3,0.0012641475043342419,-0.01176783776298751
AMAC_F09,CH0_R,15,0,0.0014678048194726094,-0.011826824163580375
AMAC_F09,CH0_R,15,1,0.0007721179160073571,-0.011014788995516982
AMAC_F09,CH0_R,15,2,0.0011931804475927416,-0.01122447925023519
AMAC_F09,CH0_R,15,3,0.0012394670320987032,-0.011365532667134918
AMAC_F09,CH1_R,0,0,0.001902359729161229,-0.014119029496460869
AMAC_F09,CH1_R,0,1,0.0009391138123562599,-0.01316823126322672
AMAC_F09,CH1_R,0,2,0.0015152881494494223,-0.013388032955226415
AMAC_F09,CH1_R,0,3,0.0015798673612349365,-0.013337640213464263
AMAC_F09,CH1_R,1,0,0.0018799184106689322,-0.014164825818426822
AMAC_F09,CH1_R,1,1,0.000930438836716444,-0.012646333852466357
AMAC_F09,CH1_R,1,2,0.0014984472104401484,-0.013250499558133247
AMAC_F09,CH1_R,1,3,0.0015618320032424371,-0.013342975295640172
