AMAC,Channel,BandgapControl,RampGain,OpAmpGain,m,b,Voff,RI
AMACREF1,LEFT,0,0,0,2.7919534823205416e-08,5.739978633137848e-06,-7.171722445453809,49.807427623730824
AMACREF1,LEFT,0,0,1,3.726767184466404e-08,-5.102463689045928e-05,49.898442320296326,49.5928568537769
AMACREF1,LEFT,0,0,2,7.975313600846685e-07,-1.2047649857499471e-05,-50.55377157450372,74.74188263669458
AMACREF1,LEFT,0,0,3,5.919363807709845e-08,-3.021286467739632e-06,-0.10006383875611649,100.00009999985923
AMACREF1,LEFT,0,0,4,1.400284101385037e-06,-0.00010885247705737358,-0.1,50.0
AMACREF1,LEFT,0,0,5,1.171369524270199e-06,-9.077948675775988e-05,-0.1,50.0
AMACREF1,LEFT,0,0,6,1.526156925500004e-06,-0.00011879876628361039,-0.1,50.0
AMACREF1,LEFT,0,0,7,1.3232085947027163e-06,-0.00010275288423327636,-0.1,50.0
AMACREF1,LEFT,0,0,8,1.3391750353928338e-06,-0.00010398944896240588,-0.1,50.0
AMACREF1,LEFT,0,0,9,1.3545279366628397e-06,-0.00010518521178314364,-0.1,50.0
AMACREF1,LEFT,0,0,10,1.2901521081827864e-06,-0.0001001305946832146,-0.1,50.0
AMACREF1,LEFT,0,0,11,1.5098622923580346e-06,-0.00011747970977181632,-0.1,50.0
AMACREF1,LEFT,0,0,12,1.278924955670305e-06,-9.924405789481993e-05,-0.1,50.0
AMACREF1,LEFT,0,0,13,1.3804898966130457e-06,-0.00010718869550981038,-0.1,50.0
AMACREF1,LEFT,0,0,14,1.1587266618427136e-06,-8.967551508536559e-05,-0.1,50.0
AMACREF1,LEFT,0,0,15,1.282615379620691e-06,-9.944218607114772e-05,-0.1,50.0
AMACREF1,LEFT,0,1,0,1.4586499529237585e-08,5.533773311775276e-06,-7.170721274080232,49.13684650925923
AMACREF1,LEFT,0,1,1,3.9506299817497884e-08,-1.147237027644131e-05,7.110809093734936,42.72072969564952
AMACREF1,LEFT,0,1,2,4.434887340619138e-07,-7.33408232460815e-05,-0.1,50.0
AMACREF1,LEFT,0,1,3,4.785193277332503e-07,-7.908320744731164e-05,-0.1,50.0
AMACREF1,LEFT,0,1,4,1.413718247732058e-06,-0.00023245291447712054,-0.1,50.0
AMACREF1,LEFT,0,1,5,1.511528109654923e-06,-0.00024867905742302236,-0.1,50.0
AMACREF1,LEFT,0,1,6,1.5397009941514908e-06,-0.0002530666757697847,-0.1,50.0
AMACREF1,LEFT,0,1,7,1.5942684775355821e-06,-0.00026205378350844415,-0.1,50.0
AMACREF1,LEFT,0,1,8,1.389026104682298e-06,-0.00022766367687220682,-0.1,50.0
AMACREF1,LEFT,0,1,9,1.3631724966971463e-06,-0.00022322852462289036,-0.1,50.0
AMACREF1,LEFT,0,1,10,1.4354019795829047e-06,-0.0002351403164197537,-0.1,50.0
