AMAC,Channel,BandgapControl,RampGain,OpAmpGain,m,b,Voff,RI
AMAC_B06,LEFT,0,0,0,4.0481939913521144e-08,-3.65377990941648e-06,-0.1075775058114178,0.00013297146204641064
AMAC_B06,LEFT,0,0,1,9.350980143339006e-08,-8.178081756499384e-06,-0.13075986890292454,4360.719985127776
AMAC_B06,LEFT,0,0,2,9.38869694672023e-07,-8.707378914138152e-05,-0.12169789268283271,89.07355663715954
AMAC_B06,LEFT,0,0,3,1.0304282297685705e-06,-9.553808963150055e-05,-0.1253943224057284,55.96238671948459
AMAC_B06,LEFT,0,0,4,4.3737951310659565e-06,-0.00040499534346866666,-0.12559747832742496,61.93189403622832
AMAC_B06,LEFT,0,0,5,4.463243359836906e-06,-0.00041327881696146007,-0.12580459103756172,62.087352177530015
AMAC_B06,LEFT,0,0,6,5.257316209560753e-06,-0.0004869848026439944,-0.12576080018604163,63.128419444501304
AMAC_B06,LEFT,0,0,7,5.348191954653558e-06,-0.0004953698011886359,-0.12591563321081467,63.12277701469751
AMAC_B06,LEFT,0,0,8,9.663765384955151e-06,-0.0008965442809025475,-0.12699101909375954,62.07753127039536
AMAC_B06,LEFT,0,0,9,9.764877070865266e-06,-0.000905804669756399,-0.12653442678977486,61.50665720849211
AMAC_B06,LEFT,0,0,10,1.164315936349105e-05,-0.0010736884931171879,-0.4636956626561182,206.35191005153254
AMAC_B06,LEFT,0,0,11,1.1753692252747452e-05,-0.0010843232302401547,-0.45726916648163496,202.61681439011923
AMAC_B06,LEFT,0,0,12,1.5159430963292601e-05,-0.0014018746880335132,-0.3789568095526638,147.719534418893
AMAC_B06,LEFT,0,0,13,1.5325836748010998e-05,-0.0014170224021149353,-0.3928077017728039,148.9905024712655
AMAC_B06,LEFT,0,0,14,1.6206504792743884e-05,-0.0014996841403244721,-0.3795151012141618,140.56857202602222
AMAC_B06,LEFT,0,0,15,1.633669482215594e-05,-0.0015113684883239144,-0.38461817453379654,138.8530729196667
AMAC_B06,LEFT,0,1,0,1.7406794199420135e-08,1.2467107381561797e-05,-16.34160441435842,19618.823437532687
AMAC_B06,LEFT,0,1,1,5.2231800360072683e-08,-1.0823233032482264e-05,-0.11922244420166732,1257.9561680826625
AMAC_B06,LEFT,0,1,2,4.0660449778306455e-07,-8.519147572406296e-05,-0.12383342892044598,47.958181284558904
AMAC_B06,LEFT,0,1,3,3.9935171616378813e-07,-8.34093184554812e-05,-0.12541242759855506,1175.5812716062624
AMAC_B06,LEFT,0,1,4,1.8815721407277723e-06,-0.0003933615207693598,-0.11599171276864255,52.56993926498033
AMAC_B06,LEFT,0,1,5,1.9591658929913637e-06,-0.0004079870286562774,-0.20352842268913882,149.6178927825355
AMAC_B06,LEFT,0,1,6,2.2660877257328457e-06,-0.0004740612839283207,-0.1153691901222577,54.13996273422457
AMAC_B06,LEFT,0,1,7,2.3011401240735387e-06,-0.0004812331100355982,-0.11838853054279372,57.376062451125165
AMAC_B06,LEFT,0,1,8,4.141780738388001e-06,-0.0008659684854967028,-0.12566453313740367,62.422911158420185
AMAC_B06,LEFT,0,1,9,4.1839368802512645e-06,-0.0008748468401102447,-0.1264066908687067,62.7323586965341
AMAC_B06,LEFT,0,1,10,5.80446231524753e-06,-0.001206389528466766,-0.9809679955161823,441.00010560727793
AMAC_B06,LEFT,0,1,11,5.841331556341408e-06,-0.001214148022336172,-0.9784060796120801,441.1835317754471
AMAC_B06,LEFT,0,1,12,7.3068037251410385e-06,-0.001515249499651431,-0.8165655500364557,317.36311552352
AMAC_B06,LEFT,0,1,13,7.348569807709848e-06,-0.0015236075913117062,-0.8220939011359976,319.1623545796337
AMAC_B06,LEFT,0,1,14,7.634541093898368e-06,-0.0015831910165024982,-0.767919795794168,294.8822204853404
AMAC_B06,LEFT,0,1,15,7.62045580282811e-06,-0.0015799990306049035,-0.7530505032805377,282.6262547741907
