AMAC,Channel,BandgapControl,RampGain,OpAmpGain,m,b,Voff,RI
AMAC_C01,LEFT,0,0,0,4.247655568885371e-08,-3.3009806809885764e-06,-0.10948071812821797,100.00009910106172
AMAC_C01,LEFT,0,0,1,1.2523355592152642e-07,-9.996596836681397e-06,-0.131310516641544,1503.2052438397375
AMAC_C01,LEFT,0,0,2,9.750517061745211e-07,-7.865683569719702e-05,-0.1223387760319437,101.0586425555643
AMAC_C01,LEFT,0,0,3,1.0708094111771505e-06,-8.638147791403628e-05,-0.12362536972445101,61.097793459002595
AMAC_C01,LEFT,0,0,4,4.579908706888568e-06,-0.0003689742553982338,-0.12368081226593358,66.13248089887726
AMAC_C01,LEFT,0,0,5,4.666568425821599e-06,-0.00037604395252817515,-0.12430782486947894,66.87847391321779
AMAC_C01,LEFT,0,0,6,5.5126720898968805e-06,-0.00044452124157421795,-0.12392553580650183,66.42354548339887
AMAC_C01,LEFT,0,0,7,5.598136283970508e-06,-0.00045140206944204066,-0.12445817473025589,66.92301264192092
AMAC_C01,LEFT,0,0,8,1.0092706091244753e-05,-0.000814934167112126,-0.1262739816160761,66.00816272299662
AMAC_C01,LEFT,0,0,9,1.0233500785082378e-05,-0.0008265862178708306,-0.12594338329347468,64.73997074913972
AMAC_C01,LEFT,0,0,10,1.1073014532685904e-05,-0.0008941908933918765,-0.1271594510361604,65.56831834348957
AMAC_C01,LEFT,0,0,11,1.1151598622827183e-05,-0.0009006155281312619,-0.12648666235674913,65.97428658034063
AMAC_C01,LEFT,0,0,12,1.4680036355042258e-05,-0.0011858781489933869,-0.12862616934958312,66.86628589392306
AMAC_C01,LEFT,0,0,13,1.4786600600366587e-05,-0.0011945085454702351,-0.12918293529907834,66.84859567370256
AMAC_C01,LEFT,0,0,14,1.565573776159972e-05,-0.001265031016247628,-0.12879930642645235,66.35908228273723
AMAC_C01,LEFT,0,0,15,1.5830930380580963e-05,-0.0012793436525119746,-0.12769428029118354,63.92105931946672
AMAC_C01,LEFT,0,1,0,2.0234308374935885e-08,-2.9991972011289027e-06,-0.2353947047016495,9929.35787842696
AMAC_C01,LEFT,0,1,1,6.144252458472541e-08,-9.880256250845845e-06,-0.11751271378500894,711.7282148161147
AMAC_C01,LEFT,0,1,2,4.6955461225479717e-07,-7.648194468174932e-05,-0.11755303198173202,48.58474333965267
AMAC_C01,LEFT,0,1,3,4.530258978912081e-07,-7.355448453963535e-05,-0.12136804597887577,1391.9862249068904
AMAC_C01,LEFT,0,1,4,2.217431492081788e-06,-0.00035928372031073923,-0.1604715824319923,103.02860918207658
AMAC_C01,LEFT,0,1,5,2.257706022556785e-06,-0.00036597107734184016,-0.15600751338669558,101.654822498562
AMAC_C01,LEFT,0,1,6,2.662435277443215e-06,-0.0004317549028656443,-0.15066757805570277,92.07087417915545
AMAC_C01,LEFT,0,1,7,2.7009478097696086e-06,-0.00043774040154041,-0.15067994557383585,92.67392674379273
AMAC_C01,LEFT,0,1,8,4.818371498520733e-06,-0.000782213434599962,-0.12415258780416176,66.67167394420996
AMAC_C01,LEFT,0,1,9,4.8651613285109285e-06,-0.0007902241188166514,-0.12386899252515773,66.26823326136193
AMAC_C01,LEFT,0,1,10,5.262098840435533e-06,-0.0008544617952177674,-0.12447740757630982,67.09038971158627
AMAC_C01,LEFT,0,1,11,5.301420625756868e-06,-0.0008608115795000734,-0.12521771190685424,67.76128508538538
AMAC_C01,LEFT,0,1,12,6.987250639557467e-06,-0.0011348129821208341,-0.12682357953516185,68.26712269679764
AMAC_C01,LEFT,0,1,13,7.026783005171493e-06,-0.0011412491660050326,-0.12631474257242004,68.21406892359163
AMAC_C01,LEFT,0,1,14,7.422526420198299e-06,-0.0012050613139563977,-0.12651940644118054,68.23153542033627
AMAC_C01,LEFT,0,1,15,7.478674683466917e-06,-0.0012147287426460829,-0.12618170259255118,67.74365056984468
AMAC_C01,LEFT,0,2,0,3.315331380264606e-08,-3.13907751801406e-06,-0.10676919228636463,58.349343782438794
AMAC_C01,LEFT,0,2,1,9.753393962729391e-08,-9.688200448363158e-06,-0.09658489593972555,4.4256265319120303e-13
AMAC_C01,LEFT,0,2,2,7.738236941407891e-07,-7.770121989724604e-05,-0.12178411291089697,101.97727368983195
AMAC_C01,LEFT,0,2,3,8.485996164796866e-07,-8.527037969926486e-05,-0.12005309580549446,57.580705093773695
AMAC_C01,LEFT,0,2,4,3.6330088496929225e-06,-0.0003643505600204748,-0.12269020846810802,66.3615168905272
AMAC_C01,LEFT,0,2,5,3.7066778131785417e-06,-0.00037204685611009114,-0.12264853380035604,66.22173702999136
AMAC_C01,LEFT,0,2,6,4.3760609373361285e-06,-0.0004392978180510182,-0.1230948669935081,66.36176070005884
AMAC_C01,LEFT,0,2,7,4.450287014321256e-06,-0.0004466140199546218,-0.12384486935843021,66.79987096984657
AMAC_C01,LEFT,0,2,8,7.990419575590109e-06,-0.0008019277106853224,-0.12467695994673567,65.83584390553084
AMAC_C01,LEFT,0,2,9,8.032761471636705e-06,-0.0008057551834485079,-0.12553800104501894,67.21344725396364
AMAC_C01,LEFT,0,2,10,8.681354480702875e-06,-0.0008703469823035651,-0.12726426839090801,68.64339698445325
AMAC_C01,LEFT,0,2,11,8.776493101590486e-06,-0.000880451841440016,-0.1268107031811865,67.8838294010408
AMAC_C01,LEFT,0,2,12,1.1556297988403363e-05,-0.001158822783681286,-0.12911522618215907,68.9452580676419
AMAC_C01,LEFT,0,2,13,1.1536514876421493e-05,-0.0011552430001516923,-0.12883163630366035,70.26794059481841
AMAC_C01,LEFT,0,2,14,1.221512510135924e-05,-0.0012245744663859082,-0.12686605042373003,69.10848672204979
AMAC_C01,LEFT,0,2,15,1.2296892608707123e-05,-0.0012325373789308747,-0.1287415704269463,69.83720016430114
AMAC_C01,LEFT,0,3,0,3.377101186914913e-08,2.2351049876022644e-05,-25.46652887913817,27.73045062785424
AMAC_C01,LEFT,0,3,1,1.0839261936741983e-07,-1.0363415706515852e-05,-0.1110259615536101,63.222686760671905
AMAC_C01,LEFT,0,3,2,8.095810152487157e-07,-7.790831821317147e-05,-0.12125439263909868,100.82873720575948
AMAC_C01,LEFT,0,3,3,8.887316687894422e-07,-8.548153691935955e-05,-0.12315077975038827,61.594232872753686
AMAC_C01,LEFT,0,3,4,3.801598785261783e-06,-0.0003653055322112388,-0.12318281382593929,66.68631208631794
AMAC_C01,LEFT,0,3,5,3.877327956186403e-06,-0.0003726455179619435,-0.12315533563157463,66.55967961360896
AMAC_C01,LEFT,0,3,6,4.5715390203536725e-06,-0.00043935025804016874,-0.12356982127358854,67.04501943573057
AMAC_C01,LEFT,0,3,7,4.637605880718636e-06,-0.00044551963273435305,-0.12400999523754073,67.65583071495651
AMAC_C01,LEFT,0,3,8,8.279906094963572e-06,-0.0007945438772617065,-0.1255953929257126,68.58998247615895
AMAC_C01,LEFT,0,3,9,8.394005121386306e-06,-0.0008055188641357511,-0.12589929031683408,67.800762945392
AMAC_C01,LEFT,0,3,10,9.022224819433252e-06,-0.0008648700173017732,-0.12780180624883652,70.61233632895139
AMAC_C01,LEFT,0,3,11,9.0921050406287e-06,-0.0008717114336749412,-0.12670104152044778,69.96086964166601
AMAC_C01,LEFT,0,3,12,1.195575352252047e-05,-0.0011460714647655347,-0.12875455174667644,71.00239128833678
AMAC_C01,LEFT,0,3,13,1.2016738364358444e-05,-0.0011519501511202247,-0.1295423004872591,71.94645244405396
AMAC_C01,LEFT,0,3,14,1.2673813741463376e-05,-0.0012151977489338183,-0.12924185614533074,71.86003777260538
AMAC_C01,LEFT,0,3,15,1.2779378452952081e-05,-0.0012252967589638833,-0.12875163059693837,71.00966702818569
AMAC_C01,LEFT,1,0,0,4.148128641104971e-08,-3.200205124408266e-06,-0.10649386263204569,100.00109870056905
AMAC_C01,LEFT,1,0,1,1.2673476574324068e-07,-1.016123507567097e-05,-0.12279739138145088,841.5715276732935
AMAC_C01,LEFT,1,0,2,9.622803620292434e-07,-7.768200939030061e-05,-0.12083591898719054,102.83960331497408
AMAC_C01,LEFT,1,0,3,1.056310643471286e-06,-8.528406803914689e-05,-0.12267116822855866,62.781475507901234
AMAC_C01,LEFT,1,0,4,4.5154464126531245e-06,-0.0003639092322060144,-0.12211152757591585,66.54348760197372
AMAC_C01,LEFT,1,0,5,4.603741051404716e-06,-0.00037084148363176523,-0.12223076432712182,66.77020312244503
AMAC_C01,LEFT,1,0,6,5.422114297198891e-06,-0.0004369929500451624,-0.12314942800151282,67.78900274542974
AMAC_C01,LEFT,1,0,7,5.521822943508675e-06,-0.00044519105828698846,-0.12260425082452263,67.1618003219234
AMAC_C01,LEFT,1,0,8,9.9810222070902e-06,-0.0008059449840018641,-0.12438262963444217,65.18549879741134
AMAC_C01,LEFT,1,0,9,1.0095635021574488e-05,-0.0008152437188338644,-0.1244726624605456,64.75839347192728
AMAC_C01,LEFT,1,0,10,1.0924854688238236e-05,-0.0008820361695726894,-0.12538848678520795,65.68875890014932
AMAC_C01,LEFT,1,0,11,1.1016292719590277e-05,-0.0008897787145284203,-0.12470271464909508,65.43260750137148
AMAC_C01,LEFT,1,0,12,1.457238512152779e-05,-0.0011770659465103095,-0.12641679497039718,65.17212186533344
AMAC_C01,LEFT,1,0,13,1.462677819379287e-05,-0.0011813694375612627,-0.12691201688848325,65.8464822699761
AMAC_C01,LEFT,1,0,14,1.549296000083648e-05,-0.0012516791903822342,-0.12648165195562694,65.12737725392779
AMAC_C01,LEFT,1,0,15,1.557020599062912e-05,-0.0012573520085336935,-0.12755889701114678,65.92733111262682
AMAC_C01,LEFT,1,1,0,2.0820322903670385e-08,3.241928066442386e-06,-6.534582200657297,54.80208829371882
AMAC_C01,LEFT,1,1,1,5.854540905688325e-08,-9.333264821696478e-06,-0.12092956019682442,1288.940159321586
AMAC_C01,LEFT,1,1,2,4.055782403190829e-07,-6.569309543381512e-05,-0.12008727434160006,1518.6494281441412
AMAC_C01,LEFT,1,1,3,4.966512248009498e-07,-8.060912902319901e-05,-0.11774703198032598,262.46855725845296
AMAC_C01,LEFT,1,1,4,2.1865786232904506e-06,-0.0003537799080039019,-0.1542688125271613,101.93024613128298
AMAC_C01,LEFT,1,1,5,2.2300510569154363e-06,-0.00036070265875949104,-0.154145573011105,101.47884973307848
AMAC_C01,LEFT,1,1,6,2.6269769088269617e-06,-0.00042505325110815705,-0.1489501070314492,92.4676467395507
AMAC_C01,LEFT,1,1,7,2.669290947707548e-06,-0.000431878191760457,-0.1487823261325619,92.30564111393537
AMAC_C01,LEFT,1,1,8,4.748780220543015e-06,-0.000769303222535597,-0.12180211040957063,66.38250851833452
AMAC_C01,LEFT,1,1,9,4.797850917120208e-06,-0.0007771778467586439,-0.12228390372809443,66.39658568664991
AMAC_C01,LEFT,1,1,10,5.186033224807457e-06,-0.0008399649888739332,-0.1232530124080824,67.66894235724698
AMAC_C01,LEFT,1,1,11,5.235269222994614e-06,-0.000848028104912389,-0.12327583942788307,67.43997103798446
AMAC_C01,LEFT,1,1,12,6.874153399446289e-06,-0.0011130480041028719,-0.12505018950430985,68.68025160437382
AMAC_C01,LEFT,1,1,13,6.9109967750388985e-06,-0.0011187009372612123,-0.1252882691282916,69.287472818793
AMAC_C01,LEFT,1,1,14,7.323601181673196e-06,-0.0011861692532879684,-0.12475098882570113,67.96235496781092
AMAC_C01,LEFT,1,1,15,7.357268297687093e-06,-0.00119160721278288,-0.12418888692364449,68.1889700821947
AMAC_C01,LEFT,1,2,0,3.320901513499691e-08,-3.161890676239132e-06,-0.10842631570123301,100.00009929018786
AMAC_C01,LEFT,1,2,1,9.934007897040827e-08,-9.904992548169646e-06,-0.11591154652694684,707.3670122321201
AMAC_C01,LEFT,1,2,2,7.64558399099926e-07,-7.66902289968375e-05,-0.12019635176512605,103.41958763225949
AMAC_C01,LEFT,1,2,3,8.392134959682977e-07,-8.417251312916312e-05,-0.12134602095756186,61.566331503846335
AMAC_C01,LEFT,1,2,4,3.586626720496221e-06,-0.0003592633961591233,-0.12129139911578145,66.35168044596021
AMAC_C01,LEFT,1,2,5,3.652608183591346e-06,-0.00036593531712265703,-0.12121173251030093,66.67413331744629
AMAC_C01,LEFT,1,2,6,4.31037449585273e-06,-0.000431799573553076,-0.12173855037571388,67.01530296387084
AMAC_C01,LEFT,1,2,7,4.38792845098269e-06,-0.0004397144735583493,-0.12193889872714184,66.81197490252869
AMAC_C01,LEFT,1,2,8,7.806705917687494e-06,-0.0007808301957628771,-0.12417449616766162,68.54408322626047
