AMAC,Channel,BandgapControl,RampGain,OpAmpGain,m,b,Voff,RI
AMAC_K06,LEFT,0,0,0,3.9738389655280315e-08,-3.339045587503476e-06,-0.1064681256066717,57.339046211520404
AMAC_K06,LEFT,0,0,1,1.0847997567396469e-07,-9.230907233478537e-06,-0.11784172449685597,1839.4240744742751
AMAC_K06,LEFT,0,0,2,9.261725092801582e-07,-8.067109878858205e-05,-0.11583072305507298,88.66038639722254
AMAC_K06,LEFT,0,0,3,1.0171114440261278e-06,-8.867924944323298e-05,-0.1194048617906512,58.16634822780048
AMAC_K06,LEFT,0,0,4,4.368868764015267e-06,-0.00038008705608526077,-0.12039499112353853,64.99081525870886
AMAC_K06,LEFT,0,0,5,4.4611099469291035e-06,-0.00038803813757993025,-0.12040933808724288,64.88114010737108
AMAC_K06,LEFT,0,0,6,5.247044059914593e-06,-0.0004562899832289876,-0.1205017373617784,65.76672702501646
AMAC_K06,LEFT,0,0,7,5.314636000389741e-06,-0.00046182660572014796,-0.12049254820655685,66.27197325142076
AMAC_K06,LEFT,0,0,8,9.47914642754572e-06,-0.0008231833527187903,-0.12254689035257786,67.64986044506715
AMAC_K06,LEFT,0,0,9,9.551406924571015e-06,-0.0008293318277021694,-0.1227329033862506,67.88361565169382
AMAC_K06,LEFT,0,0,10,1.0357418824031941e-05,-0.0008994528304251708,-0.12317997496783091,67.95742251162368
AMAC_K06,LEFT,0,0,11,1.0455898414302131e-05,-0.000907935158211725,-0.12474712086570079,68.44077132135963
AMAC_K06,LEFT,0,0,12,1.3733662711746649e-05,-0.0011930647406247078,-0.12643255607038065,70.23009491272082
AMAC_K06,LEFT,0,0,13,1.3820872519329507e-05,-0.0012008375279660669,-0.12532218129097308,69.8413611753103
AMAC_K06,LEFT,0,0,14,1.4578802401045837e-05,-0.0012666101812607387,-0.12667127614828674,70.66791859865504
AMAC_K06,LEFT,0,0,15,1.4645598933299813e-05,-0.0012726358537329333,-0.1252577621574433,70.20966823900764
AMAC_K06,LEFT,0,1,0,1.7783620518421427e-08,4.1356540641697496e-05,-44.938223232750694,8447.552544603099
AMAC_K06,LEFT,0,1,1,5.2207253866390426e-08,-9.637801511709304e-06,-0.11762988377765678,1291.2664284154735
AMAC_K06,LEFT,0,1,2,3.8359180789898217e-08,-5.4979048443339534e-06,-0.3033316585152913,99616.36849157956
AMAC_K06,LEFT,0,1,4,1.989903418328349e-06,-0.0003719036184681264,-0.19399742359185726,153.53753733122875
AMAC_K06,LEFT,0,1,5,1.9921749570554356e-06,-0.0003737332417165833,-0.11614906352024572,63.56419241046781
AMAC_K06,LEFT,0,1,6,2.3914795228287874e-06,-0.00044744279982766427,-0.1854524708742385,127.71103901376145
AMAC_K06,LEFT,0,1,7,2.4276503053130673e-06,-0.00045431729625202165,-0.18511081663060236,128.1476602745942
AMAC_K06,LEFT,0,1,8,4.275415910703115e-06,-0.0008021566810437569,-0.1203075493572276,65.69263327843215
AMAC_K06,LEFT,0,1,9,4.313520194476569e-06,-0.0008091195817396248,-0.12092432680347213,65.86267179567875
AMAC_K06,LEFT,0,1,10,4.657256080139931e-06,-0.0008734489727750698,-0.12213740279360627,67.28460369787857
AMAC_K06,LEFT,0,1,11,4.724567679641651e-06,-0.0008866007362773676,-0.12219692154540077,66.0478702231977
AMAC_K06,LEFT,0,1,12,6.214493186208219e-06,-0.0011659952831035256,-0.12374389918039544,67.45841693483179
AMAC_K06,LEFT,0,1,13,6.266205593195356e-06,-0.0011758069065392696,-0.12389087614300368,67.04899516844205
AMAC_K06,LEFT,0,1,14,6.6057441886370026e-06,-0.0012394839696638308,-0.12392512748558787,67.28526819959076
AMAC_K06,LEFT,0,1,15,6.6491700847460295e-06,-0.001247797263472235,-0.1240645743795172,67.54587284287518
AMAC_K06,LEFT,0,2,0,2.9183232199872365e-08,-3.0057409878660327e-06,-0.1252800384606662,2106.205465310388
AMAC_K06,LEFT,0,2,1,8.901611881539668e-08,-9.73976045488526e-06,-0.11521384367379588,1227.8980233917105
AMAC_K06,LEFT,0,2,2,7.200198905877342e-07,-7.978094091953743e-05,-0.11667842185414629,91.75944417572336
AMAC_K06,LEFT,0,2,3,7.90163504807476e-07,-8.755345925446412e-05,-0.11944849039893685,59.752621060243555
AMAC_K06,LEFT,0,2,4,3.400412918485534e-06,-0.0003763046821320846,-0.11922482791880025,64.86433939374741
AMAC_K06,LEFT,0,2,5,3.460461389309489e-06,-0.00038295073832065576,-0.11981933791848948,65.70429839765428
AMAC_K06,LEFT,0,2,6,4.076060207172778e-06,-0.00045077699743053515,-0.1201107841924723,66.21700538175173
AMAC_K06,LEFT,0,2,7,4.1476825488438345e-06,-0.00045877864663420865,-0.12002117276289573,65.75637894231267
AMAC_K06,LEFT,0,2,8,7.45014857238169e-06,-0.000824815338119543,-0.12148314019435252,65.03188753185003
AMAC_K06,LEFT,0,2,9,7.512953140081793e-06,-0.0008318413940046749,-0.12055681231995148,64.79839422512897
AMAC_K06,LEFT,0,2,10,8.156448111033653e-06,-0.0009032230287993276,-0.12181286458067071,65.05204684278836
AMAC_K06,LEFT,0,2,11,8.210147742628015e-06,-0.0009090497881753067,-0.12284698233111375,65.98561229470427
AMAC_K06,LEFT,0,2,12,1.0858096432996007e-05,-0.0012027470751801769,-0.12368899730454298,65.50485271232992
AMAC_K06,LEFT,0,2,13,1.0887199338973206e-05,-0.0012056703088819303,-0.12491554820994466,67.1388535076285
AMAC_K06,LEFT,0,2,14,1.1536804153632246e-05,-0.00127804483953496,-0.12558728565589702,66.85331298890402
AMAC_K06,LEFT,0,2,15,1.1581916583759692e-05,-0.0012829795736384688,-0.12403368931528051,66.41772463997081
AMAC_K06,LEFT,0,3,0,3.282123072234247e-08,-3.359188669052984e-06,-0.10564880754310563,4.261686494793596e-08
AMAC_K06,LEFT,0,3,1,9.536077967691683e-08,-9.934715545372759e-06,-0.12492955218305984,1642.5589612861572
AMAC_K06,LEFT,0,3,2,7.597701509826079e-07,-8.021184560408135e-05,-0.11633303355779807,56.10178544744628
AMAC_K06,LEFT,0,3,3,8.310628205411968e-07,-8.77534383950882e-05,-0.11922662546054277,59.262468476174725
AMAC_K06,LEFT,0,3,4,3.571299442414993e-06,-0.0003762807891479808,-0.1198634381765312,65.64520956332882
AMAC_K06,LEFT,0,3,5,3.638182822850876e-06,-0.00038347099809585896,-0.1197097981477222,65.73646157455826
AMAC_K06,LEFT,0,3,6,4.295723854102611e-06,-0.00045306363055023976,-0.12027721171491543,65.79486044541223
AMAC_K06,LEFT,0,3,7,4.3604974792917316e-06,-0.0004596821136505224,-0.12043115642949123,66.18145550253428
AMAC_K06,LEFT,0,3,8,7.841077298084607e-06,-0.0008274482087566251,-0.12081789635470849,64.78032937062602
AMAC_K06,LEFT,0,3,9,7.902977011543644e-06,-0.0008333893180703715,-0.12204752186663224,65.47559203685336
AMAC_K06,LEFT,0,3,10,8.536348227233381e-06,-0.0009003501678279045,-0.1226256868021158,66.58921813672977
AMAC_K06,LEFT,0,3,11,8.597721400266039e-06,-0.0009067637731493935,-0.12221244463481047,66.6660426728278
AMAC_K06,LEFT,0,3,12,1.1303867072072197e-05,-0.0011915485115897525,-0.12435262245383098,68.2131414627004
AMAC_K06,LEFT,0,3,13,1.1421768415940002e-05,-0.0012042210942260444,-0.12485052897648238,67.60435428805778
AMAC_K06,LEFT,0,3,14,1.1996742367580334e-05,-0.0012650547782901771,-0.12419130425427188,68.6008266106169
AMAC_K06,LEFT,0,3,15,1.214197662960369e-05,-0.0012808292103892165,-0.12425031022622171,67.56893006237021
AMAC_K06,LEFT,1,0,0,3.8623825071810814e-08,-3.192532068327713e-06,-0.10375953871722747,5.794139775976132e-07
AMAC_K06,LEFT,1,0,1,1.1821154744913584e-07,-1.021755996366451e-05,-0.11965823470434793,1154.078692604985
AMAC_K06,LEFT,1,0,2,9.127538124692623e-07,-7.976028852480821e-05,-0.11544296668209761,92.15808416361126
AMAC_K06,LEFT,1,0,3,1.0019265412697107e-06,-8.756183363194876e-05,-0.11719618560930607,57.66991438729843
AMAC_K06,LEFT,1,0,4,4.310278433111297e-06,-0.0003759799892136654,-0.11858796392033491,64.95388030451318
AMAC_K06,LEFT,1,0,5,4.387519505928109e-06,-0.0003826138484855757,-0.11859928872215926,65.34035424002961
AMAC_K06,LEFT,1,0,6,5.165233253619089e-06,-0.00045057454572028935,-0.11861485597385849,65.91788568460424
AMAC_K06,LEFT,1,0,7,5.258491898185249e-06,-0.0004584645082755172,-0.11915217752100957,65.63626957306509
AMAC_K06,LEFT,1,0,8,9.370940487097435e-06,-0.0008158637394977936,-0.1206496027567683,66.27603166494013
AMAC_K06,LEFT,1,0,9,9.422510390917398e-06,-0.0008198576147021274,-0.12076471466087724,67.1170333698179
AMAC_K06,LEFT,1,0,10,1.0159376584890444e-05,-0.000883796333345849,-0.12293121239785554,69.41202260233574
