AMAC,Channel,BandgapControl,RampGain,OpAmpGain,m,b,Voff,RI
AMAC_L05,LEFT,0,0,0,4.368132125827239e-08,-3.3177102273499423e-06,-0.12728392359555743,1487.6398310312939
AMAC_L05,LEFT,0,0,1,1.2922034689580643e-07,-1.021097555941837e-05,-0.1148458122944163,1259.5155677701073
AMAC_L05,LEFT,0,0,2,1.0541040544304976e-06,-8.506434281392892e-05,-0.11834248536945075,50.890903543789946
AMAC_L05,LEFT,0,0,3,1.152872721145864e-06,-9.302164968893919e-05,-0.12253794436683217,56.793098831900934
AMAC_L05,LEFT,0,0,4,4.905086344051945e-06,-0.0003953830054994435,-0.12176352910886502,61.097063643993835
AMAC_L05,LEFT,0,0,5,5.0009517920669475e-06,-0.0004030799062735705,-0.12128135756901805,61.02009461605274
AMAC_L05,LEFT,0,0,6,5.908231811706252e-06,-0.0004766201640539862,-0.12149096393436605,61.36452369917158
AMAC_L05,LEFT,0,0,7,5.994010373892704e-06,-0.00048348800617167105,-0.12145941819674078,61.76671313090467
AMAC_L05,LEFT,0,0,8,1.0932180695342064e-05,-0.000883005454457681,-0.12353435869175787,60.28461277412998
AMAC_L05,LEFT,0,0,9,1.1059672459864204e-05,-0.0008933258923175483,-0.12308765356059596,59.655196904657565
AMAC_L05,LEFT,0,0,10,1.192945699340763e-05,-0.000963721458564389,-0.12374486421902103,61.05276963363329
AMAC_L05,LEFT,0,0,11,1.2021474447466619e-05,-0.0009711800364668547,-0.12495313053612127,61.79067738189941
AMAC_L05,LEFT,0,0,12,1.586319676783541e-05,-0.0012818459369787869,-0.1258086443010975,61.204749154116705
AMAC_L05,LEFT,0,0,13,1.5989303094242642e-05,-0.0012922891504986605,-0.12505608252396558,60.491143145753036
AMAC_L05,LEFT,0,0,14,1.690840509102353e-05,-0.0013664664431198878,-0.1254664991649512,60.38266628602049
AMAC_L05,LEFT,0,0,15,1.699618508915788e-05,-0.001373572318667025,-0.12593323596926892,60.50591525101793
AMAC_L05,LEFT,0,1,0,2.1964597056303927e-08,-1.0485389348500255e-05,6.97056543082166,49.07521595636054
AMAC_L05,LEFT,0,1,1,6.13747946589565e-08,-9.97036094273961e-06,-0.12237922673920748,1756.167916282391
AMAC_L05,LEFT,0,1,2,4.859190837269043e-07,-8.080678865327304e-05,-0.11775498394513367,250.534098617152
