Param val stddev
VCC_H_1.500000_current_1V5_Reset 0.0449981 0.000133954
VCC_H_1.500000_VDD_Reset 1.42859 1.9984e-15
VCC_H_1.500000_current_1V5_Run 0.0378815 0.00480205
VCC_H_1.500000_VDD_Run 1.4358 0.00393281
VCC_H_1.500000_VDD_2_R 685.7 0.458258
VCC_H_1.500000_VDD_2_L 2.07611e+08 6.2283e+08
VCC_H_1.500000_DVDD_2 3706.8 9621
VCC_H_1.500000_BG 444.1 0.3
VCC_H_1.500000_Temp 374 0.447214
VCC_H_1.500000_VDD_H_4 3433.5 9710.72
VCC_H_1.500000_OTA_R 2.07611e+08 6.2283e+08
VCC_H_1.500000_OTA_L 598.7 0.458258
VCC_H_2.000000_current_1V5_Reset 0.0449632 0.000644937
VCC_H_2.000000_VDD_Reset 1.42859 1.9984e-15
VCC_H_2.000000_current_1V5_Run 0.0369089 0.0043501
VCC_H_2.000000_VDD_Run 1.43228 0.0305538
VCC_H_2.000000_VDD_2_R 685.8 0.6
VCC_H_2.000000_VDD_2_L 415.6 0.489898
VCC_H_2.000000_DVDD_2 435 0
VCC_H_2.000000_BG 444.1 0.3
VCC_H_2.000000_Temp 373.9 0.3
VCC_H_2.000000_VDD_H_4 288.2 0.6
VCC_H_2.000000_OTA_R 604.9 0.3
VCC_H_2.000000_OTA_L 598.5 0.5
VCC_H_2.500000_current_1V5_Reset 0.0452518 7.61015e-05
VCC_H_2.500000_VDD_Reset 1.42859 1.9984e-15
VCC_H_2.500000_current_1V5_Run 0.0373889 0.00456551
VCC_H_2.500000_VDD_Run 1.43609 0.00363015
VCC_H_2.500000_VDD_2_R 685.8 0.4
VCC_H_2.500000_VDD_2_L 415.1 0.3
VCC_H_2.500000_DVDD_2 434.9 0.3
VCC_H_2.500000_BG 443.8 0.4
VCC_H_2.500000_Temp 372.8 0.4
VCC_H_2.500000_VDD_H_4 355.9 0.538516
VCC_H_2.500000_OTA_R 604.8 0.4
VCC_H_2.500000_OTA_L 598 0
VCC_H_3.000000_current_1V5_Reset 0.0457742 0.00125659
VCC_H_3.000000_VDD_Reset 1.42859 1.9984e-15
VCC_H_3.000000_current_1V5_Run 0.0373491 0.00433979
VCC_H_3.000000_VDD_Run 1.43538 0.00393033
VCC_H_3.000000_VDD_2_R 686.3 0.640312
VCC_H_3.000000_VDD_2_L 415.3 0.640312
VCC_H_3.000000_DVDD_2 435.2 0.4
VCC_H_3.000000_BG 444.1 0.3
VCC_H_3.000000_Temp 371.3 0.458258
VCC_H_3.000000_VDD_H_4 422.5 0.5
VCC_H_3.000000_OTA_R 604.8 0.6
VCC_H_3.000000_OTA_L 598.4 0.489898
