InputCurrent BandgapControl RampGain OpAmpGain ResistorIdx ADCvalue
0 0 0 0 3 51
9.21569e-09 0 0 0 3 41
1.93529e-08 0 0 0 3 61
2.94902e-08 0 0 0 3 67
3.96275e-08 0 0 0 3 71
4.97647e-08 0 0 0 3 60
5.9902e-08 0 0 0 3 68
6.91176e-08 0 0 0 3 63
7.92549e-08 0 0 0 3 58
8.93922e-08 0 0 0 3 65
9.95294e-08 0 0 0 3 42
1.09667e-07 0 0 0 3 76
1.19804e-07 0 0 0 3 53
1.29941e-07 0 0 0 3 55
1.39157e-07 0 0 0 3 79
1.49294e-07 0 0 0 3 50
1.59431e-07 0 0 0 3 70
1.69569e-07 0 0 0 3 79
1.79706e-07 0 0 0 3 64
1.89588e-07 0 0 0 3 49
1.99912e-07 0 0 0 3 77
2.09441e-07 0 0 0 3 73
2.19765e-07 0 0 0 3 90
2.29294e-07 0 0 0 3 68
2.39618e-07 0 0 0 3 79
2.49941e-07 0 0 0 3 64
2.59471e-07 0 0 0 3 73
2.69794e-07 0 0 0 3 76
2.79324e-07 0 0 0 3 79
2.89647e-07 0 0 0 3 82
2.99971e-07 0 0 0 3 77
3.095e-07 0 0 0 3 67
3.19824e-07 0 0 0 3 84
3.29353e-07 0 0 0 3 77
3.39676e-07 0 0 0 3 80
3.5e-07 0 0 0 3 89
3.59529e-07 0 0 0 3 67
3.69853e-07 0 0 0 3 90
3.79382e-07 0 0 0 3 70
3.89706e-07 0 0 0 3 82
3.99235e-07 0 0 0 3 69
4.09559e-07 0 0 0 3 83
4.19882e-07 0 0 0 3 74
4.29412e-07 0 0 0 3 65
4.39735e-07 0 0 0 3 67
4.49265e-07 0 0 0 3 50
4.59588e-07 0 0 0 3 69
4.69912e-07 0 0 0 3 70
4.79441e-07 0 0 0 3 64
4.89765e-07 0 0 0 3 93
4.99294e-07 0 0 0 3 82
5.09618e-07 0 0 0 3 74
5.19941e-07 0 0 0 3 82
5.29471e-07 0 0 0 3 65
5.39794e-07 0 0 0 3 71
5.49324e-07 0 0 0 3 95
5.59647e-07 0 0 0 3 64
5.69971e-07 0 0 0 3 84
5.795e-07 0 0 0 3 89
5.89824e-07 0 0 0 3 87
5.99353e-07 0 0 0 3 84
6.09676e-07 0 0 0 3 82
6.2e-07 0 0 0 3 64
6.29529e-07 0 0 0 3 68
6.39853e-07 0 0 0 3 95
6.49382e-07 0 0 0 3 71
6.59706e-07 0 0 0 3 84
6.69235e-07 0 0 0 3 88
6.79593e-07 0 0 0 3 78
6.8998e-07 0 0 0 3 96
6.99569e-07 0 0 0 3 76
7.09956e-07 0 0 0 3 94
7.19544e-07 0 0 0 3 64
7.29931e-07 0 0 0 3 70
7.3952e-07 0 0 0 3 91
7.49907e-07 0 0 0 3 74
7.59495e-07 0 0 0 3 92
7.69882e-07 0 0 0 3 69
7.79471e-07 0 0 0 3 94
7.89858e-07 0 0 0 3 74
7.99446e-07 0 0 0 3 83
8.09833e-07 0 0 0 3 67
8.19422e-07 0 0 0 3 85
8.29809e-07 0 0 0 3 88
8.39397e-07 0 0 0 3 86
