InputVoltage BandgapControl RampGain ADCvalue
0 0 0 15
0.0102026 0 0 20
0.0201138 0 0 26
0.0300249 0 0 31
0.0402275 0 0 37
0.0501387 0 0 42
0.0600498 0 0 48
0.0702524 0 0 53
0.0801636 0 0 59
0.0900747 0 0 64
0.100277 0 0 70
0.110188 0 0 76
0.1201 0 0 81
0.130011 0 0 87
0.140213 0 0 92
0.150125 0 0 97
0.160036 0 0 103
0.170238 0 0 109
0.180149 0 0 114
0.190061 0 0 120
0.200263 0 0 126
0.210174 0 0 131
0.220085 0 0 136
0.230288 0 0 142
0.240199 0 0 148
0.25011 0 0 154
0.260021 0 0 158
0.270224 0 0 165
0.280135 0 0 170
0.290046 0 0 176
0.300249 0 0 181
0.31016 0 0 187
0.320071 0 0 192
0.330274 0 0 198
0.340185 0 0 203
0.350096 0 0 209
0.360007 0 0 214
0.37021 0 0 220
0.380121 0 0 225
0.390032 0 0 231
0.400235 0 0 236
0.410146 0 0 241
0.420057 0 0 247
0.43026 0 0 253
0.440171 0 0 257
0.450082 0 0 263
0.460285 0 0 269
0.470196 0 0 275
0.480107 0 0 280
0.490018 0 0 286
0.500221 0 0 291
0.510132 0 0 297
0.520043 0 0 302
0.530246 0 0 308
0.540157 0 0 314
0.550068 0 0 319
0.560271 0 0 325
0.570182 0 0 330
0.580093 0 0 336
0.590004 0 0 342
0.600207 0 0 347
0.610118 0 0 353
0.620029 0 0 358
0.630231 0 0 364
0.640143 0 0 369
0.650054 0 0 375
0.660256 0 0 381
0.670167 0 0 386
0.680079 0 0 391
0.690281 0 0 397
0.700192 0 0 404
0.710104 0 0 408
0.720015 0 0 414
0.730217 0 0 420
0.740128 0 0 425
0.75004 0 0 431
0.760242 0 0 436
0.770153 0 0 442
0.780064 0 0 448
0.790267 0 0 453
0.800178 0 0 459
0.810089 0 0 464
0.82 0 0 470
0.830203 0 0 476
0.840114 0 0 482
0.850025 0 0 487
0.860228 0 0 493
0.870139 0 0 499
0.88005 0 0 504
0.890253 0 0 510
0.900164 0 0 515
0.910075 0 0 521
0.920278 0 0 526
0.930189 0 0 532
0.9401 0 0 537
0.950011 0 0 543
0.960214 0 0 548
0.970125 0 0 554
0.980036 0 0 560
0.990239 0 0 566
1.00015 0 0 571
1.01006 0 0 576
1.02026 0 0 582
1.03017 0 0 588
1.04009 0 0 593
1.05029 0 0 599
1.0602 0 0 605
1.07011 0 0 610
1.08002 0 0 616
1.09022 0 0 621
1.10014 0 0 627
1.11005 0 0 633
1.12025 0 0 638
1.13016 0 0 644
1.14007 0 0 650
1.15027 0 0 656
1.16019 0 0 661
1.1701 0 0 667
1.18001 0 0 672
1.19021 0 0 678
0 0 1 31
0.0102026 0 1 42
0.0201138 0 1 53
0.0300249 0 1 65
0.0402275 0 1 77
0.0501387 0 1 89
0.0600498 0 1 101
0.0702524 0 1 113
0.0801636 0 1 125
0.0900747 0 1 136
0.100277 0 1 149
0.110188 0 1 161
0.1201 0 1 173
0.130011 0 1 185
0.140213 0 1 198
0.150125 0 1 210
0.160036 0 1 222
0.170238 0 1 235
0.180149 0 1 245
0.190061 0 1 259
0.200263 0 1 271
0.210174 0 1 283
0.220085 0 1 294
0.230288 0 1 308
0.240199 0 1 320
0.25011 0 1 332
0.260021 0 1 344
0.270224 0 1 356
0.280135 0 1 369
0.290046 0 1 381
0.300249 0 1 393
0.31016 0 1 404
0.320071 0 1 417
0.330274 0 1 428
0.340185 0 1 441
0.350096 0 1 452
0.360007 0 1 464
0.37021 0 1 477
0.380121 0 1 489
0.390032 0 1 500
0.400235 0 1 512
0.410146 0 1 525
0.420057 0 1 537
0.43026 0 1 550
0.440171 0 1 561
0.450082 0 1 573
0.460285 0 1 586
0.470196 0 1 598
0.480107 0 1 610
0.490018 0 1 622
0.500221 0 1 634
0.510132 0 1 646
0.520043 0 1 659
0.530246 0 1 671
0.540157 0 1 683
0.550068 0 1 695
0.560271 0 1 708
0.570182 0 1 720
0.580093 0 1 732
0.590004 0 1 744
0.600207 0 1 756
0.610118 0 1 769
0.620029 0 1 780
0.630231 0 1 792
0.640143 0 1 805
0.650054 0 1 818
0.660256 0 1 831
0.670167 0 1 842
0.680079 0 1 855
0.690281 0 1 868
0.700192 0 1 879
0.710104 0 1 892
0.720015 0 1 904
0.730217 0 1 916
0.740128 0 1 928
0.75004 0 1 941
0.760242 0 1 952
0.770153 0 1 965
0.780064 0 1 977
0.790267 0 1 990
0.800178 0 1 1001
0.810089 0 1 1014
0.82 0 1 1014
0.830203 0 1 1014
0.840114 0 1 1014
0.850025 0 1 1014
0.860228 0 1 1014
0.870139 0 1 1014
0.88005 0 1 1014
0.890253 0 1 1014
0.900164 0 1 1014
0.910075 0 1 1014
0.920278 0 1 1014
0.930189 0 1 1014
0.9401 0 1 1014
0.950011 0 1 1014
0.960214 0 1 1014
0.970125 0 1 1014
0.980036 0 1 1014
0.990239 0 1 1014
1.00015 0 1 1014
1.01006 0 1 1014
1.02026 0 1 1014
1.03017 0 1 1014
1.04009 0 1 1014
1.05029 0 1 1014
1.0602 0 1 1014
1.07011 0 1 1014
1.08002 0 1 1014
1.09022 0 1 1014
1.10014 0 1 1014
1.11005 0 1 1014
1.12025 0 1 1014
1.13016 0 1 1014
1.14007 0 1 1014
1.15027 0 1 1014
1.16019 0 1 1014
1.1701 0 1 1014
1.18001 0 1 1014
1.19021 0 1 1014
0 0 2 19
0.0102026 0 2 26
0.0201138 0 2 33
0.0300249 0 2 40
0.0402275 0 2 47
0.0501387 0 2 54
0.0600498 0 2 61
0.0702524 0 2 68
0.0801636 0 2 75
0.0900747 0 2 82
0.100277 0 2 90
0.110188 0 2 96
0.1201 0 2 104
0.130011 0 2 110
0.140213 0 2 118
0.150125 0 2 125
0.160036 0 2 132
0.170238 0 2 140
0.180149 0 2 147
0.190061 0 2 154
0.200263 0 2 161
0.210174 0 2 168
0.220085 0 2 175
0.230288 0 2 183
0.240199 0 2 190
0.25011 0 2 197
0.260021 0 2 205
0.270224 0 2 212
0.280135 0 2 218
0.290046 0 2 226
0.300249 0 2 233
0.31016 0 2 240
0.320071 0 2 247
0.330274 0 2 254
0.340185 0 2 261
0.350096 0 2 269
0.360007 0 2 276
0.37021 0 2 282
0.380121 0 2 289
0.390032 0 2 297
0.400235 0 2 304
0.410146 0 2 311
0.420057 0 2 317
0.43026 0 2 325
