InputVoltage BandgapControl RampGain ADCvalue
0 0 0 21
0.0102026 0 0 25
0.0201138 0 0 31
0.0300249 0 0 36
0.0402275 0 0 41
0.0501387 0 0 32
0.0600498 0 0 53
0.0702524 0 0 58
0.0801636 0 0 64
0.0900747 0 0 70
0.100277 0 0 75
0.110188 0 0 81
0.1201 0 0 86
0.130011 0 0 92
0.140213 0 0 98
0.150125 0 0 104
0.160036 0 0 109
0.170238 0 0 115
0.180149 0 0 121
0.190061 0 0 126
0.200263 0 0 132
0.210174 0 0 138
0.220085 0 0 143
0.230288 0 0 149
0.240199 0 0 154
0.25011 0 0 175
0.260021 0 0 165
0.270224 0 0 171
0.280135 0 0 176
0.290046 0 0 181
0.300249 0 0 188
0.31016 0 0 193
0.320071 0 0 198
0.330274 0 0 204
0.340185 0 0 209
0.350096 0 0 214
0.360007 0 0 220
0.37021 0 0 225
0.380121 0 0 230
0.390032 0 0 236
0.400235 0 0 241
0.410146 0 0 247
0.420057 0 0 252
0.43026 0 0 258
0.440171 0 0 263
0.450082 0 0 269
0.460285 0 0 274
0.470196 0 0 280
0.480107 0 0 285
0.490018 0 0 291
0.500221 0 0 296
0.510132 0 0 302
0.520043 0 0 307
0.530246 0 0 314
0.540157 0 0 319
0.550068 0 0 324
0.560271 0 0 330
0.570182 0 0 336
0.580093 0 0 341
0.590004 0 0 346
0.600207 0 0 352
0.610118 0 0 358
0.620029 0 0 364
0.630231 0 0 370
0.640143 0 0 375
0.650054 0 0 381
0.660256 0 0 387
0.670167 0 0 392
0.680079 0 0 398
0.690281 0 0 403
0.700192 0 0 409
0.710104 0 0 415
0.720015 0 0 420
0.730217 0 0 426
0.740128 0 0 431
0.75004 0 0 437
0.760242 0 0 443
0.770153 0 0 449
0.780064 0 0 454
0.790267 0 0 460
0.800178 0 0 465
0.810089 0 0 471
0.82 0 0 477
0.830203 0 0 482
0.840114 0 0 489
0.850025 0 0 493
0.860228 0 0 500
0.870139 0 0 504
0.88005 0 0 511
0.890253 0 0 517
0.900164 0 0 522
0.910075 0 0 527
0.920278 0 0 533
0.930189 0 0 539
0.9401 0 0 544
0.950011 0 0 550
0.960214 0 0 556
0.970125 0 0 561
0.980036 0 0 567
0.990239 0 0 573
1.00015 0 0 578
