InputVoltage BandgapControl RampGain ADCvalue
0 0 0 23
0.0104102 0 0 28
0.0200195 0 0 33
0.0304297 0 0 39
0.0400391 0 0 44
0.0504492 0 0 50
0.0600586 0 0 54
0.0704687 0 0 60
0.0800781 0 0 66
0.0904883 0 0 72
0.100098 0 0 77
0.110508 0 0 83
0.120117 0 0 84
0.130527 0 0 94
0.140137 0 0 99
0.150547 0 0 104
0.160156 0 0 110
0.170566 0 0 112
0.180176 0 0 121
0.190586 0 0 127
0.200195 0 0 132
0.210605 0 0 138
0.220215 0 0 144
0.230625 0 0 149
0.240234 0 0 155
0.250645 0 0 160
0.260254 0 0 165
0.270664 0 0 171
0.280273 0 0 177
0.290684 0 0 183
0.300293 0 0 188
0.310703 0 0 194
0.320312 0 0 199
0.330723 0 0 204
0.340332 0 0 209
0.350742 0 0 215
0.360352 0 0 220
0.370762 0 0 225
0.380371 0 0 231
0.390781 0 0 236
0.400391 0 0 241
0.410801 0 0 247
0.42041 0 0 252
0.43002 0 0 257
0.44043 0 0 263
0.450039 0 0 264
0.460449 0 0 274
0.470059 0 0 276
0.480469 0 0 285
0.490078 0 0 290
0.500488 0 0 296
0.510098 0 0 301
0.520508 0 0 307
0.530117 0 0 312
0.540527 0 0 318
0.550137 0 0 323
0.560547 0 0 329
0.570156 0 0 334
0.580566 0 0 340
0.590176 0 0 345
0.600586 0 0 351
0.610195 0 0 357
0.620605 0 0 363
0.630215 0 0 368
0.640625 0 0 373
0.650234 0 0 379
0.660645 0 0 385
0.670254 0 0 390
0.680664 0 0 396
0.690273 0 0 402
0.700684 0 0 407
0.710293 0 0 412
0.720703 0 0 418
0.730312 0 0 427
0.740723 0 0 429
0.750332 0 0 435
0.760742 0 0 441
0.770352 0 0 446
0.780762 0 0 448
0.790371 0 0 457
0.800781 0 0 462
0.810391 0 0 468
0.820801 0 0 474
0.83041 0 0 479
0.84002 0 0 485
0.85043 0 0 491
0.860039 0 0 496
0.870449 0 0 502
0.880059 0 0 511
0.890469 0 0 513
0.900078 0 0 518
0.910488 0 0 520
0.920098 0 0 529
0.930508 0 0 535
0.940117 0 0 541
0.950527 0 0 546
0.960137 0 0 552
