InputVoltage BandgapControl RampGain ADCvalue
0 0 0 21
0.0104102 0 0 27
0.0200195 0 0 32
0.0304297 0 0 37
0.0400391 0 0 42
0.0504492 0 0 48
0.0600586 0 0 54
0.0704687 0 0 56
0.0800781 0 0 65
0.0904883 0 0 70
0.100098 0 0 76
0.110508 0 0 82
0.120117 0 0 87
0.130527 0 0 94
0.140137 0 0 98
0.150547 0 0 104
0.160156 0 0 110
0.170566 0 0 115
0.180176 0 0 121
0.190586 0 0 127
0.200195 0 0 128
0.210605 0 0 138
0.220215 0 0 140
0.230625 0 0 149
0.240234 0 0 154
0.250645 0 0 160
0.260254 0 0 166
0.270664 0 0 175
0.280273 0 0 177
0.290684 0 0 183
0.300293 0 0 191
0.310703 0 0 194
0.320312 0 0 199
0.330723 0 0 204
0.340332 0 0 210
0.350742 0 0 216
0.360352 0 0 221
0.370762 0 0 227
0.380371 0 0 232
0.390781 0 0 237
0.400391 0 0 243
0.410801 0 0 249
0.42041 0 0 254
0.43002 0 0 259
0.44043 0 0 265
0.450039 0 0 271
0.460449 0 0 276
0.470059 0 0 281
0.480469 0 0 287
0.490078 0 0 293
0.500488 0 0 299
0.510098 0 0 304
0.520508 0 0 310
0.530117 0 0 319
0.540527 0 0 321
0.550137 0 0 327
0.560547 0 0 333
0.570156 0 0 338
0.580566 0 0 347
0.590176 0 0 349
0.600586 0 0 355
0.610195 0 0 361
0.620605 0 0 366
0.630215 0 0 372
0.640625 0 0 378
0.650234 0 0 383
0.660645 0 0 389
0.670254 0 0 394
0.680664 0 0 400
0.690273 0 0 406
0.700684 0 0 408
0.710293 0 0 417
0.720703 0 0 423
0.730312 0 0 429
0.740723 0 0 434
0.750332 0 0 436
0.760742 0 0 445
0.770352 0 0 451
0.780762 0 0 457
0.790371 0 0 463
0.800781 0 0 468
0.810391 0 0 473
0.820801 0 0 483
0.83041 0 0 485
0.84002 0 0 491
0.85043 0 0 497
0.860039 0 0 502
0.870449 0 0 508
0.880059 0 0 513
0.890469 0 0 519
0.900078 0 0 524
0.910488 0 0 530
