timestr I2C_SuccessRate
2218176 1
9429771 1
16632695 1
23843059 1
31066728 1
38270748 1
45480329 1
52687003 1
59905641 1
67114601 1
74336023 1
81551723 1
88772598 1
95997357 1
103204662 1
110418772 1
117639050 1
124862334 1
132078589 1
139303020 1
146518995 1
153728991 1
160947371 1
168160206 1
175362600 1
182588749 1
189801753 1
197030359 1
204259530 1
211467951 1
218699421 1
225921357 1
233126677 1
240344385 1
247566076 1
254786073 1
262013205 1
269233140 1
276459840 1
283676358 1
290896761 1
298119291 1
305343397 1
312558513 1
319783632 1
326979508 1
334199205 1
341417612 1
348629510 1
355846446 1
363060205 1
370273989 1
377492838 1
384713294 1
391944088 1
399161532 1
406367357 1
413583289 1
420792142 1
428023002 1
435230924 1
442443592 1
449659298 1
456874906 1
464082596 1
471298691 1
478509748 1
485729661 1
492939293 1
500150692 1
507380393 1
514587206 1
521803226 1
529020838 1
536239685 1
543452836 1
550673673 1
557883637 1
565100220 1
572315295 1
579532989 1
586750076 1
593970837 1
601192507 1
608410386 1
615618521 1
622843058 1
630054398 1
637260405 1
644487446 1
651712157 1
658910684 1
666118839 1
673338688 1
680559381 1
687785858 1
695000074 1
702219985 1
709437056 1
716643157 1
723864144 1
731087644 1
738313598 1
745547233 1
752751363 1
759977959 1
767190890 1
774406936 1
781631696 1
788851846 1
796060663 1
803272598 1
810486532 1
817697778 1
824917509 1
832134586 1
839364903 1
846586511 1
853800998 1
861024771 1
868242076 1
875478988 1
882703771 1
889922601 1
897142446 1
904352359 1
911574923 1
918785915 1
925993838 1
933218774 1
940438314 1
947661999 1
954889904 1
962104748 1
969310739 1
976544514 1
983767100 1
990984988 1
998201664 1
1005431142 1
1012643740 1
1019861244 1
1027059145 1
1034288076 1
1041499684 1
1048717294 1
1055930661 1
1063155205 1
1070379749 1
1077591990 1
1084802076 1
1092017394 1
1099238838 1
1106450228 1
1113667510 1
1120884404 1
1128105988 1
1135322904 1
1142542927 1
1149772903 1
1156994000 1
1164210959 1
1171432626 1
1178655611 1
1185882363 1
1193103513 1
1200328207 1
1207553689 1
1214767352 1
1221985899 1
1229208446 1
1236418749 1
1243643687 1
1250866228 1
1258075129 1
1265290928 1
1272508680 1
1279715507 1
1286940513 1
1294158357 1
1301378922 1
1308601206 1
1315819362 1
1323044589 1
1330265424 1
1337483531 1
1344709581 1
1351935206 1
1359163523 1
1366379261 1
1373601774 1
1380820053 1
1388032447 1
1395250355 1
1402479378 1
1409701749 1
1416923714 1
1424148226 1
1431353142 1
1438574346 1
1445785992 1
1452998526 1
1460199693 1
1467417452 1
1474632201 1
1481855445 1
1489057684 1
1496285662 1
1503511129 1
1510736782 1
1517954227 1
1525164375 1
1532387053 1
1539604598 1
1546818458 1
1554042208 1
1561260772 1
1568465924 1
1575684228 1
1582905991 1
1590122989 1
1597343838 1
1604558873 1
1611778533 1
1619001143 1
1626202001 1
1633435513 1
1640655141 1
1647872076 1
1655076839 1
1662294911 1
1669509596 1
1676726380 1
1683946060 1
1691172531 1
1698385748 1
1705601364 1
1712825914 1
1720040748 1
1727265662 1
1734485612 1
1741688824 1
1748895687 1
1756118085 1
1763336076 1
1770554532 1
1777769377 1
1784988688 1
1792216661 1
1799431533 1
1806652527 1
1813871447 1
1821076227 1
1828294227 1
1835506137 1
1842717079 1
1849935381 1
1857138076 1
1864364749 1
1871593748 1
1878805076 1
1886037990 1
1893260136 1
1900484990 1
1907704771 1
1914919841 1
1922143443 1
1929356205 1
1936567068 1
1943778260 1
1950997085 1
1958209887 1
1965435612 1
1972652510 1
1979873332 1
1987097443 1
1994317261 1
2001541053 1
2008744990 1
2015969990 1
2023190065 1
2030401990 1
2037629848 1
2044848691 1
2052056505 1
2059274512 1
2066509379 1
2073733387 1
2080948206 1
2088166080 1
2095396901 1
2102618778 1
2109833142 1
2117060923 1
2124285208 1
2131500280 1
2138707290 1
2145922772 1
2153139828 1
2160348531 1
2167562640 1
2174774227 1
2181978321 1
2189203661 1
2196412598 1
2203626204 1
2210844253 1
2218062357 1
2225281048 1
2232493083 1
2239707207 1
2246923597 1
2254148358 1
2261372527 1
2268593594 1
2275811359 1
2283036053 1
2290254065 1
2297477076 1
2304706662 1
2311924416 1
2319142754 1
2326373446 1
2333589055 1
2340807135 1
2348032208 1
2355237534 1
2362451601 1
2369679312 1
2376899315 1
2384122444 1
2391345074 1
2398564597 1
2405790379 1
2413000076 1
2420218982 1
2427432782 1
2434642842 1
2441859839 1
2449067388 1
2456290282 1
2463502053 1
2470702078 1
2477930902 1
2485151990 1
2492362355 1
2499588669 1
2506805531 1
2514018228 1
2521229207 1
2528440773 1
2535668446 1
2542896530 1
2550106233 1
2557321749 1
2564530402 1
2571757244 1
2578963149 1
2586180142 1
2593399379 1
2600624998 1
2607848622 1
2615064380 1
2622272771 1
2629503920 1
2636721444 1
2643929680 1
2651145077 1
2658354999 1
2665567901 1
2672784925 1
2680007228 1
2687229054 1
2694448835 1
2701654730 1
2708879206 1
2716091690 1
2723320509 1
2730539059 1
2737751507 1
2744969293 1
2752193901 1
2759409474 1
2766637838 1
2773858598 1
2781084008 1
2788288836 1
2795500891 1
2802721663 1
2809938142 1
2817156991 1
2824370845 1
2831590136 1
2838808142 1
2846031776 1
2853241750 1
2860466207 1
2867681513 1
2874900750 1
2882114773 1
2889327917 1
2896551479 1
2903773367 1
2911001998 1
2918217380 1
2925437204 1
2932669663 1
2939885903 1
2947094215 1
2954313226 1
2961513766 1
2968730750 1
2975946774 1
2983161686 1
2990377228 1
2997594358 1
3004806075 1
3012021917 1
3019232686 1
3026449207 1
3033667836 1
3040877750 1
3048096771 1
3055310532 1
3062540661 1
3069763685 1
3076977840 1
3084201740 1
3091412827 1
3098615921 1
3105833598 1
3113041138 1
3120253453 1
3127474598 1
3134688053 1
3141898839 1
3149127924 1
3156342661 1
3163572990 1
3170799772 1
3178019443 1
3185241635 1
3192456508 1
3199673076 1
3206895836 1
3214114358 1
3221332380 1
3228536568 1
3235756054 1
3242954990 1
3250181228 1
3257406751 1
3264609907 1
3271827075 1
3279046049 1
3286267901 1
3293496942 1
3300721363 1
3307945661 1
3315152296 1
3322371449 1
3329593836 1
3336812686 1
3344030510 1
3351239457 1
3358449670 1
3365676684 1
3372897573 1
3380109924 1
3387334205 1
3394548210 1
3401774901 1
3409002692 1
3416219602 1
3423441902 1
3430657827 1
3437870599 1
3445086662 1
3452293358 1
3459511751 1
3466727753 1
3473941662 1
3481157227 1
3488375359 1
3495593144 1
3502812195 1
3510022771 1
3517233694 1
3524451380 1
3531670596 1
3538893241 1
3546098004 1
3553330839 1
3560549532 1
3567758289 1
3574977836 1
3582198990 1
3589424914 1
3596647686 1
3603854512 1
3611073903 1
3618304751 1
3625521908 1
3632732678 1
3639956289 1
3647185228 1
3654395442 1
3661615281 1
3668847475 1
3676063207 1
3683275366 1
3690488538 1
3697711371 1
3704923686 1
3712145154 1
3719364141 1
3726584838 1
3733798380 1
3741015000 1
3748228053 1
3755451991 1
3762664598 1
3769885989 1
3777095535 1
3784323924 1
3791541765 1
3798760201 1
3805984597 1
3813200366 1
3820427662 1
3827639457 1
3834878131 1
3842103752 1
3849318679 1
3856534241 1
3863752998 1
3870964901 1
3878186285 1
3885400142 1
3892624143 1
3899836924 1
3907049063 1
3914269524 1
3921490000 1
3928710052 1
3935935232 1
3943146771 1
3950368902 1
3957599772 1
3964820630 1
3972036175 1
3979247684 1
3986479673 1
3993692228 1
4000903144 1
4008125239 1
4015347998 1
4022578221 1
4029804589 1
4037006507 1
4044230124 1
4051436662 1
4058654598 1
4065883053 1
4073109839 1
4080331147 1
4087551521 1
4094769377 1
4101996054 1
4109206225 1
4116427448 1
4123642297 1
4130857441 1
4138082057 1
4145296597 1
4152504378 1
4159727293 1
4166943032 1
4174155058 1
4181373774 1
4188582746 1
4195802141 1
4203012053 1
4210231508 1
4217453297 1
4224662357 1
4231884927 1
4239106446 1
4246325510 1
4253551445 1
4260766521 1
4267989510 1
4275207991 1
4282410284 1
4289630361 1
4296846445 1
4304053226 1
4311272719 1
4318475663 1
4325702227 1
4332918053 1
4340125923 1
4347343509 1
4354555358 1
4361764764 1
4368983576 1
4376207126 1
4383420665 1
4390629583 1
4397849365 1
4405072227 1
4412286070 1
4419510566 1
4426723691 1
4433936654 1
4441154510 1
4448358923 1
4455560294 1
4462788140 1
4470002603 1
4477228773 1
4484452286 1
4491669601 1
4498898057 1
4506120662 1
4513343563 1
4520559055 1
4527786865 1
4534991371 1
4542221175 1
4549434502 1
4556657902 1
4563876836 1
4570955924 0.89
4578145509 0.97
4585358053 1
4592587145 1
4599798771 1
4607003833 1
4614233062 1
4621447924 1
4628658205 1
4635873296 1
4643088897 1
4650311776 1
4657501746 0.97
4664717597 1
4671943206 1
4679120603 0.96
4686287142 0.96
4693448291 0.94
4700575511 0.93
4707701659 0.94
4714841381 0.96
4721998357 0.96
4729193661 0.97
4736359772 0.94
4743490685 0.93
4750664662 0.96
4757824836 0.96
4765021000 0.98
4772187850 0.95
4779329488 0.95
4786397051 0.91
4793464530 0.88
4800481292 0.85
4807633446 0.95
4814820995 0.98
4821912351 0.89
4829085358 0.96
4836249202 0.95
4843358140 0.91
4850443143 0.91
4857542318 0.89
4864664838 0.92
4871819062 0.96
4878987293 0.95
4886147511 0.97
4893324775 0.95
4900446074 0.92
4907555357 0.9
4914739586 0.97
4921912922 0.96
4929073917 0.94
4936196991 0.92
4943305056 0.92
4950478053 0.96
4957615228 0.94
4964768475 0.96
4971922227 0.92
4979052595 0.92
4986222684 0.96
4993386380 0.94
5000553530 0.94
5007712978 0.95
5014859925 0.94
5021990990 0.93
5029139685 0.93
5036326329 0.97
5043468502 0.95
5050636693 0.93
5057815293 0.95
5064938599 0.94
5072150685 0.96
5079289759 0.94
5086406522 0.92
5093539990 0.92
5100685990 0.95
5107817932 0.92
5114961203 0.92
5122122987 0.94
5129308053 0.97
5136489855 0.96
5143670686 0.97
5150868780 0.94
5158058902 0.98
5165237231 0.96
5172394773 0.95
5179542217 0.95
5186679881 0.91
5193861661 0.96
5200993000 0.93
5208119296 0.9
5215309076 0.97
5222461074 0.94
5229638772 0.97
5236723427 0.9
5243877398 0.92
5251032665 0.95
5258230578 0.97
5265350609 0.92
5272516684 0.96
5279660978 0.95
5286846101 0.95
5294028160 0.97
5301176220 0.93
5308278532 0.91
5315461457 0.97
5322641685 0.97
5329807599 0.96
5336958509 0.95
5344053596 0.9
5351244230 0.97
5358370901 0.92
5365549051 0.96
5372710099 0.92
5379853229 0.94
5387005362 0.95
5394193516 0.97
5401234873 0.86
5408427753 0.98
5415619902 0.95
5422828801 0.99
5430021150 0.98
5437160404 0.93
5444279201 0.93
5451427056 0.94
5458585227 0.95
5465706535 0.92
5472810905 0.9
5479968379 0.93
5487170291 0.99
5494304843 0.92
5501426076 0.92
5508584074 0.94
5515725358 0.94
5522828689 0.92
5529999669 0.96
5537150654 0.94
5544323605 0.95
5551471395 0.94
5558624531 0.95
5565707358 0.9
5572843359 0.94
5579931293 0.9
5587129402 0.97
5594297584 0.95
5601452357 0.94
5608650719 0.98
5615825216 0.97
5623030754 0.98
5630164663 0.95
5637262780 0.91
5644424901 0.93
5651611990 0.98
5658782228 0.96
5665992292 0.98
5673196380 0.99
5680347295 0.93
5687514556 0.96
5694696745 0.97
5701882053 0.94
5709032560 0.94
5716226905 0.97
5723410143 0.96
5730546205 0.93
5737702205 0.96
5744836903 0.93
5752016681 0.97
5759174598 0.97
5766318902 0.95
5773507159 0.98
5780682380 0.97
5787874593 0.98
5795087141 0.99
5802245433 0.95
5809416511 0.96
5816593746 0.96
5823719750 0.95
5830909781 0.99
5838123771 0.98
5845319664 0.97
5852478661 0.94
5859622923 0.93
5866781143 0.94
5873927345 0.93
5881087142 0.95
5888267898 0.97
5895455596 0.96
5902653165 0.98
5909831329 0.97
5917022557 0.98
5924218838 0.99
5931435092 0.98
5938594272 0.96
5945769522 0.97
5952965592 0.98
5960143211 0.97
5967321064 0.97
5974530991 0.99
5981720924 0.98
5988919697 0.98
5996102840 0.97
6003283368 0.97
6010484511 0.96
6017655922 0.97
6024822051 0.96
6032037846 0.98
6039222597 0.97
6046388923 0.97
6053561103 0.97
6060781350 0.99
6067926901 0.96
6075079576 0.95
6082257511 0.97
6089469157 0.98
6096681937 1
6103861782 0.97
6111040386 0.96
6118193596 0.96
6125371736 0.96
6132565692 0.99
6139733144 0.98
6146937055 0.99
6154111922 0.97
6161298924 0.98
6168462380 0.95
6175598254 0.94
6182823141 1
6190009056 0.98
6197192062 0.98
6204398145 0.99
6211581142 0.98
6218798064 0.98
6226000363 0.98
6233151482 0.95
6240358073 0.99
6247550521 0.98
6254755330 1
6261946448 0.98
6269095712 0.95
6276323157 0.99
6283543294 1
6290692566 0.97
6297896228 0.97
6305101384 0.98
6312262207 0.95
6319448445 0.97
6326639134 0.98
6333819294 0.97
6340999532 0.97
6348197597 0.98
6355390535 0.99
6362609650 0.99
6369805924 0.98
6377012706 0.99
6384198220 0.99
6391401921 0.99
6398586702 0.99
6405750835 0.97
6412935460 0.96
6420142990 0.99
6427361000 1
6434576772 0.99
6441778907 1
6448965293 0.97
6456180606 1
6463380075 0.99
6470591500 1
6477798360 0.99
6484999905 0.98
6492212900 1
6499416293 0.99
6506608750 0.98
6513849688 1
6521050780 0.99
6528236790 0.98
6535430771 0.98
6542640113 0.99
6549849379 0.99
6557074381 1
6564299686 1
6571509771 0.99
6578695507 0.98
6585923032 1
6593138166 1
6600327672 0.98
6607548319 0.98
6614742693 0.98
6621950535 1
6629147379 0.99
6636374360 1
6643572139 0.98
6650770139 0.98
6657957994 0.98
6665138454 0.96
6672329690 0.98
6679491445 0.96
6686681216 0.97
6693875962 0.99
6701096363 0.99
6708276446 0.98
6715479325 1
6722693839 0.98
6729903750 1
6737095880 0.99
6744303000 0.98
6751495205 0.99
6758720055 1
6765940051 1
6773123144 0.98
6780355446 1
6787580006 1
6794774523 0.99
6801970532 0.99
6809165598 0.99
6816379686 1
6823586005 1
6830780989 0.98
6838007210 1
6845207661 0.98
6852411855 0.98
6859616663 0.98
6866837380 1
6874039080 0.99
6881244146 0.98
6888456750 0.99
6895650749 0.98
6902801206 0.96
6909978748 0.98
6917186901 0.99
6924399218 1
6931591585 0.98
6938800848 0.99
6946016447 0.99
6953208228 0.99
6960401142 0.98
6967623987 1
6974809524 0.98
6982033609 1
6989247536 1
6996459357 0.99
7003682380 1
7010859079 0.98
7018061445 0.98
7025256924 0.98
7032473989 1
7039678611 0.99
7046877359 0.98
7054099582 1
7061318990 1
7068528629 1
7075756053 1
7082986850 1
7090175753 0.99
7097400902 1
7104625514 1
7111851208 1
7119072074 1
7126287226 1
7133502059 1
7140734051 0.99
7147907509 0.96
7155123902 1
7162343772 1
7169547834 0.98
7176768597 1
7183972924 1
7191162852 0.98
7198374076 0.99
7205588109 1
7212812074 0.99
7220015543 0.98
7227219595 0.97
7234425667 0.99
7241655677 0.99
7248849211 0.98
7256071686 0.99
7263251308 0.97
7270460174 0.99
7277685148 0.99
7284912221 1
7292112076 0.99
7299302991 0.98
7306529856 1
7313729844 0.98
7320945532 1
7328157391 1
7335374901 1
7342581837 1
7349799840 1
7357023687 1
7364240590 1
7371462749 1
7378687662 1
7385910375 1
7393124034 0.99
7400346988 1
7407553298 1
7414774938 1
