InputVoltage BandgapControl RampGain ADCvalue
0.597 10 3 519
0.597 10 3 522
0.597 10 3 522
0.597 10 3 518
0.597 10 3 517
0.597 10 3 519
0.597 10 3 521
0.597 10 3 516
0.597 10 3 525
0.597 10 3 518
0.597 10 3 522
0.597 10 3 522
0.597 10 3 516
0.597 10 3 518
0.597 10 3 520
0.597 10 3 518
0.597 10 3 518
0.597 10 3 519
0.597 10 3 520
0.597 10 3 522
0.597 10 3 518
0.597 10 3 522
0.597 10 3 521
0.597 10 3 516
0.597 10 3 517
0.597 10 3 524
0.597 10 3 518
0.597 10 3 523
0.597 10 3 522
0.597 10 3 515
0.597 10 3 523
0.597 10 3 518
0.597 10 3 525
0.597 10 3 521
0.597 10 3 518
0.597 10 3 515
0.597 10 3 516
0.597 10 3 520
0.597 10 3 523
0.597 10 3 522
0.597 10 3 519
0.597 10 3 516
0.597 10 3 524
0.597 10 3 514
0.597 10 3 515
0.597 10 3 519
0.597 10 3 518
0.597 10 3 514
0.597 10 3 518
0.597 10 3 517
0.597 10 3 518
0.597 10 3 521
0.597 10 3 521
0.597 10 3 524
0.597 10 3 522
0.597 10 3 525
0.597 10 3 515
0.597 10 3 515
0.597 10 3 523
0.597 10 3 514
0.597 10 3 513
0.597 10 3 520
0.597 10 3 519
0.597 10 3 522
0.597 10 3 522
0.597 10 3 524
0.597 10 3 525
0.597 10 3 519
0.597 10 3 518
0.597 10 3 523
0.597 10 3 518
0.597 10 3 523
0.597 10 3 519
0.597 10 3 524
0.597 10 3 520
0.597 10 3 515
0.597 10 3 517
0.597 10 3 518
0.597 10 3 519
0.597 10 3 517
0.597 10 3 518
0.597 10 3 522
0.597 10 3 515
0.597 10 3 516
0.597 10 3 521
0.597 10 3 519
0.597 10 3 517
0.597 10 3 518
0.597 10 3 513
0.597 10 3 517
0.597 10 3 521
0.597 10 3 525
0.597 10 3 517
0.597 10 3 518
0.597 10 3 526
0.597 10 3 518
0.597 10 3 516
0.597 10 3 521
0.597 10 3 519
0.597 10 3 522
