InputVoltage BandgapControl RampGain ADCvalue
0.896074 10 3 481
0.896074 10 3 485
0.896074 10 3 488
0.896074 10 3 485
0.896074 10 3 483
0.896074 10 3 479
0.896074 10 3 480
0.896074 10 3 480
0.896074 10 3 480
0.896074 10 3 482
0.896074 10 3 483
0.896074 10 3 487
0.896074 10 3 481
0.896074 10 3 477
0.896074 10 3 481
0.896074 10 3 480
0.896074 10 3 487
0.896074 10 3 482
0.896074 10 3 485
0.896074 10 3 480
0.896074 10 3 479
0.896074 10 3 489
0.896074 10 3 482
0.896074 10 3 486
0.896074 10 3 480
0.896074 10 3 481
0.896074 10 3 481
0.896074 10 3 481
0.896074 10 3 481
0.896074 10 3 487
0.896074 10 3 482
0.896074 10 3 482
0.896074 10 3 478
0.896074 10 3 478
0.896074 10 3 481
0.896074 10 3 484
0.896074 10 3 483
0.896074 10 3 484
0.896074 10 3 476
0.896074 10 3 480
0.896074 10 3 481
0.896074 10 3 483
0.896074 10 3 478
0.896074 10 3 479
0.896074 10 3 480
0.896074 10 3 483
0.896074 10 3 481
0.896074 10 3 477
0.896074 10 3 476
0.896074 10 3 484
0.896074 10 3 488
0.896074 10 3 484
0.896074 10 3 483
0.896074 10 3 483
0.896074 10 3 480
0.896074 10 3 477
0.896074 10 3 482
0.896074 10 3 484
0.896074 10 3 485
0.896074 10 3 482
0.896074 10 3 475
0.896074 10 3 485
0.896074 10 3 482
0.896074 10 3 482
0.896074 10 3 483
0.896074 10 3 486
0.896074 10 3 485
0.896074 10 3 476
0.896074 10 3 476
0.896074 10 3 481
0.896074 10 3 474
0.896074 10 3 481
0.896074 10 3 482
0.896074 10 3 485
0.896074 10 3 480
0.896074 10 3 479
0.896074 10 3 476
0.896074 10 3 480
0.896074 10 3 478
0.896074 10 3 478
0.896074 10 3 480
0.896074 10 3 484
0.896074 10 3 485
0.896074 10 3 479
0.896074 10 3 477
0.896074 10 3 479
0.896074 10 3 483
0.896074 10 3 479
0.896074 10 3 479
0.896074 10 3 484
0.896074 10 3 480
0.896074 10 3 483
0.896074 10 3 487
0.896074 10 3 483
0.896074 10 3 485
0.896074 10 3 483
0.896074 10 3 484
0.896074 10 3 477
0.896074 10 3 482
0.896074 10 3 487
