InputVoltage BandgapControl RampGain ADCvalue
0.896074 10 3 493
0.896074 10 3 491
0.896074 10 3 496
0.896074 10 3 504
0.896074 10 3 496
0.896074 10 3 495
0.896074 10 3 491
0.896074 10 3 494
0.896074 10 3 499
0.896074 10 3 497
0.896074 10 3 499
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 498
0.896074 10 3 492
0.896074 10 3 494
0.896074 10 3 501
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 491
0.896074 10 3 498
0.896074 10 3 495
0.896074 10 3 490
0.896074 10 3 490
0.896074 10 3 499
0.896074 10 3 497
0.896074 10 3 496
0.896074 10 3 505
0.896074 10 3 491
0.896074 10 3 489
0.896074 10 3 487
0.896074 10 3 499
0.896074 10 3 497
0.896074 10 3 500
0.896074 10 3 495
0.896074 10 3 501
0.896074 10 3 503
0.896074 10 3 499
0.896074 10 3 492
0.896074 10 3 494
0.896074 10 3 504
0.896074 10 3 497
0.896074 10 3 496
0.896074 10 3 501
0.896074 10 3 490
0.896074 10 3 501
0.896074 10 3 491
0.896074 10 3 496
0.896074 10 3 486
0.896074 10 3 491
0.896074 10 3 486
0.896074 10 3 503
0.896074 10 3 499
0.896074 10 3 494
0.896074 10 3 501
0.896074 10 3 500
0.896074 10 3 495
0.896074 10 3 496
0.896074 10 3 499
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 505
0.896074 10 3 500
0.896074 10 3 490
0.896074 10 3 500
0.896074 10 3 497
0.896074 10 3 495
0.896074 10 3 491
0.896074 10 3 498
0.896074 10 3 504
0.896074 10 3 490
0.896074 10 3 494
0.896074 10 3 502
0.896074 10 3 494
0.896074 10 3 496
0.896074 10 3 496
0.896074 10 3 490
0.896074 10 3 495
0.896074 10 3 496
0.896074 10 3 497
0.896074 10 3 491
0.896074 10 3 509
0.896074 10 3 501
0.896074 10 3 502
0.896074 10 3 495
0.896074 10 3 486
0.896074 10 3 501
0.896074 10 3 500
0.896074 10 3 487
0.896074 10 3 503
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 497
0.896074 10 3 493
0.896074 10 3 505
0.896074 10 3 492
0.896074 10 3 493
0.896074 10 3 501
0.896074 10 3 491
0.896074 10 3 498
