Param val stddev
VCC_H_1.500000_current_1V5_Reset 0.0568508 0.000133375
VCC_H_1.500000_VDD_Reset 1.38375 2.22045e-15
VCC_H_1.500000_current_1V5_Run 0.0485676 0.00495751
VCC_H_1.500000_VDD_Run 1.3964 0.00829572
VCC_H_1.500000_VDD_2_R 715.4 0.916515
VCC_H_1.500000_VDD_2_L 401.4 0.489898
VCC_H_1.500000_DVDD_2 423 0
VCC_H_1.500000_BG 433.3 0.458258
VCC_H_1.500000_Temp -3.25615e+07 9.76856e+07
VCC_H_1.500000_VDD_H_4 211.8 59.6017
VCC_H_1.500000_OTA_R 555 174
VCC_H_1.500000_OTA_L 578.3 0.458258
VCC_H_2.000000_current_1V5_Reset 0.0567239 0.00167157
VCC_H_2.000000_VDD_Reset 1.38375 2.22045e-15
VCC_H_2.000000_current_1V5_Run 0.048381 0.00506751
VCC_H_2.000000_VDD_Run 1.39624 0.00882459
VCC_H_2.000000_VDD_2_R 713.4 0.8
VCC_H_2.000000_VDD_2_L 400.2 0.4
VCC_H_2.000000_DVDD_2 422 0
VCC_H_2.000000_BG 436.3 7.01498
VCC_H_2.000000_Temp 382.1 0.3
VCC_H_2.000000_VDD_H_4 299.5 0.5
VCC_H_2.000000_OTA_R 611 0.447214
VCC_H_2.000000_OTA_L 576.6 0.489898
VCC_H_2.500000_current_1V5_Reset 0.0569453 0.000173249
VCC_H_2.500000_VDD_Reset 1.38346 0.000916676
VCC_H_2.500000_current_1V5_Run 0.0483984 0.00484412
VCC_H_2.500000_VDD_Run 1.39848 0.0229107
VCC_H_2.500000_VDD_2_R 711.6 0.8
VCC_H_2.500000_VDD_2_L 399 0
VCC_H_2.500000_DVDD_2 421.1 0.3
VCC_H_2.500000_BG 430.6 0.489898
VCC_H_2.500000_Temp 382 0
VCC_H_2.500000_VDD_H_4 369.2 0.4
VCC_H_2.500000_OTA_R 609.6 0.489898
VCC_H_2.500000_OTA_L 581.5 19.169
VCC_H_3.000000_current_1V5_Reset 0.0569926 0.000101224
VCC_H_3.000000_VDD_Reset 1.38346 0.000916676
VCC_H_3.000000_current_1V5_Run 0.048585 0.00510467
VCC_H_3.000000_VDD_Run 1.39602 0.00963129
VCC_H_3.000000_VDD_2_R 3826.9 9586.71
VCC_H_3.000000_VDD_2_L 398.7 0.458258
VCC_H_3.000000_DVDD_2 421 0
VCC_H_3.000000_BG 386.9 128.967
VCC_H_3.000000_Temp 381.6 0.489898
VCC_H_3.000000_VDD_H_4 437.4 0.489898
VCC_H_3.000000_OTA_R 609 0
VCC_H_3.000000_OTA_L 574.3 0.458258
