VCC_H I2C_SuccessRate
0.65035 0
0.70032 0
0.750291 1
0.800262 0.99
0.850232 0.94
0.900203 0.99
0.950174 0.98
1.00014 1
1.05012 0.99
1.10009 0.94
1.15006 0.85
1.20003 0.88
1.25058 0.86
1.30055 0.9
1.35052 0.87
1.40049 0.89
1.45046 0.96
1.50043 0.94
1.5504 0.99
1.60037 0.99
1.65034 1
1.70032 0.99
1.75029 1
1.80026 0.98
1.85023 0.99
1.9002 0.99
1.95017 1
2.00014 1
2.05011 0.99
2.10008 1
2.15005 1
2.20002 1
2.25057 1
2.30054 1
2.35052 1
2.40049 1
2.45046 0.99
2.50043 1
2.5504 1
2.60037 1
2.65034 1
2.70031 1
2.75028 0.99
2.80025 0.95
2.85022 0.99
2.90019 0.99
2.95016 0.99
