InputVoltage BandgapControl RampGain ADCvalue
0 0 0 15
0.0102026 0 0 22
0.0201138 0 0 28
0.0300249 0 0 34
0.0402275 0 0 41
0.0501387 0 0 45
0.0600498 0 0 52
0.0702524 0 0 56
0.0801636 0 0 63
0.0900747 0 0 67
0.100277 0 0 74
0.110188 0 0 79
0.1201 0 0 79
0.130011 0 0 93
0.140213 0 0 99
0.150125 0 0 104
0.160036 0 0 109
0.170238 0 0 115
0.180149 0 0 122
0.190061 0 0 64
0.200263 0 0 133
0.210174 0 0 139
0.220085 0 0 145
0.230288 0 0 151
0.240199 0 0 156
0.25011 0 0 162
0.260021 0 0 169
0.270224 0 0 175
0.280135 0 0 179
0.290046 0 0 186
0.300249 0 0 191
0.31016 0 0 196
0.320071 0 0 204
0.330274 0 0 209
0.340185 0 0 214
0.350096 0 0 220
0.360007 0 0 225
0.37021 0 0 231
0.380121 0 0 235
0.390032 0 0 243
0.400235 0 0 247
0.410146 0 0 255
0.420057 0 0 259
0.43026 0 0 266
0.440171 0 0 270
0.450082 0 0 276
0.460285 0 0 283
0.470196 0 0 287
0.480107 0 0 293
0.490018 0 0 299
0.500221 0 0 306
0.510132 0 0 312
0.520043 0 0 317
0.530246 0 0 323
0.540157 0 0 329
0.550068 0 0 334
0.560271 0 0 341
0.570182 0 0 345
0.580093 0 0 352
0.590004 0 0 358
0.600207 0 0 363
0.610118 0 0 369
0.620029 0 0 376
0.630231 0 0 381
0.640143 0 0 387
0.650054 0 0 394
0.660256 0 0 399
0.670167 0 0 405
0.680079 0 0 409
0.690281 0 0 417
0.700192 0 0 423
0.710104 0 0 427
0.720015 0 0 434
0.730217 0 0 441
0.740128 0 0 446
0.75004 0 0 451
0.760242 0 0 457
0.770153 0 0 464
0.780064 0 0 468
0.790267 0 0 475
0.800178 0 0 481
0.810089 0 0 486
0.82 0 0 494
0.830203 0 0 499
0.840114 0 0 504
0.850025 0 0 511
0.860228 0 0 516
0.870139 0 0 522
0.88005 0 0 528
0.890253 0 0 533
0.900164 0 0 539
0.910075 0 0 546
0.920278 0 0 550
0.930189 0 0 555
0.9401 0 0 563
0.950011 0 0 567
0.960214 0 0 574
0.970125 0 0 579
0.980036 0 0 585
0.990239 0 0 591
1.00015 0 0 597
1.01006 0 0 602
1.02026 0 0 609
1.03017 0 0 614
1.04009 0 0 621
1.05029 0 0 625
1.0602 0 0 631
1.07011 0 0 637
1.08002 0 0 643
1.09022 0 0 648
1.10014 0 0 654
1.11005 0 0 660
1.12025 0 0 666
1.13016 0 0 672
1.14007 0 0 678
1.15027 0 0 684
1.16019 0 0 689
1.1701 0 0 696
1.18001 0 0 701
1.19021 0 0 708
0 0 1 36
0.0102026 0 1 47
0.0201138 0 1 61
0.0300249 0 1 73
0.0402275 0 1 86
0.0501387 0 1 101
0.0600498 0 1 111
0.0702524 0 1 126
0.0801636 0 1 139
0.0900747 0 1 149
0.100277 0 1 161
0.110188 0 1 177
0.1201 0 1 188
0.130011 0 1 203
0.140213 0 1 215
0.150125 0 1 228
0.160036 0 1 241
0.170238 0 1 192
0.180149 0 1 267
0.190061 0 1 279
0.200263 0 1 295
0.210174 0 1 306
0.220085 0 1 320
0.230288 0 1 334
0.240199 0 1 348
0.25011 0 1 359
0.260021 0 1 372
0.270224 0 1 384
0.280135 0 1 399
0.290046 0 1 413
0.300249 0 1 426
0.31016 0 1 436
0.320071 0 1 449
0.330274 0 1 462
0.340185 0 1 473
0.350096 0 1 488
0.360007 0 1 500
0.37021 0 1 513
0.380121 0 1 523
0.390032 0 1 535
0.400235 0 1 549
0.410146 0 1 564
0.420057 0 1 577
0.43026 0 1 588
0.440171 0 1 603
0.450082 0 1 614
0.460285 0 1 628
0.470196 0 1 639
0.480107 0 1 654
0.490018 0 1 665
0.500221 0 1 680
0.510132 0 1 692
0.520043 0 1 704
0.530246 0 1 719
0.540157 0 1 730
0.550068 0 1 745
0.560271 0 1 759
0.570182 0 1 769
0.580093 0 1 782
0.590004 0 1 796
0.600207 0 1 811
0.610118 0 1 821
0.620029 0 1 834
0.630231 0 1 849
0.640143 0 1 860
0.650054 0 1 874
0.660256 0 1 886
0.670167 0 1 898
0.680079 0 1 913
0.690281 0 1 927
0.700192 0 1 938
0.710104 0 1 951
0.720015 0 1 964
0.730217 0 1 976
0.740128 0 1 991
0.75004 0 1 1006
0.760242 0 1 1018
0.770153 0 1 1018
0.780064 0 1 1018
0.790267 0 1 1018
0.800178 0 1 1018
0.810089 0 1 1018
0.82 0 1 1018
0.830203 0 1 1018
0.840114 0 1 1018
0.850025 0 1 1018
0.860228 0 1 1018
0.870139 0 1 1018
0.88005 0 1 1018
0.890253 0 1 1018
0.900164 0 1 1018
0.910075 0 1 1018
0.920278 0 1 1018
0.930189 0 1 1018
0.9401 0 1 1018
0.950011 0 1 1018
0.960214 0 1 1018
0.970125 0 1 1018
0.980036 0 1 1018
0.990239 0 1 1018
1.00015 0 1 1018
1.01006 0 1 1018
1.02026 0 1 1018
1.03017 0 1 1018
1.04009 0 1 1018
1.05029 0 1 1018
1.0602 0 1 1018
1.07011 0 1 1018
1.08002 0 1 1018
1.09022 0 1 1018
1.10014 0 1 1018
1.11005 0 1 1018
1.12025 0 1 1018
1.13016 0 1 1018
1.14007 0 1 1018
1.15027 0 1 1018
1.16019 0 1 1018
1.1701 0 1 1018
1.18001 0 1 1018
1.19021 0 1 1018
