InputVoltage BandgapControl RampGain ADCvalue
0 0 0 4
0.0104102 0 0 10
0.0200195 0 0 8
0.0304297 0 0 12
0.0400391 0 0 23
0.0504492 0 0 21
0.0600586 0 0 28
0.0704687 0 0 31
0.0800781 0 0 34
0.0904883 0 0 38
0.100098 0 0 42
0.110508 0 0 45
0.120117 0 0 49
0.130527 0 0 55
0.140137 0 0 56
0.150547 0 0 61
0.160156 0 0 62
0.170566 0 0 67
0.180176 0 0 71
0.190586 0 0 72
0.200195 0 0 80
0.210605 0 0 87
0.220215 0 0 87
0.230625 0 0 91
0.240234 0 0 92
0.250645 0 0 96
0.260254 0 0 101
0.270664 0 0 106
0.280273 0 0 108
0.290684 0 0 113
0.300293 0 0 114
0.310703 0 0 121
0.320312 0 0 124
0.330723 0 0 131
0.340332 0 0 131
0.350742 0 0 138
0.360352 0 0 138
0.370762 0 0 141
0.380371 0 0 146
0.390781 0 0 149
0.400391 0 0 153
0.410801 0 0 156
0.42041 0 0 161
0.43002 0 0 167
0.44043 0 0 167
0.450039 0 0 170
0.460449 0 0 174
0.470059 0 0 181
0.480469 0 0 183
0.490078 0 0 189
0.500488 0 0 189
0.510098 0 0 193
0.520508 0 0 199
0.530117 0 0 200
0.540527 0 0 204
0.550137 0 0 206
0.560547 0 0 211
0.570156 0 0 214
0.580566 0 0 218
0.590176 0 0 220
0.600586 0 0 225
0.610195 0 0 228
0.620605 0 0 233
0.630215 0 0 235
0.640625 0 0 235
0.650234 0 0 243
0.660645 0 0 249
0.670254 0 0 249
0.680664 0 0 254
0.690273 0 0 257
0.700684 0 0 259
0.710293 0 0 264
0.720703 0 0 267
0.730312 0 0 273
0.740723 0 0 275
0.750332 0 0 277
0.760742 0 0 282
0.770352 0 0 285
0.780762 0 0 288
0.790371 0 0 295
0.800781 0 0 299
0.810391 0 0 300
0.820801 0 0 304
0.83041 0 0 310
0.84002 0 0 310
0.85043 0 0 314
0.860039 0 0 318
0.870449 0 0 323
0.880059 0 0 329
0.890469 0 0 329
0.900078 0 0 333
0.910488 0 0 339
0.920098 0 0 343
0.930508 0 0 344
0.940117 0 0 348
0.950527 0 0 352
0.960137 0 0 355
0.970547 0 0 358
0.980156 0 0 362
0.990566 0 0 369
1.00018 0 0 373
1.01059 0 0 370
1.0202 0 0 378
1.03061 0 0 381
1.04021 0 0 386
1.05062 0 0 388
1.06023 0 0 390
1.07064 0 0 394
1.08025 0 0 398
1.09066 0 0 405
1.10027 0 0 407
1.11068 0 0 410
1.12029 0 0 412
1.1307 0 0 417
1.14031 0 0 420
1.15072 0 0 423
1.16033 0 0 430
1.17074 0 0 432
1.18035 0 0 434
1.19076 0 0 441
1.20037 0 0 445
1.21078 0 0 446
1.22039 0 0 453
1.2308 0 0 452
1.24041 0 0 458
1.25002 0 0 460
1.26043 0 0 464
1.27004 0 0 468
1.28045 0 0 475
1.29006 0 0 475
1.30047 0 0 478
1.31008 0 0 481
1.32049 0 0 488
1.3301 0 0 492
1.34051 0 0 492
1.35012 0 0 496
1.36053 0 0 500
1.37014 0 0 504
1.38055 0 0 508
1.39016 0 0 510
1.40057 0 0 517
1.41018 0 0 521
1.42059 0 0 520
1.4302 0 0 525
1.44061 0 0 529
1.45021 0 0 533
1.46062 0 0 537
1.47023 0 0 543
1.48064 0 0 543
1.49025 0 0 547
1.50066 0 0 553
1.51027 0 0 556
1.52068 0 0 560
1.53029 0 0 558
1.5407 0 0 564
1.55031 0 0 568
1.56072 0 0 573
1.57033 0 0 580
1.58074 0 0 581
1.59035 0 0 583
1.60076 0 0 588
1.61037 0 0 591
1.62078 0 0 594
1.63039 0 0 598
1.6408 0 0 602
1.65041 0 0 608
1.66002 0 0 608
1.67043 0 0 612
1.68004 0 0 616
1.69045 0 0 620
1.70006 0 0 623
1.71047 0 0 629
1.72008 0 0 631
1.73049 0 0 634
1.7401 0 0 638
1.75051 0 0 644
1.76012 0 0 646
1.77053 0 0 652
1.78014 0 0 653
1.79055 0 0 657
0 0 1 12
0.0104102 0 1 14
0.0200195 0 1 24
0.0304297 0 1 32
0.0400391 0 1 41
0.0504492 0 1 46
0.0600586 0 1 60
0.0704687 0 1 69
0.0800781 0 1 74
0.0904883 0 1 83
0.100098 0 1 87
0.110508 0 1 97
0.120117 0 1 108
0.130527 0 1 112
0.140137 0 1 114
0.150547 0 1 128
0.160156 0 1 141
0.170566 0 1 146
0.180176 0 1 155
0.190586 0 1 162
0.200195 0 1 163
0.210605 0 1 179
0.220215 0 1 189
0.230625 0 1 197
0.240234 0 1 202
0.250645 0 1 213
0.260254 0 1 219
0.270664 0 1 226
0.280273 0 1 237
0.290684 0 1 239
0.300293 0 1 250
0.310703 0 1 265
0.320312 0 1 272
0.330723 0 1 279
0.340332 0 1 287
0.350742 0 1 297
0.360352 0 1 303
0.370762 0 1 310
0.380371 0 1 318
0.390781 0 1 328
0.400391 0 1 336
0.410801 0 1 338
0.42041 0 1 348
0.43002 0 1 354
0.44043 0 1 368
0.450039 0 1 375
0.460449 0 1 380
0.470059 0 1 392
0.480469 0 1 397
0.490078 0 1 406
0.500488 0 1 411
0.510098 0 1 424
0.520508 0 1 431
0.530117 0 1 437
0.540527 0 1 445
0.550137 0 1 451
0.560547 0 1 459
0.570156 0 1 469
0.580566 0 1 475
0.590176 0 1 484
0.600586 0 1 486
0.610195 0 1 497
0.620605 0 1 507
0.630215 0 1 517
0.640625 0 1 525
0.650234 0 1 528
0.660645 0 1 535
0.670254 0 1 549
0.680664 0 1 551
0.690273 0 1 558
0.700684 0 1 568
0.710293 0 1 577
0.720703 0 1 582
0.730312 0 1 586
0.740723 0 1 601
0.750332 0 1 602
0.760742 0 1 614
0.770352 0 1 624
0.780762 0 1 629
0.790371 0 1 641
0.800781 0 1 648
0.810391 0 1 651
0.820801 0 1 659
0.83041 0 1 667
0.84002 0 1 675
0.85043 0 1 689
0.860039 0 1 691
0.870449 0 1 702
0.880059 0 1 712
0.890469 0 1 724
0.900078 0 1 722
0.910488 0 1 731
0.920098 0 1 745
0.930508 0 1 750
0.940117 0 1 761
0.950527 0 1 763
0.960137 0 1 772
0.970547 0 1 782
0.980156 0 1 792
0.990566 0 1 800
1.00018 0 1 808
1.01059 0 1 811
1.0202 0 1 824
1.03061 0 1 836
1.04021 0 1 845
1.05062 0 1 846
1.06023 0 1 857
1.07064 0 1 864
1.08025 0 1 872
1.09066 0 1 879
1.10027 0 1 882
1.11068 0 1 894
1.12029 0 1 899
1.1307 0 1 906
1.14031 0 1 920
1.15072 0 1 922
1.16033 0 1 936
1.17074 0 1 938
1.18035 0 1 947
1.19076 0 1 961
1.20037 0 1 963
1.21078 0 1 977
1.22039 0 1 975
1.2308 0 1 996
1.24041 0 1 994
1.25002 0 1 1008
1.26043 0 1 1011
1.27004 0 1 1021
1.28045 0 1 1018
1.29006 0 1 1023
1.30047 0 1 1023
1.31008 0 1 1023
1.32049 0 1 1023
1.3301 0 1 1023
1.34051 0 1 1023
1.35012 0 1 1023
1.36053 0 1 1023
1.37014 0 1 1023
1.38055 0 1 1023
1.39016 0 1 1023
1.40057 0 1 1023
1.41018 0 1 1023
1.42059 0 1 1023
1.4302 0 1 1023
1.44061 0 1 1023
1.45021 0 1 1023
1.46062 0 1 1023
1.47023 0 1 1023
1.48064 0 1 1023
1.49025 0 1 1023
1.50066 0 1 1023
1.51027 0 1 1023
1.52068 0 1 1023
1.53029 0 1 1023
1.5407 0 1 1023
1.55031 0 1 1023
1.56072 0 1 1023
1.57033 0 1 1023
1.58074 0 1 1023
1.59035 0 1 1023
1.60076 0 1 1023
1.61037 0 1 1023
1.62078 0 1 1023
1.63039 0 1 1023
1.6408 0 1 1023
1.65041 0 1 1023
1.66002 0 1 1023
1.67043 0 1 1023
1.68004 0 1 1023
1.69045 0 1 1023
1.70006 0 1 1023
1.71047 0 1 1023
1.72008 0 1 1023
1.73049 0 1 1023
1.7401 0 1 1023
1.75051 0 1 1023
1.76012 0 1 1023
1.77053 0 1 1023
1.78014 0 1 1023
1.79055 0 1 1023
0 0 2 7
0.0104102 0 2 11
0.0200195 0 2 19
0.0304297 0 2 18
0.0400391 0 2 24
0.0504492 0 2 29
0.0600586 0 2 33
0.0704687 0 2 39
0.0800781 0 2 43
0.0904883 0 2 48
0.100098 0 2 53
0.110508 0 2 58
0.120117 0 2 64
0.130527 0 2 69
0.140137 0 2 72
0.150547 0 2 79
0.160156 0 2 85
0.170566 0 2 89
0.180176 0 2 91
0.190586 0 2 96
0.200195 0 2 101
0.210605 0 2 106
0.220215 0 2 108
0.230625 0 2 115
0.240234 0 2 123
0.250645 0 2 127
0.260254 0 2 129
0.270664 0 2 135
0.280273 0 2 139
0.290684 0 2 144
0.300293 0 2 146
0.310703 0 2 153
0.320312 0 2 159
0.330723 0 2 162
0.340332 0 2 166
0.350742 0 2 172
0.360352 0 2 176
0.370762 0 2 184
0.380371 0 2 186
0.390781 0 2 193
0.400391 0 2 195
0.410801 0 2 200
0.42041 0 2 204
0.43002 0 2 208
0.44043 0 2 213
0.450039 0 2 218
0.460449 0 2 223
0.470059 0 2 231
0.480469 0 2 230
0.490078 0 2 237
0.500488 0 2 240
0.510098 0 2 246
0.520508 0 2 253
0.530117 0 2 255
0.540527 0 2 261
0.550137 0 2 264
0.560547 0 2 268
0.570156 0 2 276
0.580566 0 2 278
0.590176 0 2 281
0.600586 0 2 288
0.610195 0 2 290
0.620605 0 2 299
0.630215 0 2 299
0.640625 0 2 309
0.650234 0 2 309
0.660645 0 2 314
0.670254 0 2 317
0.680664 0 2 325
0.690273 0 2 326
0.700684 0 2 335
0.710293 0 2 336
0.720703 0 2 344
0.730312 0 2 346
0.740723 0 2 350
0.750332 0 2 356
0.760742 0 2 358
0.770352 0 2 362
0.780762 0 2 368
0.790371 0 2 375
0.800781 0 2 376
0.810391 0 2 382
0.820801 0 2 389
0.83041 0 2 390
0.84002 0 2 397
0.85043 0 2 403
0.860039 0 2 406
0.870449 0 2 411
0.880059 0 2 414
0.890469 0 2 423
0.900078 0 2 423
0.910488 0 2 428
0.920098 0 2 433
0.930508 0 2 436
0.940117 0 2 444
0.950527 0 2 451
0.960137 0 2 455
0.970547 0 2 457
0.980156 0 2 464
0.990566 0 2 466
1.00018 0 2 471
1.01059 0 2 477
1.0202 0 2 481
1.03061 0 2 486
1.04021 0 2 493
1.05062 0 2 495
1.06023 0 2 501
1.07064 0 2 504
1.08025 0 2 508
1.09066 0 2 515
1.10027 0 2 518
1.11068 0 2 525
1.12029 0 2 527
1.1307 0 2 535
1.14031 0 2 540
1.15072 0 2 539
1.16033 0 2 544
1.17074 0 2 550
1.18035 0 2 554
1.19076 0 2 560
1.20037 0 2 567
1.21078 0 2 571
1.22039 0 2 576
1.2308 0 2 581
1.24041 0 2 582
1.25002 0 2 587
1.26043 0 2 591
1.27004 0 2 595
1.28045 0 2 598
1.29006 0 2 608
1.30047 0 2 611
1.31008 0 2 616
1.32049 0 2 620
1.3301 0 2 624
1.34051 0 2 628
1.35012 0 2 637
1.36053 0 2 639
1.37014 0 2 643
1.38055 0 2 647
1.39016 0 2 651
1.40057 0 2 658
1.41018 0 2 662
1.42059 0 2 668
1.4302 0 2 673
1.44061 0 2 676
1.45021 0 2 681
1.46062 0 2 689
1.47023 0 2 689
1.48064 0 2 692
1.49025 0 2 701
1.50066 0 2 703
1.51027 0 2 709
1.52068 0 2 717
1.53029 0 2 720
1.5407 0 2 723
1.55031 0 2 729
1.56072 0 2 733
1.57033 0 2 734
1.58074 0 2 739
1.59035 0 2 742
1.60076 0 2 750
1.61037 0 2 756
1.62078 0 2 758
1.63039 0 2 766
1.6408 0 2 767
1.65041 0 2 770
