InputCurrent BandgapControl RampGain OpAmpGain ResistorIdx ADCvalue
0 0 0 0 3 39
9.21569e-09 0 0 0 3 47
1.93529e-08 0 0 0 3 41
2.94902e-08 0 0 0 3 53
3.96275e-08 0 0 0 3 38
4.97647e-08 0 0 0 3 59
5.9902e-08 0 0 0 3 55
6.91176e-08 0 0 0 3 39
7.92549e-08 0 0 0 3 40
8.93922e-08 0 0 0 3 42
9.95294e-08 0 0 0 3 51
1.09667e-07 0 0 0 3 39
1.19804e-07 0 0 0 3 47
1.29941e-07 0 0 0 3 38
1.39157e-07 0 0 0 3 56
1.49294e-07 0 0 0 3 58
1.59431e-07 0 0 0 3 59
1.69569e-07 0 0 0 3 40
1.79706e-07 0 0 0 3 45
1.89588e-07 0 0 0 3 41
1.99912e-07 0 0 0 3 46
2.09441e-07 0 0 0 3 41
2.19765e-07 0 0 0 3 34
2.29294e-07 0 0 0 3 54
2.39618e-07 0 0 0 3 46
2.49941e-07 0 0 0 3 49
2.59471e-07 0 0 0 3 54
2.69794e-07 0 0 0 3 32
2.79324e-07 0 0 0 3 34
2.89647e-07 0 0 0 3 40
2.99971e-07 0 0 0 3 45
3.095e-07 0 0 0 3 62
3.19824e-07 0 0 0 3 43
3.29353e-07 0 0 0 3 38
3.39676e-07 0 0 0 3 52
3.5e-07 0 0 0 3 40
3.59529e-07 0 0 0 3 53
3.69853e-07 0 0 0 3 38
3.79382e-07 0 0 0 3 57
3.89706e-07 0 0 0 3 45
3.99235e-07 0 0 0 3 51
4.09559e-07 0 0 0 3 47
4.19882e-07 0 0 0 3 37
4.29412e-07 0 0 0 3 38
4.39735e-07 0 0 0 3 46
4.49265e-07 0 0 0 3 59
4.59588e-07 0 0 0 3 56
4.69912e-07 0 0 0 3 45
4.79441e-07 0 0 0 3 47
4.89765e-07 0 0 0 3 42
4.99294e-07 0 0 0 3 40
5.09618e-07 0 0 0 3 45
5.19941e-07 0 0 0 3 46
5.29471e-07 0 0 0 3 56
5.39794e-07 0 0 0 3 41
5.49324e-07 0 0 0 3 61
5.59647e-07 0 0 0 3 52
5.69971e-07 0 0 0 3 63
5.795e-07 0 0 0 3 46
5.89824e-07 0 0 0 3 45
5.99353e-07 0 0 0 3 63
6.09676e-07 0 0 0 3 44
6.2e-07 0 0 0 3 46
6.29529e-07 0 0 0 3 61
6.39853e-07 0 0 0 3 40
6.49382e-07 0 0 0 3 46
6.59706e-07 0 0 0 3 41
6.69235e-07 0 0 0 3 41
6.79593e-07 0 0 0 3 40
6.8998e-07 0 0 0 3 47
6.99569e-07 0 0 0 3 32
7.09956e-07 0 0 0 3 42
7.19544e-07 0 0 0 3 63
7.29931e-07 0 0 0 3 45
7.3952e-07 0 0 0 3 49
7.49907e-07 0 0 0 3 43
7.59495e-07 0 0 0 3 35
7.69882e-07 0 0 0 3 32
7.79471e-07 0 0 0 3 58
7.89858e-07 0 0 0 3 45
7.99446e-07 0 0 0 3 57
8.09833e-07 0 0 0 3 49
8.19422e-07 0 0 0 3 62
8.29809e-07 0 0 0 3 62
8.39397e-07 0 0 0 3 37
8.49784e-07 0 0 0 3 34
8.59373e-07 0 0 0 3 61
8.6976e-07 0 0 0 3 37
8.79348e-07 0 0 0 3 34
8.89735e-07 0 0 0 3 38
8.99324e-07 0 0 0 3 55
9.09711e-07 0 0 0 3 55
9.19299e-07 0 0 0 3 46
9.29686e-07 0 0 0 3 57
9.39275e-07 0 0 0 3 57
9.49662e-07 0 0 0 3 72
9.5925e-07 0 0 0 3 52
9.69637e-07 0 0 0 3 49
9.79225e-07 0 0 0 3 35
9.89613e-07 0 0 0 3 52
1e-06 0 0 0 3 62
1.00959e-06 0 0 0 3 42
1.01998e-06 0 0 0 3 42
1.02956e-06 0 0 0 3 51
1.03995e-06 0 0 0 3 36
1.04954e-06 0 0 0 3 51
1.05993e-06 0 0 0 3 36
1.06951e-06 0 0 0 3 35
1.0799e-06 0 0 0 3 69
1.08949e-06 0 0 0 3 54
1.09988e-06 0 0 0 3 46
1.10947e-06 0 0 0 3 79
1.11985e-06 0 0 0 3 52
1.12944e-06 0 0 0 3 60
1.13983e-06 0 0 0 3 60
1.14942e-06 0 0 0 3 77
1.1598e-06 0 0 0 3 53
1.16935e-06 0 0 0 3 81
1.17968e-06 0 0 0 3 55
1.18921e-06 0 0 0 3 64
1.19953e-06 0 0 0 3 74
1.20985e-06 0 0 0 3 54
1.21938e-06 0 0 0 3 46
1.22971e-06 0 0 0 3 35
1.23924e-06 0 0 0 3 62
1.24956e-06 0 0 0 3 43
1.25988e-06 0 0 0 3 49
1.26941e-06 0 0 0 3 75
1.27974e-06 0 0 0 3 48
1.28926e-06 0 0 0 3 41
1.29959e-06 0 0 0 3 62
1.30991e-06 0 0 0 3 62
1.31944e-06 0 0 0 3 56
1.32979e-06 0 0 0 3 52
1.33938e-06 0 0 0 3 61
1.34977e-06 0 0 0 3 54
1.35936e-06 0 0 0 3 35
1.36975e-06 0 0 0 3 58
1.37933e-06 0 0 0 3 49
1.38972e-06 0 0 0 3 59
1.39931e-06 0 0 0 3 42
1.4097e-06 0 0 0 3 54
1.41928e-06 0 0 0 3 44
1.42967e-06 0 0 0 3 56
1.43926e-06 0 0 0 3 53
1.44965e-06 0 0 0 3 42
1.45924e-06 0 0 0 3 42
1.46962e-06 0 0 0 3 51
1.47921e-06 0 0 0 3 45
1.4896e-06 0 0 0 3 59
1.49999e-06 0 0 0 3 51
1.50957e-06 0 0 0 3 66
1.51996e-06 0 0 0 3 50
1.52955e-06 0 0 0 3 62
1.53994e-06 0 0 0 3 47
1.54952e-06 0 0 0 3 56
1.55991e-06 0 0 0 3 44
1.5695e-06 0 0 0 3 55
1.57989e-06 0 0 0 3 37
1.58948e-06 0 0 0 3 34
1.59986e-06 0 0 0 3 34
1.60945e-06 0 0 0 3 62
1.61984e-06 0 0 0 3 53
1.62943e-06 0 0 0 3 54
1.63981e-06 0 0 0 3 54
1.6494e-06 0 0 0 3 50
1.65984e-06 0 0 0 3 49
1.66949e-06 0 0 0 3 58
1.67994e-06 0 0 0 3 52
1.68959e-06 0 0 0 3 52
1.69924e-06 0 0 0 3 57
1.70969e-06 0 0 0 3 43
1.71933e-06 0 0 0 3 35
1.72978e-06 0 0 0 3 35
1.73943e-06 0 0 0 3 52
1.74988e-06 0 0 0 3 43
1.75953e-06 0 0 0 3 62
1.76998e-06 0 0 0 3 53
1.77963e-06 0 0 0 3 48
1.78927e-06 0 0 0 3 59
1.79973e-06 0 0 0 3 57
1.80937e-06 0 0 0 3 35
1.81976e-06 0 0 0 3 48
1.82929e-06 0 0 0 3 53
1.83962e-06 0 0 0 3 54
1.84994e-06 0 0 0 3 47
1.85947e-06 0 0 0 3 35
1.86979e-06 0 0 0 3 61
1.87932e-06 0 0 0 3 59
1.88965e-06 0 0 0 3 48
1.89997e-06 0 0 0 3 53
1.9095e-06 0 0 0 3 57
1.91982e-06 0 0 0 3 40
1.92935e-06 0 0 0 3 61
1.93968e-06 0 0 0 3 42
1.94921e-06 0 0 0 3 51
1.95953e-06 0 0 0 3 54
1.96985e-06 0 0 0 3 58
1.9794e-06 0 0 0 3 54
1.98978e-06 0 0 0 3 51
1.99937e-06 0 0 0 3 39
2.00976e-06 0 0 0 3 49
2.01935e-06 0 0 0 3 62
2.02974e-06 0 0 0 3 57
2.03932e-06 0 0 0 3 52
2.04971e-06 0 0 0 3 48
2.0593e-06 0 0 0 3 53
2.06969e-06 0 0 0 3 51
2.07927e-06 0 0 0 3 49
2.08966e-06 0 0 0 3 53
2.09925e-06 0 0 0 3 62
2.10964e-06 0 0 0 3 32
2.11923e-06 0 0 0 3 49
2.12961e-06 0 0 0 3 33
2.1392e-06 0 0 0 3 49
2.14959e-06 0 0 0 3 60
2.15998e-06 0 0 0 3 57
2.16956e-06 0 0 0 3 57
2.17995e-06 0 0 0 3 55
2.18954e-06 0 0 0 3 70
2.19993e-06 0 0 0 3 50
2.20951e-06 0 0 0 3 33
2.2199e-06 0 0 0 3 36
2.22949e-06 0 0 0 3 63
2.23988e-06 0 0 0 3 48
2.24947e-06 0 0 0 3 68
2.25985e-06 0 0 0 3 51
2.26944e-06 0 0 0 3 35
2.27983e-06 0 0 0 3 78
2.28942e-06 0 0 0 3 53
2.2998e-06 0 0 0 3 72
2.30943e-06 0 0 0 3 48
2.31988e-06 0 0 0 3 34
2.32953e-06 0 0 0 3 63
2.33998e-06 0 0 0 3 32
2.34963e-06 0 0 0 3 48
2.35927e-06 0 0 0 3 48
2.36973e-06 0 0 0 3 48
2.37937e-06 0 0 0 3 56
2.38982e-06 0 0 0 3 52
2.39947e-06 0 0 0 3 63
2.40992e-06 0 0 0 3 54
2.41957e-06 0 0 0 3 61
2.42922e-06 0 0 0 3 61
2.43967e-06 0 0 0 3 49
2.44931e-06 0 0 0 3 48
2.45976e-06 0 0 0 3 60
2.4694e-06 0 0 0 3 62
2.47978e-06 0 0 0 3 73
2.48937e-06 0 0 0 3 55
2.49976e-06 0 0 0 3 62
2.50935e-06 0 0 0 3 49
2.51974e-06 0 0 0 3 62
2.52932e-06 0 0 0 3 53
2.53971e-06 0 0 0 3 49
2.5493e-06 0 0 0 3 48
2.55969e-06 0 0 0 3 59
2.56927e-06 0 0 0 3 54
2.57966e-06 0 0 0 3 78
2.58925e-06 0 0 0 3 54
2.59964e-06 0 0 0 3 57
2.60923e-06 0 0 0 3 55
2.61961e-06 0 0 0 3 37
2.6292e-06 0 0 0 3 48
2.63959e-06 0 0 0 3 62
2.64998e-06 0 0 0 3 57
2.65956e-06 0 0 0 3 55
2.66995e-06 0 0 0 3 61
2.67954e-06 0 0 0 3 63
2.68993e-06 0 0 0 3 52
2.69951e-06 0 0 0 3 58
2.7099e-06 0 0 0 3 52
2.71949e-06 0 0 0 3 34
2.72988e-06 0 0 0 3 62
2.73947e-06 0 0 0 3 55
2.74985e-06 0 0 0 3 63
2.75944e-06 0 0 0 3 49
2.76983e-06 0 0 0 3 52
2.77942e-06 0 0 0 3 56
2.7898e-06 0 0 0 3 55
2.79939e-06 0 0 0 3 50
2.80978e-06 0 0 0 3 54
2.81937e-06 0 0 0 3 54
2.82975e-06 0 0 0 3 51
2.83934e-06 0 0 0 3 50
2.84973e-06 0 0 0 3 52
2.85932e-06 0 0 0 3 54
2.86971e-06 0 0 0 3 78
2.87929e-06 0 0 0 3 73
2.88968e-06 0 0 0 3 54
2.89927e-06 0 0 0 3 55
2.90966e-06 0 0 0 3 55
2.91925e-06 0 0 0 3 58
2.92963e-06 0 0 0 3 62
2.93922e-06 0 0 0 3 57
2.94961e-06 0 0 0 3 49
2.96e-06 0 0 0 3 68
2.96958e-06 0 0 0 3 74
2.97997e-06 0 0 0 3 69
2.98956e-06 0 0 0 3 51
2.99995e-06 0 0 0 3 62
3.00953e-06 0 0 0 3 57
3.01992e-06 0 0 0 3 72
3.02951e-06 0 0 0 3 55
3.0399e-06 0 0 0 3 83
3.04949e-06 0 0 0 3 74
3.05987e-06 0 0 0 3 67
3.06946e-06 0 0 0 3 60
3.07985e-06 0 0 0 3 52
3.08944e-06 0 0 0 3 65
3.09982e-06 0 0 0 3 54
3.10941e-06 0 0 0 3 78
3.1198e-06 0 0 0 3 58
3.12939e-06 0 0 0 3 49
3.13977e-06 0 0 0 3 79
3.14936e-06 0 0 0 3 54
3.15975e-06 0 0 0 3 63
3.16934e-06 0 0 0 3 60
3.17973e-06 0 0 0 3 53
3.18931e-06 0 0 0 3 50
3.1997e-06 0 0 0 3 58
3.20929e-06 0 0 0 3 69
3.21968e-06 0 0 0 3 48
3.22926e-06 0 0 0 3 59
3.23965e-06 0 0 0 3 66
3.24924e-06 0 0 0 3 55
3.25963e-06 0 0 0 3 53
3.26922e-06 0 0 0 3 65
3.2796e-06 0 0 0 3 57
3.29067e-06 0 0 0 3 64
-nan 0 0 0 3 39
0 0 0 1 3 59
9.21569e-09 0 0 1 3 63
1.93529e-08 0 0 1 3 61
2.94902e-08 0 0 1 3 53
3.96275e-08 0 0 1 3 68
4.97647e-08 0 0 1 3 56
5.9902e-08 0 0 1 3 53
6.91176e-08 0 0 1 3 60
7.92549e-08 0 0 1 3 78
8.93922e-08 0 0 1 3 48
9.95294e-08 0 0 1 3 64
1.09667e-07 0 0 1 3 56
1.19804e-07 0 0 1 3 55
1.29941e-07 0 0 1 3 36
1.39157e-07 0 0 1 3 62
1.49294e-07 0 0 1 3 55
1.59431e-07 0 0 1 3 63
1.69569e-07 0 0 1 3 56
1.79706e-07 0 0 1 3 37
1.89588e-07 0 0 1 3 50
1.99912e-07 0 0 1 3 60
