InputVoltage BandgapControl RampGain ADCvalue
0 0 0 14
0.0102026 0 0 18
0.0201138 0 0 25
0.0300249 0 0 30
0.0402275 0 0 35
0.0501387 0 0 41
0.0600498 0 0 47
0.0702524 0 0 52
0.0801636 0 0 58
0.0900747 0 0 62
0.100277 0 0 67
0.110188 0 0 74
0.1201 0 0 80
0.130011 0 0 85
0.140213 0 0 91
0.150125 0 0 97
0.160036 0 0 102
0.170238 0 0 107
0.180149 0 0 113
0.190061 0 0 119
0.200263 0 0 124
0.210174 0 0 130
0.220085 0 0 136
0.230288 0 0 141
0.240199 0 0 147
0.25011 0 0 152
0.260021 0 0 157
0.270224 0 0 163
0.280135 0 0 170
0.290046 0 0 174
0.300249 0 0 180
0.31016 0 0 186
0.320071 0 0 192
0.330274 0 0 197
0.340185 0 0 202
0.350096 0 0 207
0.360007 0 0 212
0.37021 0 0 219
0.380121 0 0 225
0.390032 0 0 229
0.400235 0 0 235
0.410146 0 0 240
0.420057 0 0 245
0.43026 0 0 251
0.440171 0 0 256
0.450082 0 0 261
0.460285 0 0 268
0.470196 0 0 274
0.480107 0 0 279
0.490018 0 0 284
0.500221 0 0 289
0.510132 0 0 295
0.520043 0 0 300
0.530246 0 0 305
0.540157 0 0 312
0.550068 0 0 317
0.560271 0 0 323
0.570182 0 0 328
0.580093 0 0 334
0.590004 0 0 340
0.600207 0 0 345
0.610118 0 0 351
0.620029 0 0 356
0.630231 0 0 362
0.640143 0 0 367
0.650054 0 0 373
0.660256 0 0 378
0.670167 0 0 384
0.680079 0 0 390
0.690281 0 0 395
0.700192 0 0 401
0.710104 0 0 407
0.720015 0 0 412
0.730217 0 0 417
0.740128 0 0 423
0.75004 0 0 429
0.760242 0 0 435
0.770153 0 0 440
0.780064 0 0 446
0.790267 0 0 451
0.800178 0 0 456
0.810089 0 0 462
0.82 0 0 468
0.830203 0 0 473
0.840114 0 0 479
0.850025 0 0 485
0.860228 0 0 490
0.870139 0 0 495
0.88005 0 0 501
0.890253 0 0 507
0.900164 0 0 512
0.910075 0 0 518
0.920278 0 0 523
0.930189 0 0 529
0.9401 0 0 534
0.950011 0 0 540
0.960214 0 0 545
0.970125 0 0 551
0.980036 0 0 557
0.990239 0 0 563
1.00015 0 0 568
1.01006 0 0 574
1.02026 0 0 580
1.03017 0 0 584
1.04009 0 0 590
1.05029 0 0 596
1.0602 0 0 601
1.07011 0 0 607
1.08002 0 0 613
1.09022 0 0 618
1.10014 0 0 624
1.11005 0 0 629
1.12025 0 0 636
1.13016 0 0 641
1.14007 0 0 647
1.15027 0 0 652
1.16019 0 0 657
1.1701 0 0 664
1.18001 0 0 669
1.19021 0 0 675
0 0 1 27
0.0102026 0 1 38
0.0201138 0 1 49
0.0300249 0 1 63
0.0402275 0 1 75
0.0501387 0 1 87
0.0600498 0 1 99
0.0702524 0 1 111
0.0801636 0 1 123
0.0900747 0 1 135
0.100277 0 1 147
0.110188 0 1 160
0.1201 0 1 171
0.130011 0 1 184
0.140213 0 1 198
0.150125 0 1 209
0.160036 0 1 221
0.170238 0 1 233
0.180149 0 1 246
0.190061 0 1 258
0.200263 0 1 271
0.210174 0 1 283
0.220085 0 1 296
0.230288 0 1 308
0.240199 0 1 320
0.25011 0 1 332
0.260021 0 1 345
0.270224 0 1 358
0.280135 0 1 370
0.290046 0 1 382
0.300249 0 1 395
0.31016 0 1 406
0.320071 0 1 418
0.330274 0 1 431
0.340185 0 1 442
0.350096 0 1 455
0.360007 0 1 467
0.37021 0 1 478
0.380121 0 1 490
0.390032 0 1 502
0.400235 0 1 515
0.410146 0 1 526
0.420057 0 1 539
0.43026 0 1 551
0.440171 0 1 564
0.450082 0 1 575
0.460285 0 1 586
0.470196 0 1 598
0.480107 0 1 610
0.490018 0 1 624
0.500221 0 1 635
0.510132 0 1 648
0.520043 0 1 660
0.530246 0 1 672
0.540157 0 1 684
0.550068 0 1 697
0.560271 0 1 708
0.570182 0 1 719
0.580093 0 1 733
0.590004 0 1 745
0.600207 0 1 758
0.610118 0 1 769
0.620029 0 1 781
0.630231 0 1 793
0.640143 0 1 807
0.650054 0 1 818
0.660256 0 1 832
0.670167 0 1 842
0.680079 0 1 857
0.690281 0 1 869
0.700192 0 1 880
0.710104 0 1 894
0.720015 0 1 906
0.730217 0 1 918
0.740128 0 1 930
0.75004 0 1 943
0.760242 0 1 955
0.770153 0 1 968
0.780064 0 1 979
0.790267 0 1 992
0.800178 0 1 1005
0.810089 0 1 1016
0.82 0 1 1014
0.830203 0 1 1014
0.840114 0 1 1014
0.850025 0 1 1014
0.860228 0 1 1014
0.870139 0 1 1014
0.88005 0 1 1014
0.890253 0 1 1014
0.900164 0 1 1014
0.910075 0 1 1014
0.920278 0 1 1014
0.930189 0 1 1014
0.9401 0 1 1014
0.950011 0 1 1014
0.960214 0 1 1014
0.970125 0 1 1014
0.980036 0 1 1014
0.990239 0 1 1014
1.00015 0 1 1014
1.01006 0 1 1014
1.02026 0 1 1014
1.03017 0 1 1014
1.04009 0 1 1014
1.05029 0 1 1014
1.0602 0 1 1014
1.07011 0 1 1014
1.08002 0 1 1014
1.09022 0 1 1014
1.10014 0 1 1014
1.11005 0 1 1014
1.12025 0 1 1014
1.13016 0 1 1014
1.14007 0 1 1014
1.15027 0 1 1014
1.16019 0 1 1014
1.1701 0 1 1014
1.18001 0 1 1014
1.19021 0 1 1014
0 0 2 17
0.0102026 0 2 23
0.0201138 0 2 30
0.0300249 0 2 37
0.0402275 0 2 44
0.0501387 0 2 52
0.0600498 0 2 59
0.0702524 0 2 65
0.0801636 0 2 73
0.0900747 0 2 80
0.100277 0 2 86
0.110188 0 2 93
0.1201 0 2 101
0.130011 0 2 108
0.140213 0 2 115
0.150125 0 2 123
0.160036 0 2 129
0.170238 0 2 137
