InputVoltage BandgapControl RampGain ADCvalue
0 0 0 26
0.0104102 0 0 20
0.0200195 0 0 25
0.0304297 0 0 43
0.0400391 0 0 43
0.0504492 0 0 49
0.0600586 0 0 59
0.0704687 0 0 64
0.0800781 0 0 67
0.0904883 0 0 70
0.100098 0 0 77
0.110508 0 0 81
0.120117 0 0 89
0.130527 0 0 99
0.140137 0 0 99
0.150547 0 0 110
0.160156 0 0 112
0.170566 0 0 123
0.180176 0 0 124
0.190586 0 0 133
0.200195 0 0 136
0.210605 0 0 141
0.220215 0 0 150
0.230625 0 0 156
0.240234 0 0 160
0.250645 0 0 163
0.260254 0 0 182
0.270664 0 0 183
0.280273 0 0 191
0.290684 0 0 185
0.300293 0 0 202
0.310703 0 0 206
0.320312 0 0 208
0.330723 0 0 213
0.340332 0 0 216
0.350742 0 0 225
0.360352 0 0 230
0.370762 0 0 232
0.380371 0 0 240
0.390781 0 0 248
0.400391 0 0 254
0.410801 0 0 257
0.42041 0 0 264
0.43002 0 0 278
0.44043 0 0 277
0.450039 0 0 285
0.460449 0 0 284
0.470059 0 0 294
0.480469 0 0 299
0.490078 0 0 307
0.500488 0 0 304
0.510098 0 0 317
0.520508 0 0 321
0.530117 0 0 331
0.540527 0 0 336
0.550137 0 0 342
0.560547 0 0 346
0.570156 0 0 352
0.580566 0 0 356
0.590176 0 0 366
0.600586 0 0 369
0.610195 0 0 376
0.620605 0 0 385
0.630215 0 0 390
0.640625 0 0 395
0.650234 0 0 398
0.660645 0 0 411
0.670254 0 0 415
0.680664 0 0 423
0.690273 0 0 421
0.700684 0 0 431
0.710293 0 0 439
0.720703 0 0 446
0.730312 0 0 444
0.740723 0 0 454
0.750332 0 0 456
0.760742 0 0 465
0.770352 0 0 475
0.780762 0 0 477
0.790371 0 0 487
0.800781 0 0 487
0.810391 0 0 492
0.820801 0 0 503
0.83041 0 0 510
0.84002 0 0 508
0.85043 0 0 522
0.860039 0 0 523
0.870449 0 0 529
0.880059 0 0 537
0.890469 0 0 543
0.900078 0 0 547
0.910488 0 0 553
0.920098 0 0 562
0.930508 0 0 567
0.940117 0 0 571
0.950527 0 0 577
0.960137 0 0 580
0.970547 0 0 590
0.980156 0 0 599
0.990566 0 0 593
1.00018 0 0 604
1.01059 0 0 615
1.0202 0 0 614
1.03061 0 0 622
1.04021 0 0 630
1.05062 0 0 636
1.06023 0 0 642
1.07064 0 0 650
1.08025 0 0 650
1.09066 0 0 655
1.10027 0 0 662
1.11068 0 0 667
1.12029 0 0 675
1.1307 0 0 682
1.14031 0 0 690
1.15072 0 0 693
1.16033 0 0 695
1.17074 0 0 701
1.18035 0 0 706
1.19076 0 0 714
0 0 1 42
0.0104102 0 1 51
0.0200195 0 1 61
0.0304297 0 1 90
0.0400391 0 1 93
0.0504492 0 1 104
0.0600586 0 1 123
0.0704687 0 1 128
0.0800781 0 1 140
0.0904883 0 1 153
0.100098 0 1 172
0.110508 0 1 190
0.120117 0 1 197
0.130527 0 1 208
0.140137 0 1 234
0.150547 0 1 240
0.160156 0 1 245
0.170566 0 1 270
0.180176 0 1 276
0.190586 0 1 292
0.200195 0 1 305
0.210605 0 1 321
0.220215 0 1 329
0.230625 0 1 350
0.240234 0 1 359
0.250645 0 1 373
0.260254 0 1 387
0.270664 0 1 397
0.280273 0 1 414
0.290684 0 1 427
0.300293 0 1 446
0.310703 0 1 449
0.320312 0 1 466
0.330723 0 1 466
0.340332 0 1 495
0.350742 0 1 503
0.360352 0 1 508
0.370762 0 1 530
0.380371 0 1 545
0.390781 0 1 557
0.400391 0 1 569
0.410801 0 1 583
0.42041 0 1 592
0.43002 0 1 606
0.44043 0 1 617
0.450039 0 1 635
0.460449 0 1 644
0.470059 0 1 656
0.480469 0 1 672
0.490078 0 1 687
0.500488 0 1 707
0.510098 0 1 715
0.520508 0 1 716
0.530117 0 1 746
0.540527 0 1 748
0.550137 0 1 770
0.560547 0 1 783
0.570156 0 1 789
0.580566 0 1 810
0.590176 0 1 818
0.600586 0 1 824
0.610195 0 1 851
0.620605 0 1 853
0.630215 0 1 864
0.640625 0 1 888
0.650234 0 1 903
0.660645 0 1 915
0.670254 0 1 925
0.680664 0 1 941
0.690273 0 1 955
0.700684 0 1 970
0.710293 0 1 976
0.720703 0 1 987
0.730312 0 1 1006
0.740723 0 1 1023
0.750332 0 1 1019
0.760742 0 1 1019
0.770352 0 1 1019
0.780762 0 1 1019
0.790371 0 1 1019
0.800781 0 1 1019
0.810391 0 1 1019
0.820801 0 1 1019
0.83041 0 1 1019
0.84002 0 1 1019
0.85043 0 1 1019
0.860039 0 1 1019
0.870449 0 1 1019
0.880059 0 1 1019
0.890469 0 1 1019
0.900078 0 1 1019
0.910488 0 1 1019
0.920098 0 1 1019
0.930508 0 1 1019
0.940117 0 1 1019
0.950527 0 1 1019
0.960137 0 1 1019
0.970547 0 1 1019
0.980156 0 1 1019
0.990566 0 1 1019
1.00018 0 1 1019
1.01059 0 1 1019
1.0202 0 1 1019
1.03061 0 1 1019
1.04021 0 1 1019
1.05062 0 1 1019
1.06023 0 1 1019
1.07064 0 1 1019
1.08025 0 1 1019
1.09066 0 1 1019
1.10027 0 1 1019
1.11068 0 1 1019
1.12029 0 1 1019
1.1307 0 1 1019
1.14031 0 1 1019
1.15072 0 1 1019
1.16033 0 1 1019
1.17074 0 1 1019
1.18035 0 1 1019
1.19076 0 1 1019
0 0 2 20
0.0104102 0 2 20
0.0200195 0 2 41
0.0304297 0 2 51
0.0400391 0 2 48
0.0504492 0 2 59
0.0600586 0 2 60
0.0704687 0 2 77
0.0800781 0 2 84
0.0904883 0 2 89
