Param val stddev
VCC_H_1.500000_current_1V5_Reset 0.0447419 0.000181618
VCC_H_1.500000_VDD_Reset 1.40745 0.00481535
VCC_H_1.500000_current_1V5_Run 0.0372695 0.00462146
VCC_H_1.500000_VDD_Run 1.41344 0.00686777
VCC_H_1.500000_VDD_2_R 716.3 1.1
VCC_H_1.500000_VDD_2_L 407.5 0.5
VCC_H_1.500000_DVDD_2 427.9 0.3
VCC_H_1.500000_BG 435 0.447214
VCC_H_1.500000_Temp 335.7 116.441
VCC_H_1.500000_VDD_H_4 231.6 0.489898
VCC_H_1.500000_OTA_R 614.7 0.458258
VCC_H_1.500000_OTA_L 581.1 0.3
VCC_H_2.000000_current_1V5_Reset 0.0440105 0.00115459
VCC_H_2.000000_VDD_Reset 1.40297 8.88178e-16
VCC_H_2.000000_current_1V5_Run 0.0364984 0.00443714
VCC_H_2.000000_VDD_Run 1.41453 0.00565594
VCC_H_2.000000_VDD_2_R 715.9 1.04403
VCC_H_2.000000_VDD_2_L 407.5 0.5
VCC_H_2.000000_DVDD_2 428 0
VCC_H_2.000000_BG 434.9 0.3
VCC_H_2.000000_Temp 385.9 0.3
VCC_H_2.000000_VDD_H_4 300.9 0.3
VCC_H_2.000000_OTA_R 614.9 0.3
VCC_H_2.000000_OTA_L 581.2 0.4
VCC_H_2.500000_current_1V5_Reset 0.0442071 0.000692996
VCC_H_2.500000_VDD_Reset 1.40297 8.88178e-16
VCC_H_2.500000_current_1V5_Run 0.036486 0.00431111
VCC_H_2.500000_VDD_Run 1.41392 0.00611419
VCC_H_2.500000_VDD_2_R 717 1.41421
VCC_H_2.500000_VDD_2_L 407.6 0.489898
VCC_H_2.500000_DVDD_2 429 0
VCC_H_2.500000_BG 435.1 0.3
VCC_H_2.500000_Temp 386 0
VCC_H_2.500000_VDD_H_4 371.9 0.3
VCC_H_2.500000_OTA_R 615.4 0.489898
VCC_H_2.500000_OTA_L 581.8 0.4
VCC_H_3.000000_current_1V5_Reset 0.0442518 0.000247499
VCC_H_3.000000_VDD_Reset 1.40297 8.88178e-16
VCC_H_3.000000_current_1V5_Run 0.0359985 0.004169
VCC_H_3.000000_VDD_Run 1.41373 0.0068478
VCC_H_3.000000_VDD_2_R 717.1 1.13578
VCC_H_3.000000_VDD_2_L 408.1 0.3
VCC_H_3.000000_DVDD_2 429.3 0.458258
VCC_H_3.000000_BG 435.2 0.4
VCC_H_3.000000_Temp 387 0
VCC_H_3.000000_VDD_H_4 442.2 0.4
VCC_H_3.000000_OTA_R 616.2 0.4
VCC_H_3.000000_OTA_L 582.9 0.3
