InputVoltage BandgapControl RampGain ADCvalue
0 0 0 12
0.0102026 0 0 18
0.0201138 0 0 24
0.0300249 0 0 30
0.0402275 0 0 35
0.0501387 0 0 40
0.0600498 0 0 46
0.0702524 0 0 51
0.0801636 0 0 57
0.0900747 0 0 62
0.100277 0 0 69
0.110188 0 0 74
0.1201 0 0 79
0.130011 0 0 85
0.140213 0 0 90
0.150125 0 0 97
0.160036 0 0 102
0.170238 0 0 108
0.180149 0 0 113
0.190061 0 0 119
0.200263 0 0 124
0.210174 0 0 129
0.220085 0 0 136
0.230288 0 0 142
0.240199 0 0 147
0.25011 0 0 152
0.260021 0 0 158
0.270224 0 0 164
0.280135 0 0 168
0.290046 0 0 174
0.300249 0 0 180
0.31016 0 0 186
0.320071 0 0 191
0.330274 0 0 196
0.340185 0 0 202
0.350096 0 0 207
0.360007 0 0 213
0.37021 0 0 218
0.380121 0 0 223
0.390032 0 0 230
0.400235 0 0 235
0.410146 0 0 239
0.420057 0 0 246
0.43026 0 0 250
0.440171 0 0 256
0.450082 0 0 261
0.460285 0 0 267
0.470196 0 0 273
0.480107 0 0 278
0.490018 0 0 283
0.500221 0 0 289
0.510132 0 0 295
0.520043 0 0 299
0.530246 0 0 305
0.540157 0 0 312
0.550068 0 0 316
0.560271 0 0 322
0.570182 0 0 328
0.580093 0 0 333
0.590004 0 0 339
0.600207 0 0 344
0.610118 0 0 350
0.620029 0 0 355
0.630231 0 0 361
0.640143 0 0 367
0.650054 0 0 372
0.660256 0 0 378
0.670167 0 0 384
0.680079 0 0 389
0.690281 0 0 395
0.700192 0 0 401
0.710104 0 0 406
0.720015 0 0 411
0.730217 0 0 417
0.740128 0 0 423
0.75004 0 0 428
0.760242 0 0 434
0.770153 0 0 439
0.780064 0 0 446
0.790267 0 0 451
0.800178 0 0 456
0.810089 0 0 462
0.82 0 0 468
0.830203 0 0 473
0.840114 0 0 478
0.850025 0 0 484
0.860228 0 0 490
0.870139 0 0 495
0.88005 0 0 501
0.890253 0 0 507
0.900164 0 0 511
0.910075 0 0 517
0.920278 0 0 522
0.930189 0 0 529
0.9401 0 0 534
0.950011 0 0 540
0.960214 0 0 545
0.970125 0 0 551
0.980036 0 0 556
0.990239 0 0 562
1.00015 0 0 567
1.01006 0 0 573
1.02026 0 0 579
1.03017 0 0 583
1.04009 0 0 590
1.05029 0 0 595
1.0602 0 0 601
1.07011 0 0 606
1.08002 0 0 612
1.09022 0 0 618
1.10014 0 0 623
1.11005 0 0 629
1.12025 0 0 634
1.13016 0 0 640
1.14007 0 0 646
1.15027 0 0 651
1.16019 0 0 657
1.1701 0 0 662
1.18001 0 0 668
1.19021 0 0 674
0 0 1 27
0.0102026 0 1 38
0.0201138 0 1 50
0.0300249 0 1 62
0.0402275 0 1 74
0.0501387 0 1 86
0.0600498 0 1 98
0.0702524 0 1 110
0.0801636 0 1 123
0.0900747 0 1 135
0.100277 0 1 146
0.110188 0 1 159
0.1201 0 1 171
0.130011 0 1 184
0.140213 0 1 197
0.150125 0 1 209
0.160036 0 1 220
0.170238 0 1 233
0.180149 0 1 246
0.190061 0 1 257
0.200263 0 1 270
0.210174 0 1 282
0.220085 0 1 295
0.230288 0 1 307
0.240199 0 1 319
0.25011 0 1 332
0.260021 0 1 344
0.270224 0 1 357
0.280135 0 1 369
0.290046 0 1 379
0.300249 0 1 394
0.31016 0 1 405
0.320071 0 1 417
0.330274 0 1 429
0.340185 0 1 442
0.350096 0 1 452
0.360007 0 1 464
0.37021 0 1 476
0.380121 0 1 489
0.390032 0 1 501
0.400235 0 1 514
0.410146 0 1 524
0.420057 0 1 536
0.43026 0 1 549
0.440171 0 1 560
0.450082 0 1 573
0.460285 0 1 584
0.470196 0 1 598
0.480107 0 1 608
0.490018 0 1 620
0.500221 0 1 633
0.510132 0 1 646
0.520043 0 1 656
0.530246 0 1 670
0.540157 0 1 683
0.550068 0 1 694
0.560271 0 1 707
0.570182 0 1 719
0.580093 0 1 730
0.590004 0 1 743
0.600207 0 1 756
0.610118 0 1 768
0.620029 0 1 779
0.630231 0 1 792
0.640143 0 1 804
0.650054 0 1 816
0.660256 0 1 829
0.670167 0 1 840
0.680079 0 1 854
0.690281 0 1 866
0.700192 0 1 878
0.710104 0 1 891
0.720015 0 1 902
0.730217 0 1 915
0.740128 0 1 927
0.75004 0 1 939
0.760242 0 1 951
0.770153 0 1 965
0.780064 0 1 976
0.790267 0 1 988
0.800178 0 1 1001
0.810089 0 1 1012
0.82 0 1 1012
0.830203 0 1 1023
0.840114 0 1 1023
0.850025 0 1 1023
0.860228 0 1 1023
0.870139 0 1 1023
0.88005 0 1 1023
0.890253 0 1 1023
0.900164 0 1 1023
0.910075 0 1 1023
0.920278 0 1 1023
0.930189 0 1 1023
0.9401 0 1 1023
0.950011 0 1 1023
0.960214 0 1 1023
0.970125 0 1 1023
0.980036 0 1 1023
0.990239 0 1 1023
1.00015 0 1 1023
1.01006 0 1 1023
1.02026 0 1 1023
1.03017 0 1 1023
1.04009 0 1 1023
1.05029 0 1 1023
1.0602 0 1 1023
1.07011 0 1 1023
1.08002 0 1 1023
1.09022 0 1 1023
1.10014 0 1 1023
1.11005 0 1 1023
1.12025 0 1 1023
1.13016 0 1 1023
1.14007 0 1 1023
1.15027 0 1 1023
1.16019 0 1 1023
1.1701 0 1 1023
1.18001 0 1 1023
