InputVoltage BandgapControl RampGain ADCvalue
0 0 0 19
0.0102026 0 0 23
0.0201138 0 0 30
0.0300249 0 0 33
0.0402275 0 0 41
0.0501387 0 0 46
0.0600498 0 0 53
0.0702524 0 0 59
0.0801636 0 0 63
0.0900747 0 0 70
0.100277 0 0 76
0.110188 0 0 83
0.1201 0 0 87
0.130011 0 0 94
0.140213 0 0 98
0.150125 0 0 105
0.160036 0 0 110
0.170238 0 0 117
0.180149 0 0 124
0.190061 0 0 128
0.200263 0 0 133
0.210174 0 0 140
0.220085 0 0 144
0.230288 0 0 152
0.240199 0 0 158
0.25011 0 0 162
0.260021 0 0 170
0.270224 0 0 176
0.280135 0 0 179
0.290046 0 0 187
0.300249 0 0 255
0.31016 0 0 200
0.320071 0 0 204
0.330274 0 0 209
0.340185 0 0 216
0.350096 0 0 222
0.360007 0 0 226
0.37021 0 0 232
0.380121 0 0 236
0.390032 0 0 245
0.400235 0 0 250
0.410146 0 0 255
0.420057 0 0 260
0.43026 0 0 265
0.440171 0 0 271
0.450082 0 0 276
0.460285 0 0 283
0.470196 0 0 289
0.480107 0 0 295
0.490018 0 0 302
0.500221 0 0 308
0.510132 0 0 312
0.520043 0 0 319
0.530246 0 0 323
0.540157 0 0 331
0.550068 0 0 337
0.560271 0 0 341
0.570182 0 0 347
0.580093 0 0 353
0.590004 0 0 361
0.600207 0 0 367
0.610118 0 0 372
0.620029 0 0 376
0.630231 0 0 446
0.640143 0 0 390
0.650054 0 0 396
0.660256 0 0 402
0.670167 0 0 407
0.680079 0 0 412
0.690281 0 0 419
0.700192 0 0 424
0.710104 0 0 429
0.720015 0 0 437
0.730217 0 0 441
0.740128 0 0 511
0.75004 0 0 456
0.760242 0 0 459
0.770153 0 0 465
0.780064 0 0 472
0.790267 0 0 478
0.800178 0 0 482
0.810089 0 0 489
0.82 0 0 495
0.830203 0 0 501
0.840114 0 0 508
0.850025 0 0 512
0.860228 0 0 517
0.870139 0 0 523
0.88005 0 0 531
0.890253 0 0 537
0.900164 0 0 540
0.910075 0 0 548
0.920278 0 0 553
0.930189 0 0 559
0.9401 0 0 565
0.950011 0 0 570
0.960214 0 0 638
0.970125 0 0 581
0.980036 0 0 588
0.990239 0 0 593
1.00015 0 0 598
1.01006 0 0 603
1.02026 0 0 611
1.03017 0 0 616
1.04009 0 0 622
1.05029 0 0 628
1.0602 0 0 634
1.07011 0 0 576
1.08002 0 0 646
1.09022 0 0 652
1.10014 0 0 658
1.11005 0 0 662
1.12025 0 0 669
1.13016 0 0 674
1.14007 0 0 681
1.15027 0 0 686
1.16019 0 0 694
1.1701 0 0 699
1.18001 0 0 704
1.19021 0 0 712
0 0 1 38
0.0102026 0 1 47
0.0201138 0 1 61
0.0300249 0 1 73
0.0402275 0 1 87
0.0501387 0 1 98
0.0600498 0 1 112
0.0702524 0 1 188
0.0801636 0 1 138
0.0900747 0 1 154
0.100277 0 1 167
0.110188 0 1 180
0.1201 0 1 128
0.130011 0 1 204
0.140213 0 1 218
0.150125 0 1 230
0.160036 0 1 243
0.170238 0 1 257
0.180149 0 1 270
0.190061 0 1 284
0.200263 0 1 297
0.210174 0 1 312
0.220085 0 1 322
0.230288 0 1 335
0.240199 0 1 347
0.25011 0 1 363
0.260021 0 1 377
0.270224 0 1 392
0.280135 0 1 404
0.290046 0 1 415
0.300249 0 1 428
0.31016 0 1 444
0.320071 0 1 454
0.330274 0 1 466
0.340185 0 1 482
0.350096 0 1 492
0.360007 0 1 508
0.37021 0 1 517
0.380121 0 1 531
0.390032 0 1 544
0.400235 0 1 559
0.410146 0 1 570
0.420057 0 1 580
0.43026 0 1 593
0.440171 0 1 607
0.450082 0 1 621
0.460285 0 1 635
0.470196 0 1 647
0.480107 0 1 660
0.490018 0 1 672
0.500221 0 1 685
0.510132 0 1 701
0.520043 0 1 713
0.530246 0 1 725
0.540157 0 1 739
0.550068 0 1 752
0.560271 0 1 765
0.570182 0 1 780
0.580093 0 1 792
0.590004 0 1 805
0.600207 0 1 819
0.610118 0 1 768
0.620029 0 1 843
0.630231 0 1 855
0.640143 0 1 873
0.650054 0 1 885
0.660256 0 1 897
0.670167 0 1 910
0.680079 0 1 923
0.690281 0 1 938
0.700192 0 1 951
0.710104 0 1 964
0.720015 0 1 976
0.730217 0 1 989
0.740128 0 1 1002
0.75004 0 1 1019
0.760242 0 1 1013
0.770153 0 1 1013
0.780064 0 1 1013
0.790267 0 1 1013
0.800178 0 1 1013
0.810089 0 1 1013
0.82 0 1 1013
0.830203 0 1 1013
0.840114 0 1 1013
0.850025 0 1 1013
0.860228 0 1 1013
0.870139 0 1 1013
0.88005 0 1 1013
0.890253 0 1 1013
0.900164 0 1 1013
0.910075 0 1 1013
0.920278 0 1 1013
0.930189 0 1 1013
0.9401 0 1 1013
0.950011 0 1 1013
0.960214 0 1 1013
0.970125 0 1 1013
0.980036 0 1 1013
0.990239 0 1 1013
1.00015 0 1 1013
1.01006 0 1 1013
1.02026 0 1 1013
1.03017 0 1 1013
1.04009 0 1 1013
1.05029 0 1 1013
1.0602 0 1 1013
1.07011 0 1 1013
1.08002 0 1 1013
1.09022 0 1 1013
1.10014 0 1 1013
1.11005 0 1 1013
1.12025 0 1 1013
1.13016 0 1 1013
1.14007 0 1 1013
1.15027 0 1 1013
1.16019 0 1 1013
1.1701 0 1 1013
1.18001 0 1 1013
1.19021 0 1 1013
0 0 2 22
0.0102026 0 2 31
0.0201138 0 2 38
0.0300249 0 2 43
0.0402275 0 2 49
0.0501387 0 2 59
0.0600498 0 2 64
0.0702524 0 2 74
0.0801636 0 2 81
0.0900747 0 2 87
0.100277 0 2 95
0.110188 0 2 105
0.1201 0 2 110
0.130011 0 2 117
0.140213 0 2 125
0.150125 0 2 134
0.160036 0 2 142
0.170238 0 2 148
0.180149 0 2 153
0.190061 0 2 165
0.200263 0 2 172
0.210174 0 2 176
0.220085 0 2 185
0.230288 0 2 195
0.240199 0 2 200
0.25011 0 2 209
0.260021 0 2 216
0.270224 0 2 224
0.280135 0 2 230
0.290046 0 2 239
0.300249 0 2 245
0.31016 0 2 192
0.320071 0 2 261
0.330274 0 2 269
0.340185 0 2 277
0.350096 0 2 283
0.360007 0 2 291
0.37021 0 2 299
0.380121 0 2 306
0.390032 0 2 313
0.400235 0 2 257
0.410146 0 2 326
0.420057 0 2 332
0.43026 0 2 340
0.440171 0 2 346
0.450082 0 2 355
0.460285 0 2 363
0.470196 0 2 372
0.480107 0 2 378
0.490018 0 2 384
0.500221 0 2 393
0.510132 0 2 400
0.520043 0 2 408
0.530246 0 2 416
0.540157 0 2 424
0.550068 0 2 430
0.560271 0 2 440
0.570182 0 2 446
0.580093 0 2 454
0.590004 0 2 460
0.600207 0 2 469
0.610118 0 2 476
0.620029 0 2 484
0.630231 0 2 492
0.640143 0 2 499
0.650054 0 2 507
0.660256 0 2 515
0.670167 0 2 523
0.680079 0 2 529
0.690281 0 2 537
0.700192 0 2 546
0.710104 0 2 552
0.720015 0 2 559
0.730217 0 2 566
0.740128 0 2 575
0.75004 0 2 581
0.760242 0 2 589
0.770153 0 2 597
0.780064 0 2 604
0.790267 0 2 612
0.800178 0 2 619
0.810089 0 2 627
0.82 0 2 633
0.830203 0 2 643
0.840114 0 2 647
0.850025 0 2 658
0.860228 0 2 663
0.870139 0 2 672
0.88005 0 2 680
0.890253 0 2 685
0.900164 0 2 695
0.910075 0 2 702
0.920278 0 2 710
0.930189 0 2 717
0.9401 0 2 724
0.950011 0 2 733
0.960214 0 2 739
0.970125 0 2 747
0.980036 0 2 755
0.990239 0 2 760
1.00015 0 2 769
1.01006 0 2 777
1.02026 0 2 783
1.03017 0 2 792
1.04009 0 2 797
1.05029 0 2 807
1.0602 0 2 814
1.07011 0 2 821
1.08002 0 2 828
1.09022 0 2 837
1.10014 0 2 843
1.11005 0 2 852
1.12025 0 2 858
1.13016 0 2 866
1.14007 0 2 873
1.15027 0 2 882
1.16019 0 2 890
1.1701 0 2 897
1.18001 0 2 905
1.19021 0 2 910
0 0 3 22
0.0102026 0 3 29
0.0201138 0 3 33
0.0300249 0 3 41
0.0402275 0 3 49
0.0501387 0 3 55
0.0600498 0 3 63
0.0702524 0 3 71
0.0801636 0 3 79
0.0900747 0 3 86
0.100277 0 3 94
0.110188 0 3 100
0.1201 0 3 107
0.130011 0 3 112
0.140213 0 3 120
0.150125 0 3 191
0.160036 0 3 133
0.170238 0 3 142
0.180149 0 3 151
0.190061 0 3 156
0.200263 0 3 164
0.210174 0 3 169
0.220085 0 3 177
0.230288 0 3 184
0.240199 0 3 130
0.25011 0 3 200
0.260021 0 3 205
0.270224 0 3 213
0.280135 0 3 222
0.290046 0 3 228
0.300249 0 3 236
0.31016 0 3 243
0.320071 0 3 248
0.330274 0 3 319
0.340185 0 3 264
0.350096 0 3 271
0.360007 0 3 276
0.37021 0 3 284
0.380121 0 3 292
0.390032 0 3 297
0.400235 0 3 304
0.410146 0 3 309
0.420057 0 3 319
0.43026 0 3 325
0.440171 0 3 332
0.450082 0 3 340
0.460285 0 3 345
0.470196 0 3 354
0.480107 0 3 360
0.490018 0 3 367
0.500221 0 3 374
0.510132 0 3 381
0.520043 0 3 390
0.530246 0 3 396
0.540157 0 3 403
0.550068 0 3 412
0.560271 0 3 419
0.570182 0 3 427
0.580093 0 3 430
0.590004 0 3 441
0.600207 0 3 447
0.610118 0 3 453
0.620029 0 3 461
0.630231 0 3 469
0.640143 0 3 476
0.650054 0 3 481
0.660256 0 3 491
0.670167 0 3 496
0.680079 0 3 505
0.690281 0 3 449
0.700192 0 3 518
0.710104 0 3 526
0.720015 0 3 532
0.730217 0 3 541
0.740128 0 3 547
0.75004 0 3 556
0.760242 0 3 563
0.770153 0 3 567
0.780064 0 3 575
0.790267 0 3 585
0.800178 0 3 591
0.810089 0 3 597
0.82 0 3 604
0.830203 0 3 613
0.840114 0 3 619
0.850025 0 3 626
0.860228 0 3 633
0.870139 0 3 642
0.88005 0 3 648
0.890253 0 3 656
0.900164 0 3 663
0.910075 0 3 670
0.920278 0 3 677
0.930189 0 3 683
0.9401 0 3 690
0.950011 0 3 698
0.960214 0 3 704
0.970125 0 3 712
0.980036 0 3 719
0.990239 0 3 726
1.00015 0 3 733
1.01006 0 3 739
1.02026 0 3 746
1.03017 0 3 751
1.04009 0 3 761
1.05029 0 3 705
1.0602 0 3 775
1.07011 0 3 782
1.08002 0 3 790
1.09022 0 3 798
1.10014 0 3 804
1.11005 0 3 810
1.12025 0 3 818
1.13016 0 3 826
1.14007 0 3 833
1.15027 0 3 840
1.16019 0 3 848
1.1701 0 3 854
1.18001 0 3 861
1.19021 0 3 870
0 1 0 20
0.0102026 1 0 25
0.0201138 1 0 28
0.0300249 1 0 36
0.0402275 1 0 42
0.0501387 1 0 48
0.0600498 1 0 51
0.0702524 1 0 59
0.0801636 1 0 66
0.0900747 1 0 69
0.100277 1 0 75
0.110188 1 0 81
0.1201 1 0 88
0.130011 1 0 95
0.140213 1 0 100
0.150125 1 0 107
0.160036 1 0 114
0.170238 1 0 118
0.180149 1 0 123
0.190061 1 0 131
0.200263 1 0 138
0.210174 1 0 141
0.220085 1 0 148
0.230288 1 0 153
0.240199 1 0 160
0.25011 1 0 164
0.260021 1 0 170
0.270224 1 0 179
0.280135 1 0 184
0.290046 1 0 188
0.300249 1 0 196
0.31016 1 0 200
0.320071 1 0 207
0.330274 1 0 212
0.340185 1 0 218
0.350096 1 0 224
0.360007 1 0 232
0.37021 1 0 237
0.380121 1 0 241
0.390032 1 0 248
0.400235 1 0 253
0.410146 1 0 259
0.420057 1 0 264
0.43026 1 0 269
0.440171 1 0 274
0.450082 1 0 282
0.460285 1 0 289
0.470196 1 0 292
0.480107 1 0 301
0.490018 1 0 305
0.500221 1 0 311
0.510132 1 0 316
0.520043 1 0 323
0.530246 1 0 328
0.540157 1 0 336
0.550068 1 0 341
0.560271 1 0 347
0.570182 1 0 353
0.580093 1 0 360
0.590004 1 0 365
0.600207 1 0 370
0.610118 1 0 379
0.620029 1 0 381
0.630231 1 0 390
0.640143 1 0 395
0.650054 1 0 401
0.660256 1 0 407
0.670167 1 0 413
0.680079 1 0 420
0.690281 1 0 425
0.700192 1 0 432
0.710104 1 0 438
0.720015 1 0 443
0.730217 1 0 448
0.740128 1 0 455
0.75004 1 0 460
0.760242 1 0 466
0.770153 1 0 473
0.780064 1 0 479
0.790267 1 0 485
0.800178 1 0 492
0.810089 1 0 496
0.82 1 0 503
0.830203 1 0 509
0.840114 1 0 514
0.850025 1 0 520
0.860228 1 0 525
0.870139 1 0 533
0.88005 1 0 538
0.890253 1 0 544
0.900164 1 0 550
0.910075 1 0 555
0.920278 1 0 562
0.930189 1 0 567
0.9401 1 0 574
0.950011 1 0 578
0.960214 1 0 583
0.970125 1 0 591
0.980036 1 0 597
0.990239 1 0 602
1.00015 1 0 608
1.01006 1 0 613
1.02026 1 0 620
1.03017 1 0 627
1.04009 1 0 632
1.05029 1 0 636
1.0602 1 0 645
1.07011 1 0 649
1.08002 1 0 655
1.09022 1 0 662
1.10014 1 0 667
1.11005 1 0 674
1.12025 1 0 679
1.13016 1 0 684
1.14007 1 0 692
1.15027 1 0 695
1.16019 1 0 640
1.1701 1 0 710
1.18001 1 0 716
1.19021 1 0 721
0 1 1 35
0.0102026 1 1 53
0.0201138 1 1 64
0.0300249 1 1 79
0.0402275 1 1 94
0.0501387 1 1 105
0.0600498 1 1 115
0.0702524 1 1 130
0.0801636 1 1 141
0.0900747 1 1 157
0.100277 1 1 171
0.110188 1 1 184
0.1201 1 1 194
0.130011 1 1 209
0.140213 1 1 221
0.150125 1 1 233
0.160036 1 1 248
0.170238 1 1 260
0.180149 1 1 273
0.190061 1 1 288
0.200263 1 1 302
0.210174 1 1 315
0.220085 1 1 330
0.230288 1 1 342
0.240199 1 1 355
0.25011 1 1 368
0.260021 1 1 379
0.270224 1 1 396
0.280135 1 1 409
0.290046 1 1 420
0.300249 1 1 434
0.31016 1 1 385
0.320071 1 1 460
0.330274 1 1 474
0.340185 1 1 490
0.350096 1 1 501
0.360007 1 1 512
0.37021 1 1 527
0.380121 1 1 536
0.390032 1 1 552
0.400235 1 1 563
0.410146 1 1 578
0.420057 1 1 588
0.43026 1 1 600
0.440171 1 1 617
0.450082 1 1 630
0.460285 1 1 645
0.470196 1 1 653
0.480107 1 1 668
0.490018 1 1 680
0.500221 1 1 695
0.510132 1 1 710
0.520043 1 1 723
0.530246 1 1 737
0.540157 1 1 747
0.550068 1 1 763
0.560271 1 1 776
0.570182 1 1 790
0.580093 1 1 802
0.590004 1 1 816
0.600207 1 1 768
0.610118 1 1 842
0.620029 1 1 858
0.630231 1 1 869
0.640143 1 1 883
0.650054 1 1 898
0.660256 1 1 911
0.670167 1 1 923
0.680079 1 1 938
0.690281 1 1 951
0.700192 1 1 963
0.710104 1 1 979
0.720015 1 1 989
0.730217 1 1 1000
0.740128 1 1 1019
0.75004 1 1 1015
0.760242 1 1 1015
0.770153 1 1 1015
0.780064 1 1 1015
0.790267 1 1 1015
0.800178 1 1 1015
0.810089 1 1 1015
0.82 1 1 1015
0.830203 1 1 1015
0.840114 1 1 1015
0.850025 1 1 1015
0.860228 1 1 1015
0.870139 1 1 1015
0.88005 1 1 1015
0.890253 1 1 1015
0.900164 1 1 1015
0.910075 1 1 1015
0.920278 1 1 1015
0.930189 1 1 1015
0.9401 1 1 1015
0.950011 1 1 1015
0.960214 1 1 1015
0.970125 1 1 1015
0.980036 1 1 1015
0.990239 1 1 1015
1.00015 1 1 1015
1.01006 1 1 1015
1.02026 1 1 1015
1.03017 1 1 1015
1.04009 1 1 1015
1.05029 1 1 1015
1.0602 1 1 1015
1.07011 1 1 1015
1.08002 1 1 1015
1.09022 1 1 1015
1.10014 1 1 1015
1.11005 1 1 1015
1.12025 1 1 1015
1.13016 1 1 1015
1.14007 1 1 1015
1.15027 1 1 1015
1.16019 1 1 1015
1.1701 1 1 1015
1.18001 1 1 1015
1.19021 1 1 1015
0 1 2 21
0.0102026 1 2 32
0.0201138 1 2 36
0.0300249 1 2 46
0.0402275 1 2 53
0.0501387 1 2 57
0.0600498 1 2 67
0.0702524 1 2 73
0.0801636 1 2 82
0.0900747 1 2 88
0.100277 1 2 94
0.110188 1 2 106
0.1201 1 2 113
0.130011 1 2 122
0.140213 1 2 128
0.150125 1 2 135
0.160036 1 2 144
0.170238 1 2 151
0.180149 1 2 159
0.190061 1 2 166
0.200263 1 2 174
0.210174 1 2 182
0.220085 1 2 187
0.230288 1 2 197
0.240199 1 2 205
0.25011 1 2 213
0.260021 1 2 222
0.270224 1 2 226
0.280135 1 2 236
0.290046 1 2 242
0.300249 1 2 249
0.31016 1 2 259
0.320071 1 2 266
0.330274 1 2 273
0.340185 1 2 280
0.350096 1 2 288
0.360007 1 2 294
0.37021 1 2 301
0.380121 1 2 309
0.390032 1 2 317
0.400235 1 2 324
0.410146 1 2 331
0.420057 1 2 339
0.43026 1 2 346
0.440171 1 2 355
0.450082 1 2 359
0.460285 1 2 370
0.470196 1 2 376
0.480107 1 2 320
0.490018 1 2 391
0.500221 1 2 400
0.510132 1 2 405
0.520043 1 2 413
0.530246 1 2 422
0.540157 1 2 430
0.550068 1 2 437
0.560271 1 2 443
0.570182 1 2 453
0.580093 1 2 459
0.590004 1 2 466
0.600207 1 2 476
0.610118 1 2 482
0.620029 1 2 489
0.630231 1 2 500
0.640143 1 2 507
0.650054 1 2 514
0.660256 1 2 520
0.670167 1 2 530
0.680079 1 2 535
0.690281 1 2 545
0.700192 1 2 554
0.710104 1 2 560
0.720015 1 2 568
0.730217 1 2 576
0.740128 1 2 582
0.75004 1 2 591
0.760242 1 2 599
0.770153 1 2 606
0.780064 1 2 613
0.790267 1 2 620
0.800178 1 2 630
0.810089 1 2 637
0.82 1 2 644
0.830203 1 2 650
0.840114 1 2 658
0.850025 1 2 667
0.860228 1 2 673
0.870139 1 2 682
0.88005 1 2 690
0.890253 1 2 698
0.900164 1 2 706
0.910075 1 2 711
0.920278 1 2 721
0.930189 1 2 727
0.9401 1 2 734
0.950011 1 2 742
0.960214 1 2 750
0.970125 1 2 757
0.980036 1 2 764
0.990239 1 2 772
1.00015 1 2 779
