InputVoltage BandgapControl RampGain ADCvalue
0 0 0 5
0.0104102 0 0 8
0.0200195 0 0 13
0.0304297 0 0 19
0.0400391 0 0 25
0.0504492 0 0 32
0.0600586 0 0 38
0.0704687 0 0 43
0.0800781 0 0 47
0.0904883 0 0 52
0.100098 0 0 59
0.110508 0 0 64
0.120117 0 0 68
0.130527 0 0 76
0.140137 0 0 81
0.150547 0 0 86
0.160156 0 0 92
0.170566 0 0 97
0.180176 0 0 103
0.190586 0 0 108
0.200195 0 0 116
0.210605 0 0 122
0.220215 0 0 128
0.230625 0 0 132
0.240234 0 0 138
0.250645 0 0 144
0.260254 0 0 148
0.270664 0 0 156
0.280273 0 0 163
0.290684 0 0 164
0.300293 0 0 172
0.310703 0 0 177
0.320312 0 0 185
0.330723 0 0 188
0.340332 0 0 192
0.350742 0 0 199
0.360352 0 0 205
0.370762 0 0 211
0.380371 0 0 219
0.390781 0 0 221
0.400391 0 0 227
0.410801 0 0 233
0.42041 0 0 238
0.43002 0 0 243
0.44043 0 0 247
0.450039 0 0 257
0.460449 0 0 259
0.470059 0 0 267
0.480469 0 0 271
0.490078 0 0 274
0.500488 0 0 281
0.510098 0 0 286
0.520508 0 0 295
0.530117 0 0 296
0.540527 0 0 304
0.550137 0 0 307
0.560547 0 0 315
0.570156 0 0 320
0.580566 0 0 324
0.590176 0 0 333
0.600586 0 0 335
0.610195 0 0 345
0.620605 0 0 348
0.630215 0 0 353
0.640625 0 0 358
0.650234 0 0 364
0.660645 0 0 370
0.670254 0 0 374
0.680664 0 0 380
0.690273 0 0 387
0.700684 0 0 392
0.710293 0 0 398
0.720703 0 0 403
0.730312 0 0 409
0.740723 0 0 414
0.750332 0 0 420
0.760742 0 0 426
0.770352 0 0 430
0.780762 0 0 437
0.790371 0 0 442
0.800781 0 0 446
0.810391 0 0 452
0.820801 0 0 461
0.83041 0 0 465
0.84002 0 0 469
0.85043 0 0 477
0.860039 0 0 481
0.870449 0 0 487
0.880059 0 0 492
0.890469 0 0 497
0.900078 0 0 503
0.910488 0 0 507
0.920098 0 0 513
0.930508 0 0 518
0.940117 0 0 526
0.950527 0 0 530
0.960137 0 0 538
0.970547 0 0 543
0.980156 0 0 547
0.990566 0 0 554
1.00018 0 0 558
1.01059 0 0 567
1.0202 0 0 570
1.03061 0 0 576
1.04021 0 0 581
1.05062 0 0 587
1.06023 0 0 590
1.07064 0 0 596
1.08025 0 0 605
1.09066 0 0 613
1.10027 0 0 614
1.11068 0 0 623
1.12029 0 0 624
1.1307 0 0 633
1.14031 0 0 636
1.15072 0 0 642
1.16033 0 0 651
1.17074 0 0 657
1.18035 0 0 660
1.19076 0 0 665
0 0 1 2
0.0104102 0 1 14
0.0200195 0 1 29
0.0304297 0 1 40
0.0400391 0 1 50
0.0504492 0 1 60
0.0600586 0 1 77
0.0704687 0 1 92
0.0800781 0 1 99
0.0904883 0 1 116
0.100098 0 1 126
0.110508 0 1 139
0.120117 0 1 150
0.130527 0 1 164
0.140137 0 1 171
0.150547 0 1 190
0.160156 0 1 198
0.170566 0 1 215
0.180176 0 1 227
0.190586 0 1 238
0.200195 0 1 250
0.210605 0 1 263
0.220215 0 1 278
0.230625 0 1 289
0.240234 0 1 299
0.250645 0 1 315
0.260254 0 1 328
0.270664 0 1 339
0.280273 0 1 357
0.290684 0 1 368
0.300293 0 1 375
0.310703 0 1 388
0.320312 0 1 405
0.330723 0 1 414
0.340332 0 1 425
0.350742 0 1 440
0.360352 0 1 451
0.370762 0 1 465
0.380371 0 1 471
0.390781 0 1 487
0.400391 0 1 491
0.410801 0 1 506
0.42041 0 1 525
0.43002 0 1 532
0.44043 0 1 548
0.450039 0 1 559
0.460449 0 1 568
0.470059 0 1 581
0.480469 0 1 593
0.490078 0 1 599
0.500488 0 1 616
0.510098 0 1 629
0.520508 0 1 634
0.530117 0 1 651
0.540527 0 1 666
0.550137 0 1 676
0.560547 0 1 686
0.570156 0 1 704
0.580566 0 1 716
0.590176 0 1 726
0.600586 0 1 731
0.610195 0 1 749
0.620605 0 1 762
0.630215 0 1 774
0.640625 0 1 783
0.650234 0 1 799
0.660645 0 1 811
0.670254 0 1 823
0.680664 0 1 841
0.690273 0 1 852
0.700684 0 1 859
0.710293 0 1 871
0.720703 0 1 887
0.730312 0 1 901
0.740723 0 1 916
0.750332 0 1 918
0.760742 0 1 935
0.770352 0 1 942
0.780762 0 1 959
0.790371 0 1 970
0.800781 0 1 985
0.810391 0 1 1000
0.820801 0 1 1007
0.83041 0 1 1020
0.84002 0 1 1018
0.85043 0 1 1018
0.860039 0 1 1018
0.870449 0 1 1018
0.880059 0 1 1018
0.890469 0 1 1018
0.900078 0 1 1018
0.910488 0 1 1018
0.920098 0 1 1018
0.930508 0 1 1018
0.940117 0 1 1018
0.950527 0 1 1018
0.960137 0 1 1018
0.970547 0 1 1018
0.980156 0 1 1018
0.990566 0 1 1018
1.00018 0 1 1018
1.01059 0 1 1018
1.0202 0 1 1018
1.03061 0 1 1018
1.04021 0 1 1018
1.05062 0 1 1018
1.06023 0 1 1018
1.07064 0 1 1018
1.08025 0 1 1018
1.09066 0 1 1018
1.10027 0 1 1018
1.11068 0 1 1018
1.12029 0 1 1018
1.1307 0 1 1018
1.14031 0 1 1018
1.15072 0 1 1018
1.16033 0 1 1018
1.17074 0 1 1018
1.18035 0 1 1018
1.19076 0 1 1018
0 0 2 3
0.0104102 0 2 11
0.0200195 0 2 19
0.0304297 0 2 22
0.0400391 0 2 28
0.0504492 0 2 40
0.0600586 0 2 47
0.0704687 0 2 55
0.0800781 0 2 60
0.0904883 0 2 71
0.100098 0 2 75
0.110508 0 2 79
0.120117 0 2 88
0.130527 0 2 97
0.140137 0 2 104
0.150547 0 2 113
0.160156 0 2 118
0.170566 0 2 124
0.180176 0 2 135
0.190586 0 2 140
0.200195 0 2 148
0.210605 0 2 154
0.220215 0 2 161
0.230625 0 2 166
0.240234 0 2 177
0.250645 0 2 185
0.260254 0 2 186
0.270664 0 2 200
0.280273 0 2 209
0.290684 0 2 208
0.300293 0 2 220
0.310703 0 2 224
0.320312 0 2 237
0.330723 0 2 240
0.340332 0 2 247
0.350742 0 2 256
0.360352 0 2 264
0.370762 0 2 269
0.380371 0 2 275
0.390781 0 2 283
0.400391 0 2 289
0.410801 0 2 297
0.42041 0 2 304
0.43002 0 2 308
0.44043 0 2 316
0.450039 0 2 325
0.460449 0 2 331
0.470059 0 2 340
0.480469 0 2 345
0.490078 0 2 353
0.500488 0 2 358
0.510098 0 2 366
0.520508 0 2 372
0.530117 0 2 378
0.540527 0 2 391
0.550137 0 2 394
0.560547 0 2 403
0.570156 0 2 407
0.580566 0 2 416
0.590176 0 2 422
0.600586 0 2 429
0.610195 0 2 435
0.620605 0 2 446
0.630215 0 2 451
0.640625 0 2 461
0.650234 0 2 462
0.660645 0 2 474
0.670254 0 2 478
0.680664 0 2 485
0.690273 0 2 494
0.700684 0 2 505
0.710293 0 2 508
0.720703 0 2 516
0.730312 0 2 525
0.740723 0 2 529
0.750332 0 2 537
0.760742 0 2 546
0.770352 0 2 553
0.780762 0 2 559
0.790371 0 2 562
0.800781 0 2 573
0.810391 0 2 580
0.820801 0 2 586
0.83041 0 2 597
0.84002 0 2 601
0.85043 0 2 610
0.860039 0 2 612
0.870449 0 2 623
0.880059 0 2 629
0.890469 0 2 636
0.900078 0 2 642
0.910488 0 2 651
0.920098 0 2 658
0.930508 0 2 667
0.940117 0 2 671
0.950527 0 2 678
0.960137 0 2 688
0.970547 0 2 697
0.980156 0 2 701
0.990566 0 2 707
1.00018 0 2 717
1.01059 0 2 723
1.0202 0 2 731
1.03061 0 2 741
1.04021 0 2 744
1.05062 0 2 752
1.06023 0 2 758
1.07064 0 2 764
1.08025 0 2 770
1.09066 0 2 777
1.10027 0 2 784
1.11068 0 2 791
1.12029 0 2 801
1.1307 0 2 806
1.14031 0 2 815
1.15072 0 2 818
1.16033 0 2 830
1.17074 0 2 838
1.18035 0 2 843
1.19076 0 2 851
0 0 3 2
0.0104102 0 3 13
0.0200195 0 3 19
0.0304297 0 3 22
0.0400391 0 3 32
0.0504492 0 3 36
0.0600586 0 3 43
0.0704687 0 3 48
0.0800781 0 3 60
0.0904883 0 3 65
0.100098 0 3 70
0.110508 0 3 81
0.120117 0 3 84
0.130527 0 3 93
0.140137 0 3 99
0.150547 0 3 105
0.160156 0 3 113
0.170566 0 3 121
0.180176 0 3 126
0.190586 0 3 132
0.200195 0 3 143
0.210605 0 3 149
0.220215 0 3 155
0.230625 0 3 163
0.240234 0 3 168
0.250645 0 3 178
0.260254 0 3 183
0.270664 0 3 188
0.280273 0 3 196
0.290684 0 3 205
0.300293 0 3 209
0.310703 0 3 217
0.320312 0 3 223
0.330723 0 3 232
0.340332 0 3 240
0.350742 0 3 243
0.360352 0 3 248
0.370762 0 3 257
0.380371 0 3 264
0.390781 0 3 269
0.400391 0 3 277
0.410801 0 3 286
0.42041 0 3 293
0.43002 0 3 299
0.44043 0 3 305
0.450039 0 3 308
0.460449 0 3 314
0.470059 0 3 322
0.480469 0 3 328
0.490078 0 3 335
0.500488 0 3 343
0.510098 0 3 351
0.520508 0 3 357
0.530117 0 3 364
0.540527 0 3 370
0.550137 0 3 379
0.560547 0 3 386
0.570156 0 3 391
0.580566 0 3 396
0.590176 0 3 400
0.600586 0 3 411
0.610195 0 3 416
0.620605 0 3 424
0.630215 0 3 430
0.640625 0 3 439
0.650234 0 3 444
0.660645 0 3 450
0.670254 0 3 459
0.680664 0 3 464
0.690273 0 3 469
0.700684 0 3 481
0.710293 0 3 484
0.720703 0 3 492
0.730312 0 3 499
0.740723 0 3 505
0.750332 0 3 515
0.760742 0 3 522
0.770352 0 3 529
0.780762 0 3 535
0.790371 0 3 540
0.800781 0 3 546
0.810391 0 3 551
0.820801 0 3 559
0.83041 0 3 566
0.84002 0 3 573
0.85043 0 3 583
0.860039 0 3 586
0.870449 0 3 596
0.880059 0 3 599
0.890469 0 3 606
0.900078 0 3 615
0.910488 0 3 620
0.920098 0 3 630
0.930508 0 3 637
0.940117 0 3 642
0.950527 0 3 646
0.960137 0 3 655
0.970547 0 3 664
0.980156 0 3 669
0.990566 0 3 674
1.00018 0 3 683
1.01059 0 3 687
1.0202 0 3 697
1.03061 0 3 705
1.04021 0 3 710
1.05062 0 3 715
1.06023 0 3 723
1.07064 0 3 731
1.08025 0 3 736
1.09066 0 3 742
1.10027 0 3 748
1.11068 0 3 756
1.12029 0 3 763
1.1307 0 3 770
1.14031 0 3 780
1.15072 0 3 783
1.16033 0 3 789
1.17074 0 3 801
1.18035 0 3 803
1.19076 0 3 813
0 1 0 2
0.0104102 1 0 11
0.0200195 1 0 14
0.0304297 1 0 19
0.0400391 1 0 24
0.0504492 1 0 33
0.0600586 1 0 36
0.0704687 1 0 43
0.0800781 1 0 48
0.0904883 1 0 55
0.100098 1 0 58
0.110508 1 0 65
0.120117 1 0 71
0.130527 1 0 76
0.140137 1 0 83
0.150547 1 0 86
0.160156 1 0 97
0.170566 1 0 99
0.180176 1 0 105
0.190586 1 0 110
0.200195 1 0 116
0.210605 1 0 123
0.220215 1 0 128
0.230625 1 0 136
0.240234 1 0 140
0.250645 1 0 146
0.260254 1 0 152
0.270664 1 0 156
0.280273 1 0 165
0.290684 1 0 169
0.300293 1 0 174
0.310703 1 0 180
0.320312 1 0 187
0.330723 1 0 191
0.340332 1 0 197
0.350742 1 0 202
0.360352 1 0 208
0.370762 1 0 212
0.380371 1 0 219
0.390781 1 0 224
0.400391 1 0 231
0.410801 1 0 239
0.42041 1 0 243
0.43002 1 0 247
0.44043 1 0 250
0.450039 1 0 257
0.460449 1 0 262
0.470059 1 0 267
0.480469 1 0 272
0.490078 1 0 278
0.500488 1 0 287
0.510098 1 0 288
0.520508 1 0 296
0.530117 1 0 302
0.540527 1 0 308
0.550137 1 0 310
0.560547 1 0 318
0.570156 1 0 324
0.580566 1 0 328
0.590176 1 0 335
0.600586 1 0 341
0.610195 1 0 348
0.620605 1 0 352
0.630215 1 0 359
0.640625 1 0 364
0.650234 1 0 369
0.660645 1 0 377
0.670254 1 0 383
0.680664 1 0 389
0.690273 1 0 392
0.700684 1 0 396
0.710293 1 0 405
0.720703 1 0 411
0.730312 1 0 414
0.740723 1 0 420
0.750332 1 0 425
0.760742 1 0 432
0.770352 1 0 438
0.780762 1 0 445
0.790371 1 0 451
0.800781 1 0 454
0.810391 1 0 460
0.820801 1 0 466
0.83041 1 0 473
0.84002 1 0 479
0.85043 1 0 484
0.860039 1 0 488
0.870449 1 0 496
0.880059 1 0 500
0.890469 1 0 505
0.900078 1 0 515
0.910488 1 0 516
0.920098 1 0 522
0.930508 1 0 525
0.940117 1 0 533
0.950527 1 0 540
0.960137 1 0 545
0.970547 1 0 553
0.980156 1 0 558
0.990566 1 0 563
1.00018 1 0 570
1.01059 1 0 573
1.0202 1 0 577
1.03061 1 0 587
1.04021 1 0 592
1.05062 1 0 599
1.06023 1 0 603
1.07064 1 0 607
1.08025 1 0 611
1.09066 1 0 618
1.10027 1 0 627
1.11068 1 0 628
1.12029 1 0 637
1.1307 1 0 640
1.14031 1 0 646
1.15072 1 0 652
1.16033 1 0 657
1.17074 1 0 663
1.18035 1 0 672
1.19076 1 0 677
0 1 1 2
0.0104102 1 1 18
0.0200195 1 1 33
0.0304297 1 1 41
0.0400391 1 1 51
0.0504492 1 1 68
0.0600586 1 1 78
0.0704687 1 1 86
0.0800781 1 1 107
0.0904883 1 1 115
0.100098 1 1 124
0.110508 1 1 145
0.120117 1 1 156
0.130527 1 1 169
0.140137 1 1 180
0.150547 1 1 193
0.160156 1 1 202
0.170566 1 1 217
0.180176 1 1 226
0.190586 1 1 244
0.200195 1 1 257
0.210605 1 1 266
0.220215 1 1 281
0.230625 1 1 297
0.240234 1 1 305
0.250645 1 1 320
0.260254 1 1 328
0.270664 1 1 342
0.280273 1 1 356
0.290684 1 1 367
0.300293 1 1 380
0.310703 1 1 396
0.320312 1 1 403
0.330723 1 1 414
0.340332 1 1 426
0.350742 1 1 443
0.360352 1 1 454
0.370762 1 1 466
0.380371 1 1 481
0.390781 1 1 489
0.400391 1 1 502
0.410801 1 1 516
0.42041 1 1 522
0.43002 1 1 538
0.44043 1 1 553
0.450039 1 1 564
0.460449 1 1 577
0.470059 1 1 582
0.480469 1 1 605
0.490078 1 1 612
0.500488 1 1 623
0.510098 1 1 632
0.520508 1 1 651
0.530117 1 1 664
0.540527 1 1 676
0.550137 1 1 689
0.560547 1 1 695
0.570156 1 1 712
0.580566 1 1 724
0.590176 1 1 737
0.600586 1 1 748
0.610195 1 1 761
0.620605 1 1 771
0.630215 1 1 784
0.640625 1 1 801
0.650234 1 1 811
0.660645 1 1 824
0.670254 1 1 836
0.680664 1 1 842
0.690273 1 1 860
0.700684 1 1 871
0.710293 1 1 889
0.720703 1 1 900
0.730312 1 1 906
0.740723 1 1 925
0.750332 1 1 933
0.760742 1 1 943
0.770352 1 1 961
0.780762 1 1 966
0.790371 1 1 985
0.800781 1 1 991
0.810391 1 1 1013
0.820801 1 1 1019
0.83041 1 1 1017
0.84002 1 1 1017
0.85043 1 1 1017
0.860039 1 1 1017
0.870449 1 1 1017
0.880059 1 1 1017
0.890469 1 1 1017
0.900078 1 1 1017
0.910488 1 1 1017
0.920098 1 1 1017
0.930508 1 1 1017
0.940117 1 1 1017
0.950527 1 1 1017
0.960137 1 1 1017
0.970547 1 1 1017
0.980156 1 1 1017
0.990566 1 1 1017
1.00018 1 1 1017
1.01059 1 1 1017
1.0202 1 1 1017
1.03061 1 1 1017
1.04021 1 1 1017
1.05062 1 1 1017
1.06023 1 1 1017
1.07064 1 1 1017
1.08025 1 1 1017
1.09066 1 1 1017
1.10027 1 1 1017
1.11068 1 1 1017
1.12029 1 1 1017
1.1307 1 1 1017
1.14031 1 1 1017
1.15072 1 1 1017
1.16033 1 1 1017
1.17074 1 1 1017
1.18035 1 1 1017
1.19076 1 1 1017
0 1 2 1
0.0104102 1 2 9
0.0200195 1 2 18
0.0304297 1 2 24
0.0400391 1 2 32
0.0504492 1 2 43
0.0600586 1 2 42
0.0704687 1 2 53
0.0800781 1 2 60
0.0904883 1 2 69
0.100098 1 2 74
0.110508 1 2 87
0.120117 1 2 89
0.130527 1 2 99
0.140137 1 2 102
0.150547 1 2 116
0.160156 1 2 122
0.170566 1 2 128
0.180176 1 2 134
0.190586 1 2 142
0.200195 1 2 153
0.210605 1 2 156
0.220215 1 2 167
0.230625 1 2 172
0.240234 1 2 179
0.250645 1 2 186
0.260254 1 2 195
0.270664 1 2 199
0.280273 1 2 208
0.290684 1 2 217
0.300293 1 2 225
0.310703 1 2 232
0.320312 1 2 237
0.330723 1 2 246
0.340332 1 2 253
0.350742 1 2 258
0.360352 1 2 265
0.370762 1 2 275
0.380371 1 2 280
0.390781 1 2 289
0.400391 1 2 297
0.410801 1 2 303
0.42041 1 2 308
0.43002 1 2 313
0.44043 1 2 320
0.450039 1 2 328
0.460449 1 2 337
0.470059 1 2 344
0.480469 1 2 349
0.490078 1 2 356
0.500488 1 2 363
0.510098 1 2 375
0.520508 1 2 379
0.530117 1 2 385
0.540527 1 2 393
0.550137 1 2 398
0.560547 1 2 406
0.570156 1 2 412
0.580566 1 2 422
0.590176 1 2 431
0.600586 1 2 437
0.610195 1 2 442
0.620605 1 2 451
0.630215 1 2 457
0.640625 1 2 464
0.650234 1 2 472
0.660645 1 2 478
0.670254 1 2 486
0.680664 1 2 492
0.690273 1 2 501
0.700684 1 2 507
0.710293 1 2 516
0.720703 1 2 525
0.730312 1 2 530
0.740723 1 2 538
0.750332 1 2 544
0.760742 1 2 550
0.770352 1 2 560
0.780762 1 2 567
0.790371 1 2 576
0.800781 1 2 582
0.810391 1 2 586
0.820801 1 2 597
0.83041 1 2 602
0.84002 1 2 608
0.85043 1 2 615
0.860039 1 2 618
0.870449 1 2 630
0.880059 1 2 637
0.890469 1 2 646
0.900078 1 2 652
0.910488 1 2 660
0.920098 1 2 666
0.930508 1 2 676
0.940117 1 2 682
0.950527 1 2 686
0.960137 1 2 696
0.970547 1 2 704
0.980156 1 2 710
0.990566 1 2 718
1.00018 1 2 722
1.01059 1 2 733
1.0202 1 2 741
1.03061 1 2 744
1.04021 1 2 750
1.05062 1 2 760
1.06023 1 2 769
1.07064 1 2 777
1.08025 1 2 781
1.09066 1 2 791
1.10027 1 2 799
1.11068 1 2 802
1.12029 1 2 811
1.1307 1 2 814
1.14031 1 2 827
1.15072 1 2 831
1.16033 1 2 839
1.17074 1 2 846
1.18035 1 2 854
1.19076 1 2 862
0 1 3 3
0.0104102 1 3 10
0.0200195 1 3 14
0.0304297 1 3 21
0.0400391 1 3 33
0.0504492 1 3 36
0.0600586 1 3 46
0.0704687 1 3 52
0.0800781 1 3 61
0.0904883 1 3 65
0.100098 1 3 72
0.110508 1 3 79
0.120117 1 3 86
0.130527 1 3 95
0.140137 1 3 103
0.150547 1 3 107
0.160156 1 3 114
0.170566 1 3 122
0.180176 1 3 129
0.190586 1 3 139
0.200195 1 3 142
0.210605 1 3 150
0.220215 1 3 157
0.230625 1 3 163
0.240234 1 3 173
0.250645 1 3 178
0.260254 1 3 181
0.270664 1 3 190
0.280273 1 3 198
0.290684 1 3 209
0.300293 1 3 214
0.310703 1 3 221
0.320312 1 3 226
0.330723 1 3 235
0.340332 1 3 241
0.350742 1 3 247
0.360352 1 3 253
0.370762 1 3 260
0.380371 1 3 266
0.390781 1 3 275
0.400391 1 3 280
0.410801 1 3 291
0.42041 1 3 293
0.43002 1 3 299
0.44043 1 3 308
0.450039 1 3 314
0.460449 1 3 322
0.470059 1 3 327
0.480469 1 3 336
0.490078 1 3 336
0.500488 1 3 346
0.510098 1 3 354
0.520508 1 3 360
0.530117 1 3 367
0.540527 1 3 373
0.550137 1 3 385
0.560547 1 3 388
0.570156 1 3 393
0.580566 1 3 401
0.590176 1 3 406
0.600586 1 3 417
0.610195 1 3 423
0.620605 1 3 428
0.630215 1 3 436
0.640625 1 3 445
0.650234 1 3 450
0.660645 1 3 456
0.670254 1 3 464
0.680664 1 3 471
0.690273 1 3 478
0.700684 1 3 487
0.710293 1 3 495
0.720703 1 3 498
0.730312 1 3 508
0.740723 1 3 512
0.750332 1 3 520
0.760742 1 3 526
0.770352 1 3 533
0.780762 1 3 541
0.790371 1 3 545
0.800781 1 3 553
0.810391 1 3 558
0.820801 1 3 567
0.83041 1 3 573
0.84002 1 3 581
0.85043 1 3 587
0.860039 1 3 594
0.870449 1 3 604
0.880059 1 3 611
0.890469 1 3 614
0.900078 1 3 625
0.910488 1 3 632
0.920098 1 3 635
0.930508 1 3 644
0.940117 1 3 651
0.950527 1 3 656
0.960137 1 3 665
0.970547 1 3 668
0.980156 1 3 681
0.990566 1 3 682
1.00018 1 3 690
1.01059 1 3 699
1.0202 1 3 704
1.03061 1 3 710
1.04021 1 3 720
1.05062 1 3 725
1.06023 1 3 730
1.07064 1 3 738
1.08025 1 3 744
1.09066 1 3 752
1.10027 1 3 758
1.11068 1 3 767
1.12029 1 3 775
1.1307 1 3 780
1.14031 1 3 786
1.15072 1 3 794
1.16033 1 3 802
1.17074 1 3 808
1.18035 1 3 815
1.19076 1 3 824
0 2 0 3
0.0104102 2 0 8
0.0200195 2 0 12
0.0304297 2 0 20
0.0400391 2 0 29
0.0504492 2 0 29
0.0600586 2 0 37
0.0704687 2 0 44
0.0800781 2 0 49
0.0904883 2 0 55
0.100098 2 0 63
0.110508 2 0 66
0.120117 2 0 73
0.130527 2 0 75
0.140137 2 0 83
0.150547 2 0 91
0.160156 2 0 98
0.170566 2 0 100
0.180176 2 0 106
0.190586 2 0 115
0.200195 2 0 118
0.210605 2 0 122
0.220215 2 0 128
0.230625 2 0 138
0.240234 2 0 147
0.250645 2 0 151
0.260254 2 0 153
0.270664 2 0 158
0.280273 2 0 163
0.290684 2 0 172
0.300293 2 0 174
0.310703 2 0 182
0.320312 2 0 187
0.330723 2 0 194
0.340332 2 0 202
0.350742 2 0 206
0.360352 2 0 212
0.370762 2 0 217
0.380371 2 0 222
0.390781 2 0 228
0.400391 2 0 232
0.410801 2 0 239
0.42041 2 0 244
0.43002 2 0 250
0.44043 2 0 255
0.450039 2 0 262
0.460449 2 0 265
0.470059 2 0 270
0.480469 2 0 278
0.490078 2 0 282
0.500488 2 0 290
0.510098 2 0 295
0.520508 2 0 300
0.530117 2 0 305
0.540527 2 0 312
0.550137 2 0 317
0.560547 2 0 325
0.570156 2 0 329
0.580566 2 0 335
0.590176 2 0 341
0.600586 2 0 348
0.610195 2 0 352
0.620605 2 0 358
0.630215 2 0 363
0.640625 2 0 371
0.650234 2 0 373
0.660645 2 0 381
0.670254 2 0 389
0.680664 2 0 393
0.690273 2 0 396
0.700684 2 0 403
0.710293 2 0 410
0.720703 2 0 416
0.730312 2 0 422
0.740723 2 0 429
0.750332 2 0 432
0.760742 2 0 438
0.770352 2 0 447
0.780762 2 0 446
0.790371 2 0 455
0.800781 2 0 461
0.810391 2 0 466
0.820801 2 0 473
0.83041 2 0 478
0.84002 2 0 482
0.85043 2 0 489
0.860039 2 0 495
0.870449 2 0 501
0.880059 2 0 506
0.890469 2 0 513
0.900078 2 0 518
0.910488 2 0 527
0.920098 2 0 530
0.930508 2 0 538
0.940117 2 0 540
0.950527 2 0 548
0.960137 2 0 555
0.970547 2 0 558
0.980156 2 0 564
0.990566 2 0 573
1.00018 2 0 577
1.01059 2 0 581
1.0202 2 0 585
1.03061 2 0 592
1.04021 2 0 599
1.05062 2 0 605
1.06023 2 0 610
1.07064 2 0 615
1.08025 2 0 620
1.09066 2 0 629
1.10027 2 0 634
1.11068 2 0 638
1.12029 2 0 642
1.1307 2 0 650
1.14031 2 0 655
1.15072 2 0 661
1.16033 2 0 669
1.17074 2 0 672
1.18035 2 0 681
1.19076 2 0 684
0 2 1 9
0.0104102 2 1 18
0.0200195 2 1 23
