InputVoltage BandgapControl RampGain ADCvalue
0 0 0 16
0.0104102 0 0 29
0.0200195 0 0 31
0.0304297 0 0 33
0.0400391 0 0 36
0.0504492 0 0 50
0.0600586 0 0 45
0.0704687 0 0 50
0.0800781 0 0 58
0.0904883 0 0 59
0.100098 0 0 52
0.110508 0 0 67
0.120117 0 0 65
0.130527 0 0 69
0.140137 0 0 82
0.150547 0 0 79
0.160156 0 0 80
0.170566 0 0 85
0.180176 0 0 95
0.190586 0 0 96
0.200195 0 0 97
0.210605 0 0 104
0.220215 0 0 110
0.230625 0 0 111
0.240234 0 0 113
0.250645 0 0 117
0.260254 0 0 121
0.270664 0 0 120
0.280273 0 0 126
0.290684 0 0 133
0.300293 0 0 138
0.310703 0 0 137
0.320312 0 0 146
0.330723 0 0 148
0.340332 0 0 149
0.350742 0 0 158
0.360352 0 0 156
0.370762 0 0 171
0.380371 0 0 165
0.390781 0 0 169
0.400391 0 0 170
0.410801 0 0 183
0.42041 0 0 180
0.43002 0 0 182
0.44043 0 0 184
0.450039 0 0 194
0.460449 0 0 196
0.470059 0 0 202
0.480469 0 0 201
0.490078 0 0 205
0.500488 0 0 210
0.510098 0 0 217
0.520508 0 0 223
0.530117 0 0 222
0.540527 0 0 226
0.550137 0 0 228
0.560547 0 0 235
0.570156 0 0 239
0.580566 0 0 242
0.590176 0 0 247
0.600586 0 0 250
0.610195 0 0 253
0.620605 0 0 252
0.630215 0 0 258
0.640625 0 0 267
0.650234 0 0 265
0.660645 0 0 270
0.670254 0 0 276
0.680664 0 0 279
0.690273 0 0 286
0.700684 0 0 285
0.710293 0 0 288
0.720703 0 0 293
0.730312 0 0 297
0.740723 0 0 302
0.750332 0 0 304
0.760742 0 0 307
0.770352 0 0 308
0.780762 0 0 316
0.790371 0 0 320
0.800781 0 0 325
0.810391 0 0 329
0.820801 0 0 338
0.83041 0 0 339
0.84002 0 0 339
0.85043 0 0 340
0.860039 0 0 348
0.870449 0 0 354
0.880059 0 0 353
0.890469 0 0 355
0.900078 0 0 366
0.910488 0 0 369
0.920098 0 0 369
0.930508 0 0 372
0.940117 0 0 383
0.950527 0 0 385
0.960137 0 0 381
0.970547 0 0 389
0.980156 0 0 397
0.990566 0 0 392
1.00018 0 0 402
1.01059 0 0 405
1.0202 0 0 410
1.03061 0 0 414
1.04021 0 0 412
1.05062 0 0 423
1.06023 0 0 421
1.07064 0 0 430
1.08025 0 0 431
1.09066 0 0 438
1.10027 0 0 441
1.11068 0 0 440
1.12029 0 0 445
1.1307 0 0 455
1.14031 0 0 455
1.15072 0 0 456
1.16033 0 0 465
1.17074 0 0 465
1.18035 0 0 474
1.19076 0 0 474
1.20037 0 0 482
1.21078 0 0 478
1.22039 0 0 480
1.2308 0 0 494
1.24041 0 0 495
1.25002 0 0 496
1.26043 0 0 500
1.27004 0 0 500
1.28045 0 0 509
1.29006 0 0 513
1.30047 0 0 516
1.31008 0 0 516
1.32049 0 0 525
1.3301 0 0 525
1.34051 0 0 530
1.35012 0 0 535
1.36053 0 0 540
1.37014 0 0 541
1.38055 0 0 547
1.39016 0 0 551
1.40057 0 0 554
1.41018 0 0 557
1.42059 0 0 567
1.4302 0 0 564
1.44061 0 0 566
1.45021 0 0 575
1.46062 0 0 576
1.47023 0 0 583
1.48064 0 0 591
1.49025 0 0 588
