InputVoltage BandgapControl RampGain ADCvalue
0.597 10 3 1
0.597 10 3 1
0.597 10 3 1
0.597 10 3 1
0.597 10 3 1
0.597 10 3 1
0.597 10 3 1
0.597 10 3 1
0.597 10 3 1
0.597 10 3 1
0.597 10 3 1
0.597 10 3 1
0.597 10 3 1
0.597 10 3 1
0.597 10 3 1
0.597 10 3 1
0.597 10 3 1
0.597 10 3 1
0.597 10 3 1
0.597 10 3 1
0.597 10 3 1
0.597 10 3 1
0.597 10 3 1
0.597 10 3 1
0.597 10 3 1
0.597 10 3 1
0.597 10 3 1
0.597 10 3 1
0.597 10 3 1
0.597 10 3 1
0.597 10 3 1
0.597 10 3 1
0.597 10 3 1
0.597 10 3 1
0.597 10 3 1
0.597 10 3 1
0.597 10 3 1
0.597 10 3 1
0.597 10 3 1
0.597 10 3 1
0.597 10 3 1
0.597 10 3 1
0.597 10 3 1
0.597 10 3 1
0.597 10 3 1
0.597 10 3 1
0.597 10 3 1
0.597 10 3 1
0.597 10 3 1
0.597 10 3 1
0.597 10 3 1
0.597 10 3 1
0.597 10 3 1
0.597 10 3 1
0.597 10 3 1
0.597 10 3 1
0.597 10 3 1
0.597 10 3 1
0.597 10 3 1
0.597 10 3 1
0.597 10 3 1
0.597 10 3 5
0.597 10 3 5
0.597 10 3 5
0.597 10 3 5
0.597 10 3 6
0.597 10 3 6
0.597 10 3 6
0.597 10 3 6
0.597 10 3 6
0.597 10 3 6
0.597 10 3 6
0.597 10 3 6
0.597 10 3 7
0.597 10 3 6
0.597 10 3 7
0.597 10 3 7
0.597 10 3 7
0.597 10 3 7
0.597 10 3 7
0.597 10 3 7
0.597 10 3 7
0.597 10 3 7
0.597 10 3 7
0.597 10 3 7
0.597 10 3 7
0.597 10 3 8
0.597 10 3 7
0.597 10 3 8
0.597 10 3 8
0.597 10 3 7
0.597 10 3 8
0.597 10 3 8
0.597 10 3 8
0.597 10 3 8
0.597 10 3 8
0.597 10 3 8
0.597 10 3 8
0.597 10 3 8
0.597 10 3 8
0.597 10 3 8
0.597 10 3 8
0.597 10 3 8
0.597 10 3 8
0.597 10 3 8
0.597 10 3 8
0.597 10 3 9
0.597 10 3 8
0.597 10 3 9
0.597 10 3 9
0.597 10 3 9
0.597 10 3 9
0.597 10 3 9
0.597 10 3 9
0.597 10 3 9
0.597 10 3 9
0.597 10 3 9
0.597 10 3 9
0.597 10 3 9
0.597 10 3 9
0.597 10 3 9
0.597 10 3 9
0.597 10 3 9
0.597 10 3 9
0.597 10 3 9
0.597 10 3 9
0.597 10 3 9
0.597 10 3 9
0.597 10 3 9
0.597 10 3 9
0.597 10 3 9
0.597 10 3 9
0.597 10 3 9
0.597 10 3 9
0.597 10 3 10
0.597 10 3 10
0.597 10 3 10
0.597 10 3 10
0.597 10 3 10
0.597 10 3 10
0.597 10 3 10
0.597 10 3 10
0.597 10 3 10
0.597 10 3 10
0.597 10 3 10
0.597 10 3 10
0.597 10 3 10
0.597 10 3 10
0.597 10 3 10
0.597 10 3 10
0.597 10 3 10
0.597 10 3 10
0.597 10 3 10
0.597 10 3 10
0.597 10 3 10
0.597 10 3 10
0.597 10 3 10
0.597 10 3 10
0.597 10 3 10
0.597 10 3 10
0.597 10 3 10
0.597 10 3 10
0.597 10 3 10
0.597 10 3 10
0.597 10 3 10
0.597 10 3 10
0.597 10 3 10
0.597 10 3 10
0.597 10 3 10
0.597 10 3 10
0.597 10 3 10
0.597 10 3 10
0.597 10 3 10
0.597 10 3 10
0.597 10 3 10
0.597 10 3 10
0.597 10 3 10
0.597 10 3 10
0.597 10 3 10
0.597 10 3 10
0.597 10 3 10
0.597 10 3 11
0.597 10 3 11
0.597 10 3 11
0.597 10 3 11
0.597 10 3 11
0.597 10 3 11
0.597 10 3 11
0.597 10 3 11
0.597 10 3 11
0.597 10 3 11
0.597 10 3 11
0.597 10 3 11
0.597 10 3 11
0.597 10 3 11
0.597 10 3 11
0.597 10 3 11
0.597 10 3 11
0.597 10 3 11
0.597 10 3 11
0.597 10 3 11
0.597 10 3 11
0.597 10 3 11
0.597 10 3 11
0.597 10 3 11
0.597 10 3 11
0.597 10 3 11
0.597 10 3 11
0.597 10 3 11
0.597 10 3 11
0.597 10 3 11
0.597 10 3 11
0.597 10 3 11
0.597 10 3 11
0.597 10 3 11
0.597 10 3 11
0.597 10 3 11
0.597 10 3 11
0.597 10 3 11
0.597 10 3 11
0.597 10 3 11
0.597 10 3 11
0.597 10 3 11
0.597 10 3 11
0.597 10 3 11
0.597 10 3 11
0.597 10 3 11
0.597 10 3 11
0.597 10 3 11
0.597 10 3 11
0.597 10 3 11
0.597 10 3 11
0.597 10 3 11
0.597 10 3 11
0.597 10 3 11
0.597 10 3 11
0.597 10 3 11
0.597 10 3 11
0.597 10 3 11
0.597 10 3 11
0.597 10 3 11
0.597 10 3 11
0.597 10 3 11
0.597 10 3 12
0.597 10 3 11
0.597 10 3 12
0.597 10 3 12
0.597 10 3 11
0.597 10 3 11
0.597 10 3 12
0.597 10 3 12
0.597 10 3 12
0.597 10 3 12
0.597 10 3 12
0.597 10 3 12
0.597 10 3 12
0.597 10 3 12
0.597 10 3 12
0.597 10 3 12
0.597 10 3 12
0.597 10 3 12
0.597 10 3 12
0.597 10 3 12
0.597 10 3 12
0.597 10 3 12
0.597 10 3 12
0.597 10 3 12
0.597 10 3 12
0.597 10 3 12
0.597 10 3 12
0.597 10 3 12
0.597 10 3 12
0.597 10 3 12
0.597 10 3 12
0.597 10 3 12
0.597 10 3 12
0.597 10 3 12
0.597 10 3 12
0.597 10 3 12
0.597 10 3 12
0.597 10 3 12
0.597 10 3 12
0.597 10 3 12
0.597 10 3 12
0.597 10 3 12
0.597 10 3 12
0.597 10 3 12
0.597 10 3 12
0.597 10 3 12
0.597 10 3 12
0.597 10 3 12
0.597 10 3 12
0.597 10 3 12
0.597 10 3 12
0.597 10 3 12
0.597 10 3 12
0.597 10 3 12
0.597 10 3 12
0.597 10 3 12
0.597 10 3 12
0.597 10 3 12
0.597 10 3 12
0.597 10 3 12
0.597 10 3 12
0.597 10 3 12
0.597 10 3 12
0.597 10 3 12
0.597 10 3 12
0.597 10 3 12
0.597 10 3 12
0.597 10 3 12
0.597 10 3 12
0.597 10 3 12
0.597 10 3 12
0.597 10 3 12
0.597 10 3 12
0.597 10 3 12
0.597 10 3 12
0.597 10 3 12
0.597 10 3 12
0.597 10 3 12
0.597 10 3 12
0.597 10 3 12
0.597 10 3 12
0.597 10 3 12
0.597 10 3 12
0.597 10 3 12
0.597 10 3 12
0.597 10 3 12
0.597 10 3 12
0.597 10 3 12
0.597 10 3 12
0.597 10 3 12
0.597 10 3 12
0.597 10 3 12
0.597 10 3 12
0.597 10 3 12
0.597 10 3 12
0.597 10 3 12
0.597 10 3 12
0.597 10 3 12
0.597 10 3 13
0.597 10 3 12
0.597 10 3 12
0.597 10 3 12
0.597 10 3 13
0.597 10 3 13
0.597 10 3 12
0.597 10 3 13
0.597 10 3 13
0.597 10 3 12
0.597 10 3 13
0.597 10 3 13
0.597 10 3 12
0.597 10 3 13
0.597 10 3 12
0.597 10 3 13
0.597 10 3 13
0.597 10 3 12
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 14
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 14
0.597 10 3 13
0.597 10 3 13
0.597 10 3 14
0.597 10 3 14
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 14
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 13
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
0.597 10 3 14
