InputVoltage BandgapControl RampGain ADCvalue
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 533
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
0.597383 10 3 534
