InputVoltage BandgapControl RampGain ADCvalue
0 0 0 20
0.0104102 0 0 24
0.0200195 0 0 24
0.0304297 0 0 30
0.0400391 0 0 39
0.0504492 0 0 38
0.0600586 0 0 40
0.0704687 0 0 44
0.0800781 0 0 51
0.0904883 0 0 49
0.100098 0 0 58
0.110508 0 0 61
0.120117 0 0 61
0.130527 0 0 70
0.140137 0 0 71
0.150547 0 0 73
0.160156 0 0 78
0.170566 0 0 81
0.180176 0 0 86
0.190586 0 0 90
0.200195 0 0 95
0.210605 0 0 99
0.220215 0 0 98
0.230625 0 0 102
0.240234 0 0 101
0.250645 0 0 109
0.260254 0 0 112
0.270664 0 0 116
0.280273 0 0 119
0.290684 0 0 126
0.300293 0 0 131
0.310703 0 0 131
0.320312 0 0 138
0.330723 0 0 138
0.340332 0 0 143
0.350742 0 0 145
0.360352 0 0 147
0.370762 0 0 155
0.380371 0 0 159
0.390781 0 0 162
0.400391 0 0 163
0.410801 0 0 165
0.42041 0 0 165
0.43002 0 0 174
0.44043 0 0 177
0.450039 0 0 176
0.460449 0 0 180
0.470059 0 0 186
0.480469 0 0 190
0.490078 0 0 194
0.500488 0 0 193
0.510098 0 0 202
0.520508 0 0 204
0.530117 0 0 206
0.540527 0 0 213
0.550137 0 0 214
0.560547 0 0 218
0.570156 0 0 220
0.580566 0 0 225
0.590176 0 0 224
0.600586 0 0 232
0.610195 0 0 235
0.620605 0 0 240
0.630215 0 0 243
0.640625 0 0 245
0.650234 0 0 250
0.660645 0 0 255
0.670254 0 0 257
0.680664 0 0 260
0.690273 0 0 265
0.700684 0 0 264
0.710293 0 0 269
0.720703 0 0 272
0.730312 0 0 276
0.740723 0 0 281
0.750332 0 0 287
0.760742 0 0 288
0.770352 0 0 294
0.780762 0 0 296
0.790371 0 0 299
0.800781 0 0 302
0.810391 0 0 306
0.820801 0 0 309
0.83041 0 0 314
0.84002 0 0 313
0.85043 0 0 316
0.860039 0 0 325
0.870449 0 0 324
0.880059 0 0 334
0.890469 0 0 335
0.900078 0 0 336
0.910488 0 0 342
0.920098 0 0 346
0.930508 0 0 349
0.940117 0 0 349
0.950527 0 0 358
0.960137 0 0 356
0.970547 0 0 365
0.980156 0 0 367
0.990566 0 0 375
1.00018 0 0 375
1.01059 0 0 377
1.0202 0 0 381
1.03061 0 0 385
1.04021 0 0 390
1.05062 0 0 395
1.06023 0 0 396
1.07064 0 0 399
1.08025 0 0 407
1.09066 0 0 407
1.10027 0 0 411
1.11068 0 0 413
1.12029 0 0 418
1.1307 0 0 421
1.14031 0 0 425
1.15072 0 0 428
1.16033 0 0 432
1.17074 0 0 436
1.18035 0 0 436
1.19076 0 0 443
1.20037 0 0 447
1.21078 0 0 449
1.22039 0 0 455
1.2308 0 0 459
1.24041 0 0 460
1.25002 0 0 464
1.26043 0 0 468
1.27004 0 0 471
1.28045 0 0 474
1.29006 0 0 478
1.30047 0 0 480
1.31008 0 0 485
1.32049 0 0 488
1.3301 0 0 490
1.34051 0 0 492
1.35012 0 0 496
1.36053 0 0 503
1.37014 0 0 504
1.38055 0 0 510
1.39016 0 0 513
1.40057 0 0 518
1.41018 0 0 517
1.42059 0 0 525
1.4302 0 0 528
1.44061 0 0 531
1.45021 0 0 532
1.46062 0 0 539
1.47023 0 0 540
1.48064 0 0 544
1.49025 0 0 550
1.50066 0 0 550
1.51027 0 0 553
1.52068 0 0 557
1.53029 0 0 562
1.5407 0 0 565
1.55031 0 0 569
1.56072 0 0 572
1.57033 0 0 578
1.58074 0 0 581
1.59035 0 0 583
1.60076 0 0 587
1.61037 0 0 590
1.62078 0 0 594
1.63039 0 0 597
1.6408 0 0 602
1.65041 0 0 607
1.66002 0 0 608
1.67043 0 0 611
1.68004 0 0 616
1.69045 0 0 619
1.70006 0 0 621
1.71047 0 0 626
1.72008 0 0 631
1.73049 0 0 634
1.7401 0 0 637
1.75051 0 0 641
1.76012 0 0 640
1.77053 0 0 648
1.78014 0 0 652
1.79055 0 0 655
0 0 1 37
0.0104102 0 1 48
0.0200195 0 1 56
0.0304297 0 1 61
0.0400391 0 1 66
0.0504492 0 1 79
0.0600586 0 1 85
0.0704687 0 1 91
0.0800781 0 1 97
0.0904883 0 1 100
0.100098 0 1 114
0.110508 0 1 116
0.120117 0 1 129
0.130527 0 1 143
0.140137 0 1 138
0.150547 0 1 150
0.160156 0 1 157
0.170566 0 1 167
0.180176 0 1 170
0.190586 0 1 182
0.200195 0 1 184
0.210605 0 1 192
0.220215 0 1 200
0.230625 0 1 211
0.240234 0 1 215
0.250645 0 1 224
0.260254 0 1 230
0.270664 0 1 236
0.280273 0 1 247
0.290684 0 1 253
0.300293 0 1 260
0.310703 0 1 264
0.320312 0 1 275
0.330723 0 1 287
0.340332 0 1 294
0.350742 0 1 298
0.360352 0 1 310
0.370762 0 1 318
0.380371 0 1 321
0.390781 0 1 326
0.400391 0 1 333
0.410801 0 1 346
0.42041 0 1 353
0.43002 0 1 359
0.44043 0 1 366
0.450039 0 1 373
0.460449 0 1 378
0.470059 0 1 388
0.480469 0 1 397
0.490078 0 1 398
0.500488 0 1 407
0.510098 0 1 412
0.520508 0 1 421
0.530117 0 1 438
0.540527 0 1 437
0.550137 0 1 446
0.560547 0 1 454
0.570156 0 1 461
0.580566 0 1 470
0.590176 0 1 477
0.600586 0 1 481
0.610195 0 1 486
0.620605 0 1 498
0.630215 0 1 504
0.640625 0 1 518
0.650234 0 1 515
0.660645 0 1 528
0.670254 0 1 535
0.680664 0 1 546
0.690273 0 1 548
0.700684 0 1 556
0.710293 0 1 564
0.720703 0 1 571
0.730312 0 1 583
0.740723 0 1 584
0.750332 0 1 597
0.760742 0 1 602
0.770352 0 1 609
0.780762 0 1 617
0.790371 0 1 622
0.800781 0 1 628
0.810391 0 1 640
0.820801 0 1 642
0.83041 0 1 653
0.84002 0 1 665
0.85043 0 1 670
0.860039 0 1 675
0.870449 0 1 686
0.880059 0 1 695
0.890469 0 1 699
0.900078 0 1 708
0.910488 0 1 715
0.920098 0 1 724
0.930508 0 1 731
0.940117 0 1 736
0.950527 0 1 745
0.960137 0 1 750
0.970547 0 1 761
0.980156 0 1 771
0.990566 0 1 779
