Param val stddev
VCC_H_1.500000_current_1V5_Reset 0.0452095 0.000921618
VCC_H_1.500000_VDD_Reset 1.41601 0.000817268
VCC_H_1.500000_current_1V5_Run 0.0377098 0.00436858
VCC_H_1.500000_VDD_Run 1.42696 0.00625217
VCC_H_1.500000_VDD_2_R 670 0.894427
VCC_H_1.500000_VDD_2_L 412.1 0.3
VCC_H_1.500000_DVDD_2 431.7 0.458258
VCC_H_1.500000_BG 442.2 0.4
VCC_H_1.500000_Temp 389.9 0.3
VCC_H_1.500000_VDD_H_4 218.9 0.3
VCC_H_1.500000_OTA_R 581.9 0.3
VCC_H_1.500000_OTA_L 590.7 0.640312
VCC_H_2.000000_current_1V5_Reset 0.0451622 0.00108899
VCC_H_2.000000_VDD_Reset 1.41578 1.11022e-15
VCC_H_2.000000_current_1V5_Run 0.0373417 0.00563377
VCC_H_2.000000_VDD_Run 1.42664 0.00640457
VCC_H_2.000000_VDD_2_R 668.1 0.830662
VCC_H_2.000000_VDD_2_L 410.9 0.3
VCC_H_2.000000_DVDD_2 429.7 0.458258
VCC_H_2.000000_BG 440.9 0.3
VCC_H_2.000000_Temp 388.8 0.4
VCC_H_2.000000_VDD_H_4 282.3 0.458258
VCC_H_2.000000_OTA_R 580.1 0.538516
VCC_H_2.000000_OTA_L 588.5 0.5
VCC_H_2.500000_current_1V5_Reset 0.045207 0.00109765
VCC_H_2.500000_VDD_Reset 1.41578 1.11022e-15
VCC_H_2.500000_current_1V5_Run 0.0375307 0.00418932
VCC_H_2.500000_VDD_Run 1.4269 0.00658715
VCC_H_2.500000_VDD_2_R 666.5 1.0247
VCC_H_2.500000_VDD_2_L 409.1 0.3
VCC_H_2.500000_DVDD_2 428 0
VCC_H_2.500000_BG 439 0
VCC_H_2.500000_Temp 387.1 0.3
VCC_H_2.500000_VDD_H_4 347.4 0.489898
VCC_H_2.500000_OTA_R 578.8 0.4
VCC_H_2.500000_OTA_L 586.1 0.3
VCC_H_3.000000_current_1V5_Reset 0.0454682 0.000211931
VCC_H_3.000000_VDD_Reset 1.41594 0.000698105
VCC_H_3.000000_current_1V5_Run 0.0376999 0.00435941
VCC_H_3.000000_VDD_Run 1.42674 0.0068427
VCC_H_3.000000_VDD_2_R 664 1
VCC_H_3.000000_VDD_2_L 407.1 0.3
VCC_H_3.000000_DVDD_2 426.1 0.3
VCC_H_3.000000_BG 437.3 0.458258
VCC_H_3.000000_Temp 385.3 0.458258
VCC_H_3.000000_VDD_H_4 411.1 0.3
VCC_H_3.000000_OTA_R 577.4 0.489898
VCC_H_3.000000_OTA_L 583.8 0.6
