InputVoltage BandgapControl RampGain ADCvalue
0 0 0 10
0.0102026 0 0 16
0.0201138 0 0 20
0.0300249 0 0 25
0.0402275 0 0 31
0.0501387 0 0 37
0.0600498 0 0 41
0.0702524 0 0 47
0.0801636 0 0 53
0.0900747 0 0 58
0.100277 0 0 63
0.110188 0 0 68
0.1201 0 0 74
0.130011 0 0 79
0.140213 0 0 85
0.150125 0 0 91
0.160036 0 0 96
0.170238 0 0 101
0.180149 0 0 106
0.190061 0 0 112
0.200263 0 0 118
0.210174 0 0 123
0.220085 0 0 128
0.230288 0 0 134
0.240199 0 0 138
0.25011 0 0 145
0.260021 0 0 150
0.270224 0 0 155
0.280135 0 0 161
0.290046 0 0 166
0.300249 0 0 172
0.31016 0 0 177
0.320071 0 0 182
0.330274 0 0 188
0.340185 0 0 193
0.350096 0 0 199
0.360007 0 0 204
0.37021 0 0 209
0.380121 0 0 214
0.390032 0 0 219
0.400235 0 0 224
0.410146 0 0 230
0.420057 0 0 235
0.43026 0 0 241
0.440171 0 0 246
0.450082 0 0 251
0.460285 0 0 257
0.470196 0 0 262
0.480107 0 0 267
0.490018 0 0 272
0.500221 0 0 278
0.510132 0 0 284
0.520043 0 0 288
0.530246 0 0 294
0.540157 0 0 299
0.550068 0 0 305
0.560271 0 0 311
0.570182 0 0 316
0.580093 0 0 321
0.590004 0 0 327
0.600207 0 0 332
0.610118 0 0 337
0.620029 0 0 343
0.630231 0 0 349
0.640143 0 0 354
0.650054 0 0 360
0.660256 0 0 365
0.670167 0 0 370
0.680079 0 0 376
0.690281 0 0 381
0.700192 0 0 386
0.710104 0 0 392
0.720015 0 0 397
0.730217 0 0 402
0.740128 0 0 408
0.75004 0 0 413
0.760242 0 0 419
0.770153 0 0 425
0.780064 0 0 430
0.790267 0 0 436
0.800178 0 0 441
0.810089 0 0 446
0.82 0 0 451
0.830203 0 0 457
0.840114 0 0 463
0.850025 0 0 467
0.860228 0 0 473
0.870139 0 0 478
0.88005 0 0 484
0.890253 0 0 489
0.900164 0 0 495
0.910075 0 0 500
0.920278 0 0 506
0.930189 0 0 511
0.9401 0 0 516
0.950011 0 0 522
0.960214 0 0 527
0.970125 0 0 532
0.980036 0 0 538
0.990239 0 0 543
1.00015 0 0 548
1.01006 0 0 554
1.02026 0 0 560
1.03017 0 0 564
1.04009 0 0 570
1.05029 0 0 575
1.0602 0 0 581
1.07011 0 0 586
1.08002 0 0 592
1.09022 0 0 597
1.10014 0 0 602
1.11005 0 0 608
1.12025 0 0 614
1.13016 0 0 619
1.14007 0 0 624
1.15027 0 0 630
1.16019 0 0 635
1.1701 0 0 640
1.18001 0 0 646
1.19021 0 0 651
0 0 1 20
0.0102026 0 1 32
0.0201138 0 1 41
0.0300249 0 1 53
0.0402275 0 1 66
0.0501387 0 1 75
0.0600498 0 1 86
0.0702524 0 1 98
0.0801636 0 1 109
0.0900747 0 1 122
0.100277 0 1 132
0.110188 0 1 144
0.1201 0 1 155
0.130011 0 1 167
0.140213 0 1 178
0.150125 0 1 190
0.160036 0 1 201
0.170238 0 1 213
0.180149 0 1 224
0.190061 0 1 236
0.200263 0 1 248
0.210174 0 1 259
0.220085 0 1 270
0.230288 0 1 282
0.240199 0 1 294
0.25011 0 1 306
0.260021 0 1 317
0.270224 0 1 328
0.280135 0 1 340
0.290046 0 1 352
0.300249 0 1 364
0.31016 0 1 374
0.320071 0 1 385
0.330274 0 1 397
0.340185 0 1 409
0.350096 0 1 420
0.360007 0 1 431
0.37021 0 1 443
0.380121 0 1 453
0.390032 0 1 464
0.400235 0 1 476
0.410146 0 1 487
0.420057 0 1 498
0.43026 0 1 510
0.440171 0 1 521
0.450082 0 1 532
0.460285 0 1 544
0.470196 0 1 555
0.480107 0 1 567
0.490018 0 1 578
0.500221 0 1 590
0.510132 0 1 600
0.520043 0 1 612
0.530246 0 1 624
0.540157 0 1 636
0.550068 0 1 647
0.560271 0 1 660
0.570182 0 1 670
0.580093 0 1 682
0.590004 0 1 693
0.600207 0 1 705
0.610118 0 1 716
0.620029 0 1 729
0.630231 0 1 740
0.640143 0 1 752
0.650054 0 1 763
0.660256 0 1 775
0.670167 0 1 786
0.680079 0 1 798
0.690281 0 1 810
0.700192 0 1 821
0.710104 0 1 833
0.720015 0 1 844
0.730217 0 1 855
0.740128 0 1 868
0.75004 0 1 879
0.760242 0 1 890
0.770153 0 1 902
0.780064 0 1 913
0.790267 0 1 924
0.800178 0 1 937
0.810089 0 1 949
0.82 0 1 959
0.830203 0 1 971
0.840114 0 1 982
0.850025 0 1 994
0.860228 0 1 1005
0.870139 0 1 1017
0.88005 0 1 1019
0.890253 0 1 1019
0.900164 0 1 1019
0.910075 0 1 1019
0.920278 0 1 1019
0.930189 0 1 1019
0.9401 0 1 1019
0.950011 0 1 1019
0.960214 0 1 1019
0.970125 0 1 1019
0.980036 0 1 1019
0.990239 0 1 1019
1.00015 0 1 1019
1.01006 0 1 1019
1.02026 0 1 1019
1.03017 0 1 1019
1.04009 0 1 1019
1.05029 0 1 1019
1.0602 0 1 1019
1.07011 0 1 1019
1.08002 0 1 1019
1.09022 0 1 1019
1.10014 0 1 1019
1.11005 0 1 1019
1.12025 0 1 1019
1.13016 0 1 1019
1.14007 0 1 1019
1.15027 0 1 1019
1.16019 0 1 1019
1.1701 0 1 1019
1.18001 0 1 1019
1.19021 0 1 1019
0 0 2 13
0.0102026 0 2 19
0.0201138 0 2 25
0.0300249 0 2 32
0.0402275 0 2 39
0.0501387 0 2 45
0.0600498 0 2 53
0.0702524 0 2 61
0.0801636 0 2 66
0.0900747 0 2 73
0.100277 0 2 80
0.110188 0 2 87
0.1201 0 2 93
0.130011 0 2 101
0.140213 0 2 107
0.150125 0 2 114
0.160036 0 2 120
0.170238 0 2 128
0.180149 0 2 135
0.190061 0 2 141
0.200263 0 2 149
0.210174 0 2 155
0.220085 0 2 162
0.230288 0 2 170
0.240199 0 2 176
0.25011 0 2 183
0.260021 0 2 191
0.270224 0 2 197
0.280135 0 2 203
0.290046 0 2 211
0.300249 0 2 217
0.31016 0 2 224
0.320071 0 2 232
0.330274 0 2 238
0.340185 0 2 245
0.350096 0 2 251
0.360007 0 2 258
0.37021 0 2 265
0.380121 0 2 271
0.390032 0 2 278
0.400235 0 2 285
0.410146 0 2 292
0.420057 0 2 299
0.43026 0 2 305
0.440171 0 2 311
0.450082 0 2 318
0.460285 0 2 325
0.470196 0 2 332
0.480107 0 2 339
0.490018 0 2 346
0.500221 0 2 353
0.510132 0 2 359
0.520043 0 2 366
0.530246 0 2 374
0.540157 0 2 380
0.550068 0 2 387
0.560271 0 2 394
0.570182 0 2 401
0.580093 0 2 408
0.590004 0 2 414
0.600207 0 2 422
0.610118 0 2 429
0.620029 0 2 435
0.630231 0 2 443
0.640143 0 2 450
0.650054 0 2 456
0.660256 0 2 464
0.670167 0 2 470
0.680079 0 2 477
0.690281 0 2 483
0.700192 0 2 491
0.710104 0 2 497
0.720015 0 2 504
0.730217 0 2 767
0.740128 0 2 518
0.75004 0 2 526
0.760242 0 2 533
0.770153 0 2 539
0.780064 0 2 546
0.790267 0 2 553
0.800178 0 2 560
0.810089 0 2 567
0.82 0 2 573
0.830203 0 2 580
0.840114 0 2 587
0.850025 0 2 594
0.860228 0 2 601
0.870139 0 2 608
0.88005 0 2 614
0.890253 0 2 621
0.900164 0 2 628
0.910075 0 2 635
0.920278 0 2 642
0.930189 0 2 649
0.9401 0 2 656
0.950011 0 2 663
0.960214 0 2 669
0.970125 0 2 676
0.980036 0 2 683
0.990239 0 2 690
1.00015 0 2 697
1.01006 0 2 703
1.02026 0 2 710
1.03017 0 2 718
1.04009 0 2 724
1.05029 0 2 731
1.0602 0 2 738
1.07011 0 2 744
1.08002 0 2 751
1.09022 0 2 758
1.10014 0 2 766
1.11005 0 2 773
1.12025 0 2 779
1.13016 0 2 786
1.14007 0 2 793
1.15027 0 2 800
1.16019 0 2 806
1.1701 0 2 814
1.18001 0 2 820
1.19021 0 2 828
0 0 3 13
0.0102026 0 3 18
0.0201138 0 3 25
0.0300249 0 3 30
0.0402275 0 3 38
0.0501387 0 3 43
0.0600498 0 3 50
0.0702524 0 3 57
0.0801636 0 3 63
0.0900747 0 3 70
0.100277 0 3 76
0.110188 0 3 83
0.1201 0 3 89
0.130011 0 3 95
0.140213 0 3 103
0.150125 0 3 109
0.160036 0 3 115
0.170238 0 3 122
0.180149 0 3 129
0.190061 0 3 136
0.200263 0 3 142
0.210174 0 3 149
0.220085 0 3 155
0.230288 0 3 162
0.240199 0 3 169
0.25011 0 3 174
0.260021 0 3 182
0.270224 0 3 189
0.280135 0 3 195
0.290046 0 3 201
0.300249 0 3 208
0.31016 0 3 215
0.320071 0 3 220
0.330274 0 3 227
0.340185 0 3 234
0.350096 0 3 240
0.360007 0 3 247
0.37021 0 3 253
0.380121 0 3 259
0.390032 0 3 266
0.400235 0 3 272
0.410146 0 3 278
0.420057 0 3 285
0.43026 0 3 291
0.440171 0 3 298
0.450082 0 3 304
0.460285 0 3 311
0.470196 0 3 317
0.480107 0 3 323
0.490018 0 3 330
0.500221 0 3 337
0.510132 0 3 343
0.520043 0 3 349
0.530246 0 3 356
0.540157 0 3 363
0.550068 0 3 370
0.560271 0 3 376
0.570182 0 3 382
0.580093 0 3 389
0.590004 0 3 395
0.600207 0 3 403
0.610118 0 3 409
0.620029 0 3 415
0.630231 0 3 422
0.640143 0 3 428
0.650054 0 3 435
0.660256 0 3 442
0.670167 0 3 449
0.680079 0 3 455
0.690281 0 3 461
0.700192 0 3 468
0.710104 0 3 475
0.720015 0 3 481
0.730217 0 3 488
0.740128 0 3 495
0.75004 0 3 501
0.760242 0 3 508
0.770153 0 3 514
0.780064 0 3 521
0.790267 0 3 527
0.800178 0 3 534
0.810089 0 3 541
0.82 0 3 547
0.830203 0 3 554
0.840114 0 3 561
0.850025 0 3 567
0.860228 0 3 574
0.870139 0 3 580
0.88005 0 3 586
0.890253 0 3 593
0.900164 0 3 599
0.910075 0 3 606
0.920278 0 3 612
0.930189 0 3 619
0.9401 0 3 625
0.950011 0 3 632
0.960214 0 3 639
0.970125 0 3 645
0.980036 0 3 651
0.990239 0 3 658
1.00015 0 3 665
1.01006 0 3 672
1.02026 0 3 677
1.03017 0 3 684
1.04009 0 3 691
1.05029 0 3 953
1.0602 0 3 394
1.07011 0 3 394
1.08002 0 3 394
1.09022 0 3 395
1.10014 0 3 394
1.11005 0 3 394
1.12025 0 3 395
1.13016 0 3 394
1.14007 0 3 395
1.15027 0 3 394
1.16019 0 3 394
1.1701 0 3 394
1.18001 0 3 394
1.19021 0 3 394
0 1 0 397
0.0102026 1 0 397
0.0201138 1 0 397
0.0300249 1 0 398
0.0402275 1 0 397
0.0501387 1 0 398
0.0600498 1 0 398
0.0702524 1 0 397
0.0801636 1 0 398
0.0900747 1 0 398
0.100277 1 0 398
0.110188 1 0 398
0.1201 1 0 397
0.130011 1 0 397
0.140213 1 0 398
0.150125 1 0 397
0.160036 1 0 397
0.170238 1 0 397
0.180149 1 0 397
0.190061 1 0 398
0.200263 1 0 398
0.210174 1 0 397
0.220085 1 0 397
0.230288 1 0 397
0.240199 1 0 397
0.25011 1 0 397
0.260021 1 0 397
0.270224 1 0 397
0.280135 1 0 398
0.290046 1 0 397
0.300249 1 0 397
0.31016 1 0 397
0.320071 1 0 398
0.330274 1 0 397
0.340185 1 0 397
0.350096 1 0 397
0.360007 1 0 398
0.37021 1 0 398
0.380121 1 0 397
0.390032 1 0 397
0.400235 1 0 398
0.410146 1 0 398
0.420057 1 0 398
0.43026 1 0 397
0.440171 1 0 397
0.450082 1 0 397
0.460285 1 0 397
0.470196 1 0 398
0.480107 1 0 398
0.490018 1 0 397
0.500221 1 0 397
0.510132 1 0 397
0.520043 1 0 397
0.530246 1 0 397
0.540157 1 0 397
0.550068 1 0 397
0.560271 1 0 397
0.570182 1 0 398
0.580093 1 0 397
0.590004 1 0 397
0.600207 1 0 397
0.610118 1 0 398
0.620029 1 0 398
0.630231 1 0 398
0.640143 1 0 398
0.650054 1 0 398
0.660256 1 0 398
0.670167 1 0 397
0.680079 1 0 398
0.690281 1 0 397
0.700192 1 0 397
0.710104 1 0 398
0.720015 1 0 397
0.730217 1 0 397
0.740128 1 0 397
0.75004 1 0 398
0.760242 1 0 398
0.770153 1 0 397
0.780064 1 0 397
0.790267 1 0 397
0.800178 1 0 397
0.810089 1 0 398
0.82 1 0 397
0.830203 1 0 398
0.840114 1 0 397
0.850025 1 0 397
0.860228 1 0 397
0.870139 1 0 397
0.88005 1 0 397
0.890253 1 0 398
0.900164 1 0 397
0.910075 1 0 397
0.920278 1 0 397
0.930189 1 0 397
0.9401 1 0 398
0.950011 1 0 397
0.960214 1 0 398
0.970125 1 0 398
0.980036 1 0 398
0.990239 1 0 397
1.00015 1 0 397
1.01006 1 0 397
1.02026 1 0 397
1.03017 1 0 398
1.04009 1 0 398
1.05029 1 0 397
1.0602 1 0 397
1.07011 1 0 397
1.08002 1 0 397
1.09022 1 0 397
1.10014 1 0 398
1.11005 1 0 397
1.12025 1 0 397
1.13016 1 0 397
1.14007 1 0 397
1.15027 1 0 397
1.16019 1 0 398
1.1701 1 0 398
1.18001 1 0 398
1.19021 1 0 398
0 1 1 819
0.0102026 1 1 821
0.0201138 1 1 821
0.0300249 1 1 821
0.0402275 1 1 821
0.0501387 1 1 821
0.0600498 1 1 821
0.0702524 1 1 821
0.0801636 1 1 820
0.0900747 1 1 821
0.100277 1 1 821
0.110188 1 1 821
0.1201 1 1 821
0.130011 1 1 821
0.140213 1 1 821
