InputVoltage BandgapControl RampGain ADCvalue
0 0 0 20
0.0102026 0 0 25
0.0201138 0 0 30
0.0300249 0 0 34
0.0402275 0 0 41
0.0501387 0 0 45
0.0600498 0 0 51
0.0702524 0 0 56
0.0801636 0 0 61
0.0900747 0 0 66
0.100277 0 0 74
0.110188 0 0 75
0.1201 0 0 84
0.130011 0 0 89
0.140213 0 0 94
0.150125 0 0 99
0.160036 0 0 103
0.170238 0 0 111
0.180149 0 0 114
0.190061 0 0 120
0.200263 0 0 128
0.210174 0 0 133
0.220085 0 0 138
0.230288 0 0 145
0.240199 0 0 150
0.25011 0 0 155
0.260021 0 0 161
0.270224 0 0 167
0.280135 0 0 172
0.290046 0 0 176
0.300249 0 0 184
0.31016 0 0 189
0.320071 0 0 192
0.330274 0 0 199
0.340185 0 0 204
0.350096 0 0 210
0.360007 0 0 215
0.37021 0 0 220
0.380121 0 0 225
0.390032 0 0 231
0.400235 0 0 237
0.410146 0 0 241
0.420057 0 0 247
0.43026 0 0 253
0.440171 0 0 258
0.450082 0 0 263
0.460285 0 0 270
0.470196 0 0 275
0.480107 0 0 280
0.490018 0 0 287
0.500221 0 0 292
0.510132 0 0 296
0.520043 0 0 303
0.530246 0 0 307
0.540157 0 0 312
0.550068 0 0 318
0.560271 0 0 322
0.570182 0 0 330
0.580093 0 0 335
0.590004 0 0 339
0.600207 0 0 347
0.610118 0 0 352
0.620029 0 0 357
0.630231 0 0 364
0.640143 0 0 368
0.650054 0 0 374
0.660256 0 0 380
0.670167 0 0 385
0.680079 0 0 390
0.690281 0 0 398
0.700192 0 0 401
0.710104 0 0 406
0.720015 0 0 414
0.730217 0 0 419
0.740128 0 0 425
0.75004 0 0 429
0.760242 0 0 435
0.770153 0 0 440
0.780064 0 0 445
0.790267 0 0 450
0.800178 0 0 456
0.810089 0 0 463
0.82 0 0 466
0.830203 0 0 472
0.840114 0 0 479
0.850025 0 0 483
0.860228 0 0 491
0.870139 0 0 495
0.88005 0 0 498
0.890253 0 0 507
0.900164 0 0 513
0.910075 0 0 518
0.920278 0 0 522
0.930189 0 0 528
0.9401 0 0 535
0.950011 0 0 539
0.960214 0 0 545
0.970125 0 0 550
0.980036 0 0 556
0.990239 0 0 563
1.00015 0 0 567
1.01006 0 0 572
1.02026 0 0 577
1.03017 0 0 584
1.04009 0 0 588
1.05029 0 0 595
1.0602 0 0 600
1.07011 0 0 605
1.08002 0 0 610
1.09022 0 0 616
1.10014 0 0 622
1.11005 0 0 627
1.12025 0 0 634
1.13016 0 0 638
1.14007 0 0 644
1.15027 0 0 650
1.16019 0 0 655
1.1701 0 0 660
1.18001 0 0 666
1.19021 0 0 671
0 0 1 39
0.0102026 0 1 48
0.0201138 0 1 62
0.0300249 0 1 69
0.0402275 0 1 80
0.0501387 0 1 92
0.0600498 0 1 106
0.0702524 0 1 118
0.0801636 0 1 129
0.0900747 0 1 140
0.100277 0 1 150
0.110188 0 1 164
0.1201 0 1 174
0.130011 0 1 186
0.140213 0 1 198
0.150125 0 1 209
0.160036 0 1 223
0.170238 0 1 233
0.180149 0 1 246
0.190061 0 1 257
0.200263 0 1 268
0.210174 0 1 279
0.220085 0 1 290
0.230288 0 1 303
0.240199 0 1 313
0.25011 0 1 327
0.260021 0 1 336
0.270224 0 1 349
0.280135 0 1 360
0.290046 0 1 370
0.300249 0 1 386
0.31016 0 1 396
0.320071 0 1 406
0.330274 0 1 419
0.340185 0 1 431
0.350096 0 1 441
0.360007 0 1 450
0.37021 0 1 462
0.380121 0 1 476
0.390032 0 1 485
0.400235 0 1 496
0.410146 0 1 510
0.420057 0 1 519
0.43026 0 1 532
0.440171 0 1 542
0.450082 0 1 556
0.460285 0 1 566
0.470196 0 1 578
0.480107 0 1 586
0.490018 0 1 602
0.500221 0 1 615
0.510132 0 1 622
0.520043 0 1 633
0.530246 0 1 649
0.540157 0 1 659
0.550068 0 1 669
0.560271 0 1 682
0.570182 0 1 693
0.580093 0 1 705
0.590004 0 1 717
0.600207 0 1 728
0.610118 0 1 742
