InputVoltage BandgapControl RampGain ADCvalue
0 0 0 29
0.0104102 0 0 29
0.0200195 0 0 38
0.0304297 0 0 36
0.0400391 0 0 40
0.0504492 0 0 50
0.0600586 0 0 52
0.0704687 0 0 56
0.0800781 0 0 67
0.0904883 0 0 69
0.100098 0 0 78
0.110508 0 0 87
0.120117 0 0 87
0.130527 0 0 89
0.140137 0 0 98
0.150547 0 0 109
0.160156 0 0 114
0.170566 0 0 108
0.180176 0 0 122
0.190586 0 0 129
0.200195 0 0 134
0.210605 0 0 142
0.220215 0 0 142
0.230625 0 0 144
0.240234 0 0 149
0.250645 0 0 163
0.260254 0 0 166
0.270664 0 0 171
0.280273 0 0 179
0.290684 0 0 180
0.300293 0 0 187
0.310703 0 0 193
0.320312 0 0 192
0.330723 0 0 198
0.340332 0 0 206
0.350742 0 0 210
0.360352 0 0 218
0.370762 0 0 221
0.380371 0 0 229
0.390781 0 0 234
0.400391 0 0 239
0.410801 0 0 242
0.42041 0 0 251
0.43002 0 0 257
0.44043 0 0 259
0.450039 0 0 266
0.460449 0 0 269
0.470059 0 0 279
0.480469 0 0 282
0.490078 0 0 289
0.500488 0 0 295
0.510098 0 0 296
0.520508 0 0 306
0.530117 0 0 311
0.540527 0 0 314
0.550137 0 0 322
0.560547 0 0 328
0.570156 0 0 328
0.580566 0 0 332
0.590176 0 0 337
0.600586 0 0 349
0.610195 0 0 352
0.620605 0 0 352
0.630215 0 0 363
0.640625 0 0 368
0.650234 0 0 379
0.660645 0 0 382
0.670254 0 0 384
0.680664 0 0 389
0.690273 0 0 393
0.700684 0 0 402
0.710293 0 0 408
0.720703 0 0 413
0.730312 0 0 423
0.740723 0 0 422
0.750332 0 0 429
0.760742 0 0 433
0.770352 0 0 439
0.780762 0 0 444
0.790371 0 0 451
0.800781 0 0 456
0.810391 0 0 460
0.820801 0 0 464
0.83041 0 0 475
0.84002 0 0 478
0.85043 0 0 480
0.860039 0 0 486
0.870449 0 0 496
0.880059 0 0 495
0.890469 0 0 506
0.900078 0 0 515
0.910488 0 0 517
0.920098 0 0 521
0.930508 0 0 528
0.940117 0 0 533
0.950527 0 0 539
0.960137 0 0 543
0.970547 0 0 551
0.980156 0 0 550
0.990566 0 0 561
1.00018 0 0 565
1.01059 0 0 569
1.0202 0 0 577
1.03061 0 0 583
1.04021 0 0 584
1.05062 0 0 594
1.06023 0 0 596
1.07064 0 0 600
1.08025 0 0 603
1.09066 0 0 612
1.10027 0 0 618
1.11068 0 0 625
1.12029 0 0 629
1.1307 0 0 632
1.14031 0 0 638
1.15072 0 0 645
1.16033 0 0 650
1.17074 0 0 657
1.18035 0 0 660
1.19076 0 0 671
0 0 1 49
0.0104102 0 1 63
0.0200195 0 1 65
0.0304297 0 1 86
0.0400391 0 1 94
0.0504492 0 1 106
0.0600586 0 1 117
0.0704687 0 1 129
0.0800781 0 1 137
0.0904883 0 1 158
0.100098 0 1 167
0.110508 0 1 181
0.120117 0 1 190
0.130527 0 1 197
0.140137 0 1 212
0.150547 0 1 226
0.160156 0 1 241
0.170566 0 1 248
0.180176 0 1 253
0.190586 0 1 272
0.200195 0 1 280
0.210605 0 1 293
0.220215 0 1 315
0.230625 0 1 326
0.240234 0 1 328
0.250645 0 1 345
0.260254 0 1 355
0.270664 0 1 370
0.280273 0 1 370
0.290684 0 1 389
0.300293 0 1 403
0.310703 0 1 414
0.320312 0 1 424
0.330723 0 1 440
0.340332 0 1 450
0.350742 0 1 463
0.360352 0 1 479
0.370762 0 1 487
0.380371 0 1 494
0.390781 0 1 509
0.400391 0 1 515
0.410801 0 1 528
0.42041 0 1 544
0.43002 0 1 553
0.44043 0 1 568
0.450039 0 1 572
0.460449 0 1 588
0.470059 0 1 590
0.480469 0 1 613
0.490078 0 1 619
0.500488 0 1 631
0.510098 0 1 648
0.520508 0 1 655
0.530117 0 1 671
0.540527 0 1 675
0.550137 0 1 690
0.560547 0 1 713
0.570156 0 1 725
0.580566 0 1 741
0.590176 0 1 742
0.600586 0 1 755
0.610195 0 1 766
0.620605 0 1 771
0.630215 0 1 796
0.640625 0 1 794
0.650234 0 1 816
0.660645 0 1 826
0.670254 0 1 838
0.680664 0 1 842
0.690273 0 1 850
0.700684 0 1 878
0.710293 0 1 893
0.720703 0 1 900
0.730312 0 1 913
0.740723 0 1 919
0.750332 0 1 936
0.760742 0 1 952
0.770352 0 1 957
0.780762 0 1 973
0.790371 0 1 989
0.800781 0 1 1001
0.810391 0 1 1017
0.820801 0 1 1021
0.83041 0 1 1023
0.84002 0 1 1023
0.85043 0 1 1023
0.860039 0 1 1023
0.870449 0 1 1023
0.880059 0 1 1023
0.890469 0 1 1023
0.900078 0 1 1023
0.910488 0 1 1023
0.920098 0 1 1023
0.930508 0 1 1023
0.940117 0 1 1023
0.950527 0 1 1023
0.960137 0 1 1023
0.970547 0 1 1023
0.980156 0 1 1023
0.990566 0 1 1023
1.00018 0 1 1023
1.01059 0 1 1023
1.0202 0 1 1023
1.03061 0 1 1023
1.04021 0 1 1023
