Param val stddev
VCC_H_1.500000_current_1V5_Reset 0.0440951 0.000110433
VCC_H_1.500000_VDD_Reset 1.41898 1.77636e-15
VCC_H_1.500000_current_1V5_Run 0.0369462 0.00464381
VCC_H_1.500000_VDD_Run 1.4292 0.00610605
VCC_H_1.500000_VDD_2_R 660.2 1.46969
VCC_H_1.500000_VDD_2_L 403 0
VCC_H_1.500000_DVDD_2 419.5 0.5
VCC_H_1.500000_BG 429.9 0.3
VCC_H_1.500000_Temp 373 0
VCC_H_1.500000_VDD_H_4 213.2 0.6
VCC_H_1.500000_OTA_R 579 0.447214
VCC_H_1.500000_OTA_L 576.8 0.6
VCC_H_2.000000_current_1V5_Reset 0.0440628 0.00149745
VCC_H_2.000000_VDD_Reset 1.41898 1.77636e-15
VCC_H_2.000000_current_1V5_Run 0.036588 0.00443815
VCC_H_2.000000_VDD_Run 1.4269 0.0307215
VCC_H_2.000000_VDD_2_R 656.5 0.806226
VCC_H_2.000000_VDD_2_L 401.1 0.3
VCC_H_2.000000_DVDD_2 416.8 0.4
VCC_H_2.000000_BG 427.9 0.3
VCC_H_2.000000_Temp 370.8 0.4
VCC_H_2.000000_VDD_H_4 276 0.632456
VCC_H_2.000000_OTA_R 576.4 0.489898
VCC_H_2.000000_OTA_L 573.8 0.4
VCC_H_2.500000_current_1V5_Reset 0.0441648 0.00111374
VCC_H_2.500000_VDD_Reset 1.41898 1.77636e-15
VCC_H_2.500000_current_1V5_Run 0.0361676 0.00417241
VCC_H_2.500000_VDD_Run 1.43013 0.00600071
VCC_H_2.500000_VDD_2_R 653.6 1.11355
VCC_H_2.500000_VDD_2_L 398.9 0.3
VCC_H_2.500000_DVDD_2 414.5 0.5
VCC_H_2.500000_BG 425 0
VCC_H_2.500000_Temp 368.6 0.489898
VCC_H_2.500000_VDD_H_4 340.1 0.3
VCC_H_2.500000_OTA_R 573.8 0.4
VCC_H_2.500000_OTA_L 570.4 0.489898
VCC_H_3.000000_current_1V5_Reset 0.0440578 0.00153227
VCC_H_3.000000_VDD_Reset 1.41898 1.77636e-15
VCC_H_3.000000_current_1V5_Run 0.0361402 0.00464566
VCC_H_3.000000_VDD_Run 1.4302 0.00780012
VCC_H_3.000000_VDD_2_R 651.5 1.62788
VCC_H_3.000000_VDD_2_L 396.7 0.458258
VCC_H_3.000000_DVDD_2 412.3 0.640312
VCC_H_3.000000_BG 422.9 0.3
VCC_H_3.000000_Temp 366.3 0.640312
VCC_H_3.000000_VDD_H_4 402 0
VCC_H_3.000000_OTA_R 571.2 0.6
VCC_H_3.000000_OTA_L 567 0.447214
