InputVoltage BandgapControl RampGain ADCvalue
0 0 0 23
0.0104102 0 0 25
0.0200195 0 0 31
0.0304297 0 0 36
0.0400391 0 0 37
0.0504492 0 0 47
0.0600586 0 0 50
0.0704687 0 0 54
0.0800781 0 0 60
0.0904883 0 0 65
0.100098 0 0 69
0.110508 0 0 82
0.120117 0 0 78
0.130527 0 0 90
0.140137 0 0 92
0.150547 0 0 96
0.160156 0 0 105
0.170566 0 0 110
0.180176 0 0 113
0.190586 0 0 117
0.200195 0 0 128
0.210605 0 0 131
0.220215 0 0 137
0.230625 0 0 143
0.240234 0 0 146
0.250645 0 0 154
0.260254 0 0 156
0.270664 0 0 166
0.280273 0 0 165
0.290684 0 0 174
0.300293 0 0 176
0.310703 0 0 189
0.320312 0 0 195
0.330723 0 0 196
0.340332 0 0 199
0.350742 0 0 207
0.360352 0 0 209
0.370762 0 0 214
0.380371 0 0 221
0.390781 0 0 223
0.400391 0 0 235
0.410801 0 0 235
0.42041 0 0 246
0.43002 0 0 251
0.44043 0 0 255
0.450039 0 0 256
0.460449 0 0 260
0.470059 0 0 269
0.480469 0 0 272
0.490078 0 0 283
0.500488 0 0 286
0.510098 0 0 290
0.520508 0 0 292
0.530117 0 0 300
0.540527 0 0 306
0.550137 0 0 312
0.560547 0 0 313
0.570156 0 0 323
0.580566 0 0 325
0.590176 0 0 328
0.600586 0 0 338
0.610195 0 0 346
0.620605 0 0 350
0.630215 0 0 356
0.640625 0 0 361
0.650234 0 0 365
0.660645 0 0 367
0.670254 0 0 378
0.680664 0 0 379
0.690273 0 0 386
0.700684 0 0 393
0.710293 0 0 394
0.720703 0 0 400
0.730312 0 0 404
0.740723 0 0 414
0.750332 0 0 416
0.760742 0 0 420
0.770352 0 0 430
0.780762 0 0 433
0.790371 0 0 436
0.800781 0 0 445
0.810391 0 0 449
0.820801 0 0 452
0.83041 0 0 461
0.84002 0 0 465
0.85043 0 0 469
0.860039 0 0 473
0.870449 0 0 482
0.880059 0 0 484
0.890469 0 0 492
0.900078 0 0 499
0.910488 0 0 500
0.920098 0 0 507
0.930508 0 0 514
0.940117 0 0 515
0.950527 0 0 520
0.960137 0 0 526
0.970547 0 0 531
0.980156 0 0 539
0.990566 0 0 545
1.00018 0 0 546
1.01059 0 0 556
1.0202 0 0 559
1.03061 0 0 565
1.04021 0 0 572
1.05062 0 0 574
1.06023 0 0 580
1.07064 0 0 584
1.08025 0 0 595
1.09066 0 0 596
1.10027 0 0 603
1.11068 0 0 609
1.12029 0 0 614
1.1307 0 0 618
1.14031 0 0 620
1.15072 0 0 630
1.16033 0 0 635
1.17074 0 0 642
1.18035 0 0 646
1.19076 0 0 652
0 0 1 40
0.0104102 0 1 52
0.0200195 0 1 60
0.0304297 0 1 73
