timestr I2C_SuccessRate
1554197 0.26
8610150 0.55
15814208 0.66
23028756 0.72
30223084 0.74
37444079 0.75
44637448 0.77
51801298 0.71
59002970 0.75
66183561 0.71
73382205 0.69
80588686 0.79
87789143 0.75
94997606 0.76
102208152 0.82
109412297 0.65
116632203 0.75
123845147 0.78
131049751 0.68
138258337 0.69
145466514 0.75
152669508 0.73
159861818 0.76
167077145 0.74
174263662 0.7
181467206 0.71
188675365 0.7
195879973 0.75
203101145 0.76
210312215 0.69
217481446 0.78
224670187 0.69
231871904 0.79
239082091 0.73
246306573 0.83
253525080 0.71
260707674 0.74
267917177 0.78
275108838 0.74
282307667 0.7
289492382 0.65
296676493 0.73
303891485 0.71
311092838 0.77
318293448 0.72
325499817 0.71
332711375 0.77
339912142 0.74
347138512 0.77
354344285 0.78
361554535 0.72
368749208 0.73
375964230 0.72
383170533 0.73
390387361 0.73
397582515 0.82
404758056 0.67
411947778 0.8
419157308 0.76
426374874 0.74
433575618 0.71
440792625 0.74
447980243 0.76
455182291 0.71
462388995 0.75
469578564 0.75
476793708 0.8
484004088 0.81
491212816 0.78
498429085 0.78
505635231 0.77
512853647 0.78
520070078 0.74
527280739 0.75
534488383 0.75
541684970 0.79
548864449 0.74
556080992 0.84
563297241 0.78
570480261 0.73
577699372 0.78
584896078 0.73
592095750 0.79
599304802 0.79
606520363 0.64
613723512 0.76
620938969 0.77
628120664 0.71
635315904 0.77
642497536 0.75
649702847 0.75
656911846 0.73
664123601 0.77
671304386 0.79
678517089 0.76
685708534 0.73
692912817 0.77
700120816 0.72
707336409 0.68
714524360 0.73
721740078 0.8
728950328 0.79
736166659 0.77
743377824 0.77
750562555 0.8
757768534 0.69
764978514 0.81
772174231 0.8
779364057 0.76
786559685 0.66
793742524 0.78
800945048 0.74
808152682 0.74
815384449 0.74
822593664 0.75
829798816 0.71
837014360 0.71
844224764 0.75
851428535 0.77
858608994 0.76
865828212 0.71
873032616 0.81
880238182 0.76
887456094 0.69
894649667 0.78
901845231 0.75
909048210 0.69
916243449 0.77
923455905 0.66
930675508 0.7
937902805 0.78
945123292 0.74
952343744 0.69
959560853 0.76
966766381 0.85
973947078 0.71
981139814 0.83
988343298 0.77
995546959 0.71
1002758919 0.76
1009967145 0.82
1017174360 0.81
1024382062 0.77
1031599854 0.75
1038818910 0.8
1046032231 0.81
1053235534 0.75
1060453226 0.78
1067655366 0.75
1074861383 0.74
1082062688 0.75
1089267045 0.76
1096469605 0.71
1103656230 0.71
1110870399 0.8
1118065553 0.74
1125269078 0.85
1132484985 0.78
1139693383 0.78
1146916842 0.76
1154113665 0.78
1161318078 0.81
1168538403 0.72
1175756828 0.77
1182959081 0.7
1190156446 0.74
1197361001 0.79
1204546311 0.71
1211730991 0.69
1218932230 0.72
1226156632 0.75
1233315993 0.8
1240512001 0.78
1247731145 0.7
1254923679 0.77
1262138296 0.72
1269336687 0.72
1276528230 0.79
1283745381 0.76
1290944311 0.86
1298131637 0.65
1305335936 0.78
1312541472 0.8
1319733298 0.74
1326948624 0.7
1334160297 0.79
1341368735 0.79
1348581212 0.79
1355793664 0.82
1363012910 0.71
1370212451 0.72
1377425908 0.69
1384642665 0.7
1391847968 0.75
1399048619 0.71
1406259208 0.79
1413474838 0.78
1420684019 0.74
1427891250 0.7
1435074558 0.71
1442277231 0.77
1449497821 0.75
1456696381 0.77
1463894847 0.77
1471109290 0.79
1478295801 0.8
1485519230 0.77
1492738687 0.77
1499947014 0.76
1507158809 0.69
1514377145 0.74
1521579892 0.76
1528798992 0.79
1536008995 0.76
1543227532 0.75
1550408817 0.77
1557642409 0.73
1564859386 0.72
1572076208 0.72
1579289209 0.76
1586503604 0.73
1593720055 0.79
1600912599 0.73
1608115448 0.87
1615321628 0.75
1622535752 0.76
1629735530 0.8
1636944361 0.78
1644159989 0.85
1651352349 0.76
1658549905 0.8
1665754447 0.83
1672955231 0.85
1680182818 0.8
1687398358 0.8
1694601533 0.83
1701823513 0.75
1709026952 0.79
1716233431 0.74
1723458307 0.81
1730666207 0.85
1737879023 0.81
1745103078 0.83
1752292001 0.83
1759497334 0.83
1766711907 0.82
1773915238 0.8
1781121901 0.77
1788343226 0.81
1795550661 0.77
1802762908 0.8
1809931537 0.79
1817141184 0.84
1824358626 0.82
1831564258 0.84
1838769601 0.86
1845997059 0.77
1853197599 0.76
1860385079 0.75
1867570753 0.73
1874770449 0.75
1881965962 0.8
1889182968 0.73
1896375375 0.8
1903567231 0.79
1910787970 0.78
1918005667 0.73
1925194995 0.76
1932412512 0.73
1939615803 0.81
1946801598 0.86
1954032078 0.69
1961237358 0.76
1968425602 0.78
1975638761 0.78
1982840513 0.78
1990032007 0.69
1997235722 0.71
2004422446 0.71
2011641602 0.84
2018847057 0.79
2026046542 0.77
2033256970 0.78
2040448176 0.89
2047661925 0.86
2054871604 0.86
2062103094 0.8
2069312513 0.8
2076523058 0.81
2083728599 0.74
2090935143 0.79
2098137448 0.74
2105357145 0.77
2112579827 0.71
2119769548 0.77
2126985839 0.75
2134186302 0.78
2141396689 0.78
2148599331 0.75
2155808668 0.84
2163008239 0.73
2170170715 0.72
2177373228 0.77
2184589393 0.77
2191787902 0.76
2198990360 0.7
2206196144 0.77
2213402818 0.72
2220600363 0.79
2227804451 0.83
2235005817 0.77
2242216450 0.74
2249435632 0.75
2256638964 0.75
2263832208 0.73
2271019700 0.8
2278232758 0.75
2285441752 0.7
2292626814 0.76
2299839301 0.74
2307053612 0.69
2314265664 0.75
2321458219 0.77
2328652145 0.77
2335866691 0.7
2343088301 0.84
2350302752 0.72
2357478145 0.81
2364697750 0.73
2371912167 0.79
2379075817 0.7
2386290232 0.78
2393502514 0.81
2400691454 0.74
2407908867 0.76
2415083666 0.75
2422257145 0.74
2429461526 0.67
2436668992 0.76
2443867245 0.76
2451063986 0.78
2458276991 0.73
2465471463 0.76
2472645079 0.76
2479834667 0.74
2487004208 0.8
2494230514 0.78
2501429231 0.72
2508634600 0.82
2515845838 0.74
2523048400 0.8
2530236269 0.74
2537431597 0.75
2544649234 0.84
2551847608 0.7
2559058573 0.68
2566260676 0.71
2573471968 0.71
2580684588 0.76
2587884222 0.74
2595098752 0.74
2602309285 0.79
2609500902 0.78
2616713325 0.81
2623929145 0.84
2631140852 0.82
2638344422 0.83
2645536517 0.74
2652737838 0.76
2659929294 0.73
2667133762 0.69
2674334817 0.76
2681517146 0.73
2688693922 0.82
2695910078 0.77
2703118600 0.78
2710321144 0.79
2717539602 0.72
2724749973 0.76
2731932729 0.71
2739140044 0.83
2746331607 0.77
2753538083 0.76
2760754379 0.69
2767930839 0.76
2775141448 0.64
2782347394 0.73
2789554003 0.75
2796760059 0.73
2803958390 0.75
2811140068 0.78
2818367253 0.69
2825578666 0.76
2832785837 0.79
2839992594 0.79
2847181838 0.79
2854351069 0.73
2861569028 0.7
2868769648 0.77
2875963331 0.79
2883179848 0.87
2890377070 0.78
2897576926 0.79
2904795970 0.75
2912004144 0.79
2919219600 0.72
2926412304 0.77
2933625840 0.75
2940829362 0.79
2948014515 0.76
2955195455 0.71
2962397813 0.71
2969589079 0.8
2976775601 0.68
2983984383 0.74
2991187904 0.81
2998379363 0.73
3005572381 0.74
3012763051 0.73
3019940533 0.68
3027156534 0.65
3034371612 0.75
3041561901 0.77
3048770209 0.69
3055952179 0.68
3063164208 0.79
3070364915 0.74
3077557297 0.74
3084764321 0.69
3091967449 0.82
3099175665 0.72
3106376459 0.78
3113574664 0.72
3120774676 0.73
3127958150 0.81
3135152405 0.82
3142357908 0.71
3149566993 0.78
3156791564 0.73
3163995676 0.71
3171203748 0.76
3178428517 0.75
3185644664 0.74
3192860301 0.7
3200070452 0.73
3207255903 0.73
3214449296 0.75
3221652686 0.82
3228857124 0.74
3236044145 0.73
3243257686 0.78
3250476448 0.84
3257697067 0.85
3264905986 0.72
3272120012 0.74
3279316155 0.71
3286520485 0.77
3293722760 0.78
3300929900 0.75
3308121507 0.81
3315333969 0.74
3322550365 0.75
3329745903 0.69
3336942079 0.77
3344144750 0.69
3351334056 0.73
3358514644 0.71
3365720751 0.72
3372914231 0.76
3380101570 0.78
3387312744 0.74
3394533209 0.73
3401756523 0.67
3408897979 0.73
3416090674 0.79
3423297232 0.78
3430506683 0.79
3437704362 0.72
3444904296 0.81
3452099081 0.73
3459305818 0.76
3466506451 0.75
3473721674 0.68
3480918063 0.78
3488098660 0.81
3495301209 0.75
3502519736 0.76
3509699141 0.84
3516922056 0.76
3524123512 0.69
3531337183 0.76
3538482671 0.66
3545702936 0.72
3552895439 0.68
3560109993 0.78
3567332521 0.82
3574520417 0.8
3581735996 0.73
3588926449 0.76
3596112451 0.73
3603320914 0.67
3610534518 0.73
3617737924 0.79
3624934912 0.79
3632159070 0.79
3639358991 0.8
3646574598 0.74
3653778891 0.75
3660994880 0.65
3668194297 0.76
3675413755 0.81
3682621189 0.76
3689838309 0.72
3697035665 0.72
3704249176 0.78
3711463535 0.68
3718642078 0.76
3725833374 0.76
3733028616 0.76
3740225093 0.72
3747419513 0.72
3754616079 0.75
3761812601 0.67
3769012032 0.78
3776191380 0.76
3783398148 0.78
3790597761 0.66
3797817056 0.81
3804999383 0.74
3812174140 0.76
3819360070 0.71
3826579058 0.76
3833787616 0.77
3840986835 0.73
3848140628 0.74
3855357359 0.73
3862545907 0.78
3869745272 0.8
3876944905 0.73
3884147298 0.73
3891339602 0.72
3898534203 0.81
3905751598 0.78
3912953144 0.85
3920180682 0.74
3927378909 0.69
3934572360 0.76
3941774152 0.73
3948960971 0.74
3956157600 0.81
3963347068 0.7
3970521577 0.77
3977710001 0.84
3984910145 0.76
3992118968 0.74
3999316241 0.73
4006514448 0.76
4013746048 0.77
4020937601 0.73
4028126146 0.75
4035321974 0.67
4042526298 0.76
4049722753 0.74
