timestr I2C_SuccessRate
1321735 0.33
7628175 0.3
13980238 0.37
20320569 0.35
26673504 0.33
33046719 0.31
39297027 0.31
45518099 0.26
51817173 0.33
58204142 0.36
64441111 0.29
70690024 0.24
77151502 0.42
83621242 0.42
90049633 0.37
96354112 0.28
102636658 0.31
108902406 0.26
115220087 0.33
121609024 0.35
127897191 0.3
134318264 0.38
140586267 0.29
146885656 0.31
153192713 0.31
159523350 0.33
165829631 0.32
172220263 0.34
178615660 0.36
185080111 0.41
191488082 0.37
197786231 0.3
204002570 0.28
210407104 0.33
216794895 0.35
223042785 0.25
229391091 0.31
235708354 0.31
241929176 0.3
248158355 0.23
254393416 0.31
260828175 0.38
267233959 0.38
273658091 0.38
279924420 0.32
286267266 0.29
292558266 0.3
298917263 0.29
305101742 0.22
311441427 0.26
317782937 0.32
324168104 0.31
330426351 0.27
336683354 0.23
343070808 0.34
349335938 0.31
355787169 0.4
362038883 0.29
368414504 0.36
374736360 0.34
381099428 0.37
387400651 0.28
393661960 0.27
399998805 0.32
406387493 0.33
412668672 0.28
418983655 0.31
425436940 0.42
431826882 0.4
437970568 0.23
444445240 0.36
450765959 0.3
457067087 0.34
463545873 0.44
469845307 0.31
476133441 0.29
482475479 0.32
488831328 0.35
495196242 0.4
501499076 0.31
507842958 0.32
514200110 0.33
520589025 0.33
526964809 0.35
533257966 0.31
539600263 0.29
545880236 0.3
552081569 0.25
558323660 0.27
564674783 0.33
570975962 0.27
577412023 0.34
583665101 0.25
590112973 0.39
596419789 0.34
602663802 0.27
609059630 0.39
615419568 0.33
621634979 0.24
628006874 0.35
634307873 0.33
640603516 0.32
646913176 0.35
653187503 0.31
659558655 0.33
665870898 0.31
672141724 0.3
678529503 0.36
684875351 0.26
691140656 0.24
697510568 0.32
703868247 0.36
710212938 0.35
716441325 0.25
722810089 0.33
729083149 0.23
735340996 0.28
741778424 0.35
748091865 0.31
754527937 0.37
760881270 0.36
767185463 0.28
773555416 0.31
779903328 0.32
786165708 0.27
792474265 0.27
798975162 0.44
805155025 0.25
811555239 0.33
817936262 0.35
824253236 0.28
830444539 0.25
836689438 0.32
843145990 0.4
849570661 0.39
855743826 0.27
862120188 0.35
868441241 0.29
874748569 0.29
881097789 0.34
887426594 0.26
893732507 0.27
899929351 0.29
906099892 0.26
912334082 0.25
918536783 0.26
924767096 0.32
930873808 0.21
937272976 0.42
943561962 0.28
949881011 0.35
956182351 0.28
962464596 0.3
968801427 0.34
975061721 0.26
981455416 0.34
987602152 0.22
993971263 0.35
1000228351 0.28
1006564264 0.32
1012898024 0.33
1019114969 0.31
1025535437 0.4
1031767871 0.28
1038081984 0.33
1044447773 0.41
1050870267 0.37
1057176962 0.32
1063357655 0.29
1069677801 0.33
1076063806 0.37
1082228324 0.22
1088550025 0.34
1094715333 0.26
1101084091 0.33
1107409573 0.31
1113638417 0.25
1119802272 0.21
1126063307 0.3
1132500085 0.39
1138810176 0.29
1145094276 0.28
1151375260 0.24
1157601720 0.2
1163863012 0.29
1170194722 0.37
1176473808 0.33
1182764329 0.26
1189014488 0.33
1195327699 0.3
1201692481 0.29
1208080243 0.35
1214308651 0.3
1220622577 0.3
1226928698 0.3
1233226032 0.32
1239558730 0.33
1245924482 0.39
1252274714 0.33
1258641567 0.31
1264927259 0.37
1271180351 0.28
1277427351 0.27
1283808504 0.3
1290121571 0.35
1296372173 0.27
1302651432 0.31
1308977568 0.32
1315135104 0.19
1321373936 0.28
1327650221 0.31
1333963940 0.3
1340267656 0.36
1346555112 0.29
1352926685 0.37
1359192305 0.3
1365328565 0.24
1371697241 0.4
1378106653 0.38
1384450634 0.36
1390898500 0.41
1397126800 0.28
1403366377 0.25
1409729351 0.35
1416111476 0.37
1422507504 0.37
1428744446 0.37
1435122636 0.36
1441440662 0.31
1447748445 0.31
1454017447 0.28
1460291716 0.3
