Param val stddev
VCC_H_1.500000_current_1V5_Reset 0.0554752 3.48244e-05
VCC_H_1.500000_VDD_Reset 1.39016 2.22045e-16
VCC_H_1.500000_current_1V5_Run 0.0372845 0.00379056
VCC_H_1.500000_VDD_Run 1.1594 0.000627682
VCC_H_1.500000_VDD_2_R 514.9 0.3
VCC_H_1.500000_VDD_2_L 460.8 0.4
VCC_H_1.500000_DVDD_2 523 0
VCC_H_1.500000_BG 492 0
VCC_H_1.500000_Temp 505.9 0.3
VCC_H_1.500000_VDD_H_4 337 0
VCC_H_1.500000_OTA_R 720.9 0.3
VCC_H_1.500000_OTA_L 654.1 0.3
VCC_H_2.000000_current_1V5_Reset 0.0554006 0.00137243
VCC_H_2.000000_VDD_Reset 1.39012 0.000318707
VCC_H_2.000000_current_1V5_Run 0.0378715 0.00410639
VCC_H_2.000000_VDD_Run 1.1595 0.000318707
VCC_H_2.000000_VDD_2_R 514.1 0.538516
VCC_H_2.000000_VDD_2_L 459.8 0.4
VCC_H_2.000000_DVDD_2 522.1 0.3
VCC_H_2.000000_BG 491 0
VCC_H_2.000000_Temp 504.9 0.3
VCC_H_2.000000_VDD_H_4 438.6 0.489898
VCC_H_2.000000_OTA_R 720.3 0.458258
VCC_H_2.000000_OTA_L 653.4 0.489898
VCC_H_2.500000_current_1V5_Reset 0.0555971 0.00106438
VCC_H_2.500000_VDD_Reset 1.39016 2.22045e-16
VCC_H_2.500000_current_1V5_Run 0.0380083 0.00451855
VCC_H_2.500000_VDD_Run 1.15895 0.00261717
VCC_H_2.500000_VDD_2_R 514.5 0.5
VCC_H_2.500000_VDD_2_L 460 0
VCC_H_2.500000_DVDD_2 522.2 0.4
VCC_H_2.500000_BG 491.4 0.489898
VCC_H_2.500000_Temp 505.1 0.3
VCC_H_2.500000_VDD_H_4 543 0
VCC_H_2.500000_OTA_R 721.4 0.489898
VCC_H_2.500000_OTA_L 653.9 0.3
VCC_H_3.000000_current_1V5_Reset 0.0555673 0.00148495
VCC_H_3.000000_VDD_Reset 1.39012 0.000318707
VCC_H_3.000000_current_1V5_Run 0.0384585 0.00416586
VCC_H_3.000000_VDD_Run 1.15867 0.00142206
VCC_H_3.000000_VDD_2_R 515.5 0.5
VCC_H_3.000000_VDD_2_L 460.5 0.5
VCC_H_3.000000_DVDD_2 523 0
VCC_H_3.000000_BG 492 0
VCC_H_3.000000_Temp 505.8 0.4
VCC_H_3.000000_VDD_H_4 644.8 0.4
VCC_H_3.000000_OTA_R 721.8 0.6
VCC_H_3.000000_OTA_L 654.4 0.489898
