InputVoltage BandgapControl RampGain ADCvalue
0 0 0 16
0.0102026 0 0 20
0.0201138 0 0 26
0.0300249 0 0 31
0.0402275 0 0 36
0.0501387 0 0 41
0.0600498 0 0 46
0.0702524 0 0 52
0.0801636 0 0 57
0.0900747 0 0 63
0.100277 0 0 68
0.110188 0 0 73
0.1201 0 0 79
0.130011 0 0 84
0.140213 0 0 89
0.150125 0 0 95
0.160036 0 0 100
0.170238 0 0 105
0.180149 0 0 111
0.190061 0 0 117
0.200263 0 0 122
0.210174 0 0 127
0.220085 0 0 132
0.230288 0 0 138
0.240199 0 0 144
0.25011 0 0 149
0.260021 0 0 153
0.270224 0 0 159
0.280135 0 0 164
0.290046 0 0 170
0.300249 0 0 175
0.31016 0 0 180
0.320071 0 0 186
0.330274 0 0 191
0.340185 0 0 196
0.350096 0 0 201
0.360007 0 0 207
0.37021 0 0 212
0.380121 0 0 217
0.390032 0 0 221
0.400235 0 0 228
0.410146 0 0 233
0.420057 0 0 238
0.43026 0 0 242
0.440171 0 0 248
0.450082 0 0 254
0.460285 0 0 258
0.470196 0 0 264
0.480107 0 0 269
0.490018 0 0 275
0.500221 0 0 280
0.510132 0 0 285
0.520043 0 0 291
0.530246 0 0 296
0.540157 0 0 301
0.550068 0 0 306
0.560271 0 0 313
0.570182 0 0 317
0.580093 0 0 322
0.590004 0 0 328
0.600207 0 0 334
0.610118 0 0 340
0.620029 0 0 344
0.630231 0 0 349
0.640143 0 0 356
0.650054 0 0 361
0.660256 0 0 366
0.670167 0 0 371
0.680079 0 0 377
0.690281 0 0 383
0.700192 0 0 387
0.710104 0 0 393
0.720015 0 0 399
0.730217 0 0 404
0.740128 0 0 409
0.75004 0 0 414
0.760242 0 0 419
0.770153 0 0 425
0.780064 0 0 430
0.790267 0 0 436
0.800178 0 0 442
0.810089 0 0 447
0.82 0 0 453
0.830203 0 0 457
0.840114 0 0 462
0.850025 0 0 469
0.860228 0 0 475
0.870139 0 0 479
0.88005 0 0 485
0.890253 0 0 490
0.900164 0 0 496
0.910075 0 0 500
0.920278 0 0 506
0.930189 0 0 512
0.9401 0 0 517
0.950011 0 0 522
0.960214 0 0 528
0.970125 0 0 533
0.980036 0 0 538
0.990239 0 0 543
1.00015 0 0 548
1.01006 0 0 554
1.02026 0 0 560
1.03017 0 0 565
1.04009 0 0 570
1.05029 0 0 576
1.0602 0 0 581
1.07011 0 0 586
1.08002 0 0 591
1.09022 0 0 598
1.10014 0 0 603
1.11005 0 0 608
1.12025 0 0 614
1.13016 0 0 619
1.14007 0 0 625
1.15027 0 0 629
1.16019 0 0 636
1.1701 0 0 641
1.18001 0 0 646
1.19021 0 0 651
0 0 1 28
0.0102026 0 1 39
0.0201138 0 1 49
0.0300249 0 1 59
0.0402275 0 1 71
0.0501387 0 1 81
0.0600498 0 1 91
0.0702524 0 1 103
0.0801636 0 1 114
0.0900747 0 1 124
0.100277 0 1 135
0.110188 0 1 147
0.1201 0 1 156
0.130011 0 1 168
0.140213 0 1 180
0.150125 0 1 190
0.160036 0 1 200
0.170238 0 1 213
0.180149 0 1 223
0.190061 0 1 234
0.200263 0 1 245
0.210174 0 1 257
0.220085 0 1 266
0.230288 0 1 278
0.240199 0 1 290
0.25011 0 1 299
0.260021 0 1 310
0.270224 0 1 323
0.280135 0 1 333
0.290046 0 1 343
0.300249 0 1 355
0.31016 0 1 366
0.320071 0 1 376
0.330274 0 1 387
0.340185 0 1 398
0.350096 0 1 407
0.360007 0 1 418
0.37021 0 1 430
0.380121 0 1 441
0.390032 0 1 449
0.400235 0 1 462
0.410146 0 1 471
0.420057 0 1 481
0.43026 0 1 494
0.440171 0 1 503
0.450082 0 1 514
0.460285 0 1 527
0.470196 0 1 537
0.480107 0 1 547
0.490018 0 1 557
0.500221 0 1 570
0.510132 0 1 581
0.520043 0 1 590
0.530246 0 1 603
0.540157 0 1 614
0.550068 0 1 624
0.560271 0 1 635
0.570182 0 1 647
0.580093 0 1 658
0.590004 0 1 667
0.600207 0 1 680
0.610118 0 1 691
0.620029 0 1 700
0.630231 0 1 712
0.640143 0 1 724
0.650054 0 1 735
0.660256 0 1 745
0.670167 0 1 757
0.680079 0 1 769
0.690281 0 1 778
0.700192 0 1 790
0.710104 0 1 800
0.720015 0 1 812
0.730217 0 1 823
0.740128 0 1 832
0.75004 0 1 844
0.760242 0 1 856
0.770153 0 1 868
0.780064 0 1 877
0.790267 0 1 889
0.800178 0 1 901
0.810089 0 1 910
0.82 0 1 921
0.830203 0 1 934
0.840114 0 1 945
0.850025 0 1 953
0.860228 0 1 967
0.870139 0 1 977
0.88005 0 1 987
0.890253 0 1 999
0.900164 0 1 1010
0.910075 0 1 1020
0.920278 0 1 1023
0.930189 0 1 1023
0.9401 0 1 1023
0.950011 0 1 1023
0.960214 0 1 1023
0.970125 0 1 1023
0.980036 0 1 1023
0.990239 0 1 1023
1.00015 0 1 1023
1.01006 0 1 1023
1.02026 0 1 1023
1.03017 0 1 1023
1.04009 0 1 1023
1.05029 0 1 1023
1.0602 0 1 1023
1.07011 0 1 1023
1.08002 0 1 1023
1.09022 0 1 1023
1.10014 0 1 1023
1.11005 0 1 1023
1.12025 0 1 1023
1.13016 0 1 1023
1.14007 0 1 1023
1.15027 0 1 1023
1.16019 0 1 1023
1.1701 0 1 1023
1.18001 0 1 1023
1.19021 0 1 1023
0 0 2 19
0.0102026 0 2 25
0.0201138 0 2 31
0.0300249 0 2 38
0.0402275 0 2 45
0.0501387 0 2 52
0.0600498 0 2 58
0.0702524 0 2 65
0.0801636 0 2 71
0.0900747 0 2 78
0.100277 0 2 85
0.110188 0 2 91
0.1201 0 2 99
0.130011 0 2 105
0.140213 0 2 112
0.150125 0 2 119
0.160036 0 2 125
0.170238 0 2 132
0.180149 0 2 139
0.190061 0 2 146
0.200263 0 2 152
0.210174 0 2 160
0.220085 0 2 166
0.230288 0 2 173
0.240199 0 2 180
0.25011 0 2 186
0.260021 0 2 193
0.270224 0 2 200
0.280135 0 2 206
0.290046 0 2 214
0.300249 0 2 221
0.31016 0 2 227
0.320071 0 2 234
0.330274 0 2 241
0.340185 0 2 246
0.350096 0 2 253
0.360007 0 2 259
0.37021 0 2 266
0.380121 0 2 273
0.390032 0 2 279
0.400235 0 2 286
0.410146 0 2 293
0.420057 0 2 298
0.43026 0 2 306
0.440171 0 2 313
0.450082 0 2 319
0.460285 0 2 325
0.470196 0 2 332
0.480107 0 2 339
0.490018 0 2 345
