InputVoltage BandgapControl RampGain ADCvalue
0 0 0 19
0.0102026 0 0 24
0.0201138 0 0 30
0.0300249 0 0 35
0.0402275 0 0 41
0.0501387 0 0 47
0.0600498 0 0 52
0.0702524 0 0 58
0.0801636 0 0 64
0.0900747 0 0 69
0.100277 0 0 75
0.110188 0 0 81
0.1201 0 0 86
0.130011 0 0 93
0.140213 0 0 98
0.150125 0 0 104
0.160036 0 0 109
0.170238 0 0 116
0.180149 0 0 121
0.190061 0 0 126
0.200263 0 0 132
0.210174 0 0 139
0.220085 0 0 144
0.230288 0 0 149
0.240199 0 0 155
0.25011 0 0 161
0.260021 0 0 167
0.270224 0 0 173
0.280135 0 0 178
0.290046 0 0 184
0.300249 0 0 190
0.31016 0 0 195
0.320071 0 0 200
0.330274 0 0 207
0.340185 0 0 212
0.350096 0 0 217
0.360007 0 0 223
0.37021 0 0 229
0.380121 0 0 234
0.390032 0 0 240
0.400235 0 0 244
0.410146 0 0 250
0.420057 0 0 256
0.43026 0 0 262
0.440171 0 0 267
0.450082 0 0 273
0.460285 0 0 279
0.470196 0 0 284
0.480107 0 0 289
0.490018 0 0 295
0.500221 0 0 301
0.510132 0 0 306
0.520043 0 0 312
0.530246 0 0 319
0.540157 0 0 324
0.550068 0 0 329
0.560271 0 0 336
0.570182 0 0 341
0.580093 0 0 346
0.590004 0 0 352
0.600207 0 0 357
0.610118 0 0 364
0.620029 0 0 369
0.630231 0 0 375
0.640143 0 0 381
0.650054 0 0 387
0.660256 0 0 392
0.670167 0 0 397
0.680079 0 0 404
0.690281 0 0 409
0.700192 0 0 414
0.710104 0 0 421
0.720015 0 0 427
0.730217 0 0 432
0.740128 0 0 437
0.75004 0 0 444
0.760242 0 0 450
0.770153 0 0 455
0.780064 0 0 460
0.790267 0 0 468
0.800178 0 0 473
0.810089 0 0 479
0.82 0 0 483
0.830203 0 0 490
0.840114 0 0 495
0.850025 0 0 500
0.860228 0 0 507
0.870139 0 0 512
0.88005 0 0 518
0.890253 0 0 523
0.900164 0 0 530
0.910075 0 0 535
0.920278 0 0 541
0.930189 0 0 546
0.9401 0 0 553
0.950011 0 0 558
0.960214 0 0 563
