InputVoltage BandgapControl RampGain ADCvalue
0 0 0 18
0.0104102 0 0 23
0.0200195 0 0 28
0.0304297 0 0 33
0.0400391 0 0 39
0.0504492 0 0 44
0.0600586 0 0 49
0.0704687 0 0 55
0.0800781 0 0 60
0.0904883 0 0 66
0.100098 0 0 71
0.110508 0 0 76
0.120117 0 0 82
0.130527 0 0 87
0.140137 0 0 92
0.150547 0 0 98
0.160156 0 0 103
0.170566 0 0 108
0.180176 0 0 114
0.190586 0 0 123
0.200195 0 0 124
0.210605 0 0 130
0.220215 0 0 136
0.230625 0 0 141
0.240234 0 0 146
0.250645 0 0 155
0.260254 0 0 157
0.270664 0 0 162
0.280273 0 0 167
0.290684 0 0 173
0.300293 0 0 178
0.310703 0 0 184
0.320312 0 0 189
0.330723 0 0 194
0.340332 0 0 200
0.350742 0 0 205
0.360352 0 0 210
0.370762 0 0 215
0.380371 0 0 220
0.390781 0 0 226
0.400391 0 0 231
0.410801 0 0 236
0.42041 0 0 241
0.43002 0 0 247
0.44043 0 0 252
0.450039 0 0 256
0.460449 0 0 262
0.470059 0 0 267
0.480469 0 0 273
0.490078 0 0 278
0.500488 0 0 283
0.510098 0 0 288
0.520508 0 0 295
0.530117 0 0 300
0.540527 0 0 305
0.550137 0 0 310
0.560547 0 0 316
0.570156 0 0 321
0.580566 0 0 327
0.590176 0 0 335
0.600586 0 0 337
0.610195 0 0 343
0.620605 0 0 349
0.630215 0 0 353
0.640625 0 0 358
0.650234 0 0 364
0.660645 0 0 369
0.670254 0 0 374
0.680664 0 0 380
0.690273 0 0 386
0.700684 0 0 391
0.710293 0 0 396
0.720703 0 0 402
0.730312 0 0 411
0.740723 0 0 413
0.750332 0 0 418
0.760742 0 0 423
0.770352 0 0 429
0.780762 0 0 435
0.790371 0 0 443
0.800781 0 0 445
0.810391 0 0 451
0.820801 0 0 457
0.83041 0 0 461
0.84002 0 0 466
0.85043 0 0 473
0.860039 0 0 478
0.870449 0 0 483
0.880059 0 0 488
0.890469 0 0 494
0.900078 0 0 499
0.910488 0 0 504
0.920098 0 0 510
0.930508 0 0 516
0.940117 0 0 520
0.950527 0 0 526
0.960137 0 0 532
0.970547 0 0 537
0.980156 0 0 542
0.990566 0 0 547
1.00018 0 0 553
1.01059 0 0 558
1.0202 0 0 564
1.03061 0 0 569
1.04021 0 0 574
1.05062 0 0 580
1.06023 0 0 585
1.07064 0 0 591
1.08025 0 0 596
1.09066 0 0 601
1.10027 0 0 607
1.11068 0 0 612
1.12029 0 0 617
1.1307 0 0 623
1.14031 0 0 628
1.15072 0 0 634
1.16033 0 0 639
1.17074 0 0 645
1.18035 0 0 650
1.19076 0 0 656
0 0 1 33
0.0104102 0 1 44
0.0200195 0 1 54
0.0304297 0 1 65
0.0400391 0 1 79
0.0504492 0 1 87
0.0600586 0 1 97
0.0704687 0 1 109
0.0800781 0 1 119
0.0904883 0 1 131
0.100098 0 1 141
0.110508 0 1 153
0.120117 0 1 160
0.130527 0 1 174
0.140137 0 1 185
0.150547 0 1 197
0.160156 0 1 207
0.170566 0 1 218
0.180176 0 1 230
0.190586 0 1 240
0.200195 0 1 251
0.210605 0 1 263
