InputVoltage BandgapControl RampGain ADCvalue
0 0 0 20
0.0104102 0 0 23
0.0200195 0 0 27
0.0304297 0 0 30
0.0400391 0 0 34
0.0504492 0 0 38
0.0600586 0 0 41
0.0704687 0 0 45
0.0800781 0 0 49
0.0904883 0 0 53
0.100098 0 0 56
0.110508 0 0 60
0.120117 0 0 64
0.130527 0 0 67
0.140137 0 0 71
0.150547 0 0 75
0.160156 0 0 79
0.170566 0 0 83
0.180176 0 0 86
0.190586 0 0 90
0.200195 0 0 94
0.210605 0 0 98
0.220215 0 0 102
0.230625 0 0 106
0.240234 0 0 109
0.250645 0 0 113
0.260254 0 0 117
0.270664 0 0 121
0.280273 0 0 124
0.290684 0 0 131
0.300293 0 0 132
0.310703 0 0 136
0.320312 0 0 143
0.330723 0 0 143
0.340332 0 0 146
0.350742 0 0 150
0.360352 0 0 154
0.370762 0 0 158
0.380371 0 0 162
0.390781 0 0 166
0.400391 0 0 169
0.410801 0 0 173
0.42041 0 0 176
0.43002 0 0 180
0.44043 0 0 184
0.450039 0 0 187
0.460449 0 0 191
0.470059 0 0 195
0.480469 0 0 199
0.490078 0 0 202
0.500488 0 0 206
0.510098 0 0 209
0.520508 0 0 213
0.530117 0 0 217
0.540527 0 0 220
0.550137 0 0 224
0.560547 0 0 228
0.570156 0 0 231
0.580566 0 0 235
0.590176 0 0 238
0.600586 0 0 241
0.610195 0 0 244
0.620605 0 0 248
0.630215 0 0 252
0.640625 0 0 256
0.650234 0 0 256
0.660645 0 0 267
0.670254 0 0 267
0.680664 0 0 271
0.690273 0 0 274
0.700684 0 0 278
0.710293 0 0 281
0.720703 0 0 285
0.730312 0 0 288
0.740723 0 0 292
0.750332 0 0 296
0.760742 0 0 300
0.770352 0 0 304
0.780762 0 0 308
0.790371 0 0 311
0.800781 0 0 314
0.810391 0 0 318
0.820801 0 0 322
0.83041 0 0 325
0.84002 0 0 330
0.85043 0 0 333
0.860039 0 0 337
0.870449 0 0 341
0.880059 0 0 345
0.890469 0 0 348
0.900078 0 0 351
0.910488 0 0 355
0.920098 0 0 359
0.930508 0 0 363
0.940117 0 0 367
0.950527 0 0 371
0.960137 0 0 374
0.970547 0 0 378
0.980156 0 0 382
0.990566 0 0 385
1.00018 0 0 389
1.01059 0 0 393
1.0202 0 0 396
1.03061 0 0 401
1.04021 0 0 404
1.05062 0 0 408
1.06023 0 0 412
1.07064 0 0 419
1.08025 0 0 419
1.09066 0 0 422
1.10027 0 0 427
1.11068 0 0 431
1.12029 0 0 435
1.1307 0 0 439
1.14031 0 0 442
1.15072 0 0 445
1.16033 0 0 449
1.17074 0 0 453
1.18035 0 0 456
1.19076 0 0 460
1.20037 0 0 465
1.21078 0 0 468
1.22039 0 0 475
1.2308 0 0 476
1.24041 0 0 479
1.25002 0 0 483
1.26043 0 0 486
1.27004 0 0 490
1.28045 0 0 494
1.29006 0 0 497
1.30047 0 0 501
1.31008 0 0 505
1.32049 0 0 509
1.3301 0 0 513
1.34051 0 0 516
1.35012 0 0 523
1.36053 0 0 527
1.37014 0 0 527
1.38055 0 0 530
1.39016 0 0 535
1.40057 0 0 538
1.41018 0 0 542
1.42059 0 0 546
1.4302 0 0 549
1.44061 0 0 553
1.45021 0 0 556
1.46062 0 0 560
1.47023 0 0 564
1.48064 0 0 568
1.49025 0 0 572
1.50066 0 0 575
1.51027 0 0 579
1.52068 0 0 582
1.53029 0 0 586
1.5407 0 0 589
1.55031 0 0 593
1.56072 0 0 598
1.57033 0 0 601
1.58074 0 0 605
1.59035 0 0 608
1.60076 0 0 612
1.61037 0 0 616
1.62078 0 0 619
1.63039 0 0 623
1.6408 0 0 627
1.65041 0 0 631
1.66002 0 0 634
1.67043 0 0 638
1.68004 0 0 641
1.69045 0 0 645
1.70006 0 0 649
1.71047 0 0 653
1.72008 0 0 657
1.73049 0 0 661
1.7401 0 0 665
1.75051 0 0 669
1.76012 0 0 673
1.77053 0 0 676
1.78014 0 0 683
1.79055 0 0 683
0 0 1 40
0.0104102 0 1 49
0.0200195 0 1 56
0.0304297 0 1 65
0.0400391 0 1 73
0.0504492 0 1 81
0.0600586 0 1 89
0.0704687 0 1 98
0.0800781 0 1 106
0.0904883 0 1 115
0.100098 0 1 122
0.110508 0 1 132
0.120117 0 1 143
0.130527 0 1 148
0.140137 0 1 156
0.150547 0 1 166
0.160156 0 1 172
0.170566 0 1 182
0.180176 0 1 189
0.190586 0 1 199
0.200195 0 1 207
0.210605 0 1 216
0.220215 0 1 227
0.230625 0 1 234
0.240234 0 1 240
0.250645 0 1 250
0.260254 0 1 257
0.270664 0 1 267
0.280273 0 1 274
0.290684 0 1 287
0.300293 0 1 292
0.310703 0 1 300
0.320312 0 1 309
0.330723 0 1 317
0.340332 0 1 326
0.350742 0 1 334
0.360352 0 1 343
0.370762 0 1 355
0.380371 0 1 358
0.390781 0 1 368
0.400391 0 1 375
0.410801 0 1 385
0.42041 0 1 392
0.43002 0 1 401
0.44043 0 1 409
0.450039 0 1 418
0.460449 0 1 425
0.470059 0 1 434
0.480469 0 1 441
0.490078 0 1 450
0.500488 0 1 459
0.510098 0 1 465
0.520508 0 1 475
0.530117 0 1 482
0.540527 0 1 492
0.550137 0 1 497
0.560547 0 1 508
0.570156 0 1 517
0.580566 0 1 523
0.590176 0 1 529
0.600586 0 1 540
0.610195 0 1 549
0.620605 0 1 557
0.630215 0 1 563
0.640625 0 1 572
0.650234 0 1 579
0.660645 0 1 589
0.670254 0 1 594
0.680664 0 1 604
0.690273 0 1 615
0.700684 0 1 618
0.710293 0 1 628
0.720703 0 1 637
0.730312 0 1 644
0.740723 0 1 654
0.750332 0 1 660
0.760742 0 1 670
0.770352 0 1 677
0.780762 0 1 691
0.790371 0 1 694
0.800781 0 1 705
0.810391 0 1 710
0.820801 0 1 722
0.83041 0 1 728
0.84002 0 1 738
0.85043 0 1 744
0.860039 0 1 754
0.870449 0 1 761
0.880059 0 1 771
0.890469 0 1 778
0.900078 0 1 788
0.910488 0 1 796
0.920098 0 1 807
0.930508 0 1 815
0.940117 0 1 821
0.950527 0 1 828
0.960137 0 1 837
0.970547 0 1 847
0.980156 0 1 858
0.990566 0 1 862
1.00018 0 1 875
1.01059 0 1 885
1.0202 0 1 888
1.03061 0 1 899
1.04021 0 1 909
1.05062 0 1 912
1.06023 0 1 922
1.07064 0 1 933
