InputVoltage BandgapControl RampGain ADCvalue
0.896074 10 3 517
0.896074 10 3 517
0.896074 10 3 517
0.896074 10 3 517
0.896074 10 3 517
0.896074 10 3 517
0.896074 10 3 518
0.896074 10 3 517
0.896074 10 3 517
0.896074 10 3 517
0.896074 10 3 517
0.896074 10 3 517
0.896074 10 3 517
0.896074 10 3 517
0.896074 10 3 517
0.896074 10 3 517
0.896074 10 3 517
0.896074 10 3 517
0.896074 10 3 517
0.896074 10 3 517
0.896074 10 3 517
0.896074 10 3 517
0.896074 10 3 517
0.896074 10 3 517
0.896074 10 3 517
0.896074 10 3 517
0.896074 10 3 517
0.896074 10 3 517
0.896074 10 3 517
0.896074 10 3 517
0.896074 10 3 518
0.896074 10 3 517
0.896074 10 3 517
0.896074 10 3 517
0.896074 10 3 517
0.896074 10 3 517
0.896074 10 3 517
0.896074 10 3 517
0.896074 10 3 517
0.896074 10 3 517
0.896074 10 3 517
0.896074 10 3 517
0.896074 10 3 517
0.896074 10 3 518
0.896074 10 3 517
0.896074 10 3 517
0.896074 10 3 518
0.896074 10 3 517
0.896074 10 3 517
0.896074 10 3 517
0.896074 10 3 517
0.896074 10 3 517
0.896074 10 3 517
0.896074 10 3 517
0.896074 10 3 517
0.896074 10 3 517
0.896074 10 3 517
0.896074 10 3 518
0.896074 10 3 517
0.896074 10 3 517
0.896074 10 3 517
0.896074 10 3 517
0.896074 10 3 517
0.896074 10 3 517
0.896074 10 3 517
0.896074 10 3 517
0.896074 10 3 517
0.896074 10 3 517
0.896074 10 3 517
0.896074 10 3 517
0.896074 10 3 517
0.896074 10 3 517
0.896074 10 3 517
0.896074 10 3 517
0.896074 10 3 517
0.896074 10 3 517
0.896074 10 3 517
0.896074 10 3 517
0.896074 10 3 517
0.896074 10 3 517
0.896074 10 3 517
0.896074 10 3 517
0.896074 10 3 517
0.896074 10 3 517
0.896074 10 3 517
0.896074 10 3 517
0.896074 10 3 517
0.896074 10 3 517
0.896074 10 3 517
0.896074 10 3 517
0.896074 10 3 518
0.896074 10 3 517
0.896074 10 3 517
0.896074 10 3 518
0.896074 10 3 517
0.896074 10 3 517
0.896074 10 3 517
0.896074 10 3 517
0.896074 10 3 517
0.896074 10 3 517
0.896074 10 3 517
0.896074 10 3 517
0.896074 10 3 517
0.896074 10 3 517
0.896074 10 3 518
0.896074 10 3 517
0.896074 10 3 518
0.896074 10 3 517
