timestr I2C_SuccessRate
2209399 1
9421862 1
16621733 1
23835011 1
31069039 1
38283622 1
45487176 1
52697407 1
59908863 1
67125819 1
74350349 1
81567320 1
88775261 1
95984407 1
103195168 1
110416545 1
117636099 1
124856066 1
132076347 1
139291507 1
146503622 1
153700256 1
160906733 1
168116735 1
175323489 1
182539172 1
189756426 1
196960874 1
204186799 1
211393645 1
218600862 1
225817245 1
233028466 1
240249518 1
247474685 1
254677948 1
261895678 1
269113655 1
276318105 1
283544723 1
290756953 1
297972401 1
305175017 1
312383711 1
319582408 1
326802476 1
334013602 1
341227969 1
348434267 1
355640623 1
362846167 1
370060327 1
377279297 1
384483320 1
391684651 1
398895559 1
406105406 1
413311647 1
420522863 1
427734558 1
434956001 1
442152469 1
449365797 1
456581102 1
463790863 1
471006558 1
478208605 1
485430647 1
492651864 1
499856405 1
507065543 1
514275468 1
521474168 1
528673565 1
535899646 1
543111818 1
550307742 1
557525651 1
564742054 1
571962234 1
579172104 1
586379733 1
593591954 1
600797641 1
608010339 1
615222645 1
622422103 1
629635465 1
636852472 1
644073951 1
651280273 1
658485520 1
665690037 1
672902710 1
680113023 1
687323831 1
694518030 1
701717745 1
708925732 1
716133645 1
723329340 1
730544181 1
737760359 1
744964173 1
752184242 1
759387560 1
766613949 1
773831736 1
781024797 1
788233945 1
795442950 1
802638326 1
809854717 1
817075253 1
824283885 1
831497282 1
838723508 1
845939710 1
853146412 1
860355024 1
867572168 1
874784099 1
882005326 1
889216733 1
896430036 1
903647017 1
910867255 1
918068850 1
925275472 1
932496411 1
939711051 1
946925294 1
954145622 1
961350321 1
968554471 1
975757647 1
982972261 1
990180102 1
997395799 1
1004611493 1
1011818645 1
1019032900 1
1026252341 1
1033465484 1
1040679706 1
1047891518 1
1055098623 1
1062313166 1
1069527943 1
1076733413 1
1083931722 1
1091149621 1
1098364558 1
1105575798 1
1112787735 1
1120006102 1
1127202104 1
1134416629 1
1141616950 1
1148823738 1
1156032797 1
1163238493 1
1170444470 1
1177648799 1
1184861468 1
