InputVoltage BandgapControl RampGain ADCvalue
0 0 0 21
0.0102026 0 0 26
0.0201138 0 0 31
0.0300249 0 0 37
0.0402275 0 0 42
0.0501387 0 0 48
0.0600498 0 0 53
0.0702524 0 0 59
0.0801636 0 0 65
0.0900747 0 0 70
0.100277 0 0 76
0.110188 0 0 82
0.1201 0 0 87
0.130011 0 0 93
0.140213 0 0 99
0.150125 0 0 105
0.160036 0 0 110
0.170238 0 0 116
0.180149 0 0 122
0.190061 0 0 127
0.200263 0 0 133
0.210174 0 0 139
0.220085 0 0 144
0.230288 0 0 150
0.240199 0 0 156
0.25011 0 0 162
0.260021 0 0 168
0.270224 0 0 173
0.280135 0 0 179
0.290046 0 0 184
0.300249 0 0 190
0.31016 0 0 196
0.320071 0 0 201
0.330274 0 0 207
0.340185 0 0 213
0.350096 0 0 218
0.360007 0 0 224
0.37021 0 0 229
0.380121 0 0 235
0.390032 0 0 240
0.400235 0 0 246
0.410146 0 0 252
0.420057 0 0 257
0.43026 0 0 263
0.440171 0 0 268
0.450082 0 0 274
0.460285 0 0 280
0.470196 0 0 285
0.480107 0 0 291
0.490018 0 0 296
0.500221 0 0 302
0.510132 0 0 308
0.520043 0 0 313
0.530246 0 0 319
0.540157 0 0 325
0.550068 0 0 330
0.560271 0 0 336
0.570182 0 0 342
0.580093 0 0 347
0.590004 0 0 353
0.600207 0 0 359
0.610118 0 0 365
0.620029 0 0 370
0.630231 0 0 376
0.640143 0 0 382
0.650054 0 0 388
0.660256 0 0 393
0.670167 0 0 399
0.680079 0 0 405
0.690281 0 0 411
0.700192 0 0 416
0.710104 0 0 422
0.720015 0 0 428
0.730217 0 0 433
0.740128 0 0 439
0.75004 0 0 445
0.760242 0 0 450
0.770153 0 0 456
0.780064 0 0 462
0.790267 0 0 468
0.800178 0 0 474
0.810089 0 0 479
0.82 0 0 485
0.830203 0 0 491
0.840114 0 0 496
0.850025 0 0 502
0.860228 0 0 508
0.870139 0 0 513
0.88005 0 0 519
0.890253 0 0 525
0.900164 0 0 531
0.910075 0 0 536
0.920278 0 0 542
0.930189 0 0 547
0.9401 0 0 553
0.950011 0 0 559
0.960214 0 0 564
0.970125 0 0 570
0.980036 0 0 576
0.990239 0 0 581
1.00015 0 0 587
1.01006 0 0 593
1.02026 0 0 598
1.03017 0 0 604
1.04009 0 0 609
1.05029 0 0 615
1.0602 0 0 621
1.07011 0 0 627
1.08002 0 0 632
1.09022 0 0 638
1.10014 0 0 644
1.11005 0 0 650
1.12025 0 0 655
1.13016 0 0 661
1.14007 0 0 667
1.15027 0 0 673
1.16019 0 0 678
1.1701 0 0 684
1.18001 0 0 690
1.19021 0 0 696
0 0 1 41
0.0102026 0 1 53
0.0201138 0 1 64
0.0300249 0 1 76
0.0402275 0 1 88
0.0501387 0 1 100
0.0600498 0 1 112
0.0702524 0 1 124
0.0801636 0 1 136
0.0900747 0 1 148
0.100277 0 1 161
0.110188 0 1 173
0.1201 0 1 185
0.130011 0 1 197
0.140213 0 1 210
0.150125 0 1 222
0.160036 0 1 234
0.170238 0 1 247
0.180149 0 1 259
0.190061 0 1 271
0.200263 0 1 284
0.210174 0 1 296
0.220085 0 1 309
0.230288 0 1 321
0.240199 0 1 334
0.25011 0 1 346
0.260021 0 1 358
0.270224 0 1 371
0.280135 0 1 383
0.290046 0 1 395
0.300249 0 1 408
0.31016 0 1 420
0.320071 0 1 432
0.330274 0 1 444
0.340185 0 1 456
0.350096 0 1 468
0.360007 0 1 480
0.37021 0 1 492
0.380121 0 1 505
0.390032 0 1 0
0.400235 0 1 528
0.410146 0 1 540
0.420057 0 1 552
0.43026 0 1 564
0.440171 0 1 577
0.450082 0 1 589
0.460285 0 1 602
0.470196 0 1 613
0.480107 0 1 626
0.490018 0 1 638
0.500221 0 1 650
0.510132 0 1 662
0.520043 0 1 674
0.530246 0 1 687
0.540157 0 1 699
0.550068 0 1 711
0.560271 0 1 725
0.570182 0 1 737
0.580093 0 1 748
0.590004 0 1 761
0.600207 0 1 773
0.610118 0 1 786
0.620029 0 1 798
0.630231 0 1 811
0.640143 0 1 823
0.650054 0 1 835
0.660256 0 1 849
0.670167 0 1 860
0.680079 0 1 873
0.690281 0 1 886
0.700192 0 1 898
0.710104 0 1 910
0.720015 0 1 923
0.730217 0 1 936
0.740128 0 1 947
