InputVoltage BandgapControl RampGain ADCvalue
0 0 0 16
0.0102026 0 0 20
0.0201138 0 0 25
0.0300249 0 0 31
0.0402275 0 0 37
0.0501387 0 0 42
0.0600498 0 0 48
0.0702524 0 0 53
0.0801636 0 0 59
0.0900747 0 0 64
0.100277 0 0 70
0.110188 0 0 76
0.1201 0 0 82
0.130011 0 0 87
0.140213 0 0 93
0.150125 0 0 99
0.160036 0 0 104
0.170238 0 0 110
0.180149 0 0 116
0.190061 0 0 122
0.200263 0 0 127
0.210174 0 0 133
0.220085 0 0 139
0.230288 0 0 144
0.240199 0 0 150
0.25011 0 0 156
0.260021 0 0 161
0.270224 0 0 167
0.280135 0 0 173
0.290046 0 0 178
0.300249 0 0 183
0.31016 0 0 190
0.320071 0 0 195
0.330274 0 0 201
0.340185 0 0 206
0.350096 0 0 212
0.360007 0 0 217
0.37021 0 0 223
0.380121 0 0 228
0.390032 0 0 233
0.400235 0 0 239
0.410146 0 0 245
0.420057 0 0 250
0.43026 0 0 271
0.440171 0 0 261
0.450082 0 0 267
0.460285 0 0 273
0.470196 0 0 278
0.480107 0 0 283
0.490018 0 0 290
0.500221 0 0 295
0.510132 0 0 301
0.520043 0 0 306
0.530246 0 0 312
0.540157 0 0 318
0.550068 0 0 323
0.560271 0 0 329
0.570182 0 0 335
0.580093 0 0 340
0.590004 0 0 346
0.600207 0 0 352
0.610118 0 0 357
0.620029 0 0 363
0.630231 0 0 369
0.640143 0 0 375
0.650054 0 0 381
0.660256 0 0 387
0.670167 0 0 392
0.680079 0 0 397
0.690281 0 0 403
0.700192 0 0 409
0.710104 0 0 415
0.720015 0 0 421
0.730217 0 0 426
0.740128 0 0 432
0.75004 0 0 437
0.760242 0 0 444
0.770153 0 0 449
0.780064 0 0 455
0.790267 0 0 461
0.800178 0 0 466
0.810089 0 0 472
0.82 0 0 478
0.830203 0 0 484
0.840114 0 0 489
0.850025 0 0 495
0.860228 0 0 501
0.870139 0 0 506
0.88005 0 0 512
0.890253 0 0 518
0.900164 0 0 524
0.910075 0 0 529
0.920278 0 0 535
0.930189 0 0 541
0.9401 0 0 546
0.950011 0 0 552
0.960214 0 0 558
0.970125 0 0 563
0.980036 0 0 569
0.990239 0 0 575
1.00015 0 0 580
1.01006 0 0 586
1.02026 0 0 592
1.03017 0 0 597
1.04009 0 0 603
1.05029 0 0 609
1.0602 0 0 614
1.07011 0 0 620
1.08002 0 0 626
1.09022 0 0 632
1.10014 0 0 637
1.11005 0 0 642
1.12025 0 0 649
1.13016 0 0 655
1.14007 0 0 660
1.15027 0 0 665
1.16019 0 0 687
1.1701 0 0 677
1.18001 0 0 683
1.19021 0 0 688
0 0 1 32
0.0102026 0 1 41
0.0201138 0 1 53
0.0300249 0 1 65
0.0402275 0 1 78
0.0501387 0 1 90
0.0600498 0 1 102
0.0702524 0 1 115
0.0801636 0 1 128
0.0900747 0 1 140
0.100277 0 1 153
0.110188 0 1 165
0.1201 0 1 178
0.130011 0 1 190
0.140213 0 1 203
0.150125 0 1 216
0.160036 0 1 228
0.170238 0 1 241
0.180149 0 1 254
0.190061 0 1 267
0.200263 0 1 280
0.210174 0 1 292
0.220085 0 1 305
0.230288 0 1 318
0.240199 0 1 331
0.25011 0 1 344
0.260021 0 1 356
0.270224 0 1 369
0.280135 0 1 381
0.290046 0 1 394
0.300249 0 1 407
0.31016 0 1 418
0.320071 0 1 431
0.330274 0 1 444
0.340185 0 1 456
0.350096 0 1 469
0.360007 0 1 481
0.37021 0 1 493
0.380121 0 1 506
0.390032 0 1 517
0.400235 0 1 530
0.410146 0 1 542
0.420057 0 1 555
0.43026 0 1 568
0.440171 0 1 579
0.450082 0 1 576
0.460285 0 1 604
0.470196 0 1 617
0.480107 0 1 629
0.490018 0 1 642
0.500221 0 1 655
0.510132 0 1 668
0.520043 0 1 680
0.530246 0 1 693
0.540157 0 1 706
0.550068 0 1 719
0.560271 0 1 731
0.570182 0 1 744
0.580093 0 1 757
0.590004 0 1 769
0.600207 0 1 782
0.610118 0 1 795
0.620029 0 1 808
0.630231 0 1 821
0.640143 0 1 833
0.650054 0 1 847
0.660256 0 1 859
0.670167 0 1 871
0.680079 0 1 885
0.690281 0 1 898
0.700192 0 1 911
0.710104 0 1 923
0.720015 0 1 935
0.730217 0 1 949
0.740128 0 1 961
0.75004 0 1 974
0.760242 0 1 987
0.770153 0 1 1000
0.780064 0 1 1012
0.790267 0 1 1014
0.800178 0 1 1014
0.810089 0 1 1014
0.82 0 1 1014
0.830203 0 1 1014
0.840114 0 1 1014
0.850025 0 1 1014
0.860228 0 1 1014
0.870139 0 1 1014
0.88005 0 1 1014
0.890253 0 1 1014
0.900164 0 1 1014
0.910075 0 1 1014
0.920278 0 1 1014
0.930189 0 1 1014
0.9401 0 1 1014
0.950011 0 1 1014
0.960214 0 1 1014
0.970125 0 1 1014
0.980036 0 1 1014
0.990239 0 1 1014
1.00015 0 1 1014
1.01006 0 1 1014
1.02026 0 1 1014
1.03017 0 1 1014
1.04009 0 1 1014
1.05029 0 1 1014
1.0602 0 1 1014
1.07011 0 1 1014
1.08002 0 1 1014
1.09022 0 1 1014
1.10014 0 1 1014
1.11005 0 1 1014
1.12025 0 1 1014
1.13016 0 1 1014
1.14007 0 1 1014
1.15027 0 1 1014
1.16019 0 1 1014
1.1701 0 1 1014
1.18001 0 1 1014
1.19021 0 1 1014
0 0 2 20
0.0102026 0 2 25
0.0201138 0 2 32
0.0300249 0 2 39
0.0402275 0 2 46
0.0501387 0 2 53
0.0600498 0 2 60
0.0702524 0 2 68
0.0801636 0 2 75
0.0900747 0 2 82
0.100277 0 2 90
0.110188 0 2 97
0.1201 0 2 104
0.130011 0 2 111
0.140213 0 2 119
0.150125 0 2 126
0.160036 0 2 133
0.170238 0 2 141
0.180149 0 2 148
0.190061 0 2 155
0.200263 0 2 163
0.210174 0 2 170
0.220085 0 2 178
0.230288 0 2 185
0.240199 0 2 192
0.25011 0 2 199
0.260021 0 2 207
0.270224 0 2 214
0.280135 0 2 221
0.290046 0 2 228
0.300249 0 2 236
0.31016 0 2 243
0.320071 0 2 250
0.330274 0 2 257
0.340185 0 2 265
0.350096 0 2 256
0.360007 0 2 278
0.37021 0 2 286
0.380121 0 2 293
0.390032 0 2 293
0.400235 0 2 307
0.410146 0 2 314
0.420057 0 2 321
0.43026 0 2 328
0.440171 0 2 351
0.450082 0 2 343
0.460285 0 2 350
0.470196 0 2 357
0.480107 0 2 364
