InputVoltage BandgapControl RampGain ADCvalue
0 0 0 21
0.0104102 0 0 25
0.0200195 0 0 28
0.0304297 0 0 28
0.0400391 0 0 35
0.0504492 0 0 39
0.0600586 0 0 42
0.0704687 0 0 46
0.0800781 0 0 49
0.0904883 0 0 53
0.100098 0 0 56
0.110508 0 0 60
0.120117 0 0 60
0.130527 0 0 67
0.140137 0 0 71
0.150547 0 0 74
0.160156 0 0 78
0.170566 0 0 82
0.180176 0 0 85
0.190586 0 0 89
0.200195 0 0 92
0.210605 0 0 96
0.220215 0 0 100
0.230625 0 0 103
0.240234 0 0 107
0.250645 0 0 111
0.260254 0 0 114
0.270664 0 0 118
0.280273 0 0 121
0.290684 0 0 125
0.300293 0 0 129
0.310703 0 0 132
0.320312 0 0 136
0.330723 0 0 140
0.340332 0 0 143
0.350742 0 0 147
0.360352 0 0 150
0.370762 0 0 154
0.380371 0 0 158
0.390781 0 0 162
0.400391 0 0 165
0.410801 0 0 169
0.42041 0 0 172
0.43002 0 0 176
0.44043 0 0 183
0.450039 0 0 183
0.460449 0 0 187
0.470059 0 0 190
0.480469 0 0 194
0.490078 0 0 197
0.500488 0 0 201
0.510098 0 0 204
0.520508 0 0 208
0.530117 0 0 215
0.540527 0 0 215
0.550137 0 0 218
0.560547 0 0 222
0.570156 0 0 225
0.580566 0 0 229
0.590176 0 0 232
0.600586 0 0 236
0.610195 0 0 239
0.620605 0 0 243
0.630215 0 0 246
0.640625 0 0 250
0.650234 0 0 253
0.660645 0 0 257
0.670254 0 0 260
0.680664 0 0 264
0.690273 0 0 267
0.700684 0 0 271
0.710293 0 0 275
0.720703 0 0 279
0.730312 0 0 282
0.740723 0 0 286
0.750332 0 0 289
0.760742 0 0 293
0.770352 0 0 296
0.780762 0 0 300
0.790371 0 0 304
0.800781 0 0 304
0.810391 0 0 311
0.820801 0 0 315
0.83041 0 0 318
0.84002 0 0 322
0.85043 0 0 326
0.860039 0 0 329
0.870449 0 0 333
0.880059 0 0 336
0.890469 0 0 340
0.900078 0 0 340
0.910488 0 0 347
0.920098 0 0 351
0.930508 0 0 355
0.940117 0 0 358
0.950527 0 0 362
0.960137 0 0 365
0.970547 0 0 369
0.980156 0 0 373
0.990566 0 0 376
1.00018 0 0 380
1.01059 0 0 384
1.0202 0 0 387
1.03061 0 0 391
1.04021 0 0 395
1.05062 0 0 398
1.06023 0 0 402
1.07064 0 0 406
1.08025 0 0 409
1.09066 0 0 413
1.10027 0 0 416
1.11068 0 0 420
1.12029 0 0 424
1.1307 0 0 424
1.14031 0 0 431
1.15072 0 0 435
1.16033 0 0 438
1.17074 0 0 442
1.18035 0 0 445
1.19076 0 0 449
1.20037 0 0 453
