InputVoltage BandgapControl RampGain ADCvalue
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 446
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 446
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 446
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 446
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 446
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 446
0.597 10 3 446
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 446
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 446
0.597 10 3 445
0.597 10 3 446
0.597 10 3 445
0.597 10 3 445
0.597 10 3 446
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 446
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 446
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 446
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 446
0.597 10 3 446
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 446
0.597 10 3 445
0.597 10 3 446
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 446
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 446
0.597 10 3 445
0.597 10 3 446
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 446
0.597 10 3 446
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 446
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 446
0.597 10 3 445
0.597 10 3 446
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 446
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 446
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 446
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 446
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 446
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 446
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 446
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 446
0.597 10 3 446
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 446
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 446
0.597 10 3 445
0.597 10 3 446
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 446
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 446
0.597 10 3 445
0.597 10 3 446
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 446
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 446
0.597 10 3 446
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 446
0.597 10 3 446
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 446
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 446
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 446
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 446
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 446
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
0.597 10 3 445
