InputVoltage BandgapControl RampGain ADCvalue
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 531
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 531
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 531
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 531
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 531
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 531
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 531
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 531
0.597 10 3 531
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 531
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 531
0.597 10 3 532
0.597 10 3 532
0.597 10 3 531
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 531
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 532
0.597 10 3 531
0.597 10 3 532
0.597 10 3 532
