InputVoltage BandgapControl RampGain ADCvalue
0 0 0 17
0.0104102 0 0 20
0.0200195 0 0 24
0.0304297 0 0 31
0.0400391 0 0 31
0.0504492 0 0 35
0.0600586 0 0 38
0.0704687 0 0 42
0.0800781 0 0 45
0.0904883 0 0 49
0.100098 0 0 52
0.110508 0 0 56
0.120117 0 0 60
0.130527 0 0 63
0.140137 0 0 67
0.150547 0 0 71
0.160156 0 0 74
0.170566 0 0 78
0.180176 0 0 81
0.190586 0 0 85
0.200195 0 0 89
0.210605 0 0 93
0.220215 0 0 96
0.230625 0 0 100
0.240234 0 0 100
0.250645 0 0 107
0.260254 0 0 111
0.270664 0 0 115
0.280273 0 0 118
0.290684 0 0 122
0.300293 0 0 125
0.310703 0 0 129
0.320312 0 0 133
0.330723 0 0 137
0.340332 0 0 140
0.350742 0 0 144
0.360352 0 0 148
0.370762 0 0 151
0.380371 0 0 155
0.390781 0 0 159
0.400391 0 0 162
0.410801 0 0 166
0.42041 0 0 170
0.43002 0 0 173
0.44043 0 0 177
0.450039 0 0 180
0.460449 0 0 184
0.470059 0 0 191
0.480469 0 0 191
0.490078 0 0 195
0.500488 0 0 199
0.510098 0 0 202
0.520508 0 0 206
0.530117 0 0 209
0.540527 0 0 213
0.550137 0 0 216
0.560547 0 0 220
0.570156 0 0 223
0.580566 0 0 227
0.590176 0 0 230
0.600586 0 0 234
0.610195 0 0 237
0.620605 0 0 241
0.630215 0 0 244
0.640625 0 0 248
0.650234 0 0 251
0.660645 0 0 255
0.670254 0 0 258
0.680664 0 0 262
0.690273 0 0 265
0.700684 0 0 269
0.710293 0 0 273
0.720703 0 0 277
0.730312 0 0 280
0.740723 0 0 280
0.750332 0 0 287
0.760742 0 0 291
0.770352 0 0 294
0.780762 0 0 298
0.790371 0 0 301
0.800781 0 0 305
0.810391 0 0 309
0.820801 0 0 313
0.83041 0 0 316
0.84002 0 0 320
0.85043 0 0 323
0.860039 0 0 327
0.870449 0 0 331
0.880059 0 0 334
0.890469 0 0 338
0.900078 0 0 342
0.910488 0 0 345
0.920098 0 0 349
0.930508 0 0 353
0.940117 0 0 356
0.950527 0 0 360
0.960137 0 0 364
0.970547 0 0 368
0.980156 0 0 371
0.990566 0 0 375
1.00018 0 0 378
1.01059 0 0 382
1.0202 0 0 386
1.03061 0 0 390
1.04021 0 0 393
1.05062 0 0 397
1.06023 0 0 401
1.07064 0 0 404
1.08025 0 0 408
1.09066 0 0 412
1.10027 0 0 415
1.11068 0 0 419
1.12029 0 0 423
1.1307 0 0 426
1.14031 0 0 430
1.15072 0 0 434
1.16033 0 0 437
1.17074 0 0 441
1.18035 0 0 444
1.19076 0 0 448
1.20037 0 0 448
1.21078 0 0 459
1.22039 0 0 459
1.2308 0 0 463
1.24041 0 0 466
1.25002 0 0 470
1.26043 0 0 473
1.27004 0 0 477
1.28045 0 0 481
1.29006 0 0 484
1.30047 0 0 488
1.31008 0 0 488
1.32049 0 0 495
1.3301 0 0 499
1.34051 0 0 503
1.35012 0 0 506
1.36053 0 0 510
1.37014 0 0 513
1.38055 0 0 517
1.39016 0 0 520
1.40057 0 0 524
1.41018 0 0 528
1.42059 0 0 531
1.4302 0 0 535
1.44061 0 0 539
1.45021 0 0 542
1.46062 0 0 546
1.47023 0 0 550
1.48064 0 0 553
1.49025 0 0 557
1.50066 0 0 560
1.51027 0 0 564
1.52068 0 0 564
1.53029 0 0 571
1.5407 0 0 575
1.55031 0 0 579
1.56072 0 0 582
1.57033 0 0 586
1.58074 0 0 590
1.59035 0 0 593
1.60076 0 0 597
1.61037 0 0 601
1.62078 0 0 605
1.63039 0 0 608
1.6408 0 0 612
1.65041 0 0 615
1.66002 0 0 619
1.67043 0 0 622
1.68004 0 0 626
1.69045 0 0 630
1.70006 0 0 633
1.71047 0 0 637
1.72008 0 0 641
1.73049 0 0 645
1.7401 0 0 649
1.75051 0 0 652
1.76012 0 0 656
1.77053 0 0 660
1.78014 0 0 663
1.79055 0 0 667
0 0 1 34
0.0104102 0 1 42
0.0200195 0 1 50
0.0304297 0 1 57
0.0400391 0 1 65
0.0504492 0 1 73
0.0600586 0 1 81
0.0704687 0 1 89
0.0800781 0 1 97
0.0904883 0 1 105
0.100098 0 1 113
0.110508 0 1 122
0.120117 0 1 129
0.130527 0 1 138
0.140137 0 1 145
0.150547 0 1 154
0.160156 0 1 162
0.170566 0 1 170
0.180176 0 1 178
0.190586 0 1 187
0.200195 0 1 195
0.210605 0 1 200
0.220215 0 1 215
0.230625 0 1 220
0.240234 0 1 228
0.250645 0 1 237
0.260254 0 1 245
0.270664 0 1 253
0.280273 0 1 261
0.290684 0 1 270
0.300293 0 1 277
0.310703 0 1 286
0.320312 0 1 294
0.330723 0 1 303
0.340332 0 1 310
0.350742 0 1 316
0.360352 0 1 324
0.370762 0 1 336
0.380371 0 1 344
0.390781 0 1 352
0.400391 0 1 360
0.410801 0 1 369
0.42041 0 1 377
0.43002 0 1 385
0.44043 0 1 393
0.450039 0 1 401
0.460449 0 1 410
0.470059 0 1 417
0.480469 0 1 426
0.490078 0 1 433
0.500488 0 1 442
0.510098 0 1 449
0.520508 0 1 458
0.530117 0 1 466
0.540527 0 1 474
0.550137 0 1 481
0.560547 0 1 489
0.570156 0 1 497
0.580566 0 1 505
0.590176 0 1 512
0.600586 0 1 521
0.610195 0 1 528
0.620605 0 1 537
0.630215 0 1 545
0.640625 0 1 553
0.650234 0 1 560
0.660645 0 1 569
0.670254 0 1 577
0.680664 0 1 585
0.690273 0 1 593
0.700684 0 1 601
0.710293 0 1 609
0.720703 0 1 617
0.730312 0 1 625
0.740723 0 1 634
0.750332 0 1 641
0.760742 0 1 650
0.770352 0 1 658
0.780762 0 1 666
0.790371 0 1 674
0.800781 0 1 683
0.810391 0 1 690
0.820801 0 1 696
0.83041 0 1 707
0.84002 0 1 715
0.85043 0 1 720
0.860039 0 1 728
0.870449 0 1 740
0.880059 0 1 748
0.890469 0 1 757
0.900078 0 1 765
0.910488 0 1 774
0.920098 0 1 782
0.930508 0 1 791
0.940117 0 1 799
0.950527 0 1 807
0.960137 0 1 815
0.970547 0 1 820
0.980156 0 1 834
0.990566 0 1 836
1.00018 0 1 844
1.01059 0 1 852
1.0202 0 1 863
1.03061 0 1 873
1.04021 0 1 881
1.05062 0 1 889
1.06023 0 1 898
1.07064 0 1 906
1.08025 0 1 913
1.09066 0 1 922
1.10027 0 1 930
1.11068 0 1 939
1.12029 0 1 946
1.1307 0 1 959
1.14031 0 1 963
1.15072 0 1 968
1.16033 0 1 979
1.17074 0 1 984
1.18035 0 1 993
1.19076 0 1 1006
1.20037 0 1 1012
1.21078 0 1 1021
1.22039 0 1 1022
1.2308 0 1 1022
1.24041 0 1 1022
1.25002 0 1 1022
1.26043 0 1 1022
1.27004 0 1 1022
1.28045 0 1 1022
1.29006 0 1 1022
1.30047 0 1 1022
1.31008 0 1 1022
1.32049 0 1 1022
1.3301 0 1 1022
1.34051 0 1 1022
1.35012 0 1 1022
1.36053 0 1 1022
1.37014 0 1 1022
1.38055 0 1 1022
1.39016 0 1 1022
1.40057 0 1 1022
1.41018 0 1 1022
1.42059 0 1 1022
1.4302 0 1 1022
1.44061 0 1 1022
1.45021 0 1 1022
1.46062 0 1 1022
1.47023 0 1 1022
1.48064 0 1 1022
1.49025 0 1 1022
1.50066 0 1 1022
1.51027 0 1 1022
1.52068 0 1 1022
1.53029 0 1 1022
1.5407 0 1 1022
1.55031 0 1 1022
1.56072 0 1 1022
1.57033 0 1 1022
1.58074 0 1 1022
1.59035 0 1 1022
1.60076 0 1 1022
1.61037 0 1 1022
1.62078 0 1 1022
1.63039 0 1 1022
1.6408 0 1 1022
1.65041 0 1 1022
1.66002 0 1 1022
1.67043 0 1 1022
1.68004 0 1 1022
1.69045 0 1 1022
1.70006 0 1 1022
1.71047 0 1 1022
1.72008 0 1 1022
1.73049 0 1 1022
1.7401 0 1 1022
1.75051 0 1 1022
1.76012 0 1 1022
1.77053 0 1 1022
1.78014 0 1 1022
1.79055 0 1 1022
0 0 2 21
0.0104102 0 2 26
0.0200195 0 2 30
0.0304297 0 2 35
0.0400391 0 2 39
0.0504492 0 2 43
0.0600586 0 2 48
0.0704687 0 2 53
