Param val stddev
VCC_H_1.500000_current_1V5_Reset 0.0445279 2.47499e-05
VCC_H_1.500000_VDD_Reset 1.42219 3.77476e-15
VCC_H_1.500000_current_1V5_Run 0.0303619 0.00347725
VCC_H_1.500000_VDD_Run 1.2193 0.00151735
VCC_H_1.500000_VDD_2_R 537.9 0.3
VCC_H_1.500000_VDD_2_L 493 0
VCC_H_1.500000_DVDD_2 603 0
VCC_H_1.500000_BG 518 0
VCC_H_1.500000_Temp 525.3 0.458258
VCC_H_1.500000_VDD_H_4 328 0
VCC_H_1.500000_OTA_R 745.7 0.458258
VCC_H_1.500000_OTA_L 693.8 0.4
VCC_H_2.000000_current_1V5_Reset 0.0443762 0.00148499
VCC_H_2.000000_VDD_Reset 1.42219 3.77476e-15
VCC_H_2.000000_current_1V5_Run 0.0303693 0.00360708
VCC_H_2.000000_VDD_Run 1.21994 0.00111144
VCC_H_2.000000_VDD_2_R 537.3 0.458258
VCC_H_2.000000_VDD_2_L 492 0
VCC_H_2.000000_DVDD_2 602.1 0.3
VCC_H_2.000000_BG 517.6 0.489898
VCC_H_2.000000_Temp 525 0
VCC_H_2.000000_VDD_H_4 427.9 0.3
VCC_H_2.000000_OTA_R 745.2 0.4
VCC_H_2.000000_OTA_L 693 0
VCC_H_2.500000_current_1V5_Reset 0.0443339 0.00239206
VCC_H_2.500000_VDD_Reset 1.42219 3.77476e-15
VCC_H_2.500000_current_1V5_Run 0.0297326 0.00437219
VCC_H_2.500000_VDD_Run 1.21965 0.00134798
VCC_H_2.500000_VDD_2_R 536.9 0.3
VCC_H_2.500000_VDD_2_L 491.9 0.3
VCC_H_2.500000_DVDD_2 602 0
VCC_H_2.500000_BG 517.4 0.489898
VCC_H_2.500000_Temp 524.8 0.4
VCC_H_2.500000_VDD_H_4 529 0
VCC_H_2.500000_OTA_R 745.4 0.489898
VCC_H_2.500000_OTA_L 692.9 0.3
VCC_H_3.000000_current_1V5_Reset 0.0446026 0.00133569
VCC_H_3.000000_VDD_Reset 1.42219 3.77476e-15
VCC_H_3.000000_current_1V5_Run 0.0302873 0.00359179
VCC_H_3.000000_VDD_Run 1.2194 0.00161401
VCC_H_3.000000_VDD_2_R 536.2 0.4
VCC_H_3.000000_VDD_2_L 491 0
VCC_H_3.000000_DVDD_2 601.2 0.4
VCC_H_3.000000_BG 517 0
VCC_H_3.000000_Temp 524 0
VCC_H_3.000000_VDD_H_4 628.1 0.3
VCC_H_3.000000_OTA_R 745 0
VCC_H_3.000000_OTA_L 692.2 0.4
