InputVoltage BandgapControl RampGain ADCvalue
0 0 0 16
0.0102026 0 0 21
0.0201138 0 0 26
0.0300249 0 0 31
0.0402275 0 0 37
0.0501387 0 0 42
0.0600498 0 0 47
0.0702524 0 0 53
0.0801636 0 0 58
0.0900747 0 0 63
0.100277 0 0 69
0.110188 0 0 74
0.1201 0 0 80
0.130011 0 0 85
0.140213 0 0 91
0.150125 0 0 96
0.160036 0 0 101
0.170238 0 0 107
0.180149 0 0 112
0.190061 0 0 118
0.200263 0 0 123
0.210174 0 0 129
0.220085 0 0 134
0.230288 0 0 140
0.240199 0 0 145
0.25011 0 0 151
0.260021 0 0 156
0.270224 0 0 162
0.280135 0 0 167
0.290046 0 0 172
0.300249 0 0 178
0.31016 0 0 183
0.320071 0 0 188
0.330274 0 0 194
0.340185 0 0 199
0.350096 0 0 204
0.360007 0 0 210
0.37021 0 0 215
0.380121 0 0 220
0.390032 0 0 225
0.400235 0 0 231
0.410146 0 0 236
0.420057 0 0 241
0.43026 0 0 246
0.440171 0 0 252
0.450082 0 0 257
0.460285 0 0 262
0.470196 0 0 268
0.480107 0 0 273
0.490018 0 0 278
0.500221 0 0 284
0.510132 0 0 289
0.520043 0 0 294
0.530246 0 0 300
0.540157 0 0 305
0.550068 0 0 311
0.560271 0 0 316
0.570182 0 0 322
0.580093 0 0 327
0.590004 0 0 332
0.600207 0 0 338
0.610118 0 0 343
0.620029 0 0 349
0.630231 0 0 354
0.640143 0 0 360
0.650054 0 0 365
0.660256 0 0 371
0.670167 0 0 376
0.680079 0 0 381
0.690281 0 0 387
0.700192 0 0 393
0.710104 0 0 398
0.720015 0 0 404
0.730217 0 0 409
0.740128 0 0 414
0.75004 0 0 420
0.760242 0 0 425
0.770153 0 0 431
0.780064 0 0 436
0.790267 0 0 442
0.800178 0 0 447
0.810089 0 0 453
0.82 0 0 458
0.830203 0 0 463
0.840114 0 0 469
0.850025 0 0 474
0.860228 0 0 480
0.870139 0 0 485
0.88005 0 0 490
0.890253 0 0 496
0.900164 0 0 501
0.910075 0 0 506
0.920278 0 0 512
0.930189 0 0 517
0.9401 0 0 523
0.950011 0 0 528
0.960214 0 0 534
0.970125 0 0 539
0.980036 0 0 544
0.990239 0 0 550
1.00015 0 0 555
1.01006 0 0 560
1.02026 0 0 566
1.03017 0 0 571
1.04009 0 0 576
1.05029 0 0 582
1.0602 0 0 587
1.07011 0 0 593
1.08002 0 0 598
1.09022 0 0 604
1.10014 0 0 609
1.11005 0 0 615
1.12025 0 0 620
1.13016 0 0 626
1.14007 0 0 631
1.15027 0 0 637
1.16019 0 0 642
1.1701 0 0 648
1.18001 0 0 653
1.19021 0 0 659
0 0 1 32
0.0102026 0 1 43
0.0201138 0 1 55
0.0300249 0 1 66
0.0402275 0 1 78
0.0501387 0 1 90
0.0600498 0 1 101
0.0702524 0 1 113
0.0801636 0 1 125
0.0900747 0 1 137
0.100277 0 1 149
0.110188 0 1 161
0.1201 0 1 173
0.130011 0 1 185
0.140213 0 1 197
0.150125 0 1 210
0.160036 0 1 221
0.170238 0 1 234
0.180149 0 1 246
0.190061 0 1 258
0.200263 0 1 270
0.210174 0 1 282
0.220085 0 1 294
0.230288 0 1 307
0.240199 0 1 319
0.25011 0 1 331
0.260021 0 1 343
0.270224 0 1 356
0.280135 0 1 368
0.290046 0 1 380
0.300249 0 1 392
0.31016 0 1 404
0.320071 0 1 416
0.330274 0 1 428
0.340185 0 1 439
0.350096 0 1 451
0.360007 0 1 463
0.37021 0 1 475
0.380121 0 1 487
0.390032 0 1 498
0.400235 0 1 510
0.410146 0 1 522
0.420057 0 1 533
0.43026 0 1 545
0.440171 0 1 557
0.450082 0 1 569
0.460285 0 1 581
