InputVoltage BandgapControl RampGain ADCvalue
0 0 0 16
0.0102026 0 0 20
0.0201138 0 0 26
0.0300249 0 0 31
0.0402275 0 0 37
0.0501387 0 0 42
0.0600498 0 0 48
0.0702524 0 0 54
0.0801636 0 0 60
0.0900747 0 0 65
0.100277 0 0 71
0.110188 0 0 77
0.1201 0 0 83
0.130011 0 0 88
0.140213 0 0 94
0.150125 0 0 100
0.160036 0 0 106
0.170238 0 0 112
0.180149 0 0 118
0.190061 0 0 124
0.200263 0 0 130
0.210174 0 0 135
0.220085 0 0 141
0.230288 0 0 147
0.240199 0 0 153
0.25011 0 0 159
0.260021 0 0 164
0.270224 0 0 170
0.280135 0 0 176
0.290046 0 0 182
0.300249 0 0 188
0.31016 0 0 193
0.320071 0 0 199
0.330274 0 0 205
0.340185 0 0 210
0.350096 0 0 216
0.360007 0 0 221
0.37021 0 0 227
0.380121 0 0 233
0.390032 0 0 238
0.400235 0 0 244
0.410146 0 0 250
0.420057 0 0 255
0.43026 0 0 261
0.440171 0 0 267
0.450082 0 0 272
0.460285 0 0 278
0.470196 0 0 284
0.480107 0 0 289
0.490018 0 0 295
0.500221 0 0 301
0.510132 0 0 307
0.520043 0 0 313
0.530246 0 0 319
0.540157 0 0 324
0.550068 0 0 330
0.560271 0 0 336
0.570182 0 0 342
0.580093 0 0 347
0.590004 0 0 353
0.600207 0 0 359
0.610118 0 0 365
0.620029 0 0 371
0.630231 0 0 377
0.640143 0 0 383
0.650054 0 0 388
0.660256 0 0 394
0.670167 0 0 400
0.680079 0 0 406
0.690281 0 0 412
0.700192 0 0 418
0.710104 0 0 423
0.720015 0 0 429
0.730217 0 0 435
0.740128 0 0 441
0.75004 0 0 447
0.760242 0 0 453
0.770153 0 0 458
0.780064 0 0 464
0.790267 0 0 470
0.800178 0 0 476
0.810089 0 0 482
0.82 0 0 488
0.830203 0 0 494
0.840114 0 0 499
0.850025 0 0 506
0.860228 0 0 511
0.870139 0 0 517
0.88005 0 0 523
0.890253 0 0 529
0.900164 0 0 535
0.910075 0 0 540
0.920278 0 0 546
0.930189 0 0 552
0.9401 0 0 558
0.950011 0 0 563
0.960214 0 0 569
0.970125 0 0 575
0.980036 0 0 581
0.990239 0 0 587
1.00015 0 0 592
1.01006 0 0 598
1.02026 0 0 604
1.03017 0 0 610
1.04009 0 0 616
1.05029 0 0 621
1.0602 0 0 627
1.07011 0 0 633
1.08002 0 0 639
1.09022 0 0 645
1.10014 0 0 650
1.11005 0 0 656
1.12025 0 0 662
1.13016 0 0 668
1.14007 0 0 673
1.15027 0 0 680
1.16019 0 0 685
1.1701 0 0 691
1.18001 0 0 697
1.19021 0 0 703
0 0 1 33
0.0102026 0 1 42
0.0201138 0 1 55
0.0300249 0 1 67
0.0402275 0 1 81
0.0501387 0 1 93
0.0600498 0 1 106
0.0702524 0 1 119
0.0801636 0 1 132
0.0900747 0 1 145
0.100277 0 1 159
0.110188 0 1 171
0.1201 0 1 185
0.130011 0 1 198
0.140213 0 1 211
0.150125 0 1 225
0.160036 0 1 238
0.170238 0 1 251
0.180149 0 1 265
0.190061 0 1 278
0.200263 0 1 292
0.210174 0 1 305
0.220085 0 1 319
0.230288 0 1 332
0.240199 0 1 345
0.25011 0 1 359
0.260021 0 1 372
0.270224 0 1 385
0.280135 0 1 398
0.290046 0 1 411
0.300249 0 1 425
0.31016 0 1 438
0.320071 0 1 451
0.330274 0 1 464
0.340185 0 1 477
0.350096 0 1 490
0.360007 0 1 502
0.37021 0 1 516
0.380121 0 1 529
0.390032 0 1 541
0.400235 0 1 555
0.410146 0 1 567
0.420057 0 1 580
0.43026 0 1 593
0.440171 0 1 606
0.450082 0 1 619
0.460285 0 1 632
0.470196 0 1 646
0.480107 0 1 659
0.490018 0 1 672
0.500221 0 1 686
0.510132 0 1 699
0.520043 0 1 712
0.530246 0 1 725
0.540157 0 1 739
0.550068 0 1 736
0.560271 0 1 766
0.570182 0 1 779
0.580093 0 1 791
0.590004 0 1 805
0.600207 0 1 819
0.610118 0 1 832
0.620029 0 1 845
0.630231 0 1 859
0.640143 0 1 872
0.650054 0 1 886
0.660256 0 1 899
0.670167 0 1 913
0.680079 0 1 926
0.690281 0 1 939
0.700192 0 1 953
0.710104 0 1 967
0.720015 0 1 980
0.730217 0 1 993
0.740128 0 1 1006
0.75004 0 1 1019
0.760242 0 1 1019
0.770153 0 1 1019
0.780064 0 1 1019
0.790267 0 1 1019
0.800178 0 1 1019
0.810089 0 1 1019
0.82 0 1 1019
0.830203 0 1 1019
0.840114 0 1 1019
0.850025 0 1 1019
0.860228 0 1 1019
0.870139 0 1 1019
0.88005 0 1 1019
0.890253 0 1 1019
0.900164 0 1 1019
0.910075 0 1 1019
0.920278 0 1 1019
0.930189 0 1 1019
0.9401 0 1 1019
0.950011 0 1 1019
0.960214 0 1 1019
0.970125 0 1 1019
0.980036 0 1 1019
0.990239 0 1 1019
1.00015 0 1 1019
1.01006 0 1 1019
1.02026 0 1 1019
1.03017 0 1 1019
1.04009 0 1 1019
1.05029 0 1 1019
1.0602 0 1 1019
1.07011 0 1 1019
1.08002 0 1 1019
1.09022 0 1 1019
1.10014 0 1 1019
1.11005 0 1 1019
1.12025 0 1 1019
1.13016 0 1 1019
1.14007 0 1 1019
1.15027 0 1 1019
1.16019 0 1 1019
1.1701 0 1 1019
1.18001 0 1 1019
1.19021 0 1 1019
0 0 2 20
0.0102026 0 2 25
0.0201138 0 2 32
0.0300249 0 2 40
0.0402275 0 2 47
0.0501387 0 2 55
0.0600498 0 2 62
0.0702524 0 2 69
0.0801636 0 2 77
0.0900747 0 2 84
0.100277 0 2 91
0.110188 0 2 99
0.1201 0 2 106
0.130011 0 2 114
0.140213 0 2 121
0.150125 0 2 129
0.160036 0 2 136
0.170238 0 2 144
0.180149 0 2 152
0.190061 0 2 159
0.200263 0 2 167
0.210174 0 2 174
0.220085 0 2 182
0.230288 0 2 190
0.240199 0 2 197
0.25011 0 2 205
0.260021 0 2 212
0.270224 0 2 220
0.280135 0 2 227
0.290046 0 2 234
0.300249 0 2 242
0.31016 0 2 249
0.320071 0 2 257
0.330274 0 2 264
0.340185 0 2 271
0.350096 0 2 279
0.360007 0 2 286
0.37021 0 2 293
0.380121 0 2 300
0.390032 0 2 307
0.400235 0 2 315
0.410146 0 2 322
0.420057 0 2 329
0.43026 0 2 337
0.440171 0 2 344
0.450082 0 2 367
0.460285 0 2 359
0.470196 0 2 366
