InputVoltage BandgapControl RampGain ADCvalue
0 0 0 16
0.0104102 0 0 21
0.0200195 0 0 27
0.0304297 0 0 32
0.0400391 0 0 37
0.0504492 0 0 43
0.0600586 0 0 48
0.0704687 0 0 54
0.0800781 0 0 59
0.0904883 0 0 65
0.100098 0 0 71
0.110508 0 0 76
0.120117 0 0 82
0.130527 0 0 87
0.140137 0 0 93
0.150547 0 0 99
0.160156 0 0 104
0.170566 0 0 110
0.180176 0 0 115
0.190586 0 0 121
0.200195 0 0 126
0.210605 0 0 132
0.220215 0 0 137
0.230625 0 0 143
0.240234 0 0 149
0.250645 0 0 154
0.260254 0 0 160
0.270664 0 0 166
0.280273 0 0 171
0.290684 0 0 177
0.300293 0 0 182
0.310703 0 0 188
0.320312 0 0 193
0.330723 0 0 199
0.340332 0 0 204
0.350742 0 0 210
0.360352 0 0 215
0.370762 0 0 221
0.380371 0 0 226
0.390781 0 0 235
0.400391 0 0 237
0.410801 0 0 243
0.42041 0 0 248
0.43002 0 0 253
0.44043 0 0 259
0.450039 0 0 264
0.460449 0 0 270
0.470059 0 0 275
0.480469 0 0 281
0.490078 0 0 286
0.500488 0 0 292
0.510098 0 0 298
0.520508 0 0 303
0.530117 0 0 309
0.540527 0 0 315
0.550137 0 0 320
0.560547 0 0 326
0.570156 0 0 331
0.580566 0 0 337
0.590176 0 0 342
0.600586 0 0 348
0.610195 0 0 353
0.620605 0 0 359
0.630215 0 0 365
0.640625 0 0 371
0.650234 0 0 376
0.660645 0 0 382
0.670254 0 0 387
0.680664 0 0 393
0.690273 0 0 398
0.700684 0 0 404
0.710293 0 0 409
0.720703 0 0 415
0.730312 0 0 421
0.740723 0 0 427
0.750332 0 0 432
0.760742 0 0 438
0.770352 0 0 443
0.780762 0 0 449
0.790371 0 0 454
0.800781 0 0 460
0.810391 0 0 466
0.820801 0 0 472
0.83041 0 0 477
0.84002 0 0 483
0.85043 0 0 488
0.860039 0 0 494
0.870449 0 0 499
0.880059 0 0 505
0.890469 0 0 511
0.900078 0 0 516
0.910488 0 0 522
0.920098 0 0 527
0.930508 0 0 533
0.940117 0 0 539
0.950527 0 0 544
0.960137 0 0 550
0.970547 0 0 555
0.980156 0 0 561
0.990566 0 0 566
1.00018 0 0 568
1.01059 0 0 578
1.0202 0 0 582
1.03061 0 0 588
1.04021 0 0 594
1.05062 0 0 596
1.06023 0 0 605
1.07064 0 0 611
1.08025 0 0 616
1.09066 0 0 622
1.10027 0 0 627
1.11068 0 0 633
1.12029 0 0 638
1.1307 0 0 645
1.14031 0 0 650
1.15072 0 0 656
1.16033 0 0 661
1.17074 0 0 667
1.18035 0 0 672
1.19076 0 0 678
0 0 1 31
0.0104102 0 1 47
0.0200195 0 1 55
0.0304297 0 1 67
0.0400391 0 1 79
0.0504492 0 1 91
0.0600586 0 1 103
0.0704687 0 1 115
0.0800781 0 1 127
0.0904883 0 1 136
0.100098 0 1 148
0.110508 0 1 164
0.120117 0 1 176
0.130527 0 1 189
0.140137 0 1 201
0.150547 0 1 213
0.160156 0 1 225
0.170566 0 1 238
0.180176 0 1 250
0.190586 0 1 262
0.200195 0 1 275
0.210605 0 1 288
0.220215 0 1 296
0.230625 0 1 312
0.240234 0 1 324
0.250645 0 1 337
0.260254 0 1 349
0.270664 0 1 361
0.280273 0 1 373
0.290684 0 1 386
0.300293 0 1 398
0.310703 0 1 410
0.320312 0 1 422
0.330723 0 1 435
0.340332 0 1 447
0.350742 0 1 459
0.360352 0 1 471
0.370762 0 1 483
0.380371 0 1 495
0.390781 0 1 504
0.400391 0 1 519
0.410801 0 1 528
0.42041 0 1 547
0.43002 0 1 555
0.44043 0 1 564
