InputVoltage BandgapControl RampGain ADCvalue
0 0 0 21
0.0102026 0 0 25
0.0201138 0 0 31
0.0300249 0 0 36
0.0402275 0 0 42
0.0501387 0 0 48
0.0600498 0 0 53
0.0702524 0 0 59
0.0801636 0 0 65
0.0900747 0 0 70
0.100277 0 0 76
0.110188 0 0 82
0.1201 0 0 87
0.130011 0 0 93
0.140213 0 0 99
0.150125 0 0 105
0.160036 0 0 110
0.170238 0 0 116
0.180149 0 0 122
0.190061 0 0 128
0.200263 0 0 133
0.210174 0 0 139
0.220085 0 0 145
0.230288 0 0 151
0.240199 0 0 156
0.25011 0 0 162
0.260021 0 0 168
0.270224 0 0 174
0.280135 0 0 179
0.290046 0 0 185
0.300249 0 0 191
0.31016 0 0 196
0.320071 0 0 201
0.330274 0 0 207
0.340185 0 0 213
0.350096 0 0 218
0.360007 0 0 223
0.37021 0 0 229
0.380121 0 0 234
0.390032 0 0 240
0.400235 0 0 245
0.410146 0 0 251
0.420057 0 0 256
0.43026 0 0 262
0.440171 0 0 267
0.450082 0 0 273
0.460285 0 0 279
0.470196 0 0 284
0.480107 0 0 290
0.490018 0 0 296
0.500221 0 0 301
0.510132 0 0 307
0.520043 0 0 312
0.530246 0 0 318
0.540157 0 0 324
0.550068 0 0 330
0.560271 0 0 336
0.570182 0 0 341
0.580093 0 0 347
0.590004 0 0 353
0.600207 0 0 359
0.610118 0 0 364
0.620029 0 0 370
0.630231 0 0 376
0.640143 0 0 381
0.650054 0 0 387
0.660256 0 0 393
0.670167 0 0 399
0.680079 0 0 405
0.690281 0 0 410
0.700192 0 0 416
0.710104 0 0 422
0.720015 0 0 427
0.730217 0 0 433
0.740128 0 0 439
0.75004 0 0 444
0.760242 0 0 450
0.770153 0 0 456
0.780064 0 0 462
0.790267 0 0 468
0.800178 0 0 473
0.810089 0 0 479
0.82 0 0 485
0.830203 0 0 491
0.840114 0 0 496
0.850025 0 0 502
0.860228 0 0 508
0.870139 0 0 513
0.88005 0 0 519
0.890253 0 0 525
0.900164 0 0 531
0.910075 0 0 536
0.920278 0 0 542
0.930189 0 0 547
0.9401 0 0 553
0.950011 0 0 558
0.960214 0 0 564
0.970125 0 0 570
0.980036 0 0 575
0.990239 0 0 581
1.00015 0 0 586
