Param val stddev
VCC_H_1.500000_current_1V5_Reset 0.0465229 0.000983382
VCC_H_1.500000_VDD_Reset 1.42219 3.77476e-15
VCC_H_1.500000_current_1V5_Run 0.0309141 0.00346964
VCC_H_1.500000_VDD_Run 1.21014 0.0261443
VCC_H_1.500000_VDD_2_R 489.1 0.3
VCC_H_1.500000_VDD_2_L 481 0
VCC_H_1.500000_DVDD_2 600.1 0.3
VCC_H_1.500000_BG 509 0
VCC_H_1.500000_Temp 521 0
VCC_H_1.500000_VDD_H_4 302.1 0.3
VCC_H_1.500000_OTA_R 691 0
VCC_H_1.500000_OTA_L 681.7 0.458258
VCC_H_2.000000_current_1V5_Reset 0.0465751 0.00188099
VCC_H_2.000000_VDD_Reset 1.42219 3.77476e-15
VCC_H_2.000000_current_1V5_Run 0.0308071 0.00374977
VCC_H_2.000000_VDD_Run 1.20755 0.000318707
VCC_H_2.000000_VDD_2_R 488.1 0.3
VCC_H_2.000000_VDD_2_L 480 0
VCC_H_2.000000_DVDD_2 599.9 0.3
VCC_H_2.000000_BG 509 0
VCC_H_2.000000_Temp 520.5 0.5
VCC_H_2.000000_VDD_H_4 394 0
VCC_H_2.000000_OTA_R 689.9 0.3
VCC_H_2.000000_OTA_L 680.5 0.5
VCC_H_2.500000_current_1V5_Reset 0.0466771 0.000866245
VCC_H_2.500000_VDD_Reset 1.42219 3.77476e-15
VCC_H_2.500000_current_1V5_Run 0.0314887 0.00403276
VCC_H_2.500000_VDD_Run 1.20662 0.00146786
VCC_H_2.500000_VDD_2_R 487.8 0.4
VCC_H_2.500000_VDD_2_L 479 0
VCC_H_2.500000_DVDD_2 599 0
VCC_H_2.500000_BG 508.1 0.3
VCC_H_2.500000_Temp 520 0
VCC_H_2.500000_VDD_H_4 487.1 0.3
VCC_H_2.500000_OTA_R 689.8 0.4
VCC_H_2.500000_OTA_L 679.8 0.4
VCC_H_3.000000_current_1V5_Reset 0.0465453 0.00156819
VCC_H_3.000000_VDD_Reset 1.42222 0.000318707
VCC_H_3.000000_current_1V5_Run 0.0304813 0.00342211
VCC_H_3.000000_VDD_Run 1.20707 0.00242762
VCC_H_3.000000_VDD_2_R 487 0
VCC_H_3.000000_VDD_2_L 478.8 0.4
VCC_H_3.000000_DVDD_2 599 0
VCC_H_3.000000_BG 508 0
VCC_H_3.000000_Temp 519.9 0.3
VCC_H_3.000000_VDD_H_4 578.9 0.3
VCC_H_3.000000_OTA_R 689.8 0.4
VCC_H_3.000000_OTA_L 679.8 0.4
