InputVoltage BandgapControl RampGain ADCvalue
0 0 0 15
0.0104102 0 0 18
0.0200195 0 0 22
0.0304297 0 0 25
0.0400391 0 0 29
0.0504492 0 0 32
0.0600586 0 0 39
0.0704687 0 0 39
0.0800781 0 0 42
0.0904883 0 0 46
0.100098 0 0 49
0.110508 0 0 53
0.120117 0 0 56
0.130527 0 0 60
0.140137 0 0 64
0.150547 0 0 67
0.160156 0 0 70
0.170566 0 0 74
0.180176 0 0 78
0.190586 0 0 81
0.200195 0 0 85
0.210605 0 0 89
0.220215 0 0 92
0.230625 0 0 96
0.240234 0 0 99
0.250645 0 0 103
0.260254 0 0 106
0.270664 0 0 110
0.280273 0 0 113
0.290684 0 0 117
0.300293 0 0 121
0.310703 0 0 124
0.320312 0 0 128
0.330723 0 0 135
0.340332 0 0 135
0.350742 0 0 139
0.360352 0 0 142
0.370762 0 0 146
0.380371 0 0 149
0.390781 0 0 153
0.400391 0 0 156
0.410801 0 0 160
0.42041 0 0 163
0.43002 0 0 167
0.44043 0 0 170
0.450039 0 0 174
0.460449 0 0 177
0.470059 0 0 181
0.480469 0 0 184
0.490078 0 0 188
0.500488 0 0 191
0.510098 0 0 195
0.520508 0 0 198
0.530117 0 0 202
0.540527 0 0 205
0.550137 0 0 208
0.560547 0 0 212
0.570156 0 0 215
0.580566 0 0 219
0.590176 0 0 222
0.600586 0 0 226
0.610195 0 0 229
0.620605 0 0 233
0.630215 0 0 236
0.640625 0 0 236
0.650234 0 0 243
0.660645 0 0 247
0.670254 0 0 250
0.680664 0 0 254
0.690273 0 0 257
0.700684 0 0 261
0.710293 0 0 264
0.720703 0 0 268
0.730312 0 0 271
0.740723 0 0 275
0.750332 0 0 278
0.760742 0 0 282
0.770352 0 0 285
0.780762 0 0 289
0.790371 0 0 292
0.800781 0 0 296
0.810391 0 0 299
0.820801 0 0 303
0.83041 0 0 306
0.84002 0 0 310
0.85043 0 0 314
0.860039 0 0 317
0.870449 0 0 321
0.880059 0 0 324
0.890469 0 0 328
0.900078 0 0 331
0.910488 0 0 335
0.920098 0 0 339
0.930508 0 0 342
0.940117 0 0 346
0.950527 0 0 349
0.960137 0 0 353
0.970547 0 0 357
0.980156 0 0 360
0.990566 0 0 364
1.00018 0 0 367
1.01059 0 0 371
1.0202 0 0 374
1.03061 0 0 378
1.04021 0 0 381
1.05062 0 0 385
1.06023 0 0 389
1.07064 0 0 392
1.08025 0 0 396
1.09066 0 0 403
1.10027 0 0 403
1.11068 0 0 407
1.12029 0 0 410
1.1307 0 0 414
1.14031 0 0 417
1.15072 0 0 421
1.16033 0 0 424
1.17074 0 0 428
1.18035 0 0 431
1.19076 0 0 435
1.20037 0 0 438
1.21078 0 0 442
1.22039 0 0 445
1.2308 0 0 449
1.24041 0 0 452
1.25002 0 0 456
1.26043 0 0 456
1.27004 0 0 463
1.28045 0 0 467
1.29006 0 0 470
1.30047 0 0 474
1.31008 0 0 477
1.32049 0 0 481
1.3301 0 0 484
1.34051 0 0 488
1.35012 0 0 491
1.36053 0 0 495
1.37014 0 0 499
1.38055 0 0 502
1.39016 0 0 505
1.40057 0 0 509
1.41018 0 0 512
1.42059 0 0 516
1.4302 0 0 519
1.44061 0 0 523
1.45021 0 0 527
1.46062 0 0 530
1.47023 0 0 534
1.48064 0 0 537
1.49025 0 0 541
1.50066 0 0 544
1.51027 0 0 544
1.52068 0 0 551
1.53029 0 0 555
1.5407 0 0 558
1.55031 0 0 562
1.56072 0 0 565
1.57033 0 0 569
1.58074 0 0 572
1.59035 0 0 576
1.60076 0 0 580
1.61037 0 0 583
1.62078 0 0 587
1.63039 0 0 590
1.6408 0 0 594
1.65041 0 0 598
1.66002 0 0 601
1.67043 0 0 604
1.68004 0 0 608
1.69045 0 0 612
1.70006 0 0 615
1.71047 0 0 619
1.72008 0 0 622
1.73049 0 0 626
1.7401 0 0 629
1.75051 0 0 633
1.76012 0 0 636
1.77053 0 0 640
1.78014 0 0 644
1.79055 0 0 651
